AA,flux
3800.,3.481542E-16
3801.34000003338,3.359158E-16
3802.68000006676,3.253972E-16
3804.02000010014,3.201470E-16
3805.36000013351,3.182801E-16
3806.70000016689,3.169845E-16
3808.04000020027,3.151568E-16
3809.38000023365,3.144369E-16
3810.72000026703,3.167309E-16
3812.06000030041,3.186245E-16
3813.40000033379,3.152491E-16
3814.74000036716,3.149107E-16
3816.08000040054,3.140794E-16
3817.42000043392,3.122916E-16
3818.7600004673,3.114610E-16
3820.10000050068,3.118803E-16
3821.44000053406,3.095055E-16
3822.78000056744,3.073879E-16
3824.12000060082,3.058701E-16
3825.46000063419,3.077361E-16
3826.80000066757,3.113813E-16
3828.14000070095,3.140937E-16
3829.48000073433,3.144951E-16
3830.82000076771,3.150457E-16
3832.16000080109,3.159014E-16
3833.50000083446,3.150423E-16
3834.84000086784,3.126889E-16
3836.18000090122,3.134374E-16
3837.5200009346,3.127225E-16
3838.86000096798,3.120673E-16
3840.20000100136,3.160265E-16
3841.54000103474,3.194694E-16
3842.88000106812,3.185812E-16
3844.22000110149,3.213623E-16
3845.56000113487,3.253154E-16
3846.90000116825,3.249658E-16
3848.24000120163,3.233000E-16
3849.58000123501,3.200431E-16
3850.92000126839,3.199467E-16
3852.26000130176,3.199013E-16
3853.60000133514,3.198004E-16
3854.94000136852,3.207176E-16
3856.2800014019,3.215923E-16
3857.62000143528,3.243807E-16
3858.96000146866,3.270034E-16
3860.30000150204,3.268403E-16
3861.64000153542,3.293551E-16
3862.98000156879,3.337209E-16
3864.32000160217,3.310861E-16
3865.66000163555,3.292524E-16
3867.00000166893,3.297929E-16
3868.34000170231,3.300161E-16
3869.68000173569,3.349586E-16
3871.02000176907,3.361214E-16
3872.36000180244,3.361171E-16
3873.70000183582,3.359386E-16
3875.0400018692,3.344979E-16
3876.38000190258,3.342601E-16
3877.72000193596,3.367714E-16
3879.06000196934,3.352445E-16
3880.40000200272,3.351861E-16
3881.74000203609,3.372464E-16
3883.08000206947,3.409325E-16
3884.42000210285,3.477750E-16
3885.76000213623,3.552600E-16
3887.10000216961,3.623511E-16
3888.44000220299,3.681775E-16
3889.78000223637,3.724925E-16
3891.12000226975,3.770037E-16
3892.46000230312,3.795523E-16
3893.8000023365,3.786479E-16
3895.14000236988,3.758096E-16
3896.48000240326,3.769097E-16
3897.82000243664,3.771569E-16
3899.16000247002,3.741614E-16
3900.50000250339,3.725736E-16
3901.84000253677,3.752745E-16
3903.18000257015,3.803279E-16
3904.52000260353,3.869685E-16
3905.86000263691,3.923436E-16
3907.20000267029,3.980251E-16
3908.54000270367,4.033190E-16
3909.88000273705,4.037376E-16
3911.22000277042,4.031292E-16
3912.5600028038,4.018895E-16
3913.90000283718,4.024674E-16
3915.24000287056,4.030550E-16
3916.58000290394,4.018505E-16
3917.92000293732,3.992157E-16
3919.2600029707,3.967533E-16
3920.60000300407,3.979623E-16
3921.94000303745,4.000390E-16
3923.28000307083,4.008592E-16
3924.62000310421,4.019842E-16
3925.96000313759,4.016171E-16
3927.30000317097,4.000191E-16
3928.64000320435,3.982995E-16
3929.98000323772,3.965336E-16
3931.3200032711,3.942089E-16
3932.66000330448,3.887897E-16
3934.00000333786,3.847010E-16
3935.34000337124,3.817632E-16
3936.68000340462,3.830011E-16
3938.020003438,3.836036E-16
3939.36000347137,3.854455E-16
3940.70000350475,3.880485E-16
3942.04000353813,3.927309E-16
3943.38000357151,3.947912E-16
3944.72000360489,3.920748E-16
3946.06000363827,3.910392E-16
3947.40000367165,3.919685E-16
3948.74000370503,3.899245E-16
3950.0800037384,3.850171E-16
3951.42000377178,3.839688E-16
