# SNID ztf24aaypock
# OBSERVERS = Rich/Huddleston/Wise
# RA 280.67175
# OBS_DATE 2024-08-10 08:28:24.82
# DEC 68.19252777777778
# INSTRUMENT KAST
#wavelength flux flux_err
3471.34745596 0.06564162 0.08619402
3472.35973628 0.25363275 0.09640118
3473.37201660 0.35242626 0.10433944
3474.38429692 0.31263614 0.10143279
3475.39657724 0.32837814 0.10186709
3476.40885757 0.42319030 0.10878964
3477.42113789 0.29182172 0.10451496
3478.43341821 0.10526043 0.10590643
3479.44569853 0.28478172 0.12142929
3480.45797886 0.24111378 0.11911724
3481.47025918 0.11616689 0.11044600
3482.48253950 0.19282435 0.11662589
3483.49481982 0.29096362 0.11612530
3484.50710014 0.30495122 0.11318170
3485.51938047 0.19265489 0.10627395
3486.53166079 0.42630628 0.11611314
3487.54394111 0.28603598 0.10849740
3488.55622143 0.11701695 0.09492487
3489.56850175 0.24710764 0.10399906
3490.58078208 0.26272827 0.09939419
3491.59306240 0.20995407 0.09636552
3492.60534272 0.22151998 0.09215396
3493.61762304 0.15332751 0.09046114
3494.62990336 0.26487270 0.10036661
3495.64218369 0.23492397 0.09483031
3496.65446401 0.35763887 0.10159291
3497.66674433 0.25581855 0.09445260
3498.67902465 0.27263016 0.09373821
3499.69130497 0.37569293 0.09896744
3500.70358530 0.29699013 0.09308493
3501.71586562 0.16723517 0.08355343
3502.72814594 0.17741854 0.09009365
3503.74042626 0.14751782 0.09037814
3504.75270658 0.23736019 0.10029241
3505.76498691 0.22010845 0.08964086
3506.77726723 0.16961664 0.08470234
3507.78954755 0.23044473 0.09100444
3508.80182787 0.25517935 0.09722705
3509.81410819 0.24865091 0.09754642
3510.82638852 0.20993836 0.09485902
3511.83866884 0.31107044 0.09263436
3512.85094916 0.16257937 0.08292880
3513.86322948 0.18097863 0.09483645
3514.87550980 0.40239659 0.10634036
3515.88779013 0.30957818 0.09636067
3516.90007045 0.30842721 0.08751682
3517.91235077 0.25833547 0.09036466
3518.92463109 0.19908214 0.09591736
3519.93691141 0.19701794 0.08956198
3520.94919174 0.18944308 0.08377152
3521.96147206 0.10247939 0.08213993
3522.97375238 0.22570677 0.09201079
3523.98603270 0.27376154 0.08712606
3524.99831302 0.25500053 0.08673875
3526.01059335 0.47816697 0.10235722
3527.02287367 0.24939921 0.08840541
3528.03515399 0.16291985 0.08508965
3529.04743431 0.26217803 0.09083241
3530.05971464 0.30353734 0.09026048
3531.07199496 0.18366647 0.08467992
3532.08427528 0.13460359 0.08168064
3533.09655560 0.16953184 0.08292948
3534.10883592 0.10838857 0.08168633
3535.12111625 0.19728673 0.07771327
3536.13339657 0.14308107 0.07747108
3537.14567689 0.08498179 0.09217384
3538.15795721 0.25110263 0.09432258
3539.17023753 0.12340865 0.09249256
3540.18251786 0.26056615 0.10466340
3541.19479818 0.22720759 0.10873900
3542.20707850 0.40728074 0.12160042
3543.21935882 0.33060417 0.12062146
3544.23163914 0.21346977 0.11498243
3545.24391947 0.29369575 0.11816004
3546.25619979 0.20094073 0.11192764
3547.26848011 0.17713021 0.10984403
3548.28076043 0.12097242 0.10323128
3549.29304075 0.29558069 0.10893967
3550.30532108 0.22367527 0.10077819
3551.31760140 0.22208449 0.10178947
3552.32988172 0.30366427 0.11518172
3553.34216204 0.21314912 0.11122377
3554.35444236 0.24075794 0.11105097
3555.36672269 0.25001487 0.10692748
3556.37900301 0.39805475 0.11385683
3557.39128333 0.10317478 0.10552745
3558.40356365 0.17843392 0.10671063
3559.41584397 0.32627133 0.10556246
3560.42812430 0.21003720 0.09796970
3561.44040462 0.20585260 0.09810787
3562.45268494 0.20168854 0.09932567
3563.46496526 0.15894632 0.09495809
3564.47724558 0.22198063 0.09702884
3565.48952591 0.20413797 0.09508945
3566.50180623 0.21985362 0.09431964
3567.51408655 0.21848531 0.09378787
3568.52636687 0.24487415 0.09595943
3569.53864719 0.24534428 0.09394725
3570.55092752 0.31487617 0.09307638
3571.56320784 0.31958750 0.09588300
3572.57548816 0.19620028 0.08745699
3573.58776848 0.36876348 0.10065271
3574.60004880 0.21283816 0.08960918
3575.61232913 0.24522597 0.08747587
3576.62460945 0.30813056 0.09598090
3577.63688977 0.29267222 0.09228890
3578.64917009 0.32737949 0.09543130
3579.66145042 0.21217483 0.08752406
3580.67373074 0.22593087 0.09034568
3581.68601106 0.31592569 0.09685659
3582.69829138 0.33038694 0.09280533
3583.71057170 0.36650425 0.08908092
3584.72285203 0.28275341 0.08888936
3585.73513235 0.34918088 0.08947590
3586.74741267 0.30252635 0.08627241
3587.75969299 0.22107251 0.08504298
3588.77197331 0.31662315 0.08965967
3589.78425364 0.34815291 0.08748560
3590.79653396 0.58853763 0.10120672
3591.80881428 0.31637508 0.08804561
3592.82109460 0.36584488 0.09068353
3593.83337492 0.30115783 0.08841244
3594.84565525 0.23482206 0.08501458
3595.85793557 0.43999907 0.09327173
3596.87021589 0.33632699 0.08991349
3597.88249621 0.31436369 0.08822632
3598.89477653 0.15764947 0.08891033
3599.90705686 0.23442304 0.08761233
3600.91933718 0.42914981 0.08976291
3601.93161750 0.33518493 0.08640638
3602.94389782 0.19961314 0.08222481
3603.95617814 0.24750477 0.08198594
3604.96845847 0.40186894 0.08257125
3605.98073879 0.33709514 0.08334977
3606.99301911 0.32783580 0.08359766
3608.00529943 0.21340093 0.07455691
3609.01757975 0.20522995 0.07768626
3610.02986008 0.26109016 0.08119241
3611.04214040 0.30536005 0.08442201
3612.05442072 0.27206853 0.07563147
3613.06670104 0.22875720 0.08136488
3614.07898136 0.43123642 0.09479286
3615.09126169 0.50729382 0.10175593
3616.10354201 0.34489399 0.09624105
3617.11582233 0.32969442 0.09863903
3618.12810265 0.45194745 0.10126179
3619.14038297 0.32402816 0.09432110
3620.15266330 0.24295707 0.08996805
3621.16494362 0.29374269 0.09152613
3622.17722394 0.27815819 0.09300695
3623.18950426 0.15703906 0.08651658
3624.20178458 0.22569637 0.08828392
3625.21406491 0.26860294 0.08967335
3626.22634523 0.26117861 0.08541030
3627.23862555 0.24582082 0.08341771
3628.25090587 0.26360643 0.08897378
3629.26318620 0.33051944 0.09316880
3630.27546652 0.39321592 0.09815767
3631.28774684 0.28533754 0.09128019
3632.30002716 0.20763043 0.08968002
3633.31230748 0.11279496 0.08508613
3634.32458781 0.23291455 0.09148715
3635.33686813 0.12036927 0.08585802
3636.34914845 0.31185627 0.09225393
3637.36142877 0.30306691 0.09276356
3638.37370909 0.18923901 0.08724799
3639.38598942 0.25152567 0.08884382
3640.39826974 0.28311267 0.09025714
3641.41055006 0.28793129 0.09180657
3642.42283038 0.22911714 0.08496287
3643.43511070 0.24611561 0.08685541
3644.44739103 0.18347611 0.08488769
3645.45967135 0.27821726 0.08944248
3646.47195167 0.26438120 0.08734208
3647.48423199 0.28214353 0.09481686
3648.49651231 0.31281456 0.10518821
3649.50879264 0.40696079 0.11446455
3650.52107296 0.37069103 0.11068635
3651.53335328 0.32319769 0.10132416
3652.54563360 0.19893821 0.09159870
3653.55791392 0.12499990 0.09123863
3654.57019425 0.15784867 0.09122034
3655.58247457 0.36177504 0.09670703
3656.59475489 0.38335598 0.09294432
3657.60703521 0.38597816 0.09023642
3658.61931553 0.31835297 0.08809777
3659.63159586 0.19765849 0.08207291
3660.64387618 0.28225017 0.08864554
3661.65615650 0.27679238 0.08950484
3662.66843682 0.43722934 0.09693114
3663.68071714 0.41063932 0.09643144
3664.69299747 0.25514540 0.08278617
3665.70527779 0.29967701 0.08202579
3666.71755811 0.27073157 0.07598402
3667.72983843 0.25304610 0.07602191
3668.74211875 0.11574993 0.06628973
3669.75439908 0.25300768 0.07490185
3670.76667940 0.33006445 0.08025426
3671.77895972 0.21600401 0.07584143
3672.79124004 0.28724962 0.07710668
3673.80352036 0.34534201 0.07740800
3674.81580069 0.23651542 0.07069399
3675.82808101 0.27731225 0.07342397
3676.84036133 0.29409236 0.07590553
3677.85264165 0.33854952 0.07508054
3678.86492198 0.19596313 0.06528152
3679.87720230 0.37391800 0.07488873
3680.88948262 0.35363686 0.07445399
3681.90176294 0.31765696 0.07271449
3682.91404326 0.33384487 0.07442740
3683.92632359 0.17715497 0.06619490
3684.93860391 0.24436225 0.06614282
3685.95088423 0.36369830 0.07366400
3686.96316455 0.32947978 0.07495502
3687.97544487 0.38810918 0.07677698
3688.98772520 0.40240830 0.07632282
3690.00000552 0.38341919 0.07570593
3691.01228584 0.35030386 0.07366573
3692.02456616 0.23341347 0.05974937
3693.03684648 0.23986247 0.06354336
3694.04912681 0.31496409 0.07211851
3695.06140713 0.36211452 0.07143397
3696.07368745 0.32066149 0.07353355
3697.08596777 0.26383069 0.07413643
3698.09824809 0.26847672 0.07667059
3699.11052842 0.34081870 0.08098511
3700.12280874 0.32672200 0.07911813
3701.13508906 0.34620163 0.07920354
3702.14736938 0.33439776 0.07906016
3703.15964970 0.33316106 0.07831185
3704.17193003 0.37230402 0.07858401
3705.18421035 0.33146411 0.07558787
3706.19649067 0.40259695 0.07828947
3707.20877099 0.26542437 0.07169861
3708.22105131 0.28478956 0.07238415
3709.23333164 0.31662560 0.07313391
3710.24561196 0.42878565 0.07839692
3711.25789228 0.47329602 0.08099293
3712.27017260 0.35041472 0.07376768
3713.28245292 0.36512449 0.07423910
3714.29473325 0.35236916 0.07384577
3715.30701357 0.24277398 0.06741232
3716.31929389 0.30151355 0.06418546
3717.33157421 0.28212899 0.06714996
3718.34385453 0.24384543 0.06416588
3719.35613486 0.32604420 0.06568938
3720.36841518 0.39380565 0.07358979
3721.38069550 0.25765681 0.06711619
3722.39297582 0.24841326 0.06645408
3723.40525614 0.30762026 0.06885243
3724.41753647 0.39393821 0.07462876
3725.42981679 0.36713311 0.07493822
3726.44209711 0.31338567 0.07265898
3727.45437743 0.36485118 0.07754461
3728.46665776 0.38296488 0.07786223
3729.47893808 0.36839601 0.07510756
3730.49121840 0.41612825 0.07806577
3731.50349872 0.40766805 0.07830308
3732.51577904 0.29950702 0.07260098
3733.52805937 0.27442127 0.07059453
3734.54033969 0.26006144 0.06960389
3735.55262001 0.38641807 0.07637592
