   3.8132915e+03   3.1389407e-17   5.3429945e-17
   3.8141697e+03   9.2863001e-18   5.3242625e-17
   3.8150479e+03  -1.6935901e-17   5.3117578e-17
   3.8159265e+03   2.4292045e-17   5.2058476e-17
   3.8168052e+03   4.7543238e-17   5.2992036e-17
   3.8176841e+03  -4.6936197e-17   5.0407344e-17
   3.8185632e+03   1.5466974e-17   5.0873881e-17
   3.8194426e+03  -4.4543477e-17   4.8226986e-17
   3.8203223e+03   1.1460356e-18   4.8911477e-17
   3.8212021e+03   4.1685165e-17   4.8537410e-17
   3.8220820e+03  -9.4104235e-18   4.7167076e-17
   3.8229622e+03   3.0889763e-17   4.8100619e-17
   3.8238425e+03   8.2326494e-17   4.9345473e-17
   3.8247231e+03  -5.5191542e-18   4.7290253e-17
   3.8256040e+03  -2.6105043e-17   4.6293573e-17
   3.8264849e+03   2.1454418e-17   4.8098779e-17
   3.8273660e+03   1.7479829e-17   4.8347373e-17
   3.8282473e+03   3.6450329e-17   4.9436502e-17
   3.8291289e+03   2.6622107e-17   4.9902996e-17
   3.8300107e+03   3.6509383e-17   5.0182689e-17
   3.8308928e+03   7.7362947e-17   5.0804818e-17
   3.8317749e+03  -1.8813343e-17   4.8936518e-17
   3.8326575e+03  -8.7350398e-17   4.7099389e-17
   3.8335400e+03   1.1086265e-17   4.7130065e-17
   3.8344229e+03   6.3228217e-17   4.7845576e-17
   3.8353059e+03   5.7815855e-17   4.6786728e-17
   3.8361890e+03   7.7840647e-17   4.7190948e-17
   3.8370725e+03   4.7363700e-17   4.7003721e-17
   3.8379561e+03   1.9908887e-17   4.6909879e-17
   3.8388398e+03   1.4278494e-17   4.5913335e-17
   3.8397239e+03  -1.2087379e-17   4.4698921e-17
   3.8406082e+03  -3.3353775e-18   4.4667356e-17
   3.8414927e+03   1.5183522e-17   4.5974248e-17
   3.8423772e+03   5.2840298e-19   4.5724784e-17
   3.8432620e+03  -4.3877035e-18   4.5662084e-17
   3.8441472e+03   2.3736279e-17   4.6470911e-17
   3.8450325e+03   7.5239415e-17   4.8462487e-17
   3.8459177e+03   2.2310385e-18   4.7466003e-17
   3.8468035e+03   4.5369738e-17   4.6843036e-17
   3.8476895e+03   5.3898374e-17   4.6718079e-17
   3.8485754e+03   2.4900433e-17   4.5254770e-17
   3.8494617e+03   3.0766500e-17   4.4880835e-17
   3.8503481e+03   5.5217840e-17   4.4506906e-17
   3.8512349e+03  -8.5160362e-18   4.2732432e-17
   3.8521218e+03  -8.4571257e-17   4.0491146e-17
   3.8530088e+03   3.5770837e-17   4.3571901e-17
   3.8538960e+03   7.3860188e-17   4.4598511e-17
   3.8547837e+03   6.3496832e-17   4.4566943e-17
   3.8556714e+03   4.0766538e-17   4.4099672e-17
   3.8565591e+03  -1.4342266e-17   4.3290071e-17
   3.8574473e+03  -2.1661935e-17   4.2978425e-17
   3.8583357e+03  -1.8073168e-18   4.2386700e-17
   3.8592241e+03   1.3436226e-17   4.1421536e-17
   3.8601128e+03   6.1463689e-18   4.0300789e-17
   3.8610017e+03  -2.7638927e-17   4.0549343e-17
   3.8618909e+03  -2.1311660e-17   4.0953494e-17
   3.8627803e+03   3.8099608e-17   4.3006960e-17
   3.8636697e+03  -7.9201816e-18   4.2041835e-17
   3.8645596e+03   1.7571096e-17   4.2134767e-17
   3.8654495e+03  -1.3633101e-17   4.0609539e-17
   3.8663396e+03   1.8033245e-17   4.1387082e-17
   3.8672300e+03   1.2730389e-17   4.1604488e-17
   3.8681206e+03  -2.8819171e-17   4.1324008e-17
   3.8690112e+03  -1.7019287e-17   4.1821464e-17
   3.8699023e+03   4.4384017e-17   4.4123683e-17
   3.8707935e+03   5.8093404e-17   4.3625370e-17
   3.8716848e+03   8.5995483e-18   4.2598091e-17
   3.8725764e+03  -1.7530730e-17   4.2442078e-17
   3.8734683e+03   5.1465987e-18   4.4277463e-17
   3.8743604e+03   2.3260828e-17   4.5334930e-17
   3.8752524e+03   7.2844946e-17   4.6672409e-17
   3.8761448e+03   1.1400322e-17   4.4680594e-17
   3.8770376e+03  -9.1233125e-18   4.3466677e-17
   3.8779304e+03  -3.1281863e-17   4.3435118e-17
   3.8788232e+03  -4.1417913e-17   4.2345695e-17
   3.8797166e+03   6.9499027e-17   4.4118717e-17
   3.8806101e+03   5.2846286e-17   4.2873741e-17
   3.8815037e+03   1.3974037e-16   4.4397821e-17
   3.8823975e+03   5.5278952e-17   4.1286126e-17
   3.8832915e+03   4.6521266e-17   4.0725682e-17
   3.8841858e+03   2.3520729e-17   3.9947467e-17
   3.8850803e+03   5.6573264e-17   4.0289278e-17
   3.8859751e+03   7.6984694e-17   4.1222192e-17
   3.8868699e+03   7.5293579e-17   4.1252874e-17
   3.8877649e+03   3.8429038e-17   4.1096890e-17
   3.8886602e+03  -5.8095541e-18   3.9727619e-17
   3.8895557e+03   6.6605112e-17   4.1158254e-17
   3.8904514e+03   9.0168179e-18   3.8513519e-17
   3.8913474e+03   8.6040813e-18   3.7859828e-17
   3.8922434e+03   8.4066736e-17   3.8108300e-17
   3.8931399e+03  -9.5934422e-18   3.9072263e-17
   3.8940364e+03   6.5637112e-17   3.9818450e-17
   3.8949331e+03   6.5651274e-17   3.8947012e-17
   3.8958301e+03   5.7094825e-17   3.8137807e-17
   3.8967273e+03   2.6535517e-17   3.6613151e-17
   3.8976245e+03  -4.9289535e-17   3.5150746e-17
   3.8985222e+03   5.1670055e-17   3.6954552e-17
   3.8994199e+03   3.9391075e-17   3.7327435e-17
