# SIMPLE  =                    T / conforms to FITS standard                      
# BITPIX  =                    8 / array data type                                
# NAXIS   =                    0 / number of array dimensions                     
# EXTEND  =                    T                                                  
# VERSPYT = '3.11.11 '           / Python version                                 
# VERSNPY = '2.2.3   '           / Numpy version                                  
# VERSSCI = '1.13.1  '           / Scipy version                                  
# VERSAST = '6.1.0   '           / Astropy version                                
# VERSSKL = '1.6.1   '           / Scikit-learn version                           
# VERSPYP = '0.1.dev17374+gbfcf572' / PypeIt version                              
# DATE    = '2025-03-06'         / UTC date created                               
# RA      =   216.82058333333327                                                  
# DEC     =  -0.9213055555555555                                                  
# TARGET  = 'ATLAS25buk'                                                          
# DISPNAME= 'blue    '                                                            
# DECKER  = 'slit    '                                                            
# BINNING = '1,1     '                                                            
# MJD     =         60731.150091                                                  
# DATETIME= '2025-02-25T03:36:07.862' / Date and time of the observation in ISOT f
# AIRMASS =             1.280221                                                  
# EXPTIME =               3000.0                                                  
# FILENAME= 'v_e_20250224_104_1_0_2.fits'                                         
# INSTRUME= 'SPRAT   '                                                            
# DETECTOR= 'E2V CCD30-11 10333-02-26'                                            
# DATE-OBS= '2025-02-25T03:36:07.864'                                             
# CONFNAME= 'BlueConfig'                                                          
# FOVTYPE = 'slit    '                                                            
# CCDXBIN =                    1                                                  
# CCDYBIN =                    1                                                  
# PYPELINE= 'MultiSlit'                                                           
# PYP_SPEC= 'lt_sprat'                                                            
# TELESCOP= 'LT      '                                                            
# LON-OBS =  -17.879999999999995                                                  
# LAT-OBS =   28.758333333333336                                                  
# ALT-OBS =   2326.9999999988386                                                  
# CLBS_DIR= '/Users/angus/Downloads/LT_SPRAT_reductions/20250224_x3/reduced/Cali&'
# CONTINUE  'brations'                                                            
# CLBS_ARC= 'Arc_A_0_DET01.fits'                                                  
# HIERARCH CLBS_WAVECALIB = 'WaveCalib_A_0_DET01.fits'                            
# HIERARCH CLBS_BIAS = 'Bias_A_0_DET01.fits'                                      
# HIERARCH CLBS_FLAT = 'Flat_A_0_DET01.fits'                                      
# HIERARCH CLBS_EDGES = 'Edges_A_0_DET01.fits.gz'                                 
# HIERARCH CLBS_SLITS = 'Slits_A_0_DET01.fits.gz'                                 
# HIERARCH CLBS_TILTIMG = 'Tiltimg_A_0_DET01.fits'                                
# HIERARCH CLBS_TILTS = 'Tilts_A_0_DET01.fits'                                    
# DMODCLS = 'SpecObjs'           / Datamodel class                                
# DMODVER = '1.0.0   '           / Datamodel version                              
# EXT0000 = 'SPAT0125-SLIT0113-DET01'                                             
# NSPEC   =                    1                                                  
# 
#      Lam       Flux        STD
  4000.313  2.910e-16  9.648e-17
  4004.458  7.310e-16  9.510e-17
  4008.606  6.079e-16  8.818e-17
  4012.752  6.485e-16  8.355e-17
  4016.904  6.884e-16  8.270e-17
  4021.056  1.784e-16  7.574e-17
  4025.214  1.155e-15  9.174e-17
  4029.365 -3.233e-16  7.099e-17
  4033.534  1.251e-15  9.500e-17
  4037.697  1.322e-15  1.018e-16
  4041.867  6.372e-16  9.873e-17
  4046.033  3.105e-16  9.682e-17
  4050.210  3.458e-16  9.470e-17
  4054.381 -6.317e-17  8.552e-17
  4058.556  5.684e-16  9.245e-17
  4062.738  1.258e-15  1.060e-16
  4066.916  9.796e-16  9.539e-17
  4071.100  7.382e-16  9.123e-17
  4075.287  1.038e-15  8.714e-17
  4079.480  1.261e-15  9.044e-17
  4083.668  1.163e-15  8.528e-17
  4087.856  1.371e-15  8.151e-17
  4092.060  1.315e-15  8.014e-17
  4096.258  9.102e-16  6.637e-17
  4100.459  1.195e-15  7.685e-17
  4104.664  1.198e-15  7.256e-17
  4108.866  8.850e-16  7.165e-17
  4113.074  1.343e-15  7.340e-17
  4117.286  8.412e-16  6.771e-17
  4121.500  1.197e-15  7.385e-17
  4125.718  1.351e-15  7.342e-17
  4129.934  6.102e-16  6.364e-17
  4134.156  1.913e-15  7.500e-17
  4138.373  1.244e-15  6.533e-17
  4142.608  1.099e-15  6.434e-17
  4146.832  1.098e-15  6.428e-17
  4151.061  9.053e-16  6.068e-17
  4155.294  9.988e-16  6.081e-17
  4159.531  1.124e-15  6.193e-17
  4163.769  1.363e-15  6.369e-17
  4168.011  1.135e-15  6.070e-17
  4172.252  1.068e-15  5.908e-17
  4176.495  9.798e-16  5.685e-17
  4180.741  9.943e-16  5.387e-17
  4184.992  9.024e-16  5.350e-17
  4189.244  8.866e-16  4.965e-17
  4193.497  9.873e-16  5.078e-17
  4197.753  1.145e-15  5.220e-17
  4202.008  1.041e-15  5.111e-17
  4206.273  1.105e-15  5.159e-17
  4210.535  1.158e-15  5.322e-17
  4214.801  1.125e-15  5.125e-17
  4219.069  1.079e-15  5.116e-17
  4223.338  1.384e-15  5.160e-17
  4227.612  1.116e-15  4.967e-17
  4231.884  1.257e-15  4.993e-17
  4236.161  1.040e-15  4.899e-17
  4240.440  1.061e-15  4.669e-17
  4244.722  9.756e-16  4.692e-17
  4249.003  1.360e-15  5.091e-17
  4253.289  1.334e-15  5.109e-17
  4257.578  1.237e-15  4.729e-17
  4261.868  1.182e-15  4.734e-17
  4266.160  1.567e-15  5.197e-17
  4270.454  1.397e-15  5.067e-17
