BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                 1200  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel (out of date)                
IRAF-MIN=                   0.  /  Min image pixel (out of date)                
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
OBJECT  = 'SN1992,SLIT=300U,PA=75 - APERTURE 1'  /
FILENAME= 'CTIO_4_13JAN92    '  /  IRAF filename                               
FORMAT  = '5G14.7            '  /  Text line format                            
EXTEND  =                    F / File may contain extensions                    
3482.955449  5.396275E-14
3486.52905  5.442531E-14
3490.102651  5.394572E-14
3493.676252  5.370849E-14
3497.249853  5.384995E-14
3500.823454  5.430142E-14
3504.397055  5.505992E-14
3507.970656  5.546820E-14
3511.544257  5.578335E-14
3515.117858  5.530087E-14
3518.691459  5.497442E-14
3522.26506  5.478040E-14
3525.838661  5.371170E-14
3529.412262  5.280635E-14
3532.985863  5.347021E-14
3536.559464  5.318536E-14
3540.133065  5.224844E-14
3543.706666  5.166102E-14
3547.280267  5.152821E-14
3550.853868  5.069902E-14
3554.427469  5.113940E-14
3558.00107  5.066043E-14
3561.574671  5.023984E-14
3565.148272  4.999725E-14
3568.721873  4.998851E-14
3572.295474  4.905834E-14
3575.869075  4.792736E-14
3579.442676  4.759997E-14
3583.016277  4.775433E-14
3586.589878  4.695109E-14
3590.163479  4.536895E-14
3593.73708  4.426075E-14
3597.310681  4.351553E-14
3600.884282  4.216229E-14
3604.457883  4.112994E-14
3608.031484  4.031308E-14
3611.605085  3.947046E-14
3615.178686  3.910454E-14
3618.752287  3.841542E-14
3622.325888  3.783327E-14
3625.899489  3.722870E-14
3629.47309  3.643696E-14
3633.046691  3.609218E-14
3636.620292  3.521158E-14
3640.193893  3.393322E-14
3643.767494  3.300078E-14
3647.341095  3.229781E-14
3650.914696  3.154774E-14
3654.488297  3.051234E-14
3658.061898  2.968641E-14
3661.635499  2.893435E-14
3665.2091  2.765758E-14
3668.782701  2.679644E-14
3672.356302  2.558154E-14
3675.929903  2.411537E-14
3679.503504  2.291885E-14
3683.077105  2.221304E-14
3686.650706  2.131040E-14
3690.224307  2.035387E-14
3693.797908  1.954708E-14
3697.371509  1.930829E-14
3700.94511  1.862479E-14
3704.518711  1.799342E-14
3708.092312  1.776003E-14
3711.665913  1.780289E-14
3715.239514  1.755086E-14
3718.813115  1.800220E-14
3722.386716  1.829042E-14
3725.960317  1.849681E-14
3729.533918  1.874732E-14
3733.107519  1.939538E-14
3736.68112  1.980486E-14
3740.254721  2.016925E-14
3743.828322  2.061471E-14
3747.401923  2.085649E-14
3750.975524  2.116671E-14
3754.549125  2.118309E-14
3758.122726  2.161302E-14
3761.696327  2.196278E-14
3765.269928  2.205032E-14
3768.843529  2.250133E-14
3772.41713  2.304627E-14
3775.990731  2.344264E-14
3779.564332  2.368358E-14
3783.137933  2.405868E-14
3786.711534  2.447807E-14
3790.285135  2.513660E-14
3793.858736  2.561598E-14
3797.432337  2.652195E-14
3801.005938  2.737763E-14
3804.579539  2.802738E-14
3808.15314  2.910448E-14
3811.726741  3.029768E-14
3815.300342  3.113497E-14
3818.873943  3.270054E-14
3822.447544  3.418255E-14
3826.021145  3.570461E-14
3829.594746  3.660655E-14
3833.168347  3.801283E-14
3836.741948  3.967021E-14
3840.315549  4.126228E-14
3843.88915  4.294559E-14
3847.462751  4.475378E-14
3851.036352  4.680343E-14
3854.609953  4.857449E-14
3858.183554  5.035739E-14
3861.757155  5.149818E-14
3865.330756  5.333778E-14
3868.904357  5.452265E-14
3872.477958  5.626117E-14
3876.051559  5.749185E-14
3879.62516  5.889746E-14
3883.198761  5.994646E-14
3886.772362  6.114661E-14
3890.345963  6.199893E-14
3893.919564  6.309359E-14
3897.493165  6.363706E-14
3901.066766  6.441397E-14
3904.640367  6.511760E-14
3908.213968  6.576265E-14
3911.787569  6.634177E-14
3915.36117  6.805648E-14
3918.934771  6.784256E-14
3922.508372  6.852503E-14
3926.081973  6.917757E-14
3929.655574  6.819990E-14
3933.229175  6.687366E-14
3936.802776  6.564431E-14
3940.376377  6.488351E-14
3943.949978  6.379995E-14
3947.523579  6.218301E-14
3951.09718  6.057417E-14
3954.670781  5.910815E-14
3958.244382  5.778576E-14
3961.817983  5.639425E-14
3965.391584  5.476995E-14
3968.965185  5.311533E-14
3972.538786  5.207256E-14
3976.112387  5.138017E-14
3979.685988  5.028313E-14
3983.259589  4.948688E-14
3986.83319  4.924797E-14
3990.406791  4.869766E-14
3993.980392  4.835454E-14
3997.553993  4.836012E-14
4001.127594  4.838882E-14
4004.701195  4.807698E-14
4008.274796  4.801039E-14
4011.848397  4.826222E-14
4015.421998  4.823793E-14
4018.995599  4.898047E-14
4022.5692  4.948158E-14
4026.142801  4.959074E-14
4029.716402  5.054592E-14
4033.290003  5.141251E-14
4036.863604  5.192098E-14
4040.437205  5.295456E-14
4044.010806  5.390543E-14
4047.584407  5.486123E-14
4051.158008  5.589579E-14
4054.731609  5.673968E-14
4058.30521  5.735195E-14
4061.878811  5.893924E-14
4065.452412  5.949460E-14
4069.026013  6.008662E-14
4072.599614  6.056793E-14
4076.173215  6.107733E-14
4079.746816  6.172505E-14
4083.320417  6.225713E-14
4086.894018  6.253962E-14
4090.467619  6.292016E-14
4094.04122  6.336881E-14
4097.614821  6.350313E-14
4101.188422  6.355400E-14
4104.762023  6.345566E-14
4108.335624  6.329896E-14
4111.909225  6.285670E-14
4115.482826  6.252222E-14
4119.056427  6.190286E-14
4122.630028  6.113739E-14
4126.203629  6.040331E-14
4129.77723  5.974624E-14
4133.350831  5.879535E-14
4136.924432  5.856028E-14
4140.498033  5.843323E-14
4144.071634  5.808801E-14
4147.645235  5.797617E-14
4151.218836  5.734577E-14
4154.792437  5.699293E-14
4158.366038  5.661705E-14
4161.939639  5.682306E-14
4165.51324  5.648033E-14
4169.086841  5.622651E-14
4172.660442  5.632325E-14
4176.234043  5.599392E-14
4179.807644  5.604373E-14
4183.381245  5.568477E-14
4186.954846  5.499173E-14
4190.528447  5.493924E-14
4194.102048  5.453635E-14
4197.675649  5.362687E-14
4201.24925  5.255892E-14
4204.822851  5.169164E-14
4208.396452  5.084703E-14
4211.970053  5.012084E-14
4215.543654  4.924380E-14
4219.117255  4.870496E-14
4222.690856  4.843013E-14
4226.264457  4.782111E-14
4229.838058  4.689210E-14
4233.411659  4.643905E-14
4236.98526  4.596556E-14
4240.558861  4.542709E-14
4244.132462  4.512387E-14
4247.706063  4.463759E-14
4251.279664  4.398331E-14
4254.853265  4.362088E-14
4258.426866  4.294202E-14
4262.000467  4.179801E-14
4265.574068  4.073970E-14
4269.147669  3.953471E-14
4272.72127  3.817966E-14
4276.294871  3.678876E-14
4279.868472  3.556780E-14
4283.442073  3.439115E-14
4287.015674  3.299397E-14
4290.589275  3.202420E-14
4294.162876  3.142752E-14
4297.736477  3.063638E-14
4301.310078  3.001324E-14
4304.883679  2.928141E-14
4308.45728  2.883245E-14
4312.030881  2.860654E-14
4315.604482  2.846518E-14
4319.178083  2.859610E-14
4322.751684  2.873305E-14
4326.325285  2.923293E-14
4329.898886  2.987362E-14
4333.472487  3.047055E-14
4337.046088  3.123681E-14
4340.619689  3.201356E-14
4344.19329  3.248111E-14
4347.766891  3.337520E-14
4351.340492  3.395656E-14
4354.914093  3.445851E-14
4358.487694  3.490844E-14
4362.061295  3.538651E-14
4365.634896  3.566658E-14
4369.208497  3.592756E-14
4372.782098  3.635297E-14
4376.355699  3.680580E-14
4379.9293  3.759133E-14
4383.502901  3.823289E-14
4387.076502  3.868356E-14
4390.650103  3.898166E-14
4394.223704  3.871009E-14
4397.797305  3.869304E-14
4401.370906  3.863936E-14
4404.944507  3.847124E-14
4408.518108  3.834158E-14
4412.091709  3.826562E-14
4415.66531  3.804690E-14
4419.238911  3.789277E-14
4422.812512  3.776136E-14
4426.386113  3.789031E-14
4429.959714  3.784194E-14
4433.533315  3.822097E-14
4437.106916  3.859429E-14
4440.680517  3.886218E-14
4444.254118  3.927908E-14
4447.827719  3.979481E-14
4451.40132  4.012784E-14
4454.974921  4.088274E-14
4458.548522  4.118953E-14
4462.122123  4.171711E-14
4465.695724  4.198848E-14
4469.269325  4.239410E-14
4472.842926  4.287496E-14
4476.416527  4.302474E-14
4479.990128  4.364675E-14
4483.563729  4.372985E-14
