# Wavelength(angstroms) flux flux_err
3467.32788085938 5.354017438442403e-16 2.370415879539647e-16 
3468.798648953443 5.738006060794748e-16 2.4253322018836956e-16 
3470.2694170475056 5.187412939860179e-16 2.425349936636029e-16 
3471.7401851415684 -5.400608618055024e-17 2.3107831718661683e-16 
3473.210953235631 -9.840399309026424e-17 2.312668878964993e-16 
3474.681721329694 4.498479751002078e-16 2.315679286999094e-16 
3476.152489423757 1.4109543963117114e-17 2.260048545303596e-16 
3477.6232575178196 2.9894082344539806e-16 2.3042938406990163e-16 
3479.0940256118824 3.981234052503115e-16 2.3273675475778154e-16 
3480.5647937059452 1.725331468778533e-16 2.274542073124505e-16 
3482.035561800008 2.8428829165842153e-16 2.2983249053988336e-16 
3483.506329894071 1.598270934949447e-17 2.34552978685152e-16 
3484.9770979881337 -1.288558797177955e-16 2.336203424706658e-16 
3486.4478660821965 1.6657159664617953e-16 2.3078058510565694e-16 
3487.9186341762593 3.956025293201643e-16 2.33280735198376e-16 
3489.389402270322 4.432856667506939e-16 2.285368742377191e-16 
3490.860170364385 2.3693136779170325e-16 2.284962960655897e-16 
3492.3309384584477 1.7079925719993395e-16 2.1654467441472133e-16 
3493.8017065525105 6.449472973027773e-16 2.2858568451130463e-16 
3495.2724746465733 1.62807144000565e-16 2.2116849492488454e-16 
3496.743242740636 2.700191746289756e-16 2.1880969345523853e-16 
3498.214010834699 -1.0289964031015114e-16 2.1654497881718675e-16 
3499.6847789287617 2.41148506608066e-16 2.167609854536264e-16 
3501.1555470228245 1.0809173390113829e-16 2.1309153284700236e-16 
3502.6263151168873 -2.4041336141918807e-16 2.1836437911810938e-16 
3504.09708321095 1.5458997150013263e-16 2.1900980498902736e-16 
3505.567851305013 2.8267527622905333e-16 2.1131646942691256e-16 
3507.0386193990757 -2.3132681547751756e-16 2.162027378018266e-16 
3508.5093874931385 3.6703711079762147e-16 2.093296477700092e-16 
3509.9801555872014 9.794038681194134e-16 2.264061099193417e-16 
3511.450923681264 6.803378558513891e-17 2.0907348647791377e-16 
3512.921691775327 5.342075332677302e-16 2.1802726000510217e-16 
3514.3924598693898 -8.172893191370166e-17 2.0453872354122047e-16 
3515.8632279634526 4.348152313990325e-16 2.0631826035406295e-16 
3517.3339960575154 -3.7560384320747386e-16 2.0141399252901975e-16 
3518.804764151578 1.0846148363494949e-16 2.0041053641920922e-16 
3520.275532245641 4.3033770936072786e-16 2.0263860364740246e-16 
3521.746300339704 2.0740831234784043e-16 1.9881964972558804e-16 
3523.2170684337666 3.318798130458466e-18 1.957507567134571e-16 
3524.6878365278294 1.9483238771017623e-16 1.976882519360727e-16 
3526.158604621892 6.037382179765696e-17 1.9564330264316401e-16 
3527.629372715955 8.92654671189009e-17 1.9618814335159554e-16 
3529.100140810018 -2.226093112030539e-16 1.9446316075451216e-16 
3530.5709089040806 -1.3582975343544637e-16 1.9263806945097516e-16 
3532.0416769981434 2.6139508220672633e-16 1.984650076184845e-16 
3533.5124450922062 2.334927581329856e-16 1.9309636721499894e-16 
3534.9832131862695 9.613792187600787e-17 1.918495214817508e-16 
3536.4539812803323 -3.748512544338384e-16 1.918213444013648e-16 
3537.924749374395 1.3310296908977757e-16 1.8842255852605792e-16 
3539.395517468458 1.7509077609697746e-16 1.8881722293991922e-16 
3540.8662855625207 4.3792929509005373e-16 1.9174131302273907e-16 
3542.3370536565835 3.7520624726552167e-17 1.871398859461189e-16 
3543.8078217506463 2.35053992056008e-17 1.8979211815753951e-16 
3545.278589844709 -3.7607206713884827e-16 1.8916389764336264e-16 
3546.749357938772 -1.256392323959279e-16 1.8825137846137374e-16 
3548.2201260328347 1.857580046322327e-16 1.8746509365830534e-16 
