# wavelength flux fluxerr
# GROUPS UCSC,YSE
# SNID ztf24abchcrp
# OBS_GROUP UCSC
# RA 294.60879166666666
# OBS_DATE 2024-09-02 07:44:54.83
# DEC 67.74058333333333
# INSTRUMENT KAST
# OBSERVER MIKE RICH K-RYAN HINDS JACOB WISE
# REDUCER K-RYAN HINDS
3.471530597400384977e+03 2.387914604293994159e-01 4.409461727610729243e-02
3.474061194800769954e+03 1.739119056917373674e-01 4.333861753964404068e-02
3.476591792201154931e+03 2.617606829703359589e-02 4.602622426575028042e-02
3.479122389601539908e+03 2.464912459715751514e-01 5.551418079898604724e-02
3.481652987001924885e+03 2.679120689881715478e-01 5.498108042860860162e-02
3.484183584402309862e+03 2.104016273899302902e-01 5.219040144616492183e-02
3.486714181802694839e+03 2.338544950855858395e-01 5.098373648734758762e-02
3.489244779203079815e+03 2.940447257760566147e-01 4.774134121329677571e-02
3.491775376603464792e+03 3.427523200877142240e-01 4.704041880809353704e-02
3.494305974003849769e+03 1.098685426411689509e-01 4.595013535855825559e-02
3.496836571404234746e+03 2.089434702367196917e-01 4.302906350324371687e-02
3.499367168804619723e+03 2.502324837368103405e-01 4.321750402334691848e-02
3.501897766205004700e+03 2.492173132633160315e-01 4.201523164109721015e-02
3.504428363605389677e+03 2.740901755883877189e-01 4.043166522905588395e-02
3.506958961005774654e+03 3.168320041617995186e-01 4.361059636829601321e-02
3.509489558406159631e+03 2.112374450563351269e-01 4.548269330680854844e-02
3.512020155806544608e+03 1.506388726276232382e-01 4.210989179546695271e-02
3.514550753206929585e+03 2.280979269829050138e-01 4.250464705031043594e-02
3.517081350607314562e+03 1.941026060099187434e-01 4.033892561817254557e-02
3.519611948007699539e+03 2.454609808863357223e-01 4.199489787815664787e-02
3.522142545408084516e+03 2.746549550337196166e-01 4.101976956416707870e-02
3.524673142808469493e+03 3.222675561405317080e-01 4.246854097279690460e-02
3.527203740208854470e+03 2.950585385043105191e-01 4.023036829534203107e-02
3.529734337609239446e+03 2.372952512475311193e-01 4.134554620126487667e-02
3.532264935009624423e+03 2.169995155824947231e-01 3.823719926230369909e-02
3.534795532410009400e+03 1.864044874282495545e-01 3.923726980994259039e-02
3.537326129810394377e+03 1.452012898662096707e-01 3.950186674170978740e-02
