# SNID ztf24abodysq
# OBSERVER = Rich/Wise/Hinds
# RA 241.67929166666667
# OBS_DATE 2025-01-05 13:23:47.93
# MJD 60680.55819363
# DEC 16.32327777777778
# INSTRUMENT KAST
#wavelength flux flux_err
3594.03261900 0.29001898 0.12407289
3595.04359651 0.04468044 0.12609194
3596.05457402 -0.14691685 0.13004696
3597.06555153 -0.16982941 0.13672009
3598.07652904 -0.03652998 0.12540163
3599.08750655 -0.06650889 0.12452961
3600.09848406 0.11671437 0.12281737
3601.10946157 0.34148520 0.13624853
3602.12043908 -0.00420550 0.12411732
3603.13141658 0.03705272 0.12215242
3604.14239409 0.07798404 0.12112829
3605.15337160 0.22830378 0.11411221
3606.16434911 0.16726422 0.12223249
3607.17532662 -0.20863663 0.12283032
3608.18630413 -0.06865192 0.12720169
3609.19728164 0.02364699 0.13100061
3610.20825915 0.10134546 0.12561037
3611.21923666 0.18320836 0.12701896
3612.23021417 -0.03537207 0.13224281
3613.24119168 0.30485877 0.12188075
3614.25216919 0.24663886 0.13098553
3615.26314670 0.12580298 0.12908578
3616.27412421 0.00410989 0.13332927
3617.28510172 -0.06644572 0.13502319
3618.29607923 0.20420812 0.13494058
3619.30705673 -0.00649167 0.12546337
3620.31803424 -0.07774267 0.13178161
3621.32901175 0.04131547 0.12820481
3622.33998926 0.00081762 0.12629321
3623.35096677 0.15286654 0.12977980
3624.36194428 -0.01073838 0.13651788
3625.37292179 0.03116262 0.12471821
3626.38389930 0.16745332 0.12789497
3627.39487681 0.14698358 0.12714082
3628.40585432 0.49637783 0.13185601
3629.41683183 0.04654907 0.13323706
3630.42780934 0.18763641 0.13230292
3631.43878685 0.21865126 0.13783675
3632.44976436 0.02354186 0.14119446
3633.46074187 0.21514198 0.13531609
3634.47171937 -0.17417462 0.14019962
3635.48269688 -0.30615467 0.14064166
3636.49367439 -0.04036591 0.13654771
3637.50465190 0.49879631 0.13658090
3638.51562941 0.21158433 0.13762996
3639.52660692 -0.19596416 0.13482109
3640.53758443 -0.37617058 0.13666756
3641.54856194 0.07686530 0.14092153
3642.55953945 0.14164481 0.14103487
3643.57051696 -0.06031150 0.13705823
3644.58149447 0.02312082 0.14255048
3645.59247198 0.33281088 0.14100976
3646.60344949 0.09780526 0.13110942
3647.61442700 -0.03102366 0.14100169
3648.62540451 0.52548832 0.15925935
3649.63638202 0.42579690 0.17146640
3650.64735952 -0.06180002 0.17850821
3651.65833703 0.00617357 0.16263528
3652.66931454 -0.15655690 0.15357134
3653.68029205 0.09763146 0.15464871
3654.69126956 -0.00497388 0.15569609
3655.70224707 0.09118532 0.15477943
3656.71322458 0.28225648 0.14057362
3657.72420209 -0.06720085 0.13770273
3658.73517960 0.26718107 0.13775623
3659.74615711 0.08937290 0.13582316
3660.75713462 0.03506633 0.13839172
3661.76811213 -0.06650005 0.14695069
3662.77908964 0.16376908 0.15336810
3663.79006715 0.13249549 0.15275221
3664.80104466 -0.11421824 0.14385618
3665.81202216 0.30628571 0.13116090
3666.82299967 0.04266974 0.13403825
3667.83397718 -0.19038866 0.13175164
3668.84495469 0.18118632 0.12856323
3669.85593220 -0.14305596 0.13485278
3670.86690971 0.50559121 0.14165112
3671.87788722 -0.01771784 0.13239557
3672.88886473 0.25594535 0.12506440
3673.89984224 0.05752823 0.12325278
3674.91081975 -0.15324724 0.12365155
3675.92179726 0.29323092 0.12429877
3676.93277477 0.37602431 0.13319735
3677.94375228 0.02136494 0.12431607
3678.95472979 0.03362691 0.12195061
3679.96570730 -0.16108038 0.12465080
3680.97668480 -0.10435930 0.12698065
3681.98766231 -0.18188056 0.12574874
3682.99863982 -0.28664634 0.13186778
3684.00961733 0.01109979 0.12288220
3685.02059484 -0.08315747 0.12876678
3686.03157235 -0.38360447 0.12868613
3687.04254986 0.15690398 0.11779342
3688.05352737 0.08575854 0.12157249
3689.06450488 -0.11746307 0.13097513
3690.07548239 -0.14302997 0.12963466
3691.08645990 0.39597937 0.12866697
3692.09743741 0.65140790 0.12783429
3693.10841492 -0.02401476 0.12768155
3694.11939243 -0.12722720 0.12201969
3695.13036994 0.32575172 0.11508107
3696.14134745 0.39411271 0.12426040
3697.15232495 0.16139027 0.12157536
3698.16330246 0.04753057 0.12574048
3699.17427997 0.31135330 0.13186368
3700.18525748 -0.01960524 0.12733488
3701.19623499 -0.04017856 0.12656413
3702.20721250 -0.17222944 0.13192786
3703.21819001 -0.16480060 0.12927470
3704.22916752 0.03750184 0.11484882
3705.24014503 0.26261038 0.11509643
3706.25112254 0.36520293 0.11405393
3707.26210005 0.05879281 0.11364261
3708.27307756 0.20728792 0.11639959
3709.28405507 0.06710195 0.11426457
3710.29503258 -0.11879260 0.11727650
3711.30601009 0.19770557 0.11480269
3712.31698759 0.19106363 0.11155474
3713.32796510 0.01820715 0.12148800
3714.33894261 0.30749226 0.11700600
3715.34992012 0.34566885 0.11029585
3716.36089763 0.59099513 0.11166569
3717.37187514 0.33237436 0.10826503
3718.38285265 -0.08145793 0.11508167
3719.39383016 -0.01254696 0.11726204
3720.40480767 -0.07721167 0.10568862
3721.41578518 0.16186427 0.09894670
3722.42676269 0.06314709 0.10377581
3723.43774020 -0.10153677 0.11015339
3724.44871771 -0.21983939 0.12281704
3725.45969522 -0.15805340 0.13699204
3726.47067273 0.10254517 0.12961055
3727.48165023 -0.07876898 0.13020688
3728.49262774 0.19979191 0.12372141
3729.50360525 0.32880127 0.11362635
3730.51458276 0.10380487 0.11172723
3731.52556027 -0.02205402 0.11237767
3732.53653778 -0.10086184 0.11134534
3733.54751529 -0.08081542 0.10704993
3734.55849280 0.01849273 0.11413465
3735.56947031 0.12744577 0.10397641
3736.58044782 0.02794367 0.10290170
3737.59142533 -0.04996482 0.10674626
3738.60240284 0.08362648 0.10866335
3739.61338035 -0.05706425 0.11173574
3740.62435786 0.05350667 0.11119284
3741.63533537 0.17662466 0.10995457
3742.64631288 0.08385327 0.10429420
3743.65729038 -0.10376065 0.10295055
3744.66826789 -0.16793692 0.09950832
3745.67924540 -0.16108763 0.10105044
3746.69022291 0.05315606 0.09653448
3747.70120042 0.13082124 0.09247369
3748.71217793 0.21363939 0.09593885
3749.72315544 0.05783132 0.09471983
3750.73413295 -0.13234054 0.10060997
3751.74511046 -0.05143176 0.10027982
3752.75608797 0.09700834 0.10386655
3753.76706548 0.15186642 0.09851695
3754.77804299 0.09864862 0.10547703
3755.78902050 0.29217806 0.10777109
3756.79999801 -0.02004811 0.09388196
3757.81097552 0.10642548 0.09551355
3758.82195302 -0.00211355 0.09738693
3759.83293053 -0.10438479 0.09399192
3760.84390804 0.03086802 0.08934563
3761.85488555 -0.12097094 0.09458381
3762.86586306 -0.04080498 0.09266561
3763.87684057 0.14883886 0.09082845
3764.88781808 0.16188686 0.08903600
3765.89879559 0.02463274 0.09089587
3766.90977310 -0.02417602 0.08932631
3767.92075061 0.00384882 0.08740954
3768.93172812 0.15195352 0.09072296
3769.94270563 0.18473198 0.08250402
3770.95368314 -0.01476131 0.08748957
3771.96466065 -0.11025391 0.09541644
3772.97563816 0.17268342 0.09512252
3773.98661567 0.28595203 0.09484951
3774.99759317 0.05553227 0.08924313
3776.00857068 -0.16277218 0.09630204
3777.01954819 0.06469771 0.09608438
3778.03052570 0.19314404 0.08892304
3779.04150321 0.14918810 0.09682027
3780.05248072 0.32913417 0.09190102
3781.06345823 -0.06387229 0.09094421
3782.07443574 0.04589306 0.08233409
3783.08541325 0.22105354 0.08758501
3784.09639076 0.16775540 0.09177909
3785.10736827 0.05806175 0.08953097
3786.11834578 0.00411875 0.09530742
3787.12932329 -0.03882954 0.08783513
3788.14030080 -0.05067375 0.08804192
3789.15127831 0.05675261 0.08341543
3790.16225581 0.08528041 0.08609397
3791.17323332 0.03043478 0.09122461
3792.18421083 -0.03403107 0.09468105
3793.19518834 -0.17108203 0.09119902
3794.20616585 -0.03679421 0.08755208
3795.21714336 0.02935627 0.08757938
3796.22812087 0.15793054 0.08297832
3797.23909838 0.24481766 0.08314317
3798.25007589 0.19297296 0.07857712
3799.26105340 0.08103262 0.07955910
3800.27203091 0.10747111 0.08278040
3801.28300842 0.10355727 0.08416890
3802.29398593 -0.09206052 0.08817171
3803.30496344 0.08662252 0.09290717
3804.31594095 0.29873133 0.09141671
3805.32691845 0.03414076 0.08357183
3806.33789596 0.02695305 0.08264088
3807.34887347 0.43639499 0.08720513
3808.35985098 0.29106334 0.08849866
3809.37082849 0.01050890 0.08633799
3810.38180600 0.11620997 0.08461867
3811.39278351 0.09143768 0.08140229
3812.40376102 -0.09839602 0.08581891
3813.41473853 0.15351076 0.08608693
3814.42571604 0.14739825 0.08688007
3815.43669355 -0.03215215 0.08641012
3816.44767106 0.05222890 0.08371466
3817.45864857 0.07539702 0.08830015
3818.46962608 0.02050771 0.08395929
3819.48060359 0.07144954 0.08067041
3820.49158110 0.37788409 0.08463627
3821.50255860 0.13970971 0.08238451
3822.51353611 0.08298616 0.08226150
3823.52451362 0.23694301 0.08142399
3824.53549113 0.22399932 0.08478065
3825.54646864 0.07135563 0.08060890
3826.55744615 0.29884541 0.08041091
3827.56842366 0.20463243 0.08953834
3828.57940117 -0.17422800 0.09017485
3829.59037868 0.02246647 0.08811519
3830.60135619 0.27792847 0.09149040
3831.61233370 0.21377742 0.08963980
3832.62331121 0.02396278 0.08922189
3833.63428872 0.08355797 0.08527965
3834.64526623 -0.03633588 0.08359051
3835.65624374 0.04927075 0.08553272
3836.66722124 0.04534249 0.08410205
3837.67819875 0.36512846 0.08711542
3838.68917626 0.00444698 0.08073800
3839.70015377 -0.00850532 0.08416138
3840.71113128 0.04837198 0.08191402
3841.72210879 -0.03041104 0.08751784
3842.73308630 0.05860578 0.09334219
3843.74406381 0.02606401 0.09369195
3844.75504132 0.05756053 0.09076025
3845.76601883 0.26357138 0.08788086
3846.77699634 0.10677789 0.08476578
3847.78797385 0.16608080 0.08929131
3848.79895136 0.04064484 0.08701301
3849.80992887 -0.01351343 0.08604028
3850.82090638 0.11085000 0.08380229
3851.83188388 -0.02204045 0.08545954
3852.84286139 0.03703890 0.08274692
3853.85383890 -0.07731287 0.08524136
3854.86481641 -0.13169292 0.08718072
3855.87579392 0.01546919 0.08705643
3856.88677143 0.24988493 0.08667237
3857.89774894 -0.00312945 0.08540504
3858.90872645 0.14059375 0.08164594
3859.91970396 0.04142338 0.08399229
3860.93068147 -0.15464029 0.08770634
3861.94165898 -0.05136508 0.08756156
3862.95263649 -0.02013963 0.08614353
3863.96361400 -0.24244550 0.08700617
3864.97459151 0.00887339 0.08194454
3865.98556902 0.08914474 0.08656206
3866.99654653 0.06440722 0.08510888
3868.00752403 -0.00636609 0.08153583
3869.01850154 -0.07525824 0.08272135
3870.02947905 0.28069961 0.08318285
3871.04045656 -0.03563292 0.08421709
3872.05143407 -0.01094506 0.08240502
3873.06241158 0.14690104 0.08283260
3874.07338909 -0.03359726 0.08560175
3875.08436660 -0.14253312 0.08838646
