BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                  573  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel (out of date)                
IRAF-MIN=                   0.  /  Min image pixel (out of date)                
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
OBJECT  = 'SN1989B NAR NEW TILT!!!! - APERTURE 1'  /
FILENAME= 'CTIO_60_BLUE_06FEB89'  /
3141.565405  -2.244894E-15
3149.84717  7.894850E-15
3158.128935  1.954813E-14
3166.4107  2.168254E-14
3174.692465  2.615325E-14
3182.97423  2.299507E-14
3191.255995  1.785956E-14
3199.53776  1.083574E-14
3207.819525  4.762765E-15
3216.10129  1.355184E-14
3224.383055  1.719892E-14
3232.66482  2.060160E-14
3240.946585  2.512745E-14
3249.22835  1.684474E-14
3257.510115  1.693285E-14
3265.79188  1.655097E-14
3274.073645  1.621773E-14
3282.35541  2.194886E-14
3290.637175  1.403904E-14
3298.91894  9.752901E-15
3307.200705  1.610630E-14
3315.48247  1.199417E-14
3323.764235  1.669527E-14
3332.046  2.146519E-14
3340.327765  1.890174E-14
3348.60953  1.659586E-14
3356.891295  2.346084E-14
3365.17306  3.090669E-14
3373.454825  2.373559E-14
3381.73659  2.275774E-14
3390.018355  2.493685E-14
3398.30012  2.413636E-14
3406.581885  2.261141E-14
3414.86365  3.135934E-14
3423.145415  2.649734E-14
3431.42718  2.544875E-14
3439.708945  2.767727E-14
3447.99071  2.907824E-14
3456.272475  3.090332E-14
3464.55424  3.300290E-14
3472.836005  2.932332E-14
3481.11777  2.635229E-14
3489.399535  3.423402E-14
3497.6813  3.325830E-14
3505.963065  3.248311E-14
3514.24483  3.562839E-14
3522.526595  3.659160E-14
3530.80836  3.440061E-14
3539.090125  3.419440E-14
3547.37189  3.902525E-14
3555.653655  3.924591E-14
3563.93542  3.913895E-14
3572.217185  3.853458E-14
3580.49895  4.114658E-14
3588.780715  4.218747E-14
3597.06248  4.340764E-14
3605.344245  3.914809E-14
3613.62601  3.801911E-14
3621.907775  4.094831E-14
3630.18954  3.833236E-14
3638.471305  3.984380E-14
3646.75307  4.007325E-14
3655.034835  3.728992E-14
3663.3166  3.530556E-14
3671.598365  2.919238E-14
3679.88013  2.817600E-14
3688.161895  2.616058E-14
3696.44366  2.347694E-14
3704.725425  1.916466E-14
3713.00719  1.792763E-14
3721.288955  1.670904E-14
3729.57072  1.628218E-14
3737.852485  1.563021E-14
3746.13425  1.713606E-14
3754.416015  1.787024E-14
3762.69778  1.822101E-14
3770.979545  1.951356E-14
3779.26131  2.150590E-14
3787.543075  2.061833E-14
3795.82484  2.209722E-14
3804.106605  2.122605E-14
3812.38837  1.991728E-14
3820.670135  2.331359E-14
3828.9519  2.498198E-14
3837.233665  2.646328E-14
3845.51543  2.868322E-14
3853.797195  3.129877E-14
3862.07896  3.496312E-14
3870.360725  4.023652E-14
3878.64249  4.287852E-14
3886.924255  4.635945E-14
3895.20602  4.874142E-14
3903.487785  5.211907E-14
3911.76955  5.542713E-14
3920.051315  5.302626E-14
3928.33308  5.154657E-14
3936.614845  5.270355E-14
3944.89661  5.162923E-14
3953.178375  5.514180E-14
3961.46014  5.406109E-14
3969.741905  5.158964E-14
3978.02367  4.740271E-14
3986.305435  4.517389E-14
3994.5872  4.513262E-14
4002.868965  4.307707E-14
4011.15073  4.354509E-14
4019.432495  4.444979E-14
4027.71426  4.526041E-14
4035.996025  4.679363E-14
4044.27779  4.895708E-14
4052.559555  5.038007E-14
4060.84132  5.274208E-14
4069.123085  5.544988E-14
4077.40485  5.684269E-14
4085.686615  5.723597E-14
4093.96838  5.771348E-14
4102.250145  5.754910E-14
4110.53191  5.693305E-14
4118.813675  5.743132E-14
