3882.11807498601  3.668903E-17
3885.15948517068  4.390630E-17
3888.20089535534  1.536845E-17
3891.24230554001  1.912388E-17
3894.28371572468  4.118215E-17
3897.32512590934  4.129098E-17
3900.36653609401  4.460578E-17
3903.40794627868  4.797665E-17
3906.44935646335  6.299538E-17
3909.49076664801  5.994405E-17
3912.53217683268  5.902485E-17
3915.57358701735  6.911090E-17
3918.61499720201  8.512830E-17
3921.65640738668  7.014730E-17
3924.69781757135  8.552521E-17
3927.73922775601  9.794100E-17
3930.78063794068  9.038280E-17
3933.82204812535  8.776388E-17
3936.86345831002  9.114803E-17
3939.90486849468  9.548838E-17
3942.94627867935  1.036151E-16
3945.98768886402  1.189416E-16
3949.02909904868  1.030374E-16
3952.07050923335  1.074833E-16
3955.11191941802  1.186560E-16
3958.15332960268  1.096457E-16
3961.19473978735  1.319536E-16
3964.23614997202  1.032259E-16
3967.27756015669  1.093718E-16
3970.31897034135  1.123630E-16
3973.36038052602  1.236700E-16
3976.40179071069  1.269472E-16
3979.44320089535  1.128377E-16
3982.48461108002  1.156682E-16
3985.52602126469  1.196155E-16
3988.56743144935  1.149600E-16
3991.60884163402  1.264303E-16
3994.65025181869  1.213832E-16
3997.69166200335  1.142354E-16
4000.73307218802  1.257896E-16
4003.77448237269  1.245808E-16
4006.81589255736  1.300124E-16
4009.85730274202  1.130115E-16
4012.89871292669  1.142039E-16
4015.94012311136  1.310693E-16
4018.98153329602  1.473440E-16
4022.02294348069  1.332716E-16
4025.06435366536  1.381403E-16
4028.10576385003  1.393403E-16
4031.14717403469  1.435379E-16
4034.18858421936  1.321458E-16
4037.22999440403  1.400569E-16
4040.27140458869  1.398655E-16
4043.31281477336  1.422973E-16
4046.35422495803  1.399058E-16
4049.39563514269  1.474695E-16
4052.43704532736  1.496408E-16
4055.47845551203  1.425967E-16
4058.5198656967  1.445085E-16
4061.56127588136  1.502725E-16
4064.60268606603  1.501473E-16
4067.6440962507  1.336859E-16
4070.68550643536  1.447921E-16
4073.72691662003  1.396027E-16
4076.7683268047  1.396872E-16
4079.80973698936  1.382081E-16
4082.85114717403  1.556300E-16
4085.8925573587  1.448468E-16
4088.93396754337  1.383063E-16
4091.97537772803  1.344378E-16
4095.0167879127  1.308971E-16
4098.05819809737  1.351315E-16
4101.09960828203  1.249851E-16
4104.1410184667  1.324483E-16
4107.18242865137  1.305958E-16
4110.22383883603  1.181959E-16
4113.2652490207  1.133310E-16
4116.30665920537  1.184348E-16
4119.34806939003  1.226342E-16
4122.3894795747  1.197370E-16
4125.43088975937  1.196220E-16
4128.47229994404  1.132606E-16
4131.5137101287  1.144383E-16
4134.55512031337  1.173410E-16
4137.59653049804  1.044340E-16
4140.6379406827  1.041510E-16
4143.67935086737  9.584777E-17
4146.72076105204  9.991876E-17
4149.76217123671  9.413164E-17
4152.80358142137  9.642111E-17
4155.84499160604  8.514788E-17
4158.88640179071  8.808442E-17
4161.92781197537  9.281350E-17
4164.96922216004  8.129363E-17
4168.01063234471  8.400372E-17
4171.05204252937  7.445163E-17
4174.09345271404  7.755959E-17
4177.13486289871  7.135741E-17
4180.17627308338  8.264591E-17
4183.21768326804  8.985506E-17
4186.25909345271  7.960342E-17
4189.30050363738  8.023542E-17
4192.34191382204  7.592970E-17
4195.38332400671  8.441074E-17
4198.42473419138  7.838234E-17
4201.46614437605  7.216157E-17
4204.50755456071  7.338799E-17
4207.54896474538  7.311154E-17
4210.59037493005  8.931797E-17
4213.63178511471  8.870438E-17
4216.67319529938  8.289808E-17
4219.71460548405  8.469992E-17
4222.75601566871  8.872317E-17
4225.79742585338  1.014785E-16
4228.83883603805  8.242006E-17
4231.88024622271  8.077115E-17
4234.92165640738  9.756138E-17
4237.96306659205  9.115454E-17
4241.00447677672  8.773453E-17
4244.04588696138  8.883807E-17
4247.08729714605  9.676120E-17
4250.12870733072  9.813669E-17
4253.17011751538  9.814188E-17
4256.21152770005  1.012586E-16
4259.25293788472  9.622517E-17
4262.29434806939  9.544760E-17
4265.33575825405  9.381069E-17
4268.37716843872  9.597693E-17
4271.41857862339  9.581052E-17
4274.45998880805  1.044380E-16
4277.50139899272  1.059054E-16
4280.54280917739  9.140462E-17
4283.58421936205  1.055614E-16
