4061.56127588136  2.386869E-15
4064.60268606603  2.410616E-15
4067.6440962507  2.434361E-15
4070.68550643536  2.429353E-15
4073.72691662003  2.354774E-15
4076.7683268047  2.511903E-15
4079.80973698936  2.336648E-15
4082.85114717403  2.542614E-15
4085.8925573587  2.721021E-15
4088.93396754337  2.577545E-15
4091.97537772803  2.836221E-15
4095.0167879127  2.701126E-15
4098.05819809737  2.720297E-15
4101.09960828203  2.853641E-15
4104.1410184667  2.778238E-15
4107.18242865137  2.846203E-15
4110.22383883603  2.716779E-15
4113.2652490207  2.800014E-15
4116.30665920537  2.735369E-15
4119.34806939003  2.712217E-15
4122.3894795747  2.689066E-15
4125.43088975937  2.665917E-15
4128.47229994404  2.642765E-15
4131.5137101287  2.619613E-15
4134.55512031337  2.596461E-15
4137.59653049804  2.731903E-15
4140.6379406827  2.643653E-15
4143.67935086737  2.659816E-15
4146.72076105204  2.658325E-15
4149.76217123671  2.607204E-15
4152.80358142137  2.479942E-15
4155.84499160604  2.466372E-15
4158.88640179071  2.399640E-15
4161.92781197537  2.279899E-15
4164.96922216004  2.487113E-15
4168.01063234471  2.358374E-15
4171.05204252937  2.431156E-15
4174.09345271404  2.345106E-15
4177.13486289871  2.253875E-15
4180.17627308338  2.345216E-15
4183.21768326804  2.356071E-15
4186.25909345271  2.226287E-15
4189.30050363738  2.338649E-15
4192.34191382204  2.301796E-15
4195.38332400671  2.354005E-15
4198.42473419138  2.250027E-15
4201.46614437605  2.225490E-15
4204.50755456071  2.300487E-15
4207.54896474538  2.295747E-15
4210.59037493005  2.282745E-15
4213.63178511471  2.405392E-15
4216.67319529938  2.468403E-15
4219.71460548405  2.410938E-15
4222.75601566871  2.441416E-15
4225.79742585338  2.341228E-15
4228.83883603805  2.414769E-15
4231.88024622271  2.313267E-15
4234.92165640738  2.210846E-15
4237.96306659205  2.283193E-15
4241.00447677672  2.242707E-15
4244.04588696138  2.175223E-15
4247.08729714605  2.209454E-15
4250.12870733072  2.274188E-15
4253.17011751538  2.263778E-15
4256.21152770005  2.259906E-15
4259.25293788472  1.979072E-15
4262.29434806939  1.943080E-15
4265.33575825405  2.111716E-15
4268.37716843872  1.973462E-15
4271.41857862339  1.970817E-15
4274.45998880805  1.986385E-15
4277.50139899272  2.005875E-15
4280.54280917739  1.873926E-15
4283.58421936205  1.950021E-15
4286.62562954672  1.898861E-15
4289.66703973139  1.790791E-15
4292.70844991606  1.865397E-15
4295.74986010072  1.808564E-15
4298.79127028539  1.694962E-15
4301.83268047005  1.642373E-15
4304.87409065472  1.692807E-15
4307.91550083939  1.541230E-15
4310.95691102406  1.663248E-15
4313.99832120872  1.584134E-15
4317.03973139339  1.578683E-15
4320.08114157806  1.573231E-15
4323.12255176272  1.567779E-15
4326.16396194739  1.562327E-15
4329.20537213206  1.556875E-15
4332.24678231673  1.518056E-15
4335.28819250139  1.475291E-15
4338.32960268606  1.428244E-15
4341.37101287073  1.388594E-15
4344.41242305539  1.493217E-15
4347.45383324006  1.394678E-15
4350.49524342473  1.397274E-15
