#wavelength spec_sum
4080.96 19892
4083.87 19539.5
4086.77 19661.3
4089.68 19295.3
4092.59 18941.4
4095.5 20479.5
4098.4 20470.7
4101.31 18206.5
4104.22 17636.6
4107.13 18599.8
4110.04 18454.7
4112.94 16723
4115.85 17455.9
4118.76 15739.7
4121.67 17036.4
4124.57 17221.3
4127.48 14968.3
4130.39 16702.8
4133.3 14801.1
4136.2 16562.1
4139.11 18110.7
4142.02 16026.8
4144.92 16067.4
4147.83 15670.1
4150.74 14272.5
4153.65 14666.5
4156.55 15343.9
4159.46 15597.8
4162.37 15234.4
4165.28 15604.6
4168.18 16730.8
4171.09 15541
4174 15328.5
4176.9 16281.1
4179.81 14892.4
4182.72 16802.7
4185.62 17556.2
4188.53 15408.8
4191.44 17303.5
4194.35 18229.8
4197.25 16607.6
4200.16 19112.4
4203.07 17331.7
4205.97 18867.1
4208.88 17688.2
4211.79 17759
4214.69 17295.3
4217.6 17329.6
4220.51 18221.3
4223.41 17743.6
4226.32 17078.1
4229.23 18079.7
4232.13 17819.2
4235.04 18182
4237.95 17334.2
4240.85 18490.2
4243.76 18225
4246.67 18199.2
4249.57 18131.2
4252.48 17500.8
4255.38 16697
4258.29 17456.9
4261.2 16555.9
4264.1 17053.8
4267.01 16353.4
4269.92 16962.5
4272.82 15705.1
4275.73 17151.9
4278.63 16948.4
4281.54 16008.5
4284.45 15746.7
4287.35 15972.4
4290.26 15928.7
4293.16 15371.3
4296.07 14636.7
4298.98 14640.9
4301.88 16725.9
4304.79 15719.7
4307.69 14682
4310.6 15897.8
4313.51 17052.2
4316.41 15482.3
4319.32 15539.9
4322.22 15008.5
4325.13 15689.9
4328.03 16110.3
4330.94 16024.4
4333.85 15130.1
4336.75 13551.7
4339.66 14615.6
4342.56 14061.7
4345.47 14443.1
4348.37 15199.7
4351.28 13265.4
4354.18 12703.1
4357.09 13023.7
4359.99 13580.3
4362.9 11471.1
4365.8 13436
4368.71 13180.2
4371.61 12411.1
4374.52 13291.6
4377.42 11815.8
4380.33 13560.5
4383.23 12063.1
4386.14 11471
4389.04 12235.5
4391.95 11713.8
4394.85 13647.7
4397.76 11985.1
4400.66 12445.3
4403.57 11739.4
4406.47 11463.8
4409.38 12165.6
4412.28 10700.5
4415.19 11831.1
4418.09 11440.6
4421 11959.3
4423.9 10085.9
4426.81 11828.7
4429.71 10484.9
4432.61 11080.4
4435.52 11559.2
4438.42 10549
4441.33 10585
4444.23 10265.9
4447.14 10468.7
4450.04 10801.5
4452.94 10083.2
4455.85 10194.6
4458.75 10252.9
4461.66 10199.7
4464.56 9353.55
4467.47 9752.52
4470.37 10116
4473.27 9076.51
4476.18 10377.4
4479.08 9400.09
4481.98 10876.7
4484.89 10595.9
4487.79 10362.9
4490.7 10433
4493.6 9961.54
4496.5 10279.5
4499.41 10726.5
4502.31 10993.2
4505.21 11345.2
4508.12 11039.5
4511.02 11564.2
4513.92 11109.2
4516.83 10717.9
4519.73 11410.5
4522.63 11509.7
4525.54 12204
4528.44 11582.9
4531.34 11728.9
4534.25 11523.1
4537.15 11450
4540.05 10976.1
4542.96 11261.3
4545.86 10435.5
4548.76 11828.7
4551.66 11977.5
4554.57 10756.7
4557.47 10720.8
4560.37 10098.8
4563.28 10850
4566.18 10198.6
4569.08 10159.3
4571.98 10824.1
4574.89 9672.02
4577.79 9930.16
4580.69 9976.9
4583.59 12295.8
4586.5 10383.1
4589.4 10431.4
4592.3 10073.3
4595.2 11419.2
4598.11 10852.1
4601.01 11642.6
4603.91 10107.7
4606.81 11081
4609.71 10645.7
4612.62 11647.6
4615.52 11469.6
4618.42 10517.6
4621.32 11977.6
4624.22 11178.7
4627.13 11173.8
4630.03 10953.4
4632.93 11615.1
4635.83 11777.7
4638.73 12511.3
4641.63 10919.9
4644.54 11751.3
4647.44 11931.5
4650.34 12479.2
4653.24 11558.5
4656.14 10149.3
4659.04 12433.3
4661.94 12801.2
4664.85 12549.4
4667.75 11380.9
4670.65 11807.4
4673.55 12152
4676.45 11061.5
4679.35 11932.1
4682.25 12299.8
4685.15 11417.5
4688.05 12218.5
4690.95 11400
4693.86 10980.7
4696.76 11511.3
4699.66 11511.9
4702.56 11298
4705.46 11573.9
4708.36 12067.8
4711.26 11059.1
4714.16 11043.3
4717.06 10962.5
4719.96 11037.9
4722.86 11325.2
4725.76 11070.3
4728.66 10575.2
4731.56 10863
4734.46 11011.9
4737.36 11202.5
4740.26 11344.3
4743.16 10497.3
4746.06 11533.2
4748.96 9797.36
4751.86 10599.4
4754.76 11079
4757.66 10498.5
4760.56 10788.3
4763.46 11121.2
4766.36 10160.9
4769.26 9998.32
4772.16 10684.5
4775.06 11122.9
4777.96 11442.9
4780.86 10714
4783.76 11018.6
4786.66 11103.5
4789.55 10256.3
4792.45 9834.58
4795.35 10381.2
4798.25 9664.13
4801.15 9892.19
4804.05 9978.23
