# Wavelength(angstroms) flux flux_err
3464.5849609375 -1.2823166937522829e-16 1.0599257449960532e-16 
3466.0558705329895 -1.7038454192802436e-16 1.1214500492943183e-16 
3467.526780128479 1.2901893356014196e-16 1.1296019473182529e-16 
3468.9976897239685 8.07920803868139e-17 1.1059699266132049e-16 
3470.468599319458 -1.216864207986677e-16 1.1054607142281172e-16 
3471.9395089149475 4.4777248629908364e-17 1.1220028706412997e-16 
3473.410418510437 1.5532147709431532e-16 1.1354009466333926e-16 
3474.8813281059265 2.2229318262527084e-16 1.19753650431711e-16 
3476.352237701416 1.0594786042441315e-16 1.153815045860007e-16 
3477.8231472969055 2.2627078978857293e-18 1.1219511222221784e-16 
3479.294056892395 2.5227322557906716e-16 1.2543446218092917e-16 
3480.7649664878845 6.828348825101152e-17 1.236097414543066e-16 
3482.235876083374 -2.888739361289542e-17 1.201985280174767e-16 
3483.7067856788635 1.7035427373504982e-16 1.2178504719746362e-16 
3485.177695274353 1.2511084265551882e-16 1.2340147722840044e-16 
3486.6486048698425 5.2596586960372134e-17 1.240542749329375e-16 
3488.119514465332 7.376502888194322e-17 1.2697198579887333e-16 
3489.5904240608215 3.3639853943200434e-17 1.2182906644094124e-16 
3491.061333656311 4.8764513954042624e-17 1.212872300524945e-16 
3492.5322432518005 1.0209933314133873e-17 1.2373531408873704e-16 
3494.00315284729 1.6837199164534814e-16 1.244382720256193e-16 
3495.4740624427795 2.8505099188786483e-16 1.247486566612288e-16 
3496.944972038269 5.83777820400073e-17 1.2289918669067864e-16 
3498.4158816337585 -3.241291480770176e-16 1.258608770954227e-16 
3499.886791229248 -5.412144478877689e-17 1.2054022640235502e-16 
3501.3577008247375 3.430169769491636e-17 1.2293384886706706e-16 
3502.828610420227 7.771689418458266e-17 1.2229844180772833e-16 
3504.2995200157166 -5.297729518293844e-18 1.1751171303900647e-16 
3505.770429611206 2.0202973254211442e-17 1.1872188489261645e-16 
3507.2413392066956 6.600791438587814e-17 1.1805890955782255e-16 
3508.712248802185 2.43666603211355e-16 1.170116194929916e-16 
