# wavelength(um) flux(mJy)
6.018022760438630492e-01 2.787867999999999943e-02
6.061403744898560264e-01 2.642867000000000133e-02
6.105671752423630361e-01 2.592811999999999895e-02
6.150881787541163659e-01 2.958358000000000168e-02
6.197074508094911893e-01 3.548631000000000008e-02
6.244270633368954604e-01 5.404699000000000308e-02
6.292481442522336321e-01 9.827627999999999364e-02
6.341732783186366795e-01 1.255419999999999869e-01
6.392059629158027834e-01 9.461587999999999943e-02
6.443496722970437629e-01 6.576692000000000649e-02
6.496081752386130281e-01 6.425852999999999426e-02
6.549882842793762761e-01 6.307962999999999765e-02
6.604925986499017299e-01 6.190074000000000271e-02
6.661272324449801774e-01 6.072185000000000082e-02
6.718921115785755349e-01 3.702695000000000292e-02
6.777904904755805982e-01 3.037101000000000037e-02
6.838255783844507940e-01 2.639895000000000089e-02
6.900052702110124336e-01 2.741288999999999879e-02
6.963449448724202684e-01 3.795252999999999821e-02
7.028362559026869461e-01 5.950427999999999967e-02
7.094787506418843703e-01 1.404639000000000026e-01
7.162997350313973222e-01 3.386466000000000198e-01
7.232880343721809213e-01 6.112165000000000514e-01
7.304469258607607651e-01 6.444520999999999722e-01
7.378012695092587281e-01 4.570037000000000127e-01
7.453321254613483049e-01 3.024348000000000036e-01
7.530704878506492284e-01 1.888614000000000126e-01
7.610025171107276387e-01 1.007900000000000046e-01
7.691445286493037159e-01 7.526723999999999914e-02
7.775078856759072288e-01 6.675061000000000189e-02
7.860861505624398005e-01 5.793289000000000077e-02
7.948944091092214892e-01 5.984774999999999817e-02
8.039424677844780875e-01 6.434655999999999709e-02
8.132349901570602446e-01 7.352406999999999693e-02
8.227765747463345880e-01 7.013231999999999799e-02
8.325754840954449065e-01 5.533595999999999654e-02
8.426393669963093691e-01 6.241337999999999747e-02
8.529752370940631989e-01 8.650265999999999511e-02
8.635894543293415326e-01 1.354135999999999951e-01
8.744896353738690342e-01 1.712478000000000056e-01
8.856839469404410581e-01 1.454661999999999900e-01
8.971811933296516273e-01 1.323622999999999883e-01
9.089777911484536732e-01 1.263449000000000100e-01
9.210887257591536814e-01 1.488093000000000055e-01
9.335156665577292179e-01 1.757508999999999877e-01
