4009.85730274202  5.272014E-17
4012.89871292669  5.900928E-17
4015.94012311136  6.902517E-17
4018.98153329602  6.147776E-17
4022.02294348069  5.907609E-17
4025.06435366536  6.228838E-17
4028.10576385003  7.856935E-17
4031.14717403469  6.980780E-17
4034.18858421936  6.336892E-17
4037.22999440403  7.017269E-17
4040.27140458869  5.882020E-17
4043.31281477336  6.267276E-17
4046.35422495803  7.609521E-17
4049.39563514269  6.367276E-17
4052.43704532736  6.469746E-17
4055.47845551203  8.254433E-17
4058.5198656967  7.822724E-17
4061.56127588136  8.191700E-17
4064.60268606603  8.545342E-17
4067.6440962507  7.858865E-17
4070.68550643536  7.792906E-17
4073.72691662003  8.474707E-17
4076.7683268047  8.345259E-17
4079.80973698936  8.157911E-17
4082.85114717403  8.466001E-17
4085.8925573587  7.642872E-17
4088.93396754337  7.510513E-17
4091.97537772803  7.781518E-17
4095.0167879127  8.081496E-17
4098.05819809737  8.558858E-17
4101.09960828203  8.554698E-17
4104.1410184667  7.682566E-17
4107.18242865137  8.379586E-17
4110.22383883603  8.816178E-17
4113.2652490207  7.380197E-17
4116.30665920537  7.430573E-17
4119.34806939003  7.480949E-17
4122.3894795747  7.531325E-17
4125.43088975937  7.581693E-17
4128.47229994404  7.632069E-17
4131.5137101287  7.530492E-17
4134.55512031337  7.049381E-17
4137.59653049804  7.182028E-17
4140.6379406827  7.057134E-17
4143.67935086737  7.041973E-17
4146.72076105204  6.780742E-17
4149.76217123671  7.448352E-17
4152.80358142137  7.556973E-17
4155.84499160604  6.581528E-17
4158.88640179071  6.652472E-17
4161.92781197537  6.682418E-17
4164.96922216004  6.812647E-17
4168.01063234471  6.227812E-17
4171.05204252937  6.234882E-17
4174.09345271404  5.904133E-17
4177.13486289871  5.729848E-17
4180.17627308338  5.807355E-17
4183.21768326804  5.455629E-17
4186.25909345271  4.778830E-17
4189.30050363738  5.366928E-17
4192.34191382204  5.573841E-17
4195.38332400671  4.395616E-17
4198.42473419138  4.578271E-17
4201.46614437605  4.194852E-17
4204.50755456071  4.089053E-17
4207.54896474538  3.975930E-17
4210.59037493005  4.517182E-17
4213.63178511471  3.863169E-17
4216.67319529938  4.064258E-17
4219.71460548405  4.222400E-17
4222.75601566871  4.301295E-17
4225.79742585338  4.561788E-17
4228.83883603805  4.054615E-17
4231.88024622271  4.333724E-17
4234.92165640738  4.177427E-17
4237.96306659205  4.353567E-17
4241.00447677672  4.373444E-17
4244.04588696138  3.962335E-17
4247.08729714605  4.614760E-17
4250.12870733072  4.322621E-17
4253.17011751538  4.424269E-17
4256.21152770005  4.889016E-17
4259.25293788472  4.158107E-17
4262.29434806939  4.461976E-17
4265.33575825405  4.987565E-17
4268.37716843872  4.809535E-17
4271.41857862339  4.284251E-17
4274.45998880805  4.426008E-17
4277.50139899272  3.720011E-17
4280.54280917739  4.251016E-17
4283.58421936205  4.743799E-17
4286.62562954672  5.138242E-17
4289.66703973139  4.882203E-17
4292.70844991606  4.581343E-17
4295.74986010072  4.643081E-17
4298.79127028539  5.416867E-17
4301.83268047005  6.051536E-17
4304.87409065472  5.723361E-17
4307.91550083939  5.763277E-17
4310.95691102406  4.997990E-17
4313.99832120872  4.907976E-17
4317.03973139339  4.840370E-17
4320.08114157806  5.076445E-17
4323.12255176272  5.022458E-17
4326.16396194739  4.772601E-17
4329.20537213206  5.113836E-17
4332.24678231673  5.509330E-17
4335.28819250139  5.109557E-17
4338.32960268606  5.035286E-17
4341.37101287073  5.180631E-17
4344.41242305539  5.246924E-17
4347.45383324006  5.263490E-17
4350.49524342473  5.056019E-17
4353.53665360939  5.950162E-17
4356.57806379406  5.854698E-17
4359.61947397873  5.273832E-17
4362.6608841634  5.193737E-17
4365.70229434806  6.057311E-17
4368.74370453273  5.570850E-17
4371.7851147174  5.443863E-17
4374.82652490206  5.516217E-17
4377.86793508673  5.561053E-17
4380.9093452714  5.507332E-17
4383.95075545607  5.414372E-17
4386.99216564073  6.006680E-17
4390.0335758254  5.180685E-17
4393.07498601007  5.576127E-17
4396.11639619473  5.784897E-17
4399.1578063794  5.654149E-17
4402.19921656407  5.503095E-17
4405.24062674873  4.750877E-17
4408.2820369334  5.412358E-17
4411.32344711807  5.403364E-17
4414.36485730273  5.608854E-17
4417.4062674874  5.719329E-17
4420.44767767207  5.410268E-17
4423.48908785674  5.634524E-17
4426.5304980414  5.528969E-17
4429.57190822607  5.456829E-17
4432.61331841074  6.320932E-17
4435.6547285954  6.146471E-17
4438.69613878007  5.895010E-17
4441.73754896474  5.717565E-17
4444.77895914941  5.223016E-17
4447.82036933407  5.827101E-17
4450.86177951874  5.575175E-17
4453.90318970341  5.959466E-17
4456.94459988807  5.637925E-17
4459.98601007274  5.943080E-17
4463.02742025741  6.397957E-17
4466.06883044207  5.875349E-17
4469.11024062674  6.026459E-17
4472.15165081141  5.548531E-17
4475.19306099608  4.928428E-17
4478.23447118074  4.712240E-17
4481.27588136541  5.312923E-17
4484.31729155008  5.735838E-17
4487.35870173474  4.950707E-17
4490.40011191941  5.277023E-17
4493.44152210408  5.453113E-17
4496.48293228874  5.011519E-17
4499.52434247341  4.999459E-17
4502.56575265808  5.208620E-17
4505.60716284275  4.764588E-17
4508.64857302741  4.766481E-17
4511.68998321208  4.488390E-17
4514.73139339675  4.368939E-17
4517.77280358141  4.359241E-17
4520.81421376608  4.896632E-17
4523.85562395075  3.914189E-17
4526.89703413541  4.268701E-17
4529.93844432008  4.187263E-17
4532.97985450475  4.482138E-17
4536.02126468941  4.753439E-17
4539.06267487408  4.027229E-17
4542.10408505875  4.287884E-17
4545.14549524342  3.781054E-17
4548.18690542808  3.750010E-17
4551.22831561275  3.558611E-17
4554.26972579742  4.048504E-17
4557.31113598208  3.593957E-17
4560.35254616675  3.275310E-17
4563.39395635142  3.848875E-17
4566.43536653609  3.113472E-17
4569.47677672075  2.925309E-17
4572.51818690542  3.502930E-17
4575.55959709009  3.579184E-17
4578.60100727475  3.261591E-17
4581.64241745942  2.808815E-17
4584.68382764409  2.740440E-17
4587.72523782875  3.318657E-17
4590.76664801342  3.833263E-17
4593.80805819809  2.977165E-17
4596.84946838276  3.587949E-17
4599.89087856742  3.782449E-17
4602.93228875209  3.255678E-17
4605.97369893676  3.448120E-17
