        wavelength                   f_lam                  e_lam              telcor
------------------ ----------------------- ---------------------- -------------------
            3650.0   2.783575759108567e-17  6.860997887390403e-17  0.9999999999999998
            3650.7  -5.770273027965237e-18  6.787089293763257e-17  1.0000000000000002
3651.3999999999996   1.834290474395656e-17  6.737399120469927e-17                 1.0
3652.0999999999995  -1.719219240585839e-17  6.565127013177342e-17                 1.0
3652.7999999999993  1.0659001935065307e-18   6.63149751324676e-17                 1.0
 3653.499999999999   7.369072601458797e-18  6.625731897375564e-17                 1.0
 3654.199999999999   7.644503030163602e-18  6.654599019917243e-17                 1.0
3654.8999999999987   7.026981541190708e-18  6.588473253230193e-17                 1.0
3655.5999999999985  2.4786240989307337e-17  6.492172732849184e-17                 1.0
3656.2999999999984   3.854529310093416e-18  6.393959787551307e-17                 1.0
 3656.999999999998    6.57112604043766e-17  6.572767741831949e-17                 1.0
 3657.699999999998   9.670771827121252e-18  6.517766468623813e-17                 1.0
 3658.399999999998  1.0322764988198855e-17   6.48110387853674e-17                 1.0
3659.0999999999976    4.90912663577773e-18  6.427189113625896e-17                 1.0
3659.7999999999975   3.395690081172338e-17  6.511495764529448e-17                 1.0
3660.4999999999973  1.0497489732731471e-17   6.37883448003329e-17                 1.0
 3661.199999999997  -9.574138630491392e-19  6.308606814355435e-17                 1.0
 3661.899999999997  1.0184191346703431e-17  6.268396338902984e-17                 1.0
3662.5999999999967   5.024765441451184e-17  6.333087361754348e-17                 1.0
3663.2999999999965  -9.136571814771388e-18  6.204719820102533e-17                 1.0
3663.9999999999964   3.817795646368246e-17  6.177053628775881e-17                 1.0
 3664.699999999996  1.4677671035184203e-18  6.146440397705133e-17                 1.0
 3665.399999999996  1.1665716054392543e-17   6.17685558515177e-17                 1.0
 3666.099999999996  -6.170094984712452e-17  5.964461505557968e-17                 1.0
3666.7999999999956  -4.525595670526595e-18  5.962360194787553e-17                 1.0
3667.4999999999955 -1.8440851706537436e-17  5.952511782183418e-17                 1.0
3668.1999999999953  -2.075687830927417e-17  5.860585279462654e-17                 1.0
 3668.899999999995 -1.2906816669159445e-17  5.882503549168648e-17                 1.0
 3669.599999999995  1.1279332891858899e-17  5.902706048311911e-17                 1.0
3670.2999999999947   9.601167428876044e-18  5.877681342018937e-17                 1.0
3670.9999999999945  5.8180846397935084e-18   5.84169733500949e-17                 1.0
3671.6999999999944  -2.863157193717523e-17  5.765727812031847e-17                 1.0
 3672.399999999994  -2.794894967016876e-17  5.699632489104173e-17                 1.0
 3673.099999999994 -4.3873955552362083e-17  5.710609895257783e-17                 1.0
 3673.799999999994  1.6190946378404941e-18  5.777105614717461e-17                 1.0
3674.4999999999936  -1.907519273191494e-17  5.696174336932167e-17                 1.0
3675.1999999999935   7.140420287342144e-19  5.685267822761196e-17                 1.0
3675.8999999999933 -4.3593588728809185e-17  5.649048318031598e-17                 1.0
 3676.599999999993 -1.1349044289219673e-17  5.586866496825777e-17                 1.0
 3677.299999999993   -5.75029130488848e-18  5.551178733226199e-17                 1.0
3677.9999999999927  -3.846558445045566e-18  5.518667826552631e-17                 1.0
3678.6999999999925 -4.6570222193417826e-17  5.544697679330589e-17                 1.0
3679.3999999999924  4.5847303839170304e-17  5.578754544650194e-17                 1.0
 3680.099999999992 -1.1418047168426206e-17 5.4983413454936905e-17                 1.0
 3680.799999999992   7.030702419409862e-18 5.4532287992356505e-17                 1.0
 3681.499999999992  -1.446452886200891e-17 5.4470960283050904e-17                 1.0
3682.1999999999916 -1.7432893691593004e-17 5.4380925537903225e-17                 1.0
3682.8999999999915  -9.290106517852101e-18  5.396363073177756e-17                 1.0
3683.5999999999913 -2.8211463834559424e-18   5.38942080367829e-17                 1.0
 3684.299999999991 -2.4049507575513242e-17  5.447479630799178e-17                 1.0
 3684.999999999991 -1.1401463095155242e-17   5.35365033563578e-17                 1.0
3685.6999999999907  -4.454827436445629e-17 5.3146387110283517e-17                 1.0
3686.3999999999905  2.1579207747254835e-17   5.35920418521561e-17                 1.0
3687.0999999999904  1.6246203202433198e-17 5.3596625676123945e-17                 1.0
  3687.79999999999   2.681692871621332e-17  5.382981612505673e-17                 1.0
  3688.49999999999 -2.6726321068654712e-17 5.2881231097354487e-17                 1.0
  3689.19999999999 -2.2206422250561493e-17 5.2904256340354955e-17                 1.0
3689.8999999999896    -1.4170833711148e-17 5.2747006180403644e-17                 1.0
3690.5999999999894 -2.7390567777997448e-17  5.258436915924695e-17                 1.0
3691.2999999999893  3.7768686022044834e-17  5.363191995469204e-17                 1.0
 3691.999999999989   8.779737174811914e-17 5.3817888961470235e-17                 1.0
 3692.699999999989   3.549868784841627e-17 5.2503275140548745e-17                 1.0
3693.3999999999887   4.931484813887767e-17 5.2844612214006054e-17                 1.0
3694.0999999999885 -1.2143145027061169e-17  5.217819998918582e-17                 1.0
3694.7999999999884   8.866798016555522e-18  5.192973319316223e-17                 1.0
 3695.499999999988   5.283951087647487e-17  5.185522600363837e-17                 1.0
 3696.199999999988 -2.3272889229888325e-17  5.066899461752973e-17                 1.0
 3696.899999999988 -2.5203732387014924e-17  5.034866378296473e-17                 1.0
3697.5999999999876  -3.418356343466106e-17 5.0890607292896607e-17                 1.0
3698.2999999999874  -2.993306295253994e-17  5.165835547825149e-17                 1.0
3698.9999999999873  -2.794589262807453e-17 5.1727692343185934e-17                 1.0
 3699.699999999987   1.063424408518369e-17   5.23232876596535e-17                 1.0
 3700.399999999987   2.866424371893214e-19 5.1528998496875155e-17                 1.0
3701.0999999999867  1.6697607910983692e-17 5.2041916821251816e-17                 1.0
3701.7999999999865  -9.570170495855833e-18  5.122080926110224e-17                 1.0
3702.4999999999864 -1.9292816264307678e-17 5.0497801057695756e-17                 1.0
 3703.199999999986   5.137469869340176e-17 5.1902810968830044e-17                 1.0
 3703.899999999986  1.1811093130055344e-17  5.100305662301026e-17                 1.0
 3704.599999999986  1.3682059834407021e-17  5.116133239505646e-17                 1.0
3705.2999999999856  -2.614495267741556e-17 5.0470589985450455e-17                 1.0
3705.9999999999854  -1.521661252224414e-17  4.950673470329241e-17                 1.0
3706.6999999999853  -9.752682532047915e-18  4.981224642203222e-17                 1.0
 3707.399999999985  -1.497387196749952e-17 5.1323048089519983e-17                 1.0
 3708.099999999985 -1.2347796450110364e-19  5.122154950211247e-17                 1.0
3708.7999999999847  -3.608572698258169e-17 5.0564155340204955e-17                 1.0
3709.4999999999845 -5.0996116989501243e-17 5.0105690092429114e-17                 1.0
3710.1999999999844 -2.1625573142757156e-17  5.077997843754939e-17                 1.0
 3710.899999999984   5.599672960013636e-17 5.1600792592796514e-17                 1.0
 3711.599999999984   3.856337614833763e-17  5.114688867770959e-17                 1.0
 3712.299999999984 -2.0093743134395063e-17  4.970352125222275e-17                 1.0
3712.9999999999836  2.2201078317717094e-17  5.032363309792502e-17                 1.0
3713.6999999999834  -7.598781810612994e-18 4.9937284956678304e-17                 1.0
3714.3999999999833  -7.683218853170545e-18  4.953255937147281e-17                 1.0
 3715.099999999983  -3.036833497367235e-18  4.874900381066631e-17                 1.0
 3715.799999999983   7.658303279551815e-18  4.875598873193885e-17                 1.0
3716.4999999999827 -1.5100578850854476e-17  4.828314868527067e-17                 1.0
3717.1999999999825  3.7858036570634416e-17  4.918114383188527e-17                 1.0
3717.8999999999824 -1.3553255843483088e-17 4.8570749184590425e-17                 1.0
 3718.599999999982   4.700734379814074e-19 4.8090681600408504e-17                 1.0
 3719.299999999982 -1.2812139251121291e-18  4.818011914538707e-17                 1.0
