# TELESCOPE = Liverpool Telescope
# INSTRUMENT = SPRAT
# PROPOSAL = PL22A20b
# OBJECT = 2022eqk
# RA = 15:37:57.89
# DEC = -3:39:51.80
# DATE-OBS = 2022-03-11T04:47:27.637
# MJD-OBS = 59649.199625
# EXPTIME-OBS = 1800.0s
# AIRMASS-OBS = 1.21258
# SEEING-OBS = 1.382357
# wl fl
# [A] [erg/s/cm2/A]
4020.000000 4.46751e-16
4029.200000 1.58026e-16
4038.400000 9.81693e-17
4047.600000 1.52946e-16
4056.800000 5.97243e-17
4066.000000 2.69204e-16
4075.200000 1.81595e-16
4084.400000 2.94521e-16
4093.600000 1.65628e-16
4102.800000 3.44112e-16
4112.000000 1.78153e-16
4121.200000 2.47307e-16
4130.400000 2.7778e-16
4139.600000 2.87819e-16
4148.800000 2.33306e-16
4158.000000 1.77294e-16
4167.200000 2.33358e-16
4176.400000 2.93872e-16
4185.600000 1.9867e-16
4194.800000 2.44963e-16
4204.000000 1.50707e-16
4213.200000 2.58474e-16
4222.400000 1.6981e-16
4231.600000 2.58669e-16
4240.800000 1.30898e-16
4250.000000 1.67785e-16
4259.200000 1.7031e-16
4268.400000 2.10554e-16
4277.600000 2.41494e-16
4286.800000 2.44126e-16
4296.000000 2.23216e-16
4305.200000 2.64016e-16
4314.400000 3.01622e-16
4323.600000 2.45779e-16
4332.800000 2.25359e-16
4342.000000 3.47135e-16
4351.200000 2.95395e-16
4360.400000 2.35598e-16
4369.600000 2.50903e-16
4378.800000 2.24176e-16
4388.000000 2.31436e-16
4397.200000 2.56522e-16
4406.400000 2.28514e-16
4415.600000 2.51792e-16
4424.800000 2.55209e-16
4434.000000 2.6978e-16
4443.200000 2.46524e-16
4452.400000 2.25273e-16
4461.600000 2.53391e-16
4470.800000 2.21795e-16
4480.000000 2.35529e-16
4489.200000 1.83824e-16
4498.400000 1.89077e-16
4507.600000 2.53475e-16
4516.800000 1.80973e-16
4526.000000 1.73688e-16
4535.200000 1.72489e-16
4544.400000 1.5826e-16
4553.600000 1.54203e-16
4562.800000 1.1852e-16
4572.000000 1.71454e-16
4581.200000 1.84299e-16
4590.400000 1.96058e-16
4599.600000 2.36947e-16
4608.800000 1.80429e-16
4618.000000 1.96006e-16
4627.200000 1.87675e-16
4636.400000 1.96675e-16
4645.600000 2.13367e-16
4654.800000 2.21637e-16
4664.000000 2.00863e-16
4673.200000 2.19053e-16
4682.400000 2.02555e-16
4691.600000 2.10964e-16
4700.800000 2.21409e-16
4710.000000 2.17199e-16
4719.200000 1.90808e-16
4728.400000 2.25909e-16
4737.600000 2.48356e-16
4746.800000 2.20822e-16
4756.000000 2.62331e-16
4765.200000 2.39556e-16
4774.400000 2.84566e-16
4783.600000 2.54082e-16
4792.800000 2.56948e-16
4802.000000 2.61227e-16
4811.200000 2.52206e-16
4820.400000 2.20328e-16
4829.600000 2.10178e-16
4838.800000 2.60696e-16
4848.000000 2.15504e-16
4857.200000 2.26846e-16
4866.400000 2.55455e-16
4875.600000 2.56193e-16
4884.800000 2.60675e-16
4894.000000 2.52339e-16
4903.200000 2.36707e-16
4912.400000 2.68571e-16
4921.600000 2.33824e-16
4930.800000 2.03481e-16
4940.000000 2.51353e-16
4949.200000 1.97255e-16
4958.400000 2.21983e-16
4967.600000 2.09222e-16
4976.800000 2.29806e-16
4986.000000 2.03954e-16
4995.200000 2.33685e-16
5004.400000 2.39424e-16
5013.600000 2.25568e-16
5022.800000 1.88218e-16
5032.000000 1.9269e-16
5041.200000 2.0903e-16
5050.400000 2.11166e-16
5059.600000 2.02861e-16
5068.800000 1.83665e-16
5078.000000 2.1434e-16
5087.200000 1.87114e-16
5096.400000 2.12162e-16
5105.600000 2.48677e-16
5114.800000 2.02788e-16
5124.000000 1.87356e-16
5133.200000 1.88776e-16
5142.400000 1.63782e-16
5151.600000 1.5469e-16
5160.800000 1.7092e-16
5170.000000 1.6434e-16
5179.200000 1.9266e-16
5188.400000 1.86049e-16
5197.600000 1.77408e-16
5206.800000 1.98395e-16
5216.000000 1.6885e-16
5225.200000 2.06944e-16
5234.400000 2.18778e-16
5243.600000 1.84244e-16
5252.800000 2.13582e-16
5262.000000 2.13538e-16
5271.200000 1.98569e-16
5280.400000 1.80384e-16
5289.600000 1.95689e-16
5298.800000 1.89822e-16
5308.000000 1.92301e-16
5317.200000 1.97492e-16
5326.400000 1.96577e-16
5335.600000 2.03245e-16
5344.800000 1.90976e-16
5354.000000 2.15247e-16
5363.200000 2.3726e-16
5372.400000 2.13066e-16
5381.600000 2.14283e-16
5390.800000 2.28217e-16
5400.000000 2.45647e-16
5409.200000 2.27474e-16
5418.400000 2.13328e-16
5427.600000 2.41593e-16
5436.800000 2.33136e-16
5446.000000 2.23872e-16
5455.200000 2.29952e-16
5464.400000 2.25339e-16
5473.600000 2.17283e-16
5482.800000 1.97819e-16
5492.000000 2.26989e-16
5501.200000 2.34139e-16
5510.400000 2.67216e-16
5519.600000 2.35515e-16
5528.800000 2.54463e-16
5538.000000 2.57933e-16
5547.200000 2.35214e-16
5556.400000 2.17986e-16
5565.600000 2.10416e-16
5574.800000 2.09854e-16
5584.000000 2.17806e-16
5593.200000 1.98657e-16
5602.400000 2.15474e-16
5611.600000 2.07687e-16
5620.800000 2.05574e-16
5630.000000 2.17965e-16
5639.200000 2.10425e-16
5648.400000 1.98094e-16
5657.600000 2.17601e-16
5666.800000 2.27737e-16
5676.000000 2.17212e-16
5685.200000 2.28654e-16
5694.400000 2.18807e-16
5703.600000 2.03949e-16
5712.800000 2.25558e-16
5722.000000 2.07272e-16
5731.200000 2.18022e-16
5740.400000 2.0499e-16
5749.600000 2.14351e-16
5758.800000 1.94752e-16
5768.000000 1.87465e-16
5777.200000 2.02737e-16
5786.400000 1.8801e-16
5795.600000 2.02414e-16
5804.800000 1.72584e-16
5814.000000 2.07276e-16
5823.200000 2.10949e-16
5832.400000 1.98589e-16
5841.600000 2.10897e-16
5850.800000 2.4928e-16
5860.000000 2.33642e-16
5869.200000 2.68928e-16
5878.400000 2.58484e-16
5887.600000 2.32037e-16
5896.800000 2.31319e-16
5906.000000 2.4546e-16
5915.200000 2.33425e-16
5924.400000 2.39255e-16
5933.600000 2.15691e-16
5942.800000 1.59528e-16
5952.000000 2.13474e-16
5961.200000 2.42256e-16
5970.400000 2.45204e-16
5979.600000 2.58873e-16
5988.800000 2.55515e-16
5998.000000 2.4134e-16
6007.200000 2.65864e-16
6016.400000 2.33213e-16
6025.600000 2.66245e-16
6034.800000 2.61364e-16
6044.000000 2.28775e-16
6053.200000 2.21711e-16
6062.400000 2.31768e-16
6071.600000 2.26761e-16
6080.800000 2.40925e-16
6090.000000 2.33172e-16
6099.200000 2.16456e-16
6108.400000 2.14749e-16
6117.600000 2.27363e-16
6126.800000 2.2433e-16
6136.000000 2.25649e-16
6145.200000 2.23621e-16
6154.400000 2.39062e-16
6163.600000 2.28689e-16
6172.800000 2.34962e-16
6182.000000 2.18588e-16
6191.200000 2.21065e-16
6200.400000 2.28707e-16
6209.600000 2.54728e-16
6218.800000 2.34875e-16
6228.000000 2.54047e-16
6237.200000 2.43459e-16
6246.400000 2.26817e-16
6255.600000 2.40088e-16
6264.800000 2.3965e-16
6274.000000 2.22361e-16
6283.200000 2.44089e-16
6292.400000 2.44266e-16
6301.600000 2.43824e-16
6310.800000 2.44387e-16
6320.000000 2.70205e-16
6329.200000 2.57332e-16
6338.400000 2.40242e-16
6347.600000 2.56115e-16
6356.800000 2.26362e-16
6366.000000 2.60043e-16
6375.200000 2.36133e-16
6384.400000 2.40988e-16
6393.600000 2.13437e-16
6402.800000 2.31337e-16
6412.000000 2.26614e-16
6421.200000 2.29609e-16
6430.400000 2.32521e-16
6439.600000 2.13407e-16
6448.800000 2.03621e-16
6458.000000 1.92486e-16
6467.200000 2.0242e-16
6476.400000 1.96635e-16
6485.600000 1.54951e-16
6494.800000 1.92165e-16
6504.000000 1.83153e-16
6513.200000 1.99493e-16
6522.400000 1.75697e-16
6531.600000 1.89283e-16
6540.800000 1.65313e-16
6550.000000 1.85171e-16
6559.200000 1.77304e-16
6568.400000 1.73692e-16
6577.600000 2.09672e-16
6586.800000 1.82313e-16
6596.000000 2.02554e-16
6605.200000 2.21571e-16
6614.400000 1.88336e-16
6623.600000 2.22809e-16
6632.800000 2.04985e-16
6642.000000 3.31532e-16
6651.200000 2.38106e-16
6660.400000 2.80177e-16
6669.600000 2.34415e-16
6678.800000 2.14423e-16
6688.000000 2.07726e-16
6697.200000 2.20787e-16
6706.400000 2.11335e-16
6715.600000 2.31317e-16
6724.800000 2.30451e-16
6734.000000 2.26885e-16
6743.200000 2.3248e-16
6752.400000 2.19086e-16
6761.600000 2.48218e-16
6770.800000 2.40872e-16
6780.000000 2.40203e-16
6789.200000 2.14294e-16
6798.400000 2.07702e-16
6807.600000 2.43835e-16
6816.800000 2.64447e-16
6826.000000 2.26343e-16
6835.200000 2.46462e-16
6844.400000 2.33784e-16
6853.600000 2.22162e-16
6862.800000 2.14163e-16
6872.000000 1.76208e-16
6881.200000 1.83406e-16
