#PI: Shappee 
#OBJECT: ASASSN-14lp 
#JD: 2457091.87876 
# 
#Angstrom    Flux(erg/s/cm**2/Angstrom) 
3959.8 4.1008645e-15 
3961.2 4.355005e-15 
3962.6 4.65261e-15 
3964.0 4.1122653e-15 
3965.4 3.3627741e-15 
3966.8 3.9959653e-15 
3968.2 3.3872984e-15 
3969.6 3.3979236e-15 
3970.9 3.8006706e-15 
3972.3 4.2467746e-15 
3973.7 4.3332191e-15 
3975.1 3.6716688e-15 
3976.5 4.0847049e-15 
3977.9 4.0964904e-15 
3979.3 4.0630161e-15 
3980.7 3.660443e-15 
3982.1 3.9534427e-15 
3983.5 3.6791838e-15 
3984.9 3.9156097e-15 
3986.3 3.9653266e-15 
3987.7 3.6226662e-15 
3989.1 3.937586e-15 
3990.4 3.5334858e-15 
3991.8 3.7352401e-15 
3993.2 4.0322777e-15 
3994.6 4.0257249e-15 
3996.0 4.3153856e-15 
3997.4 3.7031471e-15 
3998.8 3.3809961e-15 
4000.2 3.7240602e-15 
4001.6 3.758254e-15 
4003.0 3.4823007e-15 
4004.4 3.6106405e-15 
4005.8 4.0194367e-15 
4007.2 4.068047e-15 
4008.6 3.7678377e-15 
4009.9 3.7823272e-15 
4011.3 3.7952282e-15 
4012.7 3.6163895e-15 
4014.1 3.4165251e-15 
4015.5 3.8600939e-15 
4016.9 3.568404e-15 
4018.3 3.7906293e-15 
4019.7 3.3393743e-15 
4021.1 3.2604818e-15 
4022.5 3.4515239e-15 
4023.9 3.6624697e-15 
4025.3 3.4329876e-15 
4026.7 3.2182057e-15 
4028.1 3.1788508e-15 
4029.4 3.0542142e-15 
4030.8 2.9073776e-15 
4032.2 3.482983e-15 
4033.6 3.1333981e-15 
4035.0 3.1465291e-15 
4036.4 3.0777942e-15 
4037.8 2.9501763e-15 
4039.2 2.9672891e-15 
4040.6 2.8469614e-15 
4042.0 2.9116597e-15 
4043.4 2.9728516e-15 
4044.8 2.8805085e-15 
4046.2 2.894897e-15 
4047.6 2.8234389e-15 
4048.9 2.9571814e-15 
4050.3 2.6379976e-15 
4051.7 2.8806606e-15 
4053.1 2.7632821e-15 
4054.5 2.9308656e-15 
4055.9 2.7961392e-15 
4057.3 2.172809e-15 
4058.7 2.4479866e-15 
4060.1 2.541881e-15 
4061.5 2.4654062e-15 
4062.9 2.7823525e-15 
4064.3 2.4850823e-15 
4065.7 2.7755992e-15 
4067.1 2.294651e-15 
4068.4 2.5373051e-15 
4069.8 2.705088e-15 
4071.2 2.3772621e-15 
4072.6 2.5835782e-15 
4074.0 2.7316747e-15 
4075.4 2.5744353e-15 
4076.8 2.3366038e-15 
4078.2 2.5246379e-15 
4079.6 2.4665179e-15 
4081.0 2.3192315e-15 
4082.4 2.8678579e-15 
4083.8 2.1796071e-15 
4085.2 2.5908389e-15 
4086.6 2.1715401e-15 
4087.9 2.2354001e-15 
4089.3 2.1640558e-15 
4090.7 2.1527699e-15 
4092.1 2.1680951e-15 
4093.5 2.1128311e-15 
4094.9 2.2395493e-15 
4096.3 2.2991171e-15 
4097.7 2.4772505e-15 
4099.1 2.6206126e-15 
4100.5 2.2858595e-15 
4101.9 2.3177646e-15 
4103.3 2.3280793e-15 
4104.7 2.3526061e-15 
4106.1 2.0506245e-15 
4107.4 2.3066078e-15 
4108.8 2.3934178e-15 
4110.2 2.2069324e-15 
4111.6 2.1043219e-15 
4113.0 2.659671e-15 
4114.4 2.2391877e-15 
4115.8 2.8117147e-15 
4117.2 2.2551504e-15 
4118.6 2.2083457e-15 
4120.0 2.5824818e-15 
4121.4 2.9264136e-15 
4122.8 2.6435012e-15 
4124.2 2.2577802e-15 
4125.6 2.1795253e-15 
4126.9 2.3605837e-15 
4128.3 2.219155e-15 
4129.7 2.285563e-15 
4131.1 2.5511134e-15 
4132.5 2.561869e-15 
4133.9 2.4855475e-15 
4135.3 2.5838849e-15 
4136.7 2.6693787e-15 
4138.1 2.4956692e-15 
4139.5 2.6175023e-15 
4140.9 2.7646736e-15 
4142.3 2.4761707e-15 
4143.7 2.7772246e-15 
4145.1 2.3920441e-15 
4146.4 2.3692462e-15 
4147.8 2.3805768e-15 
4149.2 2.383489e-15 
4150.6 2.2242024e-15 
4152.0 2.4265496e-15 
4153.4 2.7453246e-15 
4154.8 2.81781e-15 
4156.2 2.6123104e-15 
4157.6 2.5868188e-15 
4159.0 2.6326396e-15 
4160.4 2.8095169e-15 
4161.8 2.7589297e-15 
4163.2 2.7638724e-15 
4164.6 2.696106e-15 
4165.9 2.9259395e-15 
4167.3 2.7924436e-15 
4168.7 2.8389468e-15 
4170.1 2.9136978e-15 
4171.5 2.8237724e-15 
4172.9 2.9517838e-15 
4174.3 2.8868198e-15 
4175.7 2.7362813e-15 
4177.1 2.9442753e-15 
4178.5 3.0260787e-15 
4179.9 2.7799438e-15 
4181.3 3.0638082e-15 
4182.7 2.9529812e-15 
4184.1 2.8204667e-15 
4185.5 2.9662158e-15 
4186.8 3.0618953e-15 
4188.2 2.7115027e-15 
4189.6 3.1122626e-15 
4191.0 2.7597859e-15 
4192.4 2.7116292e-15 
4193.8 2.9442063e-15 
4195.2 2.8484041e-15 
4196.6 2.6159766e-15 
4198.0 2.7456964e-15 
4199.4 2.8467991e-15 
4200.8 2.8092063e-15 
4202.2 2.8331773e-15 
4203.6 2.913947e-15 
