3578.217  -1.971898E-15
3579.217  -9.202341E-16
3580.217  4.085646E-15
3581.217  8.052891E-15
3582.217  5.359554E-15
3583.217  2.789660E-15
3584.217  9.503774E-16
3585.217  -5.630367E-16
3586.217  -2.886653E-16
3587.217  2.954021E-16
3588.217  2.460369E-15
3589.217  4.755213E-15
3590.217  7.668995E-15
3591.217  1.005443E-14
3592.217  1.008232E-14
3593.217  9.327069E-15
3594.217  5.291282E-15
3595.217  1.859488E-15
3596.217  8.085624E-16
3597.217  2.249561E-16
3598.217  1.378495E-15
3599.217  2.496548E-15
3600.217  3.489973E-15
3601.217  4.013501E-15
3602.217  2.975020E-15
3603.217  1.754361E-15
3604.217  -4.037715E-17
3605.217  -1.296871E-15
3606.217  -9.431923E-16
3607.217  -3.151122E-17
3608.217  2.466956E-15
3609.217  4.244322E-15
3610.217  4.070090E-15
3611.217  3.398111E-15
3612.217  1.442634E-15
3613.217  4.417575E-18
3614.217  -1.616900E-16
3615.217  8.571731E-17
3616.217  1.303945E-15
3617.217  2.546445E-15
3618.217  3.843388E-15
3619.217  4.517464E-15
3620.217  3.855593E-15
3621.217  3.219956E-15
3622.217  2.638162E-15
3623.217  1.916087E-15
3624.217  9.183395E-16
3625.217  5.542534E-16
3626.217  1.383203E-15
3627.217  2.393761E-15
3628.217  3.732095E-15
3629.217  3.767097E-15
3630.217  1.545978E-15
3631.217  1.482794E-16
3632.217  1.182931E-16
3633.217  8.747255E-16
3634.217  2.885095E-15
3635.217  3.934321E-15
3636.217  3.511837E-15
3637.217  2.874507E-15
3638.217  1.921150E-15
3639.217  1.442284E-15
3640.217  1.634101E-15
3641.217  1.609789E-15
3642.217  1.291840E-15
3643.217  1.195589E-15
3644.217  1.388924E-15
3645.217  1.560256E-15
3646.217  1.703951E-15
3647.217  1.679679E-15
3648.217  1.452490E-15
3649.217  1.111421E-15
3650.217  6.380144E-16
3651.217  2.534592E-16
3652.217  -3.176491E-17
3653.217  1.979706E-16
3654.217  9.815924E-16
3655.217  1.441825E-15
3656.217  1.567385E-15
3657.217  1.630925E-15
3658.217  1.632708E-15
3659.217  1.593851E-15
3660.217  1.516056E-15
3661.217  1.289105E-15
3662.217  9.246565E-16
3663.217  7.925644E-16
3664.217  8.665498E-16
3665.217  6.511159E-16
3666.217  1.887475E-16
3667.217  7.252380E-16
3668.217  2.081486E-15
3669.217  2.537793E-15
3670.217  2.283772E-15
3671.217  1.727463E-15
3672.217  9.417255E-16
3673.217  5.838679E-16
3674.217  5.382170E-16
3675.217  1.015488E-15
3676.217  1.859488E-15
3677.217  2.173840E-15
3678.217  2.131283E-15
3679.217  1.781755E-15
3680.217  1.233527E-15
3681.217  9.367724E-16
