   Wavelength                Flux           Variance
3287.17488789   1.18031213971e-16  8.25492987508e-33
3289.54658695   1.26139252538e-16   7.8516386847e-33
  3291.918286    1.4778544268e-16  7.80635695686e-33
3294.28998505   1.39430954544e-16  7.66239049205e-33
3296.66168411   5.10071939459e-17  7.07653774643e-33
3299.03338316   2.24223379513e-17  7.07793550182e-33
3301.40508221   1.23329378447e-16  7.06064408402e-33
3303.77678127   1.14666867002e-16  6.69066069908e-33
3306.14848032   1.36210691783e-16  6.62309961668e-33
3308.52017937   1.53052141709e-16  6.54528176728e-33
3310.89187843   5.57519541764e-17  6.08510386546e-33
3313.26357748   7.61544781256e-17   6.1978257395e-33
3315.63527653   8.25575598742e-17  6.29841482107e-33
3318.00697559  -3.82338288587e-17  5.92161962206e-33
3320.37867464   5.89085218448e-17  6.05785727999e-33
3322.75037369   7.99991432161e-17  6.01810540106e-33
3325.12207275   1.82913309919e-16  6.30976569977e-33
 3327.4937718   1.28031045907e-16  6.11265116662e-33
3329.86547085  -2.54939747131e-18  5.64622942692e-33
3332.23716991  -7.20963501031e-17  5.30010792774e-33
3334.60886896   1.53200766463e-17  5.34028852622e-33
3336.98056801   1.21067487423e-16  5.36892109706e-33
3339.35226707  -6.00742503315e-17  4.62871817988e-33
3341.72396612   8.19272755849e-17  4.98294369896e-33
3344.09566517   5.94345260436e-17  4.84270558809e-33
3346.46736423   5.28769263163e-18  4.57493889603e-33
3348.83906328   1.63217784793e-17  4.57600103245e-33
3351.21076233    -1.002272155e-16   4.2728301696e-33
3353.58246139  -4.74810739077e-17  4.52646668831e-33
3355.95416044   5.21047683741e-17  4.67055254247e-33
3358.32585949  -5.62907350487e-17  4.30804041055e-33
3360.69755855   1.36499377815e-17  4.42210591032e-33
 3363.0692576  -1.13601574355e-16   4.0000732292e-33
3365.44095665   8.46239102179e-18  4.20247143837e-33
3367.81265571   8.82496008483e-17  4.22015986683e-33
3370.18435476   1.18208652919e-16  4.19756191574e-33
3372.55605381   1.04368124582e-16  4.13591599956e-33
3374.92775286    7.4418761451e-17  3.81542698144e-33
3377.29945192   4.37730092305e-17  3.68482789007e-33
3379.67115097   -2.6559090563e-17  3.52295909702e-33
3382.04285002   2.67023016638e-17  3.56646841674e-33
3384.41454908  -5.11046247819e-19  3.58229033537e-33
3386.78624813  -5.08977164639e-17  3.35724599197e-33
3389.15794718    3.1046123013e-18  3.46803422481e-33
3391.52964624  -6.70443079374e-17  3.26048657492e-33
3393.90134529  -2.11673139567e-17  3.34576700634e-33
3396.27304434  -6.62024372527e-17  3.15096921999e-33
 3398.6447434   -7.0655415998e-17  3.14086283311e-33
3401.01644245   3.19394867331e-17   3.3282766305e-33
 3403.3881415   8.88772706068e-17  3.30807287843e-33
3405.75984056   3.14070266151e-17  3.14832919806e-33
3408.13153961   1.52234647058e-17  3.03245637765e-33
3410.50323866  -1.23729877032e-17  2.90678246965e-33
3412.87493772   1.01739173104e-17  2.95754796867e-33
3415.24663677   5.08687913885e-17  2.99826505039e-33
3417.61833582   4.80229014396e-17  2.86915325864e-33
3419.99003488    3.5784142039e-17  2.79056973356e-33
3422.36173393    1.3283043694e-16  3.08197484923e-33
3424.73343298   8.67885865372e-17  2.95164690426e-33
3427.10513204   9.29159547296e-17  2.83785547177e-33
3429.47683109  -4.58313820867e-17  2.52549933799e-33
3431.84853014   6.06556304355e-17   2.7868055679e-33
 3434.2202292   6.12484690566e-17  2.71703581142e-33
3436.59192825   -4.4392224041e-18  2.55394709868e-33
 3438.9636273   7.37290394785e-17  2.69830409365e-33
3441.33532636  -4.74984416764e-17  2.39359564236e-33
3443.70702541   7.86984310072e-17  2.63532750366e-33
3446.07872446  -2.20160919913e-17  2.33273210441e-33
3448.45042352  -4.70596357933e-17  2.38004300902e-33
3450.82212257  -4.28100307184e-17   2.3139083862e-33
3453.19382162   1.66191094491e-17  2.39572448349e-33
3455.56552068   9.97202945773e-17  2.58189922371e-33
3457.93721973   1.44666634231e-16  2.65186552054e-33
3460.30891878   1.00661454151e-16  2.47765128158e-33
3462.68061784   2.48697279221e-17  2.33971981056e-33
3465.05231689   2.50563334132e-17   2.3325136311e-33
3467.42401594   1.13928764634e-16  2.48845716161e-33
  3469.795715   1.02568755113e-16  2.55089783226e-33
3472.16741405   9.35945716012e-17  2.53466602824e-33
 3474.5391131   6.24730641328e-17  2.32919303958e-33
3476.91081216   4.54038469276e-17  2.30192835489e-33
3479.28251121  -5.40998775482e-18   2.1549779726e-33
3481.65421026   2.47457469069e-17  2.18227908344e-33
3484.02590932   7.84454190928e-17  2.32023298123e-33
3486.39760837   4.28464243598e-18  2.15972046854e-33
3488.76930742  -1.98851650091e-17  2.12489318708e-33
3491.14100648   3.41512465953e-17  2.14313493019e-33
3493.51270553   4.19916260117e-17  2.14978598054e-33
3495.88440458  -4.97240152362e-18  2.10467609879e-33
3498.25610364   7.17994854928e-17  2.22279662076e-33
3500.62780269    3.7441808705e-17  2.10067354266e-33
3502.99950174   6.00897512714e-17  2.07987343558e-33
 3505.3712008   2.30992760977e-17  2.02390506325e-33
3507.74289985   6.34813809938e-17  2.07425682486e-33
 3510.1145989   7.07798429941e-17  1.96239293275e-33
3512.48629796    4.3481445866e-17  1.93016187807e-33
3514.85799701   3.55750285605e-17   1.8563525663e-33
3517.22969606   6.06540832805e-17  1.91668113389e-33
3519.60139512   1.06029236971e-17  1.77527563226e-33
3521.97309417   5.19022512619e-17  1.84407691569e-33
3524.34479322   7.60925228456e-17  1.87511810065e-33
3526.71649228   4.86673656014e-17  1.81028310961e-33
3529.08819133   6.02279921516e-17  1.89893964253e-33
3531.45989038   8.19387432942e-17  1.98944865928e-33
3533.83158944   2.52803634566e-17  1.85056496144e-33
3536.20328849   1.85870349875e-17  1.81678740217e-33
3538.57498754   6.54013699204e-17  1.94664490891e-33
 3540.9466866   3.70352467579e-17  1.93479024652e-33
3543.31838565   1.71012797837e-17  1.78571600607e-33
 3545.6900847   5.56467497579e-17  1.88326785322e-33
3548.06178376   9.86638760754e-17  1.98575726629e-33
3550.43348281   9.18055157106e-17  1.97086561927e-33
3552.80518186   1.07942235564e-16  1.92847546363e-33
3555.17688092   6.81705823352e-17  1.79938571099e-33
3557.54857997   8.14804289434e-17  1.90181478707e-33
3559.92027902   3.08883714444e-17  1.77842876342e-33
3562.29197808   1.06576285736e-16  1.86295722131e-33
3564.66367713   1.14873202415e-16  1.84223681889e-33
3567.03537618   7.12285247882e-17  1.73317429009e-33
3569.40707524   2.38312146801e-17  1.62067092097e-33
3571.77877429   4.63632704573e-17  1.60190406148e-33
3574.15047334    1.4892487174e-16  1.79610267207e-33
 3576.5221724   1.17027021695e-16  1.77831451622e-33
3578.89387145   1.17582553078e-16  1.74121275912e-33
 3581.2655705    9.0396002701e-17  1.67969238677e-33
3583.63726956   5.99093166598e-17  1.64354204378e-33
3586.00896861   8.30090306444e-17  1.68083184585e-33
3588.38066766   4.94168700276e-17  1.58009308728e-33
3590.75236672   5.80284777915e-17   1.5357438549e-33
3593.12406577   8.21053203711e-17   1.5424229461e-33
3595.49576482   5.30406088447e-17  1.49025051659e-33
3597.86746388   2.49750032773e-17  1.45399709421e-33
3600.23916293    3.4823693807e-18   1.4086399561e-33
3602.61086198   4.25238345665e-17  1.49718032086e-33
3604.98256104   7.12948222317e-17  1.50248504461e-33
3607.35426009    8.9958478175e-17  1.51094749529e-33
3609.72595914   6.50777975774e-17  1.50929691473e-33
 3612.0976582    4.6534732652e-17  1.48885611865e-33
3614.46935725   4.14655506983e-17  1.45214931786e-33
 3616.8410563   7.55691355394e-17   1.4670706676e-33
3619.21275536   4.73294436832e-17  1.38945983629e-33
3621.58445441   9.92602293778e-17  1.47376262594e-33
3623.95615346   1.16087112479e-16  1.52577622564e-33
3626.32785252   9.46909289305e-17  1.55767620486e-33
3628.69955157   8.80179370582e-17  1.51542849247e-33
3631.07125062    7.8786724781e-17  1.50096843576e-33
3633.44294968   1.08715469807e-16   1.5266940981e-33
3635.81464873   6.47216394465e-17  1.40612697234e-33
3638.18634778   6.31113677252e-17   1.3924017727e-33
3640.55804684   1.05608251147e-16  1.44651902257e-33
3642.92974589   1.20745443096e-16   1.4740477663e-33
3645.30144494   9.46457067154e-17  1.42289148678e-33
  3647.673144   7.75346042696e-17   1.3988938055e-33
3650.04484305   9.86831568476e-17  1.38873873704e-33
 3652.4165421   9.06206570138e-17   1.3488765204e-33
3654.78824116   9.02033181711e-17  1.32183505326e-33
3657.15994021   9.68086908908e-17  1.31363526389e-33
3659.53163926   1.12890189113e-16  1.28745004223e-33
3661.90333832   1.68432819103e-16  1.33949649743e-33
3664.27503737   1.58358623849e-16  1.34803984763e-33
3666.64673642   1.58575826493e-16  1.32874085914e-33
3669.01843548   1.91876108848e-16  1.33883561757e-33
3671.39013453   2.05127391569e-16  1.35304680486e-33
3673.76183358   1.52421024238e-16  1.23862121998e-33
3676.13353264   1.25913587092e-16  1.24917978291e-33
3678.50523169   1.46868506275e-16  1.26905090817e-33
3680.87693074   1.04083201635e-16  1.24017339135e-33
 3683.2486298   8.64050624111e-17  1.22181292472e-33
3685.62032885   1.26082504379e-16  1.25789885384e-33
 3687.9920279   1.62391793205e-16  1.30227274247e-33
3690.36372696   1.78379611516e-16  1.30114359891e-33
3692.73542601   1.51191009083e-16    1.252081836e-33
3695.10712506   1.40458750792e-16  1.22861438565e-33
3697.47882412   1.42192750261e-16  1.24178317609e-33
3699.85052317   1.43763282485e-16  1.25377011061e-33
3702.22222222   1.66686987733e-16  1.27104604277e-33
3704.59392128   2.02411777682e-16  1.26607338551e-33
3706.96562033   2.18784014519e-16  1.30447700754e-33
3709.33731938    2.1566745185e-16  1.30755642332e-33
3711.70901844    1.7363227198e-16  1.25761906055e-33
3714.08071749   1.04256342843e-16  1.16798422933e-33
3716.45241654     8.121293358e-17  1.10962005357e-33
 3718.8241156   1.26158155943e-16  1.15280148943e-33
3721.19581465   1.60808636892e-16  1.20578537441e-33
 3723.5675137   1.59182890911e-16  1.22478074876e-33
3725.93921276   1.09538437637e-16  1.19923007591e-33
3728.31091181   1.29757867489e-16  1.20753062337e-33
3730.68261086   1.32278446364e-16  1.20505609441e-33
3733.05430992   1.03690163508e-16  1.11456937414e-33
3735.42600897   8.41799519319e-17  1.04693604995e-33
3737.79770802   1.07640883491e-16  1.07222832742e-33
3740.16940708   1.25523551114e-16  1.09496275787e-33
3742.54110613   9.59426623004e-17   1.0603224329e-33
3744.91280518   7.69952419696e-17  1.02908180546e-33
3747.28450424   9.69996824349e-17  1.05203681088e-33
3749.65620329   8.87317109238e-17  1.04418775383e-33
3752.02790234   1.13980467583e-16  1.07343962146e-33
 3754.3996014   1.17659568427e-16  1.06766348307e-33
3756.77130045   1.30628080287e-16  1.06595304653e-33
 3759.1429995   1.32405135095e-16  1.05025372023e-33
3761.51469856   1.09213016921e-16  1.02590300245e-33
3763.88639761    1.0538987233e-16  1.01611679426e-33
3766.25809666   5.49538427765e-17  9.85835905194e-34
3768.62979571    3.9755789823e-17   9.8556229843e-34
3771.00149477    8.8067932815e-17  1.00320952807e-33
3773.37319382   1.09163771026e-16  9.97249742427e-34
3775.74489287   7.66583549196e-17  9.28392900231e-34
3778.11659193    4.8092230363e-17  8.81245483497e-34
3780.48829098   5.22130214507e-17  8.93268560778e-34
3782.85999003   8.19481571593e-17  8.91007575391e-34
3785.23168909   7.31401641353e-17  8.82150721145e-34
3787.60338814   6.29138699545e-17  8.58856712684e-34
3789.97508719   7.17468527966e-17  8.68847188718e-34
3792.34678625   5.65592066363e-17  8.53293233072e-34
 3794.7184853   7.37892184771e-17  8.74923999275e-34
3797.09018435   4.04807320837e-17  8.38938156302e-34
3799.46188341   5.65839172472e-17  8.36387207031e-34
3801.83358246   5.46482437637e-17  8.23402669348e-34
3804.20528151   3.58279561641e-17  8.09547322222e-34
3806.57698057   5.82698220455e-17  7.83329546204e-34
3808.94867962   6.76555653637e-17  8.00892112545e-34
3811.32037867   8.43272778452e-17  8.21345890075e-34
3813.69207773   7.95896275753e-17  8.06256015484e-34
3816.06377678   1.12109247922e-16   8.4316178459e-34
3818.43547583   1.48032083259e-16  8.80212039509e-34
