# TELESCOPE = Liverpool Telescope
# INSTRUMENT = SPRAT
# PROPOSAL = PL22A20b
# OBJECT = 2022jrq
# RA = 13:45:29.924
# DEC = 25:38:0.14
# DATE-OBS = 2022-05-18T23:21:16.165
# MJD-OBS = 59717.973104
# EXPTIME-OBS = 1800.0s
# AIRMASS-OBS = 1.002285
# SEEING-OBS = 0.770939
# wl fl
# [A] [Normalised]
6209.600000 1.01635
6218.800000 0.988995
6228.000000 1.0038
6237.200000 0.959915
6246.400000 0.894439
6255.600000 0.909434
6264.800000 0.995967
6274.000000 1.07308
6283.200000 1.01648
6292.400000 1.03317
6301.600000 0.971408
6310.800000 0.949291
6320.000000 0.993411
6329.200000 0.953609
6338.400000 0.969864
6347.600000 1.01074
6356.800000 0.980404
6366.000000 0.954669
6375.200000 0.998746
6384.400000 0.903461
6393.600000 0.813704
6402.800000 0.859254
6412.000000 0.746193
6421.200000 0.687546
6430.400000 0.706754
6439.600000 0.576154
6448.800000 0.540746
6458.000000 0.599486
6467.200000 0.550381
6476.400000 0.535329
6485.600000 0.599429
6494.800000 0.639689
6504.000000 0.54759
6513.200000 0.658454
6522.400000 0.612498
6531.600000 0.632579
6540.800000 0.667134
6550.000000 0.705434
6559.200000 0.729418
6568.400000 0.770011
6577.600000 0.813235
6586.800000 0.816594
6596.000000 0.835619
6605.200000 0.92419
6614.400000 0.84384
6623.600000 0.822796
6632.800000 0.914566
6642.000000 0.907495
6651.200000 0.900574
6660.400000 0.981398
6669.600000 0.938966
6678.800000 0.851425
6688.000000 0.871018
6697.200000 0.88695
6706.400000 0.921878
6715.600000 0.910923
6724.800000 0.914813
6734.000000 0.905177
6743.200000 0.879734
6752.400000 0.908942
6761.600000 0.920807
6770.800000 0.92868
6780.000000 0.93276
6789.200000 0.813832
6798.400000 0.861876
6807.600000 0.944724
6816.800000 0.92019
6826.000000 0.853217
6835.200000 0.865517
6844.400000 0.84771
6853.600000 0.81876
6862.800000 0.73598
6872.000000 0.709408
6881.200000 0.723595
6890.400000 0.726089
6899.600000 0.765186
6908.800000 0.747965
6918.000000 0.768656
6927.200000 0.749733
6936.400000 0.807707
6945.600000 0.783045
6954.800000 0.753897
6964.000000 0.737142
6973.200000 0.735847
6982.400000 0.740329
6991.600000 0.733646
7000.800000 0.747748
7010.000000 0.796086
7019.200000 0.738577
7028.400000 0.671846
7037.600000 0.643806
7046.800000 0.75449
7056.000000 0.747567
7065.200000 0.68205
