        wavelength                   f_lam                  e_lam
------------------ ----------------------- ----------------------
            3650.0   1.518509887673296e-17 1.8349042883126703e-17
            3650.7   4.313873657039568e-18 1.7987552575555653e-17
3651.3999999999996  1.1238840256731904e-18 1.7655317687965572e-17
3652.0999999999995  6.4228242611399566e-18 1.7872067487566503e-17
3652.7999999999993 -1.6494467113425356e-19 1.7644061135326604e-17
 3653.499999999999  -4.671196548904485e-18  1.748365278791043e-17
 3654.199999999999   6.976545231795826e-20 1.7530961847822036e-17
3654.8999999999987   1.066371895824637e-17 1.7746941631256054e-17
3655.5999999999985   4.935637148538001e-18 1.7386868264193574e-17
3656.2999999999984   7.424334485603315e-18 1.7266034992920658e-17
 3656.999999999998  1.4208595502085947e-17  1.724074368397988e-17
 3657.699999999998     9.8900884997456e-18 1.7280332019576402e-17
 3658.399999999998  2.0886032627332006e-17  1.752847410079094e-17
3659.0999999999976    6.78775655789894e-18 1.7108749024458483e-17
3659.7999999999975    3.08310504161989e-18 1.7009506074404417e-17
3660.4999999999973  1.2548690763490461e-17 1.6939106965664867e-17
 3661.199999999997  1.4092043597243776e-17 1.6818376682070052e-17
 3661.899999999997  1.0941888569677941e-17 1.6716903310366724e-17
3662.5999999999967  -5.162904315109897e-18  1.662062345549989e-17
3663.2999999999965  1.0329654419894567e-17  1.649268235142245e-17
3663.9999999999964  1.5734390050224207e-17  1.628914723696552e-17
 3664.699999999996   4.796238148779181e-18 1.6436155504238147e-17
 3665.399999999996 -1.1432566525128993e-19 1.6256922389499425e-17
 3666.099999999996   8.718235210027213e-19 1.6016197898472924e-17
3666.7999999999956 -2.1438278351143793e-18 1.5886512341066798e-17
3667.4999999999955 -2.9047306778624798e-18   1.58039964498017e-17
3668.1999999999953 -1.0003701125163704e-18 1.5797203315293656e-17
 3668.899999999995  -5.419940063536125e-18 1.5607948129578307e-17
 3669.599999999995  2.8865613736402957e-18  1.549253575721692e-17
3670.2999999999947   4.818855984086365e-19 1.5386183815548297e-17
3670.9999999999945 -3.4207450701968125e-18 1.5500208000088065e-17
3671.6999999999944 -2.5257594184826745e-18 1.5626095743361268e-17
 3672.399999999994   1.620637390181375e-17 1.5611692527979377e-17
 3673.099999999994  1.5761487302171212e-17  1.562876652498894e-17
 3673.799999999994  1.3313564452253637e-17   1.54288423577171e-17
3674.4999999999936   8.526194447579859e-19 1.5322639405600255e-17
3675.1999999999935   8.619168395444248e-18 1.5438996906959572e-17
3675.8999999999933   3.735960635779932e-17 1.5652556953945632e-17
 3676.599999999993   3.896518793029959e-17  1.547351152257035e-17
 3677.299999999993  2.0323340588300785e-17  1.512542593129034e-17
3677.9999999999927  1.3852291958368438e-17  1.495782136027016e-17
3678.6999999999925   1.398527590759667e-20 1.4820050663663188e-17
3679.3999999999924  1.1787576561343043e-18 1.4855279600774548e-17
 3680.099999999992  1.3510685836086235e-18  1.465370158205624e-17
 3680.799999999992   8.153364083208112e-18 1.4549952446547552e-17
 3681.499999999992  1.7578801250583992e-17 1.4809583072995456e-17
3682.1999999999916   2.302117596174415e-17 1.4823558610551455e-17
3682.8999999999915   1.849115408418247e-17  1.461632326360621e-17
3683.5999999999913  -6.813112451640074e-19  1.441281155565278e-17
 3684.299999999991 -2.7936593686966628e-18 1.4475226439161123e-17
 3684.999999999991 -2.5904296177392365e-18 1.4385305320333422e-17
3685.6999999999907    8.28117989013531e-19 1.4327058424198227e-17
3686.3999999999905  1.9958479513660834e-17  1.462965377638716e-17
3687.0999999999904   1.325884279496862e-17 1.4420743652652463e-17
  3687.79999999999  1.0673934705304837e-17 1.4321842621465553e-17
