# TELESCOPE = Liverpool Telescope
# INSTRUMENT = SPRAT
# PROPOSAL = PL22B16
# OBJECT = 2022wfm
# RA = 0:57:20.10
# DEC = 27:5:46.50
# DATE-OBS = 2022-09-30T01:48:28.605
# MJD-OBS = 59852.075331
# EXPTIME-OBS = 2000.0s
# AIRMASS-OBS = 1.001702
# SEEING-OBS = 1.455276
# wl fl
# [A] [erg/s/cm2/A]
4020.000000 -3.23603e-16
4029.200000 8.46326e-16
4038.400000 1.45698e-16
4047.600000 2.16297e-16
4056.800000 5.61399e-16
4066.000000 9.50996e-16
4075.200000 7.72551e-16
4084.400000 8.33378e-16
4093.600000 7.25568e-16
4102.800000 1.11399e-15
4112.000000 9.00542e-16
4121.200000 1.05306e-15
4130.400000 5.74018e-16
4139.600000 9.48588e-16
4148.800000 8.33846e-16
4158.000000 7.05092e-16
4167.200000 8.33185e-16
4176.400000 7.02785e-16
4185.600000 6.99821e-16
4194.800000 8.80745e-16
4204.000000 7.92705e-16
4213.200000 8.07103e-16
4222.400000 7.66239e-16
4231.600000 9.79016e-16
4240.800000 8.44216e-16
4250.000000 7.48989e-16
4259.200000 8.66387e-16
4268.400000 8.53863e-16
4277.600000 7.72392e-16
4286.800000 8.20821e-16
4296.000000 8.21569e-16
4305.200000 8.39131e-16
4314.400000 7.82574e-16
4323.600000 7.50484e-16
4332.800000 7.60418e-16
4342.000000 7.57085e-16
4351.200000 7.36999e-16
4360.400000 9.15762e-16
4369.600000 8.61632e-16
4378.800000 6.78549e-16
4388.000000 7.04755e-16
4397.200000 7.20689e-16
4406.400000 5.73449e-16
4415.600000 6.89149e-16
4424.800000 5.80399e-16
4434.000000 6.53907e-16
4443.200000 5.70682e-16
4452.400000 5.44342e-16
4461.600000 5.24839e-16
4470.800000 5.70653e-16
4480.000000 5.04863e-16
4489.200000 5.38156e-16
4498.400000 6.39238e-16
4507.600000 5.76841e-16
4516.800000 5.88513e-16
4526.000000 5.41458e-16
4535.200000 5.53177e-16
4544.400000 6.37027e-16
4553.600000 6.54573e-16
4562.800000 6.30278e-16
4572.000000 6.07721e-16
4581.200000 6.81735e-16
4590.400000 6.0434e-16
4599.600000 7.14308e-16
4608.800000 6.02872e-16
4618.000000 5.84975e-16
4627.200000 6.34466e-16
4636.400000 5.99217e-16
4645.600000 6.25127e-16
4654.800000 6.13658e-16
4664.000000 6.1214e-16
4673.200000 6.86282e-16
4682.400000 6.22177e-16
4691.600000 6.53023e-16
4700.800000 6.65787e-16
4710.000000 7.00692e-16
4719.200000 6.53953e-16
4728.400000 7.04969e-16
4737.600000 6.83502e-16
4746.800000 6.69815e-16
4756.000000 6.42408e-16
4765.200000 7.18166e-16
4774.400000 6.99528e-16
4783.600000 6.76363e-16
4792.800000 6.80063e-16
4802.000000 6.77865e-16
4811.200000 6.93223e-16
4820.400000 6.84394e-16
4829.600000 6.90294e-16
4838.800000 6.57973e-16
4848.000000 7.03637e-16
4857.200000 6.82813e-16
4866.400000 5.99716e-16
4875.600000 5.98147e-16
4884.800000 6.19016e-16
4894.000000 5.92739e-16
4903.200000 5.27992e-16
4912.400000 5.81624e-16
4921.600000 5.51749e-16
4930.800000 5.84705e-16
4940.000000 5.53971e-16
4949.200000 6.2974e-16
4958.400000 5.7313e-16
4967.600000 5.94308e-16
4976.800000 5.67392e-16
4986.000000 5.38844e-16
4995.200000 5.86063e-16
5004.400000 6.32372e-16
5013.600000 5.94407e-16
5022.800000 5.67815e-16
5032.000000 6.64109e-16
5041.200000 5.36576e-16
5050.400000 5.32087e-16
5059.600000 5.7117e-16
5068.800000 5.49253e-16
5078.000000 5.32444e-16
5087.200000 5.73535e-16
5096.400000 4.90278e-16
5105.600000 4.58949e-16
5114.800000 4.71991e-16
5124.000000 3.7004e-16
5133.200000 4.72386e-16
5142.400000 4.79249e-16
5151.600000 4.82569e-16
5160.800000 5.27416e-16
5170.000000 3.59766e-16
5179.200000 5.2475e-16
5188.400000 5.42805e-16
5197.600000 4.95576e-16
5206.800000 5.26328e-16
5216.000000 5.06702e-16
5225.200000 5.17201e-16
5234.400000 5.29163e-16
5243.600000 4.91587e-16
5252.800000 5.16226e-16
5262.000000 5.1811e-16
5271.200000 5.58028e-16
5280.400000 5.60238e-16
5289.600000 5.65173e-16
5298.800000 5.76674e-16
