# Wavelength   Intensity
4229.974609375   2.971395549435026e-16
4231.2452600351035   3.210997876807218e-16
4232.515910695208   3.3473421233487825e-16
4233.786561355311   3.0589197285726087e-16
4235.057212015416   3.171345617568284e-16
4236.327862675519   3.1604387448834047e-16
4237.598513335623   3.0998674188252497e-16
4238.869163995727   3.151630396325348e-16
4240.13981465583   3.2269821826152946e-16
4241.410465315934   3.2672241885437544e-16
4242.681115976038   3.259586598337481e-16
4243.951766636142   3.1728189255009144e-16
4245.222417296246   3.192517470782701e-16
4246.4930679563495   3.223493995059383e-16
4247.763718616453   3.1661731579363164e-16
4249.034369276557   2.999926001378715e-16
4250.305019936661   3.2485815227702793e-16
4251.575670596764   3.2455560269618053e-16
4252.846321256869   2.9898566325204333e-16
4254.116971916972   3.057617415416205e-16
4255.387622577076   3.1329332028058935e-16
4256.65827323718   3.0756221595012794e-16
4257.928923897283   3.021176469838549e-16
4259.199574557388   3.2164996204974306e-16
4260.470225217491   3.083303954239488e-16
4261.740875877595   2.9460875284600474e-16
4263.011526537699   2.993941713606363e-16
4264.282177197802   3.172519816991415e-16
4265.552827857907   3.0417143718315057e-16
4266.82347851801   2.9152666464874236e-16
4268.094129178114   2.9218041526534507e-16
4269.364779838218   3.079673623967115e-16
4270.6354304983215   3.0033517202547664e-16
4271.906081158425   2.9614045311243654e-16
4273.176731818529   2.958213334495585e-16
4274.447382478633   2.9045342096501196e-16
4275.718033138737   2.8750045235264666e-16
4276.988683798841   2.9679928592672277e-16
4278.259334458944   2.939608255809144e-16
4279.529985119048   3.0379186054366224e-16
4280.800635779152   2.860879719735409e-16
4282.071286439255   2.9032848360529195e-16
4283.34193709936   2.957205894683944e-16
4284.612587759463   2.7968675870268295e-16
4285.8832384195675   2.8896536936514337e-16
4287.153889079671   3.03916215568231e-16
4288.424539739774   2.9830451641355287e-16
4289.695190399879   3.0683360879681164e-16
4290.965841059982   3.0342816577193493e-16
4292.236491720087   2.5897412969457553e-16
4293.50714238019   2.7682423732721664e-16
4294.777793040294   2.85736612119108e-16
4296.048443700398   3.0084190948617153e-16
4297.319094360501   2.8008632002577056e-16
4298.589745020605   2.995372669891631e-16
4299.860395680709   3.017474406463456e-16
4301.131046340813   2.859533996140459e-16
4302.401697000917   3.0541763440679846e-16
4303.6723476610205   3.06752108345418e-16
4304.942998321124   2.9567461146122627e-16
4306.213648981228   2.8368171018906905e-16
4307.484299641332   2.7440177603762854e-16
4308.754950301435   2.727491353481966e-16
4310.02560096154   2.7468563795407714e-16
4311.296251621643   2.779184450763916e-16
4312.566902281747   2.7611617072287125e-16
4313.837552941851   2.734601400980778e-16
4315.108203601954   2.9054879158091687e-16
4316.378854262059   2.7789896331860474e-16
4317.649504922162   2.6175568001424025e-16
4318.920155582266   2.7459550835453336e-16
4320.19080624237   2.599363591226564e-16
4321.461456902473   2.584494457233107e-16
4322.732107562578   2.587552775568287e-16
4324.002758222681   2.4140968392339594e-16
4325.273408882785   2.647231011262681e-16
4326.544059542889   2.65607774100116e-16
4327.8147102029925   2.570735465796145e-16
4329.085360863096   2.370613873491068e-16
4330.3560115232   2.4258007169826457e-16
4331.626662183304   2.4356535630437853e-16
4332.897312843408   2.5674188024120523e-16
4334.167963503512   2.5162392188543754e-16
4335.438614163615   2.4532519960119735e-16
4336.709264823719   2.372383113559645e-16
4337.979915483823   2.4737358996545426e-16
4339.250566143926   2.4016070737288987e-16
4340.521216804031   2.438599384815658e-16
4341.791867464134   2.329360192586231e-16
4343.0625181242385   2.371754985689697e-16
4344.333168784342   2.26404759960582e-16
4345.603819444445   2.377341962070227e-16
4346.87447010455   2.3902618614938154e-16
4348.145120764653   2.380332517769627e-16
4349.415771424758   2.317940335572671e-16
4350.686422084861   2.363893196450197e-16
4351.9570727449645   2.328058938221012e-16
4353.227723405069   2.39208112944584e-16
4354.498374065172   2.427385197989603e-16
4355.769024725276   2.3445466992371127e-16
4357.03967538538   2.3684444103549127e-16
4358.310326045484   2.272173557245745e-16
4359.580976705588   2.471573848056676e-16
4360.8516273656915   2.397989978346327e-16
4362.122278025795   2.4513339957820345e-16
4363.392928685899   2.3103313327283673e-16
4364.663579346003   2.405558217730044e-16
4365.934230006106   2.325832829756509e-16
4367.204880666211   2.4735807867460767e-16
4368.475531326314   2.5169414621072084e-16
4369.746181986418   2.3500982061129766e-16
4371.016832646522   2.477749247637752e-16
4372.287483306625   2.524577993522298e-16
4373.55813396673   2.5938811704754607e-16
4374.828784626833   2.6461828079904536e-16
4376.099435286937   2.472494466991223e-16
4377.370085947041   2.671051165926248e-16
4378.640736607144   2.734429876808959e-16
4379.911387267249   2.833642845920855e-16
4381.182037927352   2.838039476312697e-16
4382.452688587456   2.502647781122292e-16
4383.72333924756   2.6127832400890325e-16
4384.9939899076635   2.6475354137281003e-16
4386.264640567768   2.71604396789762e-16
4387.535291227871   2.6909532638131717e-16
4388.805941887975   2.6838540689239966e-16
4390.076592548079   2.6811573277781757e-16
4391.347243208183   2.916414905526545e-16
4392.617893868286   2.7364545502506926e-16
4393.88854452839   2.814551252685335e-16
4395.159195188494   2.63576668501939e-16
4396.429845848597   2.683203441741387e-16
4397.700496508702   2.766320667273083e-16
4398.971147168805   2.7468132338000207e-16
4400.2417978289095   2.631586312726894e-16
4401.512448489013   2.809289854593906e-16
4402.783099149116   2.872300106144561e-16
4404.053749809221   2.688367960439474e-16
4405.324400469324   2.780436471339076e-16
4406.595051129429   2.910576730937595e-16
4407.865701789532   2.788495989832201e-16
4409.1363524496355   2.734701192049876e-16
4410.40700310974   2.9063389192233633e-16
4411.677653769843   2.8442233462232453e-16
4412.948304429947   2.762632368183383e-16
4414.218955090051   3.0296340938168833e-16
4415.489605750155   3.088840108643183e-16
4416.760256410259   3.000956734596405e-16
4418.030907070362   2.9762749886068026e-16
4419.301557730466   2.9337462584185523e-16
4420.57220839057   2.974186787694025e-16
4421.842859050674   2.9937294259739576e-16
4423.113509710777   3.178086676339448e-16
4424.384160370882   2.979853702808952e-16
4425.654811030985   3.108525683732965e-16
4426.925461691089   2.9320214875797057e-16
4428.196112351193   2.8926294262742564e-16
4429.466763011296   2.9776416233276383e-16
4430.737413671401   3.0602408352725294e-16
4432.008064331504   2.9714672825377464e-16
4433.278714991608   3.138418535232753e-16
4434.549365651712   3.166327212053598e-16
4435.820016311815   3.0574948603366494e-16
4437.09066697192   3.11865460959535e-16
4438.361317632023   3.0280914350616964e-16
4439.631968292127   3.179910444154005e-16
4440.902618952231   3.020220910794928e-16
4442.1732696123345   3.0624867960717334e-16
4443.443920272439   3.045272439605566e-16
4444.714570932542   3.13606484243057e-16
4445.985221592646   3.1211599742346507e-16
4447.25587225275   3.1019368261945104e-16
4448.526522912854   3.1656162337734967e-16
4449.797173572957   3.222468026402021e-16
4451.067824233061   3.1923962391921254e-16
4452.338474893165   3.224522081299113e-16
4453.609125553268   3.496398216846266e-16
4454.879776213373   3.5209094974552333e-16
4456.150426873476   3.355989006251269e-16
4457.4210775335805   3.380092387556574e-16
4458.691728193684   3.394052814016305e-16
4459.962378853787   3.461113206543816e-16
4461.233029513892   3.7247755047827664e-16
4462.503680173995   3.615812657052381e-16
4463.7743308341   3.4480802811613284e-16
4465.044981494203   3.466761857510818e-16
4466.3156321543065   3.457665253052899e-16
4467.586282814411   3.578774553246911e-16
4468.856933474514   3.594313902059883e-16
4470.127584134618   3.574659826007827e-16
4471.398234794722   3.506928159869617e-16
4472.668885454826   3.6362057693509165e-16
4473.93953611493   3.680970137124326e-16
4475.210186775033   3.692819598660822e-16
4476.480837435137   3.6057430234963037e-16
4477.751488095241   3.610973716643395e-16
4479.022138755345   3.593531455374857e-16
4480.292789415448   3.889992192820474e-16
4481.5634400755525   3.84519288493799e-16
4482.834090735656   3.68564575899317e-16
4484.10474139576   3.947447761121713e-16
4485.375392055864   3.855301693767878e-16
4486.646042715967   3.965195748344651e-16
4487.916693376072   3.7824960355778187e-16
4489.187344036175   3.7700965320212e-16
4490.457994696279   3.942637408074697e-16
4491.728645356383   4.0088491794681774e-16
4492.999296016486   3.938461800342529e-16
4494.269946676591   4.0654439505367695e-16
4495.540597336694   4.042678881288126e-16
4496.811247996798   3.940422152219831e-16
4498.081898656902   3.9456134053953156e-16
4499.3525493170055   3.8807068588339946e-16
4500.62319997711   4.080381641259395e-16
4501.893850637213   4.076588257144676e-16
4503.164501297317   4.087599950156778e-16
4504.435151957421   4.063498686433841e-16
4505.705802617525   4.2890842067157503e-16
4506.976453277628   4.202455500222093e-16
4508.247103937732   4.055746217384096e-16
4509.517754597836   4.1497909620287607e-16
4510.788405257939   4.1530035991790186e-16
4512.059055918044   4.2602575579383183e-16
4513.329706578147   4.2366428087644604e-16
4514.6003572382515   4.1385426291870196e-16
4515.871007898355   4.2641324689742107e-16
4517.141658558458   4.306440441200583e-16
4518.412309218563   4.294119288191585e-16
4519.682959878666   4.2435977433548063e-16
4520.953610538771   4.252968839427195e-16
4522.224261198874   4.471324933504289e-16
4523.4949118589775   4.3539780477828624e-16
4524.765562519082   4.2684848948341177e-16
4526.036213179185   4.3416539830981084e-16
4527.306863839289   4.478197547080074e-16
4528.577514499393   4.388817042299024e-16
4529.848165159497   4.309812161726247e-16
4531.118815819601   4.3135616060068274e-16
4532.389466479704   4.3765673576949505e-16
4533.660117139808   4.3870178913794965e-16
4534.930767799912   4.2027657260390247e-16
4536.201418460016   4.072078071398343e-16
4537.472069120119   4.399658005232695e-16
4538.7427197802235   4.3236725324190836e-16
4540.013370440327   4.3388934497834474e-16
4541.284021100431   4.413481053536293e-16
4542.554671760535   4.450223225205816e-16
4543.825322420638   4.28355572854814e-16
4545.095973080743   4.2443950131164094e-16
4546.366623740846   4.254843429218587e-16
4547.6372744009495   4.308888366418148e-16
4548.907925061054   4.2955115985986343e-16
4550.178575721157   4.3916789548695593e-16
4551.449226381262   4.2778591672800587e-16
4552.719877041365   4.220739235784169e-16
4553.990527701469   4.281375148104552e-16
4555.261178361573   4.295054730202709e-16
4556.5318290216765   4.3034104455295767e-16
4557.802479681781   4.408147922342143e-16
4559.073130341884   4.434135951955089e-16
4560.343781001988   4.3253208055948813e-16
4561.614431662092   4.1265896708122813e-16
4562.885082322196   4.1052664104585424e-16
4564.155732982299   4.3716672720950844e-16
4565.426383642403   4.444173292380053e-16
4566.697034302507   4.3617808094138506e-16
4567.96768496261   4.424320163585392e-16
4569.238335622715   4.29129655089486e-16
4570.508986282818   4.488099362233476e-16
4571.7796369429225   4.475075171878258e-16
4573.050287603026   4.3901680598498944e-16
4574.320938263129   4.433356681643615e-16
4575.591588923234   4.583010462764505e-16
4576.862239583337   4.544525520806006e-16
4578.132890243442   4.559567767158058e-16
4579.403540903545   4.566685490892954e-16
4580.6741915636485   4.46260843508145e-16
4581.944842223753   4.544262940592357e-16
4583.215492883856   4.544064946640936e-16
4584.48614354396   4.430795995164947e-16
4585.756794204064   4.4357357854342156e-16
4587.027444864168   4.49498203432551e-16
4588.298095524272   4.557985933129061e-16
4589.568746184375   4.604373692485442e-16
4590.839396844479   4.606145050136388e-16
4592.110047504583   4.479352688261892e-16
4593.380698164687   4.469243350036412e-16
4594.65134882479   4.3656755727844443e-16
4595.9219994848945   4.213033088848727e-16
4597.192650144998   4.3419083576800807e-16
4598.463300805102   4.371301989136581e-16
4599.733951465206   4.460215037609865e-16
4601.004602125309   4.454320747088159e-16
4602.275252785414   4.4027695278248743e-16
4603.545903445517   4.447485191203817e-16
4604.8165541056205   4.3041733045776976e-16
4606.087204765725   4.4274846257367747e-16
4607.357855425828   4.4183440814447167e-16
4608.628506085933   4.509597587830383e-16
4609.899156746036   4.491575373690771e-16
4611.16980740614   4.590550114786252e-16
4612.440458066244   4.2385904551475533e-16
4613.711108726347   4.401158312340519e-16
4614.981759386452   4.564960720054108e-16
4616.252410046555   4.543967537852002e-16
4617.523060706659   4.487916191358633e-16
4618.793711366763   4.4172638497391714e-16
4620.064362026867   4.359163742304631e-16
4621.33501268697   4.3873424108774133e-16
4622.605663347074   4.226777521906908e-16
4623.876314007178   4.219770706548543e-16
4625.146964667282   4.41293498198311e-16
4626.417615327386   4.3831975080895836e-16
4627.688265987489   4.288297524865988e-16
4628.9589166475935   4.263119470508854e-16
4630.229567307697   4.400175754121704e-16
4631.5002179678   4.38323827155017e-16
4632.770868627905   4.3646649565992515e-16
4634.041519288008   4.2915686602291656e-16
4635.312169948113   4.258460789298955e-16
4636.582820608216   4.237449342948924e-16
4637.8534712683195   4.3018320525719275e-16
4639.124121928424   4.2691527273734685e-16
4640.394772588527   4.242407132668322e-16
4641.665423248631   4.329899548070383e-16
4642.936073908735   4.3522008667804045e-16
4644.206724568839   4.1821367680042383e-16
4645.477375228943   4.2935030717224576e-16
4646.748025889046   4.3663669634276406e-16
4648.01867654915   4.182335820746843e-16
4649.289327209254   4.207904304353102e-16
4650.559977869358   4.202549732637475e-16
4651.830628529462   4.32473608816348e-16
4653.1012791895655   4.46191333866911e-16
4654.371929849669   4.3701891996021256e-16
4655.642580509773   4.345937852228847e-16
4656.913231169877   4.176874046423829e-16
4658.18388182998   4.1885710420298187e-16
4659.454532490085   4.234579224746712e-16
4660.725183150188   4.258552904131969e-16
4661.9958338102915   4.1370711741389613e-16
4663.266484470396   4.257041479716712e-16
4664.537135130499   4.096849549940795e-16
4665.807785790604   4.3220303472925943e-16
4667.078436450707   4.1328921253354454e-16
4668.349087110811   4.1230210151263806e-16
4669.619737770915   4.2403586364249467e-16
4670.890388431018   4.1391974915343656e-16
4672.161039091123   4.140627389028449e-16
4673.431689751226   4.286393288921442e-16
4674.70234041133   4.3034530618747354e-16
4675.972991071434   4.2454114526531146e-16
4677.2436417315375   4.171482152318963e-16
4678.514292391641   4.219379747903826e-16
4679.784943051745   4.004658748659433e-16
4681.055593711849   4.1022451498148047e-16
4682.326244371953   4.0918364383820294e-16
4683.596895032057   4.126879250201124e-16
4684.86754569216   4.248318628546769e-16
4686.1381963522645   4.041321510990151e-16
4687.408847012368   4.0266839875682087e-16
4688.679497672471   3.9268124503398223e-16
4689.950148332576   3.986783706494407e-16
4691.220798992679   3.962093754873128e-16
4692.491449652784   3.9479557161922697e-16
4693.762100312887   3.880336281919571e-16
4695.0327509729905   3.862804817493775e-16
4696.303401633095   3.896579726869948e-16
4697.574052293198   3.862791582603974e-16
4698.844702953302   3.8623328613234767e-16
4700.115353613406   3.7443710826219026e-16
4701.38600427351   3.628976078448305e-16
4702.656654933614   3.8420353049293035e-16
4703.927305593717   3.8016813318331286e-16
4705.197956253821   3.802403692118459e-16
4706.468606913925   3.7695652835445937e-16
4707.739257574029   3.6936094568841365e-16
4709.009908234133   3.6798954640724973e-16
4710.2805588942365   3.73743917673981e-16
4711.55120955434   3.836549178409056e-16
4712.821860214444   3.6749387331442836e-16
4714.092510874548   3.5775707076706256e-16
4715.363161534651   3.6740197023965126e-16
4716.633812194756   3.818941481018007e-16
4717.904462854859   3.662125771630286e-16
4719.1751135149625   3.647008880499757e-16
4720.445764175067   3.6753781314856717e-16
4721.71641483517   3.6960711463870943e-16
4722.987065495275   3.690903716013251e-16
4724.257716155378   3.587323762662667e-16
4725.528366815482   3.5975008635239273e-16
4726.799017475586   3.601239455194871e-16
4728.069668135689   3.577311303830529e-16
4729.340318795794   3.5770264890020147e-16
4730.610969455897   3.571789707805615e-16
4731.881620116001   3.5740094635230133e-16
4733.152270776105   3.5205262150466007e-16
4734.4229214362085   3.5956972127418677e-16
4735.693572096312   3.614173118903852e-16
4736.964222756416   3.5796586438856075e-16
4738.23487341652   3.62880693655665e-16
4739.505524076624   3.6555337377182796e-16
4740.776174736728   3.716421642340471e-16
4742.046825396831   3.7622463894847245e-16
4743.317476056935   3.728402923379383e-16
4744.588126717039   3.628494857855146e-16
4745.858777377143   3.7066320590525793e-16
4747.129428037247   3.716363938220939e-16
4748.40007869735   3.5733540717800753e-16
4749.670729357455   3.6428795948818924e-16
4750.941380017558   3.6963729018745536e-16
4752.2120306776615   3.61828758144514e-16
4753.482681337766   3.5855383760285324e-16
4754.753331997869   3.670128380097267e-16
4756.023982657973   3.618146762217659e-16
4757.294633318077   3.6057125832497617e-16
4758.565283978181   3.641910536250674e-16
4759.835934638285   3.551977607169337e-16
4761.106585298388   3.582348502888732e-16
4762.377235958492   3.64381344870624e-16
4763.647886618596   3.612190003016093e-16
4764.9185372787   3.5067492241595095e-16
4766.189187938804   3.514225348710213e-16
4767.4598385989075   3.605245391639792e-16
4768.730489259011   3.55034124539436e-16
4770.001139919115   3.449727495545942e-16
4771.271790579219   3.527799581085555e-16
4772.542441239322   3.570607567448603e-16
4773.813091899427   3.4755514125253575e-16
4775.08374255953   3.560354763017682e-16
4776.3543932196335   3.5386940129740214e-16
4777.625043879738   3.598476804297842e-16
4778.895694539841   3.674614743041959e-16
4780.166345199946   3.534570550707669e-16
4781.436995860049   3.557080980676544e-16
4782.707646520153   3.7448708320607827e-16
4783.978297180257   3.5837003145329906e-16
4785.24894784036   3.4609655051736385e-16
4786.519598500465   3.56759265955197e-16
4787.790249160568   3.6792448368898876e-16
4789.060899820672   3.458568931328501e-16
4790.331550480776   3.4532013894208687e-16
4791.6022011408795   3.538534135505227e-16
4792.872851800983   3.497399303910802e-16
4794.143502461087   3.5792817142240793e-16
4795.414153121191   3.576262835860506e-16
4796.684803781294   3.4541058617898587e-16
4797.955454441399   3.458135885734217e-16
4799.226105101502   3.417671268959307e-16
4800.496755761606   3.483935979911991e-16
4801.76740642171   3.5228460265308934e-16
4803.038057081814   3.3925914174844952e-16
4804.308707741918   3.4902887270163983e-16
4805.579358402021   3.4117783019265813e-16
4806.8500090621255   3.452460235592021e-16
4808.120659722229   3.5607025759216483e-16
4809.391310382332   3.394070813466434e-16
4810.661961042437   3.3842661424041695e-16
4811.93261170254   3.4157477100756517e-16
4813.203262362644   3.4144191918374426e-16
4814.473913022748   3.3478267850132895e-16
4815.744563682852   3.443426099813962e-16
4817.015214342956   3.47528142077342e-16
4818.285865003059   3.473798319022337e-16
4819.556515663163   3.379939921626068e-16
4820.827166323267   3.4090172392163282e-16
4822.097816983371   3.3866677455074315e-16
4823.368467643475   3.397234746222225e-16
4824.6391183035785   3.488274376788709e-16
4825.909768963682   3.4206403841372294e-16
4827.180419623786   3.34028263312901e-16
4828.45107028389   3.3454677982551863e-16
4829.721720943993   3.4535529080939793e-16
4830.992371604098   3.444317072595355e-16
4832.263022264201   3.4003655917535136e-16
4833.5336729243045   3.4931741976907793e-16
4834.804323584409   3.433924772425933e-16
4836.074974244512   3.330703484588952e-16
4837.345624904617   3.398439650589694e-16
4838.61627556472   3.361854180015413e-16
4839.886926224824   3.389059290094445e-16
4841.157576884928   3.4780805999662997e-16
4842.428227545031   3.3649839667555174e-16
4843.698878205136   3.4478158480631075e-16
4844.969528865239   3.5196982403406596e-16
4846.240179525343   3.347566851777601e-16
4847.510830185447   3.3418803490257683e-16
4848.7814808455505   3.3289792431456973e-16
4850.052131505654   3.3730493086001545e-16
4851.322782165758   3.5031961856435737e-16
4852.593432825862   3.3670877848382603e-16
4853.864083485966   3.4222624522312214e-16
4855.13473414607   3.4627305100774796e-16
4856.405384806173   3.43930925499251e-16
4857.676035466277   3.544144669989603e-16
4858.946686126381   3.4545992584816344e-16
4860.217336786485   3.462255112835833e-16
4861.487987446589   3.465281138039899e-16
4862.758638106692   3.3427231468082864e-16
4864.0292887667965   3.299006452911512e-16
4865.2999394269   3.297561997038647e-16
4866.570590087003   3.3607768599856237e-16
4867.841240747108   3.2742987665379e-16
4869.111891407211   3.3264572025452476e-16
4870.382542067315   3.2447791389304955e-16
4871.653192727419   3.1134162402121743e-16
4872.9238433875225   3.1284412812074855e-16
4874.194494047627   3.033158280273053e-16
4875.46514470773   2.94319782262093e-16
4876.735795367834   2.934834166360182e-16
4878.006446027938   2.993848010586573e-16
4879.277096688042   2.939515082184946e-16
4880.547747348146   2.847716298339485e-16
4881.8183980082495   2.954018403824308e-16
4883.089048668353   2.8555217069484336e-16
4884.359699328457   2.747024197943446e-16
4885.630349988561   2.6954396267578633e-16
4886.901000648664   2.7095308139288266e-16
4888.171651308769   2.556731364200071e-16
4889.442301968872   2.5530525942310273e-16
4890.7129526289755   2.594243012362616e-16
4891.98360328908   2.6345120174662694e-16
4893.254253949183   2.5726449956966113e-16
4894.524904609288   2.549424646238819e-16
4895.795555269391   2.448609726065428e-16
4897.066205929495   2.4067827097344185e-16
4898.336856589599   2.3942553571423234e-16
4899.607507249702   2.371428083911616e-16
4900.878157909807   2.252565009214604e-16
4902.14880856991   2.2555664175236405e-16
4903.419459230014   2.4453756483936925e-16
4904.690109890118   2.3168426338125887e-16
4905.9607605502215   2.3574761277813576e-16
4907.231411210325   2.332150372054046e-16
4908.502061870429   2.2556143278247196e-16
4909.772712530533   2.2256502726178027e-16
4911.043363190637   2.287036603189894e-16
4912.314013850741   2.1950224876873733e-16
4913.584664510844   2.2488145061428397e-16
4914.855315170948   2.3597482936623673e-16
4916.125965831052   2.260005134865049e-16
4917.396616491156   2.2319768146404043e-16
4918.66726715126   2.234156336292808e-16
4919.937917811363   2.2812601031874157e-16
4921.2085684714675   2.293182356617816e-16
4922.479219131571   2.317908571837149e-16
4923.749869791674   2.281814645070071e-16
4925.020520451779   2.261503059692709e-16
4926.291171111882   2.3163547957745295e-16
4927.561821771986   2.268788866528076e-16
4928.83247243209   2.2586583524789147e-16
4930.1031230921935   2.3895942936522606e-16
4931.373773752298   2.3703872921776773e-16
4932.644424412401   2.3384311213579367e-16
4933.915075072505   2.3110018122456783e-16
4935.185725732609   2.3683787653015005e-16
4936.456376392713   2.3331705173598955e-16
4937.727027052817   2.331120432929744e-16
4938.99767771292   2.4419261067159994e-16
4940.268328373024   2.3926330243505354e-16
4941.538979033128   2.5032753795966483e-16
4942.809629693232   2.55534117137539e-16
4944.080280353335   2.4026476007650414e-16
4945.35093101344   2.452294319385984e-16
4946.621581673543   2.5868290917939766e-16
4947.8922323336465   2.5110307603221495e-16
4949.162882993751   2.6140958764594806e-16
4950.433533653854   2.661927032897543e-16
4951.704184313959   2.5403264535941235e-16
4952.974834974062   2.646284451944124e-16
4954.245485634166   2.6980357827411977e-16
4955.51613629427   2.6983314501793487e-16
4956.786786954373   2.6658175611034003e-16
4958.057437614478   2.6958978186427686e-16
4959.328088274581   2.6958139094414313e-16
4960.598738934685   2.748846642269023e-16
4961.869389594789   2.7813475611529665e-16
4963.1400402548925   2.763215762125804e-16
4964.410690914996   2.7378095382685035e-16
4965.6813415751   2.755817988122722e-16
4966.951992235204   2.832660817097632e-16
4968.222642895308   2.822675357440688e-16
4969.493293555412   2.8560979540503625e-16
4970.763944215515   2.819946852559345e-16
4972.034594875619   2.80776307770648e-16
4973.305245535723   2.8902280878687905e-16
4974.575896195827   2.7716151525890146e-16
4975.846546855931   2.9138433664382404e-16
4977.117197516034   2.950529686872804e-16
4978.3878481761385   2.916067357320375e-16
4979.658498836242   2.9633542950898263e-16
4980.929149496345   2.928941199327456e-16
4982.19980015645   2.917363053031878e-16
4983.470450816553   2.8372422065510937e-16
4984.741101476657   2.866997415196953e-16
4986.011752136761   2.8641926773503574e-16
4987.2824027968645   2.957923490408946e-16
4988.553053456969   3.0780420267524666e-16
4989.823704117072   2.998059881916795e-16
4991.094354777176   2.933146717910574e-16
4992.36500543728   2.869783094802236e-16
4993.635656097384   2.964816485715024e-16
4994.906306757488   3.021675954579633e-16
4996.176957417591   3.0192357055981527e-16
4997.447608077695   2.918080913454676e-16
4998.718258737799   2.8671083235734844e-16
4999.988909397903   2.967947066548517e-16
5001.259560058006   2.887692547680744e-16
5002.5302107181105   2.855094484705662e-16
5003.800861378214   2.9478186520459984e-16
5005.071512038317   2.8449885875515303e-16
5006.342162698422   2.9066975847369663e-16
5007.612813358525   2.99903846966867e-16
5008.88346401863   2.9079503994055146e-16
5010.154114678733   3.000428397795555e-16
5011.424765338837   3.013387207795158e-16
5012.695415998941   2.91364934295376e-16
5013.966066659044   2.9928556585493056e-16
5015.236717319149   2.9574163294317777e-16
5016.507367979252   2.6615808081803527e-16
5017.778018639356   2.639654830945083e-16
5019.04866929946   2.9861476870026436e-16
5020.3193199595635   2.937719901732359e-16
5021.589970619667   2.9214923386497427e-16
5022.860621279771   2.918173557683282e-16
5024.131271939875   2.9409227450641643e-16
5025.401922599979   2.90794404665841e-16
5026.672573260083   2.933308977659532e-16
5027.943223920186   3.0294146593439852e-16
5029.21387458029   2.9754160442587276e-16
5030.484525240394   2.844376341549343e-16
5031.755175900498   2.8614959362045366e-16
5033.025826560602   2.9401884733780133e-16
5034.296477220705   2.9117117550869157e-16
5035.5671278808095   2.868285169974576e-16
5036.837778540913   2.920216230575145e-16
5038.108429201016   3.0557804127118475e-16
5039.379079861121   2.9924459063610713e-16
5040.649730521224   2.968231087283643e-16
5041.920381181328   3.014325296784242e-16
5043.191031841432   2.955998872734107e-16
5044.4616825015355   2.978070698454982e-16
5045.73233316164   2.986620172568534e-16
5047.002983821743   3.01267464132828e-16
5048.273634481847   2.9789846999446284e-16
5049.544285141951   3.034274775576653e-16
5050.814935802055   3.105786061544189e-16
5052.085586462159   3.05494820284117e-16
5053.356237122262   2.9998577093473425e-16
5054.626887782366   3.138701232478899e-16
5055.89753844247   3.120008538821977e-16
5057.168189102574   3.0100318985328467e-16
5058.438839762677   3.039612406633335e-16
5059.7094904227815   3.082634533513361e-16
5060.980141082885   3.118964835412282e-16
5062.250791742988   3.000098054946126e-16
5063.521442403093   3.0325537105069505e-16
5064.792093063196   3.0438679530999e-16
5066.062743723301   3.0451917067777807e-16
5067.333394383404   3.011609497397108e-16
5068.6040450435075   3.0899237814200763e-16
5069.874695703612   3.084785732501591e-16
5071.145346363715   3.019910155582404e-16
5072.41599702382   3.120962244981026e-16
5073.686647683923   3.0425023771702483e-16
5074.957298344027   3.0061919276060285e-16
5076.227949004131   3.1282708158268506e-16
5077.4985996642345   3.1428553996895895e-16
5078.769250324338   3.1313704270182093e-16
5080.039900984442   3.1767025715640754e-16
5081.310551644546   3.129583981592891e-16
5082.58120230465   3.0381075996629785e-16
5083.851852964754   3.114160570414574e-16
5085.122503624857   3.123737336674468e-16
5086.393154284961   3.1288608272141724e-16
5087.663804945065   3.093147006482175e-16
5088.934455605169   3.1309559102696467e-16
5090.205106265273   3.0704769637423016e-16
5091.475756925376   3.091777724783379e-16
5092.7464075854805   3.083137459325793e-16
5094.017058245584   3.0757306855976464e-16
5095.287708905687   3.086003077665473e-16
5096.558359565792   3.188460712360945e-16
5097.829010225895   3.0859353150296926e-16
5099.099660885999   3.0558084706782253e-16
5100.370311546103   3.04309238855757e-16
5101.6409622062065   3.070089446168933e-16
5102.911612866311   3.1783100812792864e-16
5104.182263526414   3.2632780738007334e-16
5105.452914186518   3.114458355435093e-16
5106.723564846622   3.137541856132345e-16
5107.994215506726   3.209282899786824e-16
5109.26486616683   3.2128317031380235e-16
