BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                 1788  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel (out of date)                
IRAF-MIN=                   0.  /  Min image pixel (out of date)                
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
OBJECT  = 'SN2009AL          '  /                                              
FILENAME= 'SN09AL_B01_DUP_WF_29MAR09'  /
3830.41410184667  1.615437E-16
3833.45551203134  1.262762E-16
3836.496922216  1.365511E-16
3839.53833240067  1.534320E-16
3842.57974258534  1.593169E-16
3845.62115277001  1.584790E-16
3848.66256295467  1.636432E-16
3851.70397313934  1.490417E-16
3854.74538332401  1.780492E-16
3857.78679350867  1.976573E-16
3860.82820369334  1.970214E-16
3863.86961387801  2.317284E-16
3866.91102406267  1.892264E-16
3869.95243424734  2.253556E-16
3872.99384443201  2.157379E-16
3876.03525461668  2.287301E-16
3879.07666480134  2.393032E-16
3882.11807498601  2.339150E-16
3885.15948517068  2.093149E-16
3888.20089535534  2.223770E-16
3891.24230554001  2.247875E-16
3894.28371572468  2.142907E-16
3897.32512590934  2.063641E-16
3900.36653609401  1.958356E-16
3903.40794627868  1.813352E-16
3906.44935646335  1.911897E-16
3909.49076664801  1.910886E-16
3912.53217683268  1.959642E-16
3915.57358701735  1.986572E-16
3918.61499720201  1.786775E-16
3921.65640738668  1.875818E-16
3924.69781757135  1.988580E-16
3927.73922775601  2.143348E-16
3930.78063794068  2.103380E-16
3933.82204812535  1.934381E-16
3936.86345831002  2.115451E-16
3939.90486849468  2.226044E-16
3942.94627867935  2.365190E-16
3945.98768886402  2.215664E-16
3949.02909904868  2.658920E-16
3952.07050923335  2.643718E-16
3955.11191941802  2.548660E-16
3958.15332960268  2.606975E-16
3961.19473978735  2.411107E-16
3964.23614997202  2.456129E-16
3967.27756015669  2.506136E-16
3970.31897034135  2.653149E-16
3973.36038052602  2.793271E-16
3976.40179071069  3.026405E-16
3979.44320089535  3.146059E-16
3982.48461108002  3.054261E-16
3985.52602126469  3.218015E-16
3988.56743144935  3.096616E-16
3991.60884163402  3.182188E-16
3994.65025181869  3.471904E-16
3997.69166200335  3.346566E-16
4000.73307218802  3.387185E-16
4003.77448237269  3.259319E-16
4006.81589255736  3.225248E-16
4009.85730274202  3.211849E-16
4012.89871292669  3.194380E-16
4015.94012311136  3.448806E-16
4018.98153329602  3.416101E-16
4022.02294348069  3.405874E-16
4025.06435366536  3.317486E-16
4028.10576385003  3.341666E-16
4031.14717403469  3.413646E-16
4034.18858421936  3.141445E-16
4037.22999440403  3.384008E-16
4040.27140458869  3.282377E-16
4043.31281477336  3.580547E-16
4046.35422495803  3.603364E-16
4049.39563514269  3.422796E-16
4052.43704532736  3.507776E-16
4055.47845551203  3.524767E-16
4058.5198656967  3.556752E-16
4061.56127588136  3.463508E-16
4064.60268606603  3.534998E-16
4067.6440962507  3.476347E-16
4070.68550643536  3.476217E-16
4073.72691662003  3.569084E-16
4076.7683268047  3.368102E-16
4079.80973698936  3.232879E-16
4082.85114717403  3.368597E-16
4085.8925573587  3.306752E-16
4088.93396754337  3.332068E-16
4091.97537772803  3.165691E-16
4095.0167879127  2.952788E-16
4098.05819809737  3.079916E-16
4101.09960828203  3.023688E-16
4104.1410184667  2.903254E-16
4107.18242865137  2.811394E-16
4110.22383883603  2.709663E-16
4113.2652490207  2.484004E-16
4116.30665920537  2.423619E-16
4119.34806939003  2.592867E-16
4122.3894795747  2.303260E-16
4125.43088975937  2.285587E-16
4128.47229994404  2.328468E-16
4131.5137101287  2.305418E-16
4134.55512031337  2.363671E-16
4137.59653049804  2.352577E-16
4140.6379406827  2.275790E-16
4143.67935086737  2.247307E-16
4146.72076105204  2.437468E-16
4149.76217123671  2.100485E-16
4152.80358142137  2.216040E-16
4155.84499160604  2.348908E-16
4158.88640179071  2.318973E-16
4161.92781197537  2.544176E-16
4164.96922216004  2.708990E-16
4168.01063234471  2.494128E-16
4171.05204252937  2.446597E-16
4174.09345271404  2.661627E-16
4177.13486289871  2.751944E-16
4180.17627308338  2.943555E-16
4183.21768326804  2.869949E-16
4186.25909345271  2.601860E-16
4189.30050363738  2.857768E-16
4192.34191382204  2.927047E-16
4195.38332400671  2.997856E-16
4198.42473419138  2.816505E-16
4201.46614437605  2.705476E-16
4204.50755456071  2.727838E-16
4207.54896474538  2.823633E-16
4210.59037493005  2.596086E-16
4213.63178511471  2.520432E-16
4216.67319529938  2.538056E-16
4219.71460548405  2.638150E-16
4222.75601566871  2.449166E-16
4225.79742585338  2.345640E-16
4228.83883603805  2.277970E-16
4231.88024622271  2.419666E-16
4234.92165640738  2.400787E-16
4237.96306659205  2.328381E-16
4241.00447677672  2.367160E-16
4244.04588696138  2.392698E-16
4247.08729714605  2.221690E-16
4250.12870733072  2.222667E-16
4253.17011751538  2.260303E-16
4256.21152770005  2.284651E-16
4259.25293788472  2.384529E-16
4262.29434806939  2.337581E-16
4265.33575825405  2.276571E-16
4268.37716843872  2.256063E-16
4271.41857862339  2.111451E-16
4274.45998880805  2.151236E-16
4277.50139899272  2.170667E-16
4280.54280917739  2.270230E-16
4283.58421936205  2.426553E-16
4286.62562954672  2.504040E-16
4289.66703973139  2.573999E-16
4292.70844991606  2.602649E-16
4295.74986010072  2.654711E-16
4298.79127028539  2.559557E-16
4301.83268047005  2.620138E-16
4304.87409065472  2.765125E-16
4307.91550083939  2.819191E-16
4310.95691102406  2.802838E-16
4313.99832120872  2.817211E-16
4317.03973139339  2.891671E-16
4320.08114157806  3.008830E-16
4323.12255176272  2.929690E-16
4326.16396194739  3.063253E-16
4329.20537213206  3.152340E-16
4332.24678231673  2.992152E-16
4335.28819250139  2.765565E-16
4338.32960268606  2.788385E-16
4341.37101287073  2.815868E-16
4344.41242305539  2.966107E-16
4347.45383324006  2.808295E-16
4350.49524342473  2.854039E-16
4353.53665360939  2.782213E-16
4356.57806379406  2.633337E-16
4359.61947397873  2.593128E-16
4362.6608841634  2.651266E-16
4365.70229434806  2.587028E-16
4368.74370453273  2.706552E-16
4371.7851147174  2.486226E-16
4374.82652490206  2.608223E-16
4377.86793508673  2.586338E-16
4380.9093452714  2.568678E-16
4383.95075545607  2.673746E-16
4386.99216564073  2.735218E-16
4390.0335758254  2.657817E-16
4393.07498601007  2.696662E-16
4396.11639619473  2.804082E-16
4399.1578063794  2.727582E-16
4402.19921656407  2.710966E-16
4405.24062674873  2.776255E-16
4408.2820369334  2.672472E-16
4411.32344711807  2.777978E-16
4414.36485730273  2.971019E-16
4417.4062674874  2.830143E-16
4420.44767767207  2.769686E-16
4423.48908785674  2.782711E-16
4426.5304980414  2.843736E-16
4429.57190822607  2.731014E-16
4432.61331841074  2.739164E-16
4435.6547285954  2.728169E-16
4438.69613878007  2.758220E-16
4441.73754896474  2.747734E-16
4444.77895914941  2.704878E-16
4447.82036933407  2.756099E-16
4450.86177951874  2.825807E-16
4453.90318970341  2.912948E-16
4456.94459988807  2.777912E-16
4459.98601007274  2.685768E-16
4463.02742025741  2.558182E-16
4466.06883044207  2.517038E-16
4469.11024062674  2.526067E-16
4472.15165081141  2.284845E-16
4475.19306099608  2.429872E-16
4478.23447118074  2.210659E-16
4481.27588136541  2.087393E-16
4484.31729155008  2.102157E-16
4487.35870173474  2.075950E-16
4490.40011191941  1.965192E-16
4493.44152210408  1.939772E-16
4496.48293228874  1.941803E-16
4499.52434247341  1.943353E-16
4502.56575265808  1.882771E-16
4505.60716284275  1.776080E-16
4508.64857302741  1.791822E-16
4511.68998321208  1.908552E-16
4514.73139339675  1.824460E-16
4517.77280358141  1.875395E-16
4520.81421376608  1.927767E-16
4523.85562395075  1.903333E-16
4526.89703413541  1.878996E-16
4529.93844432008  1.807614E-16
4532.97985450475  1.838149E-16
4536.02126468941  1.738372E-16
4539.06267487408  1.805745E-16
4542.10408505875  1.790619E-16
4545.14549524342  1.783793E-16
4548.18690542808  1.769763E-16
4551.22831561275  1.712128E-16
4554.26972579742  1.786822E-16
4557.31113598208  1.806886E-16
4560.35254616675  1.862161E-16
4563.39395635142  1.916435E-16
4566.43536653609  1.901013E-16
4569.47677672075  1.869767E-16
4572.51818690542  2.023976E-16
4575.55959709009  1.973957E-16
4578.60100727475  2.033141E-16
4581.64241745942  2.094951E-16
4584.68382764409  2.175481E-16
4587.72523782875  2.263867E-16
4590.76664801342  2.209001E-16
4593.80805819809  2.261198E-16
4596.84946838276  2.212171E-16
4599.89087856742  2.162568E-16
4602.93228875209  2.363997E-16
4605.97369893676  2.327890E-16
4609.01510912142  2.472245E-16
4612.05651930609  2.311098E-16
4615.09792949076  2.340263E-16
4618.13933967543  2.441136E-16
4621.18074986009  2.558623E-16
4624.22216004476  2.565988E-16
4627.26357022943  2.516512E-16
4630.30498041409  2.627117E-16
4633.34639059876  2.678590E-16
4636.38780078343  2.751786E-16
4639.42921096809  2.878466E-16
4642.47062115276  2.837224E-16
4645.51203133743  2.908115E-16
4648.5534415221  3.170242E-16
4651.59485170676  3.222933E-16
4654.63626189143  3.292561E-16
4657.6776720761  3.530703E-16
4660.71908226076  3.774570E-16
4663.76049244543  3.784552E-16
4666.8019026301  3.922164E-16
4669.84331281476  4.260860E-16
4672.88472299943  4.336377E-16
4675.9261331841  4.507590E-16
4678.96754336876  4.714095E-16
4682.00895355343  5.041253E-16
4685.0503637381  5.285964E-16
4688.09177392277  5.323902E-16
4691.13318410743  5.562557E-16
4694.1745942921  5.808521E-16
4697.21600447677  6.045984E-16
4700.25741466143  5.997731E-16
4703.2988248461  6.051902E-16
4706.34023503077  6.142741E-16
4709.38164521543  6.156780E-16
4712.4230554001  6.043510E-16
4715.46446558477  6.136387E-16
4718.50587576944  6.099657E-16
4721.5472859541  6.049944E-16
4724.58869613877  5.867899E-16
4727.63010632344  5.880112E-16
4730.6715165081  5.748562E-16
4733.71292669277  5.631520E-16
4736.75433687744  5.448843E-16
4739.7957470621  5.444916E-16
4742.83715724677  5.402178E-16
4745.87856743144  5.337432E-16
4748.91997761611  5.260235E-16
4751.96138780077  5.307443E-16
4755.00279798544  5.481359E-16
4758.04420817011  5.661109E-16
4761.08561835477  5.608236E-16
4764.12702853944  5.621140E-16
4767.16843872411  5.508474E-16
4770.20984890877  5.576568E-16
4773.25125909344  5.493939E-16
4776.29266927811  5.379899E-16
4779.33407946277  5.415519E-16
4782.37548964744  5.266549E-16
4785.41689983211  5.014630E-16
4788.45831001678  4.929834E-16
4791.49972020144  4.510267E-16
4794.54113038611  4.179226E-16
4797.58254057078  4.007319E-16
4800.62395075545  3.799847E-16
4803.66536094011  3.582480E-16
4806.70677112478  3.410702E-16
4809.74818130945  3.178199E-16
4812.78959149411  2.979698E-16
4815.83100167878  2.815398E-16
4818.87241186345  2.610802E-16
4821.91382204811  2.560689E-16
4824.95523223278  2.551645E-16
4827.99664241745  2.411121E-16
4831.03805260212  2.379505E-16
4834.07946278678  2.392861E-16
4837.12087297145  2.234743E-16
4840.16228315612  2.250429E-16
4843.20369334078  2.203945E-16
4846.24510352545  2.331445E-16
4849.28651371012  2.296499E-16
4852.32792389478  2.298282E-16
4855.36933407945  2.332462E-16
4858.41074426412  2.343368E-16
4861.45215444879  2.382630E-16
4864.49356463345  2.527375E-16
4867.53497481812  2.504037E-16
4870.57638500279  2.632756E-16
4873.61779518745  2.606625E-16
4876.65920537212  2.725934E-16
4879.70061555679  2.732402E-16
4882.74202574145  2.813057E-16
4885.78343592612  2.816463E-16
4888.82484611079  2.835290E-16
4891.86625629545  2.799385E-16
4894.90766648012  2.812498E-16
4897.94907666479  2.888290E-16
4900.99048684946  2.757334E-16
4904.03189703412  2.783931E-16
4907.07330721879  2.771275E-16
4910.11471740346  2.714046E-16
4913.15612758812  2.819524E-16
4916.19753777279  2.764422E-16
4919.23894795746  2.864988E-16
4922.28035814212  2.966651E-16
4925.32176832679  2.970966E-16
4928.36317851146  2.988610E-16
4931.40458869613  3.107946E-16
4934.44599888079  3.189940E-16
4937.48740906546  3.296996E-16
4940.52881925013  3.398222E-16
4943.57022943479  3.553288E-16
4946.61163961946  3.716918E-16
4949.65304980413  3.735856E-16
4952.69445998879  3.821036E-16
4955.73587017346  3.942685E-16
4958.77728035813  4.095064E-16
4961.81869054279  3.978630E-16
4964.86010072746  3.875333E-16
4967.90151091213  4.016447E-16
4970.9429210968  3.899882E-16
4973.98433128146  3.879134E-16
4977.02574146613  3.967703E-16
4980.0671516508  3.923913E-16
4983.10856183546  3.750424E-16
4986.14997202013  3.562138E-16
4989.1913822048  3.453458E-16
4992.23279238947  3.443877E-16
4995.27420257413  3.387235E-16
4998.3156127588  3.380321E-16
5001.35702294347  3.296057E-16
5004.39843312813  3.393427E-16
5007.4398433128  3.457839E-16
5010.48125349747  3.638029E-16
5013.52266368214  3.598546E-16
5016.5640738668  3.510823E-16
5019.60548405147  3.719852E-16
5022.64689423614  3.982025E-16
5025.6883044208  3.939673E-16
5028.72971460547  4.082947E-16
5031.77112479014  4.230139E-16
5034.8125349748  4.354320E-16
5037.85394515947  4.433165E-16
5040.89535534414  4.451526E-16
5043.93676552881  4.706948E-16
5046.97817571347  4.722575E-16
5050.01958589814  4.915074E-16
5053.06099608281  5.062795E-16
5056.10240626747  5.129117E-16
5059.14381645214  5.204628E-16
5062.18522663681  5.140435E-16
5065.22663682147  5.140849E-16
5068.26804700614  5.335504E-16
5071.30945719081  5.321167E-16
5074.35086737548  5.288901E-16
5077.39227756014  5.174874E-16
5080.43368774481  5.123078E-16
5083.47509792948  5.060405E-16
5086.51650811414  5.087051E-16
5089.55791829881  4.853366E-16
5092.59932848348  4.842930E-16
5095.64073866814  4.694045E-16
5098.68214885281  4.461977E-16
5101.72355903748  4.396936E-16
5104.76496922214  4.285815E-16
5107.80637940681  4.024202E-16
5110.84778959148  3.857787E-16
5113.88919977615  3.784192E-16
5116.93060996081  3.543596E-16
5119.97202014548  3.374382E-16
5123.01343033015  3.293778E-16
5126.05484051482  3.327124E-16
5129.09625069948  3.148233E-16
5132.13766088415  2.998119E-16
5135.17907106882  2.865334E-16
5138.22048125348  2.739722E-16
5141.26189143815  2.751207E-16
5144.30330162282  2.767261E-16
5147.34471180748  2.739168E-16
5150.38612199215  2.732547E-16
5153.42753217682  2.657532E-16
5156.46894236148  2.650579E-16
5159.51035254615  2.565339E-16
5162.55176273082  2.696991E-16
5165.59317291549  2.710162E-16
5168.63458310015  2.579937E-16
5171.67599328482  2.573576E-16
5174.71740346949  2.684862E-16
5177.75881365415  2.663323E-16
5180.80022383882  2.615488E-16
5183.84163402349  2.561579E-16
5186.88304420816  2.577107E-16
5189.92445439282  2.602897E-16
5192.96586457749  2.540531E-16
5196.00727476216  2.601026E-16
5199.04868494682  2.511241E-16
5202.09009513149  2.481469E-16
5205.13150531616  2.524879E-16
5208.17291550082  2.599085E-16
5211.21432568549  2.560839E-16
5214.25573587016  2.566047E-16
5217.29714605482  2.576095E-16
5220.33855623949  2.450684E-16
5223.37996642416  2.496517E-16
5226.42137660883  2.474901E-16
5229.46278679349  2.487910E-16
5232.50419697816  2.453854E-16
5235.54560716283  2.492336E-16
5238.58701734749  2.430503E-16
5241.62842753216  2.370618E-16
5244.66983771683  2.431025E-16
5247.7112479015  2.446183E-16
5250.75265808616  2.542321E-16
5253.79406827083  2.490151E-16
5256.8354784555  2.529128E-16
5259.87688864016  2.478639E-16
5262.91829882483  2.473004E-16
5265.9597090095  2.442594E-16
5269.00111919416  2.448745E-16
5272.04252937883  2.421778E-16
5275.0839395635  2.524194E-16
5278.12534974816  2.467814E-16
5281.16675993283  2.495679E-16
5284.2081701175  2.511297E-16
5287.24958030216  2.471030E-16
5290.29099048683  2.527446E-16
5293.3324006715  2.513616E-16
5296.37381085617  2.437220E-16
5299.41522104083  2.488171E-16
5302.4566312255  2.534167E-16
5305.49804141017  2.583940E-16
5308.53945159484  2.573541E-16
5311.5808617795  2.674761E-16
5314.62227196417  2.785839E-16
5317.66368214884  2.866669E-16
5320.7050923335  2.988775E-16
5323.74650251817  2.930075E-16
5326.78791270284  2.903636E-16
5329.8293228875  3.086283E-16
5332.87073307217  3.141247E-16
5335.91214325684  3.331707E-16
5338.9535534415  3.321021E-16
5341.99496362617  3.271061E-16
5345.03637381084  3.348277E-16
5348.07778399551  3.583246E-16
5351.11919418017  3.685181E-16
5354.16060436484  3.630129E-16
5357.20201454951  3.656390E-16
5360.24342473417  3.727391E-16
5363.28483491884  3.799321E-16
5366.32624510351  4.052372E-16
5369.36765528817  4.103622E-16
5372.40906547284  4.225207E-16
5375.45047565751  4.220961E-16
5378.49188584218  4.414826E-16
5381.53329602684  4.581235E-16
5384.57470621151  4.605175E-16
5387.61611639618  4.648393E-16
5390.65752658084  4.773590E-16
5393.69893676551  4.602969E-16
5396.74034695018  4.664529E-16
5399.78175713485  4.679238E-16
5402.82316731951  4.735480E-16
5405.86457750418  4.689579E-16
5408.90598768885  4.764908E-16
5411.94739787351  4.785372E-16
5414.98880805818  4.673506E-16
5418.03021824285  4.698378E-16
5421.07162842751  4.851832E-16
5424.11303861218  4.901439E-16
5427.15444879685  4.940044E-16
5430.19585898152  4.979650E-16
5433.23726916618  5.151767E-16
5436.27867935085  5.086660E-16
5439.32008953552  5.154556E-16
5442.36149972018  5.263675E-16
5445.40290990485  5.317182E-16
5448.44432008952  5.275259E-16
5451.48573027418  5.204290E-16
5454.52714045885  5.223009E-16
5457.56855064352  5.224160E-16
5460.60996082819  5.060677E-16
5463.65137101285  4.935747E-16
5466.69278119752  4.968436E-16
5469.73419138219  4.843164E-16
5472.77560156685  4.614565E-16
5475.81701175152  4.580756E-16
5478.85842193619  4.474067E-16
5481.89983212085  4.494439E-16
5484.94124230552  4.446458E-16
5487.98265249019  4.320133E-16
5491.02406267486  4.318828E-16
5494.06547285952  4.301711E-16
5497.10688304419  4.214006E-16
5500.14829322886  4.130786E-16
5503.18970341352  4.116005E-16
5506.23111359819  4.255359E-16
5509.27252378286  4.239963E-16
5512.31393396752  4.230405E-16
5515.35534415219  4.421890E-16
5518.39675433686  4.470001E-16
5521.43816452153  4.432557E-16
5524.47957470619  4.575352E-16
5527.52098489086  4.740833E-16
5530.56239507553  4.653387E-16
5533.60380526019  4.899645E-16
5536.64521544486  4.964454E-16
5539.68662562953  4.905264E-16
5542.72803581419  5.132827E-16
5545.76944599886  5.326931E-16
5548.81085618353  5.471298E-16
5551.85226636819  5.693253E-16
5554.89367655286  5.894871E-16
5557.93508673753  5.958648E-16
5560.9764969222  6.072730E-16
5564.01790710686  6.317756E-16
5567.05931729153  6.354040E-16
5570.1007274762  6.704781E-16
5573.14213766086  6.916147E-16
5576.18354784553  6.842643E-16
5579.2249580302  7.065992E-16
5582.26636821487  7.021893E-16
5585.30777839953  7.093504E-16
5588.3491885842  7.237093E-16
5591.39059876887  7.215846E-16
5594.43200895353  7.396913E-16
5597.4734191382  7.397411E-16
5600.51482932287  7.487355E-16
5603.55623950754  7.460436E-16
5606.5976496922  7.414121E-16
5609.63905987687  7.482301E-16
5612.68047006154  7.553331E-16
5615.7218802462  7.380944E-16
5618.76329043087  7.469801E-16
5621.80470061554  7.428014E-16
5624.8461108002  7.428645E-16
5627.88752098487  7.276204E-16
5630.92893116954  7.340264E-16
5633.9703413542  7.409066E-16
5637.01175153887  7.318333E-16
5640.05316172354  7.008086E-16
5643.09457190821  7.132101E-16
5646.13598209287  7.178685E-16
5649.17739227754  6.903173E-16
5652.21880246221  6.832060E-16
5655.26021264687  6.946901E-16
5658.30162283154  6.836000E-16
5661.34303301621  6.910708E-16
5664.38444320087  6.778368E-16
5667.42585338554  6.788414E-16
5670.46726357021  6.819080E-16
5673.50867375488  6.590002E-16
5676.55008393954  6.498384E-16
5679.59149412421  6.365234E-16
5682.63290430888  6.442202E-16
5685.67431449354  6.452433E-16
5688.71572467821  6.283546E-16
5691.75713486288  6.231080E-16
5694.79854504755  6.325889E-16
5697.83995523221  6.045642E-16
5700.88136541688  6.136099E-16
5703.92277560154  6.169014E-16
5706.96418578621  6.048763E-16
5710.00559597088  6.061244E-16
5713.04700615555  5.982542E-16
5716.08841634021  5.849125E-16
5719.12982652488  5.865544E-16
5722.17123670955  5.889321E-16
5725.21264689421  5.786516E-16
5728.25405707888  5.722318E-16
5731.29546726355  5.665638E-16
5734.33687744822  5.623135E-16
5737.37828763288  5.572471E-16
5740.41969781755  5.472010E-16
5743.46110800222  5.419929E-16
5746.50251818688  5.262908E-16
5749.54392837155  5.267646E-16
5752.58533855622  5.257518E-16
5755.62674874089  5.201528E-16
5758.66815892555  5.011906E-16
5761.70956911022  5.010767E-16
5764.75097929488  4.940227E-16
5767.79238947955  4.860057E-16
5770.83379966422  4.816246E-16
5773.87520984889  4.721399E-16
5776.91662003355  4.689579E-16
5779.95803021822  4.734524E-16
5782.99944040289  4.464467E-16
5786.04085058755  4.472389E-16
5789.08226077222  4.429790E-16
5792.12367095689  4.396396E-16
5795.16508114156  4.347094E-16
5798.20649132622  4.227459E-16
5801.24790151089  4.186561E-16
5804.28931169556  4.136071E-16
5807.33072188022  4.215959E-16
5810.37213206489  4.184049E-16
5813.41354224956  4.015669E-16
5816.45495243422  3.988573E-16
5819.49636261889  3.921001E-16
5822.53777280356  3.939608E-16
5825.57918298823  3.959457E-16
5828.62059317289  3.868191E-16
5831.66200335756  3.852947E-16
5834.70341354223  3.930764E-16
5837.74482372689  3.902469E-16
5840.78623391156  3.820878E-16
5843.82764409623  3.831412E-16
5846.86905428089  3.896292E-16
5849.91046446556  3.935805E-16
5852.95187465023  3.870462E-16
5855.99328483489  3.786458E-16
5859.03469501956  3.833848E-16
5862.07610520423  3.930489E-16
5865.1175153889  3.760731E-16
5868.15892557356  3.826242E-16
5871.20033575823  3.731721E-16
5874.2417459429  3.780990E-16
5877.28315612756  3.899436E-16
5880.32456631223  3.883940E-16
5883.3659764969  3.932449E-16
5886.40738668157  3.871329E-16
5889.44879686623  3.872728E-16
5892.4902070509  3.757728E-16
5895.53161723557  3.921434E-16
5898.57302742023  3.974094E-16
5901.6144376049  4.052062E-16
5904.65584778957  4.155729E-16
5907.69725797423  4.224527E-16
5910.7386681589  4.292047E-16
5913.78007834357  4.332374E-16
5916.82148852824  4.416667E-16
5919.8628987129  4.529847E-16
5922.90430889757  4.801675E-16
5925.94571908224  4.771344E-16
5928.9871292669  4.988789E-16
5932.02853945157  4.938010E-16
5935.06994963624  5.034165E-16
5938.11135982091  5.161355E-16
5941.15277000557  5.307823E-16
5944.19418019024  5.513853E-16
5947.23559037491  5.446707E-16
5950.27700055957  5.497923E-16
5953.31841074424  5.681893E-16
5956.35982092891  5.707474E-16
5959.40123111357  5.588982E-16
5962.44264129824  5.724537E-16
5965.48405148291  5.704240E-16
5968.52546166758  5.779040E-16
5971.56687185224  5.924654E-16
5974.60828203691  5.980336E-16
5977.64969222158  5.893899E-16
5980.69110240624  5.854176E-16
5983.73251259091  5.793777E-16
5986.77392277558  6.014877E-16
5989.81533296024  5.894135E-16
5992.85674314491  5.894195E-16
5995.89815332958  6.120422E-16
5998.93956351424  6.134143E-16
6001.98097369891  6.160180E-16
6005.02238388358  6.146436E-16
6008.06379406825  6.155522E-16
