BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                 1788  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel (out of date)                
IRAF-MIN=                   0.  /  Min image pixel (out of date)                
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
OBJECT  = 'SN2008FU          '  /                                              
FILENAME= 'SN08FU_B01_DUP_WF_20OCT08'  /
4061.56127588136  1.934960E-17
4064.60268606603  3.759929E-17
4067.6440962507  4.905287E-17
4070.68550643536  6.752152E-17
4073.72691662003  5.491264E-17
4076.7683268047  2.835305E-17
4079.80973698936  3.295228E-17
4082.85114717403  5.281820E-17
4085.8925573587  3.643088E-17
4088.93396754337  4.042556E-17
4091.97537772803  6.284392E-17
4095.0167879127  5.155730E-17
4098.05819809737  5.091829E-17
4101.09960828203  3.147920E-17
4104.1410184667  4.125674E-17
4107.18242865137  5.294991E-17
4110.22383883603  6.245530E-17
4113.2652490207  7.541566E-17
4116.30665920537  6.441573E-17
4119.34806939003  6.571955E-17
4122.3894795747  5.800535E-17
4125.43088975937  5.882677E-17
4128.47229994404  6.248648E-17
4131.5137101287  6.548236E-17
4134.55512031337  3.717514E-17
4137.59653049804  4.277353E-17
4140.6379406827  3.978183E-17
4143.67935086737  5.762605E-17
4146.72076105204  7.617733E-17
4149.76217123671  5.779944E-17
4152.80358142137  5.896131E-17
4155.84499160604  9.698963E-17
4158.88640179071  6.326019E-17
4161.92781197537  7.311395E-17
4164.96922216004  5.536114E-17
4168.01063234471  6.526614E-17
4171.05204252937  5.730807E-17
4174.09345271404  3.961021E-17
4177.13486289871  6.756095E-17
4180.17627308338  5.585769E-17
4183.21768326804  6.536484E-17
4186.25909345271  5.397756E-17
4189.30050363738  5.610520E-17
4192.34191382204  5.310323E-17
4195.38332400671  5.926417E-17
4198.42473419138  7.746139E-17
4201.46614437605  8.413293E-17
4204.50755456071  6.538837E-17
4207.54896474538  5.546014E-17
4210.59037493005  5.737001E-17
4213.63178511471  5.589540E-17
4216.67319529938  6.684206E-17
4219.71460548405  7.165078E-17
4222.75601566871  5.941266E-17
4225.79742585338  6.109893E-17
4228.83883603805  4.813513E-17
4231.88024622271  6.308757E-17
4234.92165640738  5.620179E-17
4237.96306659205  5.218985E-17
4241.00447677672  5.982068E-17
4244.04588696138  4.487147E-17
4247.08729714605  4.530732E-17
4250.12870733072  6.067498E-17
4253.17011751538  4.537442E-17
4256.21152770005  4.075443E-17
4259.25293788472  5.312157E-17
4262.29434806939  6.243971E-17
4265.33575825405  6.986939E-17
4268.37716843872  5.120384E-17
4271.41857862339  3.859177E-17
4274.45998880805  7.192331E-17
4277.50139899272  5.347604E-17
4280.54280917739  4.121685E-17
4283.58421936205  4.988301E-17
4286.62562954672  5.884457E-17
4289.66703973139  5.835884E-17
4292.70844991606  3.589029E-17
4295.74986010072  6.354445E-17
4298.79127028539  6.834845E-17
4301.83268047005  6.922970E-17
4304.87409065472  7.768641E-17
4307.91550083939  6.783236E-17
4310.95691102406  5.239371E-17
4313.99832120872  4.617773E-17
4317.03973139339  3.466442E-17
4320.08114157806  6.688068E-17
4323.12255176272  6.130347E-17
4326.16396194739  5.151039E-17
4329.20537213206  6.142689E-17
4332.24678231673  4.604122E-17
4335.28819250139  4.316242E-17
4338.32960268606  6.109989E-17
4341.37101287073  7.916869E-17
4344.41242305539  6.137839E-17
4347.45383324006  4.861596E-17
4350.49524342473  5.726149E-17
4353.53665360939  4.217024E-17
4356.57806379406  5.239238E-17
4359.61947397873  7.144830E-17
4362.6608841634  4.127426E-17
4365.70229434806  4.121103E-17
4368.74370453273  5.477527E-17
4371.7851147174  5.198606E-17
4374.82652490206  4.213184E-17
4377.86793508673  5.789468E-17
4380.9093452714  5.325856E-17
4383.95075545607  4.487597E-17
4386.99216564073  5.605381E-17
4390.0335758254  4.828977E-17
4393.07498601007  4.826709E-17
4396.11639619473  4.798666E-17
4399.1578063794  5.217015E-17
4402.19921656407  5.734279E-17
4405.24062674873  6.092195E-17
4408.2820369334  5.980762E-17
4411.32344711807  6.325897E-17
4414.36485730273  3.936230E-17
4417.4062674874  5.091896E-17
4420.44767767207  6.654378E-17
4423.48908785674  5.289275E-17
4426.5304980414  4.214442E-17
4429.57190822607  3.806655E-17
4432.61331841074  5.164433E-17
4435.6547285954  5.553652E-17
4438.69613878007  4.623600E-17
4441.73754896474  5.280084E-17
4444.77895914941  5.965687E-17
4447.82036933407  5.720163E-17
4450.86177951874  6.388960E-17
4453.90318970341  5.463258E-17
4456.94459988807  7.127130E-17
