# wavelength flux fluxerr
# GROUPS UCSC,YSE
# SNID ztf24abcnhxx
# OBS_GROUP UCSC
# RA 321.33487499999995
# OBS_DATE 2024-09-02 08:30:06.86
# DEC 15.587611111111112
# INSTRUMENT KAST
# OBSERVER MIKE RICH K-RYAN HINDS JACOB WISE
# REDUCER K-RYAN HINDS
3.472530527316545886e+03 9.151814224230314654e-02 3.610894423477143539e-02
3.475061054633091771e+03 2.430402482770235850e-01 3.927488767242186957e-02
3.477591581949637657e+03 1.979337928581835215e-01 4.599159231452397412e-02
3.480122109266183543e+03 1.253222348604846326e-01 5.048788528897051042e-02
3.482652636582729428e+03 5.276460566349611830e-02 5.135731576921438030e-02
3.485183163899275314e+03 2.206780322956436446e-01 4.960246048515119105e-02
3.487713691215821200e+03 1.958547901844910344e-01 4.520750683651626745e-02
3.490244218532367086e+03 1.068463105333510577e-01 4.399844546734113515e-02
3.492774745848912971e+03 1.363305529401780403e-01 4.354261636557963527e-02
3.495305273165458857e+03 1.686877003918578755e-01 4.477457888389964336e-02
3.497835800482004743e+03 -2.679520217272611179e-02 4.091370493769469485e-02
3.500366327798550628e+03 2.131727088480691867e-01 3.946109331576910101e-02
3.502896855115096514e+03 1.240973032933478520e-01 4.072243206438355689e-02
3.505427382431642400e+03 9.680660846882747916e-02 3.800716424354841361e-02
3.507957909748188285e+03 3.189128341339471651e-01 4.424037665344366516e-02
3.510488437064734171e+03 8.263468392346673408e-02 4.256963461345949357e-02
3.513018964381280057e+03 9.561079779617222274e-02 3.967209537764510713e-02
3.515549491697825943e+03 5.039084098952957558e-02 3.989104752124195130e-02
3.518080019014371828e+03 1.035835500068845727e-01 3.809524891239909894e-02
3.520610546330917714e+03 2.430268873841585908e-01 3.710114131673417082e-02
3.523141073647463600e+03 1.541300830024950608e-01 4.129570889892866109e-02
3.525671600964009485e+03 2.054131438494541037e-02 3.847311747203611965e-02
3.528202128280555371e+03 1.039241544731380612e-01 3.924317362025692146e-02
3.530732655597101257e+03 1.573183895652045250e-01 3.701373808661293646e-02
3.533263182913647142e+03 1.709007683660326848e-01 3.415296317605065468e-02
3.535793710230193028e+03 -3.331983126593431044e-02 4.111296953999436787e-02
3.538324237546738914e+03 1.221603711731312630e-01 4.132577512127324354e-02
3.540854764863284800e+03 1.442108938490445913e-01 4.870834817521321747e-02
3.543385292179830685e+03 1.828906730002725911e-01 5.097613383911656082e-02
3.545915819496376571e+03 1.081243332901537096e-01 4.976039557542503294e-02
3.548446346812922457e+03 8.646811029111568792e-02 4.790455085067849700e-02
3.550976874129468342e+03 -2.054276363064822409e-03 4.807552866350598558e-02
3.553507401446014228e+03 1.154810267669021256e-01 4.982617143052872621e-02
3.556037928762560114e+03 2.874407084776672283e-01 4.916841393630861506e-02
3.558568456079105999e+03 2.768710351209955900e-01 4.743829553161671431e-02
3.561098983395651885e+03 3.644457750776610577e-02 4.714877370943752755e-02
3.563629510712197771e+03 2.505496825763534052e-01 4.452411524052760777e-02
3.566160038028743656e+03 2.187891485840038064e-01 4.118870412370755768e-02
3.568690565345289542e+03 1.563558972090668964e-01 3.914115985230033623e-02
3.571221092661835428e+03 6.860114521871604754e-02 3.988943400601462075e-02
3.573751619978381314e+03 2.199469164054671522e-01 4.026644413303983455e-02
3.576282147294927199e+03 6.356019460186752845e-02 4.063268064574036137e-02
3.578812674611473085e+03 1.380739377999199990e-01 3.868411542018910382e-02
3.581343201928018971e+03 -6.354649327097437739e-02 3.901014784164852367e-02
3.583873729244564856e+03 1.713512456050576560e-01 3.618109063387987823e-02
3.586404256561110742e+03 2.272105976551161977e-01 3.596628121700266856e-02
3.588934783877656628e+03 2.141857555628379761e-01 3.443621863049233650e-02
3.591465311194202513e+03 2.541152596370113009e-02 3.588718492063247556e-02
3.593995838510748399e+03 1.305383185724568462e-01 3.950540146586404427e-02
3.596526365827294285e+03 1.737992621771723423e-01 3.346961565255091031e-02
3.599056893143840171e+03 1.600243948083629741e-01 3.632996607417381812e-02
3.601587420460386056e+03 1.520088893427791743e-01 3.380448441120962461e-02
3.604117947776931942e+03 1.396004962260708471e-01 3.394706418479685739e-02
3.606648475093477828e+03 1.166180748385826638e-01 3.308735544086093688e-02
3.609179002410023713e+03 1.181814264321449925e-01 3.575766602301994057e-02
3.611709529726569599e+03 2.261287997512344272e-01 3.451186516910673130e-02
3.614240057043115485e+03 2.031215737521581133e-01 3.549223826495701006e-02
3.616770584359661370e+03 2.375212839550764066e-01 3.894951674297795347e-02
3.619301111676207256e+03 1.829008529891847923e-01 3.850124705534460623e-02
3.621831638992753142e+03 1.875621671911055499e-01 3.701663003288512693e-02
