# wavelength(um) flux(mJy)
1.404566393757972342e+01 9.250476951473460829e-01
1.403153316566025488e+01 8.442117189701603408e-01
1.401738665290911712e+01 3.525928333614371524e-01
1.400322420170820159e+01 8.155329864276754659e-01
1.398904561443939620e+01 4.860115724009549387e-01
1.397485069348459241e+01 7.399580426425530488e-01
1.396063924122567990e+01 1.018830743540232842e+00
1.394641106004455366e+01 4.210558265806041978e-01
1.393216595232309629e+01 3.026742841125194539e-01
1.391790372044320101e+01 5.525904224326939618e-01
1.390362416678676816e+01 4.262598190154797684e-01
1.388932709373567320e+01 5.140991342658364216e-01
1.387501230367181471e+01 3.303932733129131272e-01
1.386067959897708235e+01 6.405837497731479147e-01
1.384632878203336936e+01 5.740227100666809301e-01
1.383195965522255833e+01 6.769936377362604230e-01
1.381757202092654602e+01 4.971238451239353706e-01
1.380316568152721857e+01 8.481419505724019370e-01
1.378874043940646743e+01 6.871927487568302295e-01
1.377429609694618939e+01 7.417720828131679767e-01
1.375983245652826525e+01 5.938632370006067251e-01
1.374534932053459180e+01 6.743222680009666181e-01
1.373084649134705160e+01 4.359301246339069569e-01
1.371632377134755032e+01 1.383408856402506437e+00
1.370178096291795988e+01 5.674469138089540676e-01
1.368721786844018240e+01 8.527266569871914115e-01
1.367263429029610400e+01 6.937265119456247353e-01
1.365803003086761436e+01 7.365983277124394935e-01
1.364340489253660671e+01 4.894589649541097875e-01
1.362875867768496896e+01 7.305578155318374067e-01
1.361409118869459434e+01 4.373983306725894304e-01
1.359940222794736897e+01 5.262867495252254724e-01
1.358469159782518432e+01 4.966130618062843949e-01
1.356995910070993183e+01 6.480780287169752851e-01
1.355520453898350119e+01 5.286925225075539414e-01
1.354042771502777676e+01 6.288533263583511168e-01
1.352562843122465708e+01 4.234940516030636370e-01
1.351080648995603362e+01 5.633124376021396706e-01
1.349596169360378717e+01 5.834207495520894460e-01
1.348109384454981274e+01 5.346895716843131918e-01
1.346620274517600890e+01 5.858219293645215986e-01
1.345128819786425112e+01 6.463782651738320117e-01
1.343635000499643795e+01 7.210106739500637962e-01
1.342138796895445374e+01 7.099985506691934845e-01
1.340640189212018996e+01 6.454395628011390107e-01
1.339139157687555048e+01 7.335079886200753796e-01
1.337635682560240369e+01 6.764253390048756698e-01
1.336129744068264991e+01 7.331627193856401492e-01
1.334621322449818415e+01 8.972494463164614187e-01
1.333110397943088188e+01 7.919637191405993759e-01
1.331596950786265054e+01 8.492265694661500497e-01
1.330080961217537272e+01 1.008607248286111036e+00
1.328562409475093631e+01 1.017951899366276169e+00
1.327041275797122744e+01 9.787344153635928468e-01
1.325517540421814644e+01 9.608554224590944992e-01
1.323991183587357590e+01 1.021143490126066755e+00
1.322462185531940726e+01 1.048136739869849565e+00
1.320930526493752666e+01 8.401463589045827796e-01
1.319396186710983443e+01 9.944661387538270558e-01
1.317859146421821137e+01 1.181037023634597727e+00
1.316319385864455072e+01 1.252129972232060684e+00
1.314776885277074214e+01 1.299304891387719207e+00
1.313231624897867711e+01 1.342975952729071443e+00
1.311683584965024707e+01 1.248159376841200485e+00
1.310132745716733638e+01 1.283191089040860877e+00
1.308579087391183116e+01 1.598279952671817217e+00
1.307022590226563352e+01 1.382124476409322344e+00
1.305463234461062250e+01 1.602226561031342200e+00
1.303901000332869309e+01 1.841254026139295785e+00
1.302335868080173498e+01 1.864278794218980018e+00
1.300767817941163607e+01 1.722025641772213067e+00
1.299196830154028781e+01 2.034690651267213823e+00
1.297622884956958167e+01 1.971749285553618503e+00
1.296045962588140021e+01 2.054977861034640974e+00
1.294466043285764023e+01 2.014560627630479939e+00
1.292883107288018962e+01 2.180015091756525969e+00
1.291297134833093985e+01 2.516577399705383744e+00
1.289708106159177703e+01 2.538307950149904624e+00
1.288116001504459085e+01 2.670288420731154133e+00
1.286520801107126921e+01 2.998826710748013991e+00
1.284922485205370890e+01 2.939287819224579046e+00
1.283321034037380315e+01 2.684698841719522555e+00
1.281716427841342743e+01 2.527484359600780550e+00
1.280108646855447674e+01 2.438262245747523593e+00
1.278497671317884077e+01 2.586462632856626698e+00
1.276883481466841630e+01 2.170900179826792176e+00
1.275266057540508591e+01 2.487592597979080722e+00
1.273645379777073749e+01 2.390174596333379586e+00
1.272021428414726074e+01 2.098392139065702988e+00
1.270394183691655421e+01 2.231837902232738369e+00
1.268763625846050047e+01 2.255508111353564882e+00
1.267129735116098743e+01 2.126580478108272221e+00
1.265492491739991010e+01 1.895130737867013471e+00
1.263851875955915460e+01 2.059086860262348218e+00
1.262207868002061062e+01 2.035327918389285173e+00
1.260560448116616961e+01 1.845826978169273769e+00
1.258909596537771769e+01 1.801828340725301958e+00
1.257255293503715166e+01 1.680444694315253118e+00
1.255597519252635053e+01 1.442579926672342250e+00
1.253936254022720753e+01 1.236495670848824835e+00
1.252271478052161768e+01 1.033784323392128002e+00
1.250603171579146533e+01 9.054215658708448800e-01
1.248931314841864015e+01 8.414365207969627392e-01
1.247255888078503538e+01 7.577914391250243353e-01
1.245576871527253537e+01 7.498866163202114743e-01
1.243894245426302980e+01 7.716776176737378812e-01
1.242207990013841190e+01 7.253665568992239132e-01
1.240518085528056957e+01 7.872455271350244921e-01
1.238824512207139428e+01 7.913821819033876048e-01
1.237127250289277214e+01 7.378782196114067604e-01
1.235426280012658928e+01 7.465192972750669398e-01
1.233721581615474427e+01 7.958034262535932379e-01
1.232013135335911969e+01 8.111352709034121977e-01
1.230300921412160697e+01 8.265056888491202347e-01
1.228584920082409759e+01 8.190368560837577583e-01
1.226865111584847412e+01 8.879816198069259148e-01
1.225141476157663156e+01 9.311952919934124440e-01
1.223413994039046671e+01 1.019563550756062087e+00
1.221682645467185147e+01 1.039426369291856167e+00
1.219947410680268263e+01 1.161214814858184674e+00
1.218208269916485698e+01 1.200985830876416971e+00
1.216465203414025709e+01 1.402250307537437957e+00
1.214718191411076909e+01 1.514326405565362466e+00
1.212967214145828798e+01 1.604409277833851455e+00
1.211212251856470701e+01 1.496352636008637660e+00
1.209453284781190163e+01 1.624948232887919231e+00
1.207690293158177219e+01 1.607366841280911451e+00
1.205923257225620482e+01 1.621058163895277238e+00
1.204152157221708741e+01 1.603568029346156942e+00
1.202376973384631498e+01 1.656032993108578211e+00
1.200597685952576832e+01 1.603860618356753642e+00
1.198814275163734067e+01 1.558829196384069915e+00
1.197026721256292170e+01 1.565935961099897078e+00
1.195235004468440465e+01 1.454962277514159297e+00
1.193439105038367032e+01 1.423071724456671516e+00
1.191639003204261371e+01 1.402127803522004390e+00
1.189834679204312451e+01 1.421463832173057718e+00
1.188026113276708706e+01 1.366560427042857739e+00
1.186213285659639460e+01 1.323789702342061503e+00
1.184396176591293148e+01 1.311510958513350866e+00
