# wavelength(um) flux(mJy)
1.182574766309859449e+01 1.216115216825455869e+00
1.180749035053526796e+01 1.210643468083125285e+00
1.178918963060483982e+01 1.127112396870406430e+00
1.177084530568919796e+01 1.051259447146172477e+00
1.175245717817024271e+01 1.043848451603998084e+00
1.173402505042985133e+01 9.881297648876611328e-01
1.171554872484991527e+01 9.739274268103963461e-01
1.169702800381232777e+01 9.450192149285319143e-01
1.167846268969897316e+01 9.124402916636131788e-01
1.165985258489174115e+01 8.783417814910399191e-01
1.164119749177252672e+01 8.727228262305604112e-01
1.162249721272321068e+01 8.430423675646596671e-01
1.160375155012569337e+01 8.413741718029457139e-01
1.158496030636184670e+01 8.223925615992349059e-01
1.156612328381357457e+01 8.098407132102085626e-01
1.154724028486276133e+01 8.033905928738588331e-01
1.152831111189129487e+01 7.669286140886165670e-01
1.150933556728106488e+01 7.926343359785289477e-01
1.149031345341395927e+01 7.689746429165617014e-01
1.147124457267187125e+01 7.875429489585882292e-01
1.145212872743668697e+01 7.711324176378379081e-01
1.143296572009029433e+01 7.978276701108713009e-01
1.141375535301458299e+01 7.923767118210639504e-01
1.139449742859144088e+01 8.205111678178526047e-01
1.137519174920275766e+01 8.089519380006925386e-01
1.135583811723042835e+01 8.065903534578924283e-01
1.133643633505633375e+01 8.148057097883439903e-01
1.131698620506236530e+01 8.260650154514403987e-01
1.129748752963041447e+01 8.224179782615322898e-01
1.127794011114237094e+01 8.545119612131781839e-01
1.125834375198011728e+01 8.445623660727964443e-01
1.123869825452554494e+01 8.732829132686884543e-01
1.121900342116054894e+01 9.024893349950191546e-01
1.119925905426701007e+01 9.246689691848671844e-01
1.117946495622681979e+01 9.184595163943436447e-01
1.115962092942186779e+01 9.553063387512401583e-01
1.113972677623404373e+01 9.180023723692145587e-01
1.111978229904523729e+01 9.359389067128436324e-01
1.109978730023733640e+01 9.345729890876930401e-01
1.107974158219222538e+01 9.241263238654580103e-01
1.105964494729180281e+01 9.189031482797312966e-01
1.103949719791794948e+01 9.122345216019577263e-01
1.101929813645255685e+01 9.021230220831474300e-01
1.099904756527751104e+01 9.188203231771945312e-01
1.097874528677470707e+01 8.979929375941446690e-01
1.095839110332603106e+01 9.055262139693142087e-01
1.093798481731337091e+01 9.141767421879459787e-01
1.091752623111861453e+01 9.444237069957089892e-01
1.089701514712365160e+01 9.522074846429825490e-01
1.087645136771037357e+01 1.001329330901097325e+00
1.085583469526066835e+01 1.067112450269030566e+00
1.083516493215641852e+01 1.154503106925110600e+00
1.081444188077952084e+01 1.242659713689104661e+00
1.079366534351186147e+01 1.327962155177002890e+00
1.077283509107904536e+01 1.434288663329829960e+00
1.075195069330876940e+01 1.543244892425282622e+00
1.073101139122861980e+01 1.654230957231088484e+00
1.071001635157584886e+01 1.752582261240254402e+00
1.068896474108771066e+01 1.834996680543211856e+00
1.066785572650146463e+01 1.894099843338984845e+00
1.064668847455435774e+01 1.938990777370443785e+00
1.062546215198364052e+01 1.940867971648508661e+00
1.060417592552656885e+01 1.931245176488984638e+00
1.058282896192039679e+01 1.916790763710241707e+00
1.056142042790237490e+01 1.921365398180717721e+00
1.053994949020976080e+01 1.928689329151142884e+00
1.051841531557980502e+01 1.930980173143576062e+00
1.049681707074975279e+01 1.917100415327762430e+00
1.047515392245687060e+01 1.878932513360974443e+00
1.045342503743839302e+01 1.823586369507385507e+00
1.043162958243158656e+01 1.738966079707453760e+00
1.040976672417369997e+01 1.657894027133317794e+00
1.038783562940198557e+01 1.526194931040797398e+00
1.036583546485369745e+01 1.404553020344601721e+00
1.034376539726608968e+01 1.271130091867779921e+00
1.032162459337640925e+01 1.171089129637734594e+00
1.029941221992191203e+01 1.086134523523251127e+00
1.027712744363984854e+01 1.009699474511001283e+00
1.025476943126747997e+01 9.623340524585203282e-01
1.023233734954204088e+01 9.406591861577237035e-01
1.020983036520080134e+01 9.211730433523285244e-01
1.018724764498100477e+01 9.164776165266570462e-01
1.016458835561990526e+01 8.979566899087617626e-01
1.014185166385475156e+01 8.763064248578990023e-01
1.011903673642280488e+01 8.610884503608439156e-01
1.009614274006130863e+01 8.565616888292342246e-01
1.007316884150751868e+01 8.500254585872808466e-01
1.005011420749868556e+01 8.464222045484977031e-01
1.002697800477206869e+01 8.538824908987967532e-01
1.000375940006490971e+01 8.528485442951043716e-01
9.980457560114462723e+00 8.463030951541884450e-01
9.957071651657988909e+00 8.521086823011324585e-01
9.933600841432733475e+00 8.500396348593217688e-01
9.910044296175943401e+00 8.578424949905388841e-01
9.886401182624878103e+00 8.508190184941851752e-01
9.862670667516793443e+00 8.589420233000456539e-01
9.838851917588932849e+00 8.545446571010045789e-01
9.814944099578548631e+00 8.610199449080376821e-01
9.790946380222894874e+00 8.561041848116517361e-01
9.766857926259223888e+00 8.592078281768958936e-01
9.742677904424791535e+00 8.612716808371729815e-01
9.718405481456843020e+00 8.672015814786049326e-01
9.694039824092634205e+00 8.634617798371707620e-01
9.669580099069417400e+00 8.714254433067590844e-01
9.645025473124439586e+00 8.805573004406203053e-01
9.620375112994958400e+00 8.737478013225580264e-01
9.595628185418219047e+00 8.692570077832652009e-01
9.570783857131479166e+00 8.732609105672953786e-01
9.545841294871989291e+00 8.672853458930026571e-01
9.520799665376999954e+00 8.716777369409504095e-01
9.495658135383765241e+00 8.692523619394588730e-01
9.470415871629530358e+00 8.796809819011968123e-01
9.445072040851554718e+00 8.677385891792052108e-01
9.419625809787083526e+00 8.935618183158855476e-01
9.394076345173376197e+00 8.977011815084220414e-01
9.368422813747676159e+00 9.267128235625048394e-01
9.342664382247239274e+00 9.735885194553656197e-01
9.316800217409316076e+00 1.075645248965477752e+00
9.290829485971157098e+00 1.195262776932372484e+00
9.264751354670016426e+00 1.353243727164803012e+00
9.238564990243142816e+00 1.476767895497122396e+00
9.212269559427786803e+00 1.552071791505897691e+00
9.185864228961209577e+00 1.591854104809071968e+00
9.159348165580649237e+00 1.588914462668082894e+00
9.132720536023363422e+00 1.657990575384969523e+00
9.105980507026604442e+00 1.668665895183239600e+00
9.079127245327624607e+00 1.720366261526739882e+00
9.052159917663670896e+00 1.758071214722804365e+00
9.025077690771993844e+00 1.764493096690548102e+00
8.997879731389852864e+00 1.846341174348253400e+00
8.970565206254491386e+00 1.906189392204723498e+00
8.943133282103163495e+00 1.944986474013565836e+00
8.915583125673121501e+00 1.912754672034570058e+00
8.887913903701615936e+00 1.811826555287605611e+00
8.860124782925895559e+00 1.615222075496123511e+00
8.832214930083218007e+00 1.438924693635503349e+00
8.804183511910824933e+00 1.220052343923770488e+00
8.776029695145975751e+00 1.083659030738832740e+00
8.747752646525919218e+00 9.668770323718637316e-01
8.719351532787902315e+00 9.188229703540619075e-01
8.690825520669186233e+00 8.931452464540801106e-01
8.662173776907012623e+00 8.800758493901923440e-01
8.633395468238635573e+00 8.675081700386041428e-01
8.604489761401302061e+00 8.767639604235507589e-01
8.575455823132276834e+00 8.908362112382576248e-01
8.546292820168796212e+00 9.132306469148440131e-01
8.516999919248116058e+00 9.198718557081396741e-01
8.487576287107492234e+00 9.118072902778951994e-01
8.458021090484168170e+00 8.888256485693940556e-01
8.428333496115399726e+00 8.962584663767324544e-01
8.398512670738433883e+00 8.822105983178504252e-01
8.368557584064165056e+00 8.717812959075206258e-01
8.338465950620118861e+00 8.719388062540415207e-01
8.308233419397264896e+00 8.435621886888088339e-01
8.277855172242498227e+00 8.095342747716532950e-01
8.247326391002713919e+00 8.313677849141855036e-01
8.216642257524801707e+00 8.279357780440826931e-01
8.185797953655658432e+00 8.190289617328398997e-01
8.154788661242182712e+00 8.096292498354371592e-01
8.123609562131264283e+00 8.020132702696098903e-01
8.092255838169794657e+00 8.076230018203121030e-01
8.060722671204676004e+00 7.961921298160763438e-01
8.029005243082798060e+00 8.101461852643778716e-01
7.997098735651051449e+00 8.021905170859979783e-01
7.964998330756330347e+00 8.096468499609318359e-01
7.932699210245536037e+00 8.222681433652706540e-01
7.900196555965558254e+00 7.946231293140147978e-01
7.867485549763284958e+00 8.004677019413929395e-01
7.834561373485616542e+00 7.907778564365401941e-01
7.801419208979440967e+00 7.918406101064511260e-01
7.768054238091656849e+00 7.813776363278663872e-01
7.734461642669154813e+00 7.820467055170569060e-01
7.700636604558825482e+00 7.784796583447211038e-01
7.666574305607564810e+00 7.901518801233718969e-01
7.632269927662265196e+00 8.091722352062360457e-01
7.597718652569820819e+00 8.193930353605389794e-01
7.562915662177121412e+00 8.855570197561671852e-01
7.527856138331059377e+00 1.022000951667004998e+00
7.492535262878528890e+00 1.203701040962285918e+00
7.456948217666426793e+00 1.302894852385647173e+00
7.421090184541638379e+00 1.288466808832599453e+00
7.384956345351056051e+00 1.202563365165398412e+00
7.348541881941578424e+00 1.103233826812982876e+00
7.311841976160093459e+00 1.022719563742603199e+00
7.274851809853491780e+00 1.120051312815332434e+00
7.237566564868668451e+00 1.575102712503525293e+00
7.199981423052514096e+00 2.249159056947954038e+00
7.162091566251922004e+00 2.708168923017270746e+00
7.123892176313782798e+00 3.161506708989227477e+00
7.085378435084987103e+00 3.886811710610100778e+00
7.046545524412429096e+00 4.888843274477410183e+00
7.007388626143000288e+00 6.221855322920351483e+00
6.967902922123588638e+00 6.669611928350023256e+00
6.928083594201087436e+00 6.352551218204621541e+00
6.887925824222390858e+00 5.692581310920567184e+00
6.847424794034385975e+00 3.786658518008352736e+00
6.806575685483967852e+00 2.180563852044739459e+00
6.765373680418022673e+00 1.529267387936909195e+00
6.723813960683448165e+00 1.511794800520378290e+00
6.681890467345723117e+00 1.461242926619987559e+00
6.639589227350978007e+00 1.343460870253562200e+00
6.596883222046823647e+00 1.133234175322963111e+00
6.553742481506537487e+00 9.328653598798635205e-01
6.510137035803408523e+00 7.822989607908933385e-01
6.466036915010716868e+00 6.895601777647545338e-01
6.421412149201747965e+00 6.382330452496709494e-01
6.376232768449786370e+00 6.151160666243123964e-01
6.330468802828113084e+00 5.959661503922275561e-01
6.284090282410012662e+00 5.865740436599891083e-01
6.237067237268763442e+00 5.648156588030492919e-01
6.189369697477652643e+00 5.484253982195944621e-01
6.140967693109955050e+00 5.304508218952159737e-01
6.091831254238956994e+00 5.260023933136932506e-01
6.041930410937935925e+00 5.053924273256590327e-01
5.991235193280174620e+00 5.006245226999671560e-01
5.939715631338949642e+00 4.905927023050373759e-01
5.887341755187541992e+00 4.725201565179542595e-01
5.834083594899232672e+00 4.657111975731930698e-01
5.779911180547297356e+00 4.649597545818304756e-01
5.724794542205015269e+00 4.595436117561257916e-01
5.668703709945666525e+00 4.531111664832966901e-01
5.611608713842528573e+00 4.375625951325582408e-01
5.553479583968875311e+00 4.268904675103489810e-01
5.494279029936434355e+00 4.229945551308026963e-01
5.433923048935048961e+00 4.145027748828626901e-01
5.372250591629997629e+00 4.027144296513350263e-01
5.309083176858377939e+00 4.071951890278078801e-01
5.244242323457280364e+00 3.814398499723701819e-01
5.177549550263793599e+00 3.526039453929664114e-01
5.108826376115008117e+00 3.420696552353433284e-01
5.037894319848012614e+00 3.472767013090385935e-01
4.964574900299889570e+00 3.410609544854797948e-01
