BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                 1918  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel (out of date)                
IRAF-MIN=                   0.  /  Min image pixel (out of date)                
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
OBJECT  = '                  '  /                                              
FILENAME= 'SN2012HT_NOT_ALFOSC_26DEC12'  /
FORMAT  = '5G14.7            '  /  Text line format                            
EXTEND  =                    F / File may contain extensions                    
ORIGIN  = 'NOAO-IRAF FITS Image Kernel July 2003' / FITS file originator        
DATE    = '2024-04-25T22:55:48' / Date FITS file was generated                  
IRAF-TLM= '2024-04-25T22:55:48' / Time of last modification                     
APNUM1  = '1 1     '                                                            
WCSDIM  =                    1                                                  
CTYPE1  = 'LINEAR  '                                                            
CRVAL1  =             3300.731                                                  
CRPIX1  =                   1.                                                  
CDELT1  =      3.0499634846114                                                  
CD1_1   =      3.0499634846114                                                  
LTM1_1  =                   1.                                                  
WAT0_001= 'system=equispec'                                                     
WAT1_001= 'wtype=linear'                                                        
DC-FLAG =                    0                                                  
WAIRMASS=      1.1253626684639                                                  
NCOMBINE=                    1                                                  
EXPTIME =                 1500                                                  
SNNAME  = 'SN2012ht'                                                            
JD      =       2456288.671310                                                  
FWHM    =                   15                                                  
END                                                                             
                                                                                
3300.731  1.739881E-14
3303.78096348461  1.892922E-14
3306.83092696922  1.828143E-14
3309.88089045384  1.901159E-14
3312.93085393845  1.959892E-14
3315.98081742306  1.827296E-14
3319.03078090767  1.918036E-14
3322.08074439228  1.944663E-14
3325.13070787689  1.798824E-14
3328.1806713615  1.883704E-14
3331.23063484612  2.035592E-14
3334.28059833073  2.014475E-14
3337.33056181534  2.022801E-14
3340.38052529995  1.924224E-14
3343.43048878456  2.018825E-14
3346.48045226917  2.011921E-14
3349.53041575378  2.113914E-14
3352.58037923839  1.968806E-14
3355.63034272301  1.971704E-14
3358.68030620762  2.029731E-14
3361.73026969223  2.051230E-14
3364.78023317684  2.112554E-14
3367.83019666145  2.154956E-14
3370.88016014606  1.986546E-14
3373.93012363067  1.948408E-14
3376.98008711529  2.008064E-14
3380.0300505999  1.974138E-14
3383.08001408451  2.050828E-14
3386.12997756912  2.138021E-14
3389.17994105373  2.020083E-14
3392.22990453834  1.995806E-14
3395.27986802295  2.103834E-14
3398.32983150757  2.027496E-14
3401.37979499218  2.101552E-14
3404.42975847679  2.122932E-14
3407.4797219614  2.106957E-14
3410.52968544601  2.091030E-14
3413.57964893062  2.184473E-14
3416.62961241523  2.231217E-14
3419.67957589985  2.319548E-14
3422.72953938446  2.242837E-14
3425.77950286907  2.230524E-14
3428.82946635368  2.223403E-14
3431.87942983829  2.306501E-14
3434.9293933229  2.326562E-14
3437.97935680751  2.296637E-14
3441.02932029213  2.312977E-14
3444.07928377674  2.377680E-14
3447.12924726135  2.329935E-14
3450.17921074596  2.310612E-14
3453.22917423057  2.274244E-14
3456.27913771518  2.296338E-14
3459.32910119979  2.343904E-14
3462.37906468441  2.282469E-14
3465.42902816902  2.295754E-14
3468.47899165363  2.324227E-14
3471.52895513824  2.274500E-14
3474.57891862285  2.269156E-14
3477.62888210746  2.288919E-14
3480.67884559207  2.374453E-14
3483.72880907668  2.418861E-14
3486.7787725613  2.427944E-14
3489.82873604591  2.457892E-14
3492.87869953052  2.456389E-14
3495.92866301513  2.476456E-14
3498.97862649974  2.434372E-14
3502.02858998435  2.411211E-14
3505.07855346896  2.450674E-14
3508.12851695358  2.417429E-14
3511.17848043819  2.440745E-14
3514.2284439228  2.387533E-14
3517.27840740741  2.407278E-14
3520.32837089202  2.439737E-14
3523.37833437663  2.414360E-14
3526.42829786125  2.406944E-14
3529.47826134586  2.365328E-14
3532.52822483047  2.365069E-14
3535.57818831508  2.341847E-14
3538.62815179969  2.394760E-14
3541.6781152843  2.394395E-14
3544.72807876891  2.325971E-14
3547.77804225352  2.351635E-14
3550.82800573814  2.331995E-14
3553.87796922275  2.380527E-14
3556.92793270736  2.344859E-14
3559.97789619197  2.376900E-14
3563.02785967658  2.365927E-14
3566.07782316119  2.367004E-14
3569.1277866458  2.358589E-14
3572.17775013042  2.371415E-14
3575.22771361503  2.364292E-14
3578.27767709964  2.363536E-14
3581.32764058425  2.381942E-14
