# B-channel spectrum:  tLSQ12gdj_20121112_Gr11_Free_slit1.5_1_f.asci
# R-channel spectrum:  tLSQ12gdj_20121112_Gr16_OG530_slit1.5_1_f.asci
# Errors estimated from scatter of spectrum
3930.57885 1.936607e-15 4.689310e-17
3934.64573 1.887125e-15 4.991347e-17
3938.71261 1.893544e-15 5.256715e-17
3942.77949 1.915295e-15 5.469004e-17
3946.84637 1.884948e-15 5.615902e-17
3950.91325 1.730068e-15 5.689971e-17
3954.98012 1.843959e-15 5.689299e-17
3959.04700 1.886351e-15 5.617854e-17
3963.11388 1.884380e-15 5.485435e-17
3967.18076 1.901958e-15 5.307142e-17
3971.24764 1.895970e-15 5.102277e-17
3975.31452 1.864333e-15 4.892570e-17
3979.38140 1.945796e-15 4.699602e-17
3983.44828 1.967813e-15 4.541546e-17
3987.51515 2.004071e-15 4.429764e-17
3991.58203 1.982716e-15 4.366436e-17
3995.64891 2.021700e-15 4.344355e-17
3999.71579 2.056331e-15 4.349187e-17
4003.78267 2.102569e-15 4.363194e-17
4007.84955 2.116439e-15 4.368988e-17
4011.91643 2.097244e-15 4.352342e-17
4015.98331 2.120853e-15 4.303820e-17
4020.05019 2.116422e-15 4.219459e-17
4024.11706 2.103688e-15 4.100810e-17
4028.18394 2.076568e-15 3.954556e-17
4032.25082 2.054783e-15 3.791787e-17
4036.31770 2.032352e-15 3.626866e-17
4040.38458 2.059721e-15 3.475711e-17
4044.45146 2.014413e-15 3.353347e-17
4048.51834 1.997239e-15 3.270895e-17
4052.58522 1.965456e-15 3.232787e-17
4056.65209 1.939644e-15 3.235469e-17
4060.71897 1.940651e-15 3.268370e-17
4064.78585 1.917179e-15 3.316698e-17
4068.85273 1.909960e-15 3.364747e-17
4072.91961 1.868308e-15 3.398591e-17
4076.98649 1.876577e-15 3.407733e-17
4081.05337 1.864626e-15 3.385834e-17
4085.12025 1.871543e-15 3.330790e-17
4089.18712 1.895497e-15 3.244365e-17
4093.25400 1.906596e-15 3.131510e-17
4097.32088 1.933449e-15 2.999464e-17
4101.38776 1.950588e-15 2.856722e-17
4105.45464 1.961352e-15 2.711969e-17
4109.52152 1.948609e-15 2.573146e-17
4113.58840 1.954030e-15 2.446824e-17
4117.65528 2.001696e-15 2.338023e-17
4121.72216 1.949263e-15 2.250522e-17
4125.78903 1.947147e-15 2.187463e-17
4129.85591 1.987095e-15 2.151899e-17
4133.92279 1.992997e-15 2.146863e-17
4137.98967 1.965611e-15 2.174754e-17
4142.05655 1.963090e-15 2.236225e-17
4146.12343 1.989779e-15 2.329120e-17
4150.19031 1.976607e-15 2.448047e-17
4154.25719 1.980565e-15 2.584784e-17
4158.32406 1.988291e-15 2.729291e-17
4162.39094 1.960904e-15 2.870915e-17
4166.45782 1.978852e-15 2.999519e-17
4170.52470 1.958796e-15 3.106361e-17
4174.59158 1.986656e-15 3.184732e-17
4178.65846 1.966506e-15 3.230321e-17
4182.72534 1.945108e-15 3.241337e-17
4186.79222 1.923597e-15 3.218376e-17
4190.85909 1.868437e-15 3.164086e-17
4194.92597 1.856254e-15 3.082655e-17
4198.99285 1.849121e-15 2.979218e-17
4203.05973 1.768046e-15 2.859260e-17
4207.12661 1.764776e-15 2.728119e-17
4211.19349 1.714417e-15 2.590671e-17
4215.26037 1.705606e-15 2.451212e-17
4219.32725 1.712318e-15 2.313537e-17
4223.39412 1.710537e-15 2.181151e-17
4227.46100 1.664333e-15 2.057534e-17
4231.52788 1.635897e-15 1.946365e-17
4235.59476 1.614413e-15 1.851652e-17
4239.66164 1.609181e-15 1.777712e-17
4243.72852 1.615419e-15 1.728966e-17
4247.79540 1.572666e-15 1.709554e-17
4251.86228 1.577837e-15 1.722812e-17
4255.92916 1.551397e-15 1.770735e-17
4259.99603 1.529698e-15 1.853583e-17
4264.06291 1.506665e-15 1.969712e-17
4268.12979 1.490050e-15 2.115614e-17
4272.19667 1.486282e-15 2.286061e-17
4276.26355 1.444277e-15 2.474294e-17
4280.33043 1.387017e-15 2.672253e-17
