#OBJECT = AT2020swy
#MJD-OBS = 59160.381296
#DATE-OBS = 2020-11-07T09:09:04
#EXPTIME = 2020.000000
#AIRMASS = 1.895000
#
#TELESCOPE = UH88
#INSTRUMENT = SNIFS
#FLUXCAL = RELATIVE
#WL FL ERR
#[Ang] [erg/s/cm2/A] [erg/s/cm2/A]
3643.780000 -5.594921e-18 9.050656e-34
3646.160000 -4.150023e-18 8.933990e-34
3648.540000 -1.677227e-17 8.775259e-34
3650.920000 -4.844768e-18 8.657738e-34
3653.300000 1.616859e-17 8.714025e-34
3655.680000 2.127201e-17 8.629195e-34
3658.060000 -1.895011e-17 8.278712e-34
3660.440000 -4.046043e-17 8.068974e-34
3662.820000 -4.309498e-17 7.854644e-34
3665.200000 3.080679e-18 7.940519e-34
3667.580000 5.398123e-17 7.984690e-34
3669.960000 2.955177e-17 7.932886e-34
3672.340000 2.156859e-17 7.812586e-34
3674.720000 2.132984e-17 7.513991e-34
3677.100000 -2.340945e-17 7.158122e-34
3679.480000 3.703195e-18 7.057256e-34
3681.860000 6.660865e-17 7.116672e-34
3684.240000 -9.436720e-18 6.796527e-34
3686.620000 -1.610739e-17 6.684156e-34
3689.000000 1.977609e-17 6.792157e-34
3691.380000 4.741488e-17 6.932209e-34
3693.760000 -2.941897e-18 6.922838e-34
3696.140000 -1.357790e-17 6.942285e-34
3698.520000 -1.316937e-17 6.863323e-34
3700.900000 -1.026291e-17 6.900762e-34
3703.280000 2.007164e-17 6.962528e-34
3705.660000 4.195760e-17 6.753370e-34
3708.040000 4.447211e-17 6.691952e-34
3710.420000 -3.956156e-18 6.621300e-34
3712.800000 -4.046739e-17 6.520088e-34
3715.180000 -1.465313e-17 6.515597e-34
3717.560000 2.504711e-17 6.458106e-34
3719.940000 4.837651e-17 6.443381e-34
3722.320000 6.099448e-17 6.397575e-34
3724.700000 6.473574e-17 6.381131e-34
3727.080000 3.085047e-17 6.509089e-34
3729.460000 2.238838e-17 6.564937e-34
3731.840000 2.549920e-17 6.504776e-34
3734.220000 8.797164e-18 6.374472e-34
3736.600000 3.804120e-17 6.512320e-34
3738.980000 8.533160e-18 6.602231e-34
3741.360000 1.348634e-17 6.533671e-34
3743.740000 4.000607e-17 6.465618e-34
3746.120000 3.192816e-17 6.255634e-34
3748.500000 2.177145e-17 6.124137e-34
3750.880000 -2.459122e-17 5.923166e-34
3753.260000 1.648033e-17 5.974766e-34
3755.640000 6.732670e-17 6.056873e-34
3758.020000 3.175467e-17 5.845873e-34
3760.400000 1.631033e-17 5.727111e-34
3762.780000 5.741849e-18 5.706673e-34
3765.160000 1.702941e-17 5.701906e-34
3767.540000 5.550975e-17 5.812877e-34
3769.920000 3.528987e-17 5.766875e-34
3772.300000 3.339100e-17 5.822154e-34
3774.680000 3.612599e-17 5.771722e-34
3777.060000 4.422169e-18 5.740811e-34
3779.440000 1.229237e-17 5.664914e-34
3781.820000 2.243900e-17 5.562551e-34
3784.200000 2.251171e-17 5.421259e-34
3786.580000 2.362264e-17 5.339095e-34
3788.960000 1.952257e-17 5.213397e-34
3791.340000 5.776244e-18 5.139088e-34
3793.720000 1.545600e-17 5.062175e-34
3796.100000 -2.287426e-17 4.908206e-34
3798.480000 -3.505168e-18 4.877199e-34
3800.860000 3.458986e-17 5.044770e-34
3803.240000 6.287430e-17 5.170486e-34
3805.620000 3.142752e-17 5.044388e-34
3808.000000 3.831054e-17 4.884953e-34
3810.380000 5.442746e-17 4.799383e-34
3812.760000 2.422098e-17 4.747796e-34
3815.140000 1.145914e-17 4.762328e-34
3817.520000 1.744099e-17 4.862248e-34
3819.900000 1.083400e-17 4.806010e-34
3822.280000 -3.776789e-18 4.821070e-34
3824.660000 7.312443e-18 4.801977e-34
3827.040000 1.933459e-17 4.864579e-34
3829.420000 4.518497e-17 4.958383e-34
3831.800000 2.623615e-17 4.966639e-34
3834.180000 1.726952e-17 4.885679e-34
3836.560000 1.856296e-17 4.836724e-34
3838.940000 2.035195e-17 4.771398e-34
3841.320000 3.743189e-17 4.892092e-34
3843.700000 6.176455e-17 5.003180e-34
3846.080000 2.112400e-17 4.964542e-34
3848.460000 3.298744e-17 4.920734e-34
3850.840000 5.999658e-17 4.848639e-34
3853.220000 5.045364e-17 4.735910e-34
3855.600000 3.275417e-17 4.592620e-34
3857.980000 4.262459e-17 4.528472e-34
3860.360000 2.695692e-17 4.444951e-34
3862.740000 -1.972303e-17 4.260765e-34
3865.120000 -6.828930e-18 4.318134e-34
3867.500000 3.980642e-17 4.254044e-34
3869.880000 4.462057e-17 4.153827e-34
3872.260000 3.150861e-17 4.060362e-34
3874.640000 1.238109e-17 3.951224e-34
3877.020000 2.591705e-17 3.918403e-34
3879.400000 -1.052321e-17 3.903264e-34
3881.780000 8.842734e-18 3.984633e-34
3884.160000 1.518823e-17 3.936354e-34
3886.540000 1.870898e-17 3.864178e-34
3888.920000 1.717764e-17 3.891290e-34
3891.300000 1.114764e-17 3.982134e-34
3893.680000 2.593385e-17 3.964316e-34
3896.060000 2.365499e-17 3.891317e-34
3898.440000 8.410294e-19 3.892577e-34
3900.820000 2.992427e-17 3.911237e-34
3903.200000 2.534762e-17 3.899368e-34
3905.580000 7.305159e-18 3.869198e-34
3907.960000 -4.568943e-18 3.843437e-34
3910.340000 -1.208360e-17 3.870862e-34
3912.720000 4.829181e-17 3.962428e-34
3915.100000 7.897953e-18 3.873044e-34
3917.480000 -2.453823e-17 3.679213e-34
3919.860000 -4.751519e-18 3.678487e-34
3922.240000 1.695462e-20 3.630473e-34
3924.620000 -1.587711e-17 3.571451e-34
3927.000000 -8.798400e-19 3.573155e-34
3929.380000 4.595901e-17 3.725107e-34
3931.760000 3.788190e-17 3.587641e-34
3934.140000 4.530913e-17 3.557665e-34
3936.520000 3.693255e-17 3.657384e-34
3938.900000 2.821726e-17 3.716676e-34
3941.280000 2.555102e-17 3.804704e-34
3943.660000 5.201145e-18 3.818666e-34
3946.040000 5.361826e-18 3.841939e-34
3948.420000 1.110199e-18 3.902301e-34
3950.800000 1.882374e-17 3.845424e-34
3953.180000 -1.421478e-17 3.763080e-34
3955.560000 -8.361737e-18 3.873449e-34
3957.940000 1.921096e-17 3.908103e-34
3960.320000 1.486679e-18 3.861042e-34
3962.700000 2.366816e-17 3.822526e-34
3965.080000 4.666483e-17 3.829133e-34
3967.460000 4.622962e-17 3.762794e-34
3969.840000 2.727585e-17 3.794036e-34
3972.220000 -8.135695e-19 3.795184e-34
3974.600000 1.967121e-17 4.031694e-34
3976.980000 2.789348e-17 4.140797e-34
