3276.78652  4.409900E-15
3285.06774  3.446451E-15
3293.34896  3.059633E-15
3301.63018  3.969276E-15
3309.9114  4.558450E-15
3318.19262  4.483790E-15
3326.47384  4.587934E-15
3334.75506  4.792527E-15
3343.03628  5.080400E-15
3351.3175  5.565100E-15
3359.59872  4.889903E-15
3367.87994  5.150222E-15
3376.16116  5.129807E-15
3384.44238  4.673516E-15
3392.7236  5.159722E-15
3401.00482  5.805308E-15
3409.28604  5.568611E-15
3417.56726  5.390863E-15
3425.84848  5.899181E-15
3434.1297  6.186316E-15
3442.41092  5.501390E-15
3450.69214  6.069119E-15
3458.97336  6.817428E-15
3467.25458  6.306989E-15
3475.5358  6.280584E-15
3483.81702  6.475153E-15
3492.09824  6.413888E-15
3500.37946  7.522579E-15
3508.66068  8.146046E-15
3516.9419  8.161664E-15
3525.22312  8.126223E-15
3533.50434  8.330458E-15
3541.78556  9.176627E-15
3550.06678  9.511923E-15
3558.348  9.516604E-15
3566.62922  9.956275E-15
3574.91044  1.070549E-14
3583.19166  1.077473E-14
3591.47288  1.090207E-14
3599.7541  1.070367E-14
3608.03532  1.062551E-14
3616.31654  1.030957E-14
3624.59776  1.019272E-14
3632.87898  1.038041E-14
3641.1602  1.061281E-14
3649.44142  1.142078E-14
3657.72264  1.283302E-14
3666.00386  1.433306E-14
3674.28508  1.511446E-14
3682.5663  1.501097E-14
3690.84752  1.418383E-14
3699.12874  1.318163E-14
3707.40996  1.210990E-14
3715.69118  1.183912E-14
3723.9724  1.198413E-14
3732.25362  1.078031E-14
3740.53484  1.066513E-14
3748.81606  1.057527E-14
3757.09728  1.015114E-14
3765.3785  9.808357E-15
3773.65972  8.979994E-15
3781.94094  8.714848E-15
3790.22216  8.814450E-15
3798.50338  9.044696E-15
3806.7846  9.359201E-15
3815.06582  9.654677E-15
3823.34704  9.789663E-15
3831.62826  1.052404E-14
3839.90948  1.152558E-14
3848.1907  1.285554E-14
3856.47192  1.372749E-14
3864.75314  1.483367E-14
3873.03436  1.656204E-14
3881.31558  1.775423E-14
3889.5968  1.911490E-14
3897.87802  2.086641E-14
3906.15924  2.201264E-14
3914.44046  2.342748E-14
3922.72168  2.368463E-14
3931.0029  2.420191E-14
3939.28412  2.490624E-14
3947.56534  2.505410E-14
3955.84656  2.591804E-14
3964.12778  2.498618E-14
3972.409  2.369708E-14
3980.69022  2.254425E-14
3988.97144  2.091782E-14
3997.25266  1.900459E-14
4005.53388  1.812433E-14
4013.8151  1.707461E-14
4022.09632  1.653228E-14
4030.37754  1.607918E-14
4038.65876  1.641954E-14
4046.93998  1.649188E-14
4055.2212  1.711700E-14
4063.50242  1.780815E-14
4071.78364  1.792658E-14
4080.06486  1.771688E-14
4088.34608  1.771004E-14
4096.6273  1.804143E-14
4104.90852  1.794648E-14
