x y
4261.34070 4.74094e-17
4262.61210 4.91706e-17
4263.88360 5.08908e-17
4265.15500 5.25704e-17
4266.42650 5.42097e-17
4267.69790 5.58093e-17
4268.96930 5.73694e-17
4270.24080 5.88906e-17
4271.51220 6.03731e-17
4272.78370 6.18175e-17
4274.05510 6.32241e-17
4275.32660 6.45933e-17
4276.59800 6.59255e-17
4277.86950 6.72212e-17
4279.14090 6.84807e-17
4280.41240 6.97044e-17
4281.68380 7.08928e-17
4282.95520 7.20463e-17
4284.22670 7.31652e-17
4285.49810 7.42499e-17
4286.76960 7.53010e-17
4288.04100 7.63187e-17
4289.31250 7.73035e-17
4290.58390 7.82558e-17
4291.85540 7.91759e-17
4293.12680 8.00644e-17
4294.39830 8.09215e-17
4295.66970 8.17478e-17
4296.94110 8.25435e-17
4298.21260 8.33092e-17
4299.48400 8.40452e-17
4300.75550 8.47520e-17
4302.02690 8.54298e-17
4303.29840 8.60792e-17
4304.56980 8.67005e-17
4305.84130 8.72942e-17
4307.11270 8.78606e-17
4308.38420 8.84002e-17
4309.65560 8.89133e-17
4310.92700 8.94004e-17
4312.19850 8.98619e-17
4313.46990 9.02982e-17
4314.74140 9.07096e-17
4316.01280 9.10966e-17
4317.28430 9.14596e-17
4318.55570 9.17990e-17
4319.82720 9.21152e-17
4321.09860 9.24086e-17
4322.37010 9.26797e-17
4323.64150 9.29287e-17
4324.91290 9.31561e-17
4326.18440 9.33624e-17
4327.45580 9.35479e-17
4328.72730 9.37131e-17
4329.99870 9.38583e-17
4331.27020 9.39839e-17
4332.54160 9.40904e-17
4333.81310 9.41782e-17
4335.08450 9.42476e-17
4336.35600 9.42991e-17
4337.62740 9.43330e-17
4338.89880 9.43498e-17
4340.17030 9.43499e-17
4341.44170 9.43337e-17
4342.71320 9.43016e-17
4343.98460 9.42540e-17
4345.25610 9.41913e-17
4346.52750 9.41139e-17
4347.79900 9.40222e-17
4349.07040 9.39167e-17
4350.34190 9.37976e-17
4351.61330 9.36655e-17
4352.88470 9.35207e-17
4354.15620 9.33637e-17
4355.42760 9.31948e-17
4356.69910 9.30144e-17
4357.97050 9.28230e-17
4359.24200 9.26210e-17
4360.51340 9.24087e-17
4361.78490 9.21866e-17
4363.05630 9.19551e-17
4364.32780 9.17145e-17
4365.59920 9.14653e-17
4366.87060 9.12080e-17
4368.14210 9.09428e-17
4369.41350 9.06702e-17
4370.68500 9.03906e-17
4371.95640 9.01044e-17
4373.22790 8.98121e-17
4374.49930 8.95140e-17
4375.77080 8.92104e-17
4377.04220 8.89020e-17
4378.31370 8.85889e-17
4379.58510 8.82717e-17
4380.85650 8.79508e-17
4382.12800 8.76265e-17
4383.39940 8.72992e-17
4384.67090 8.69694e-17
4385.94230 8.66375e-17
4387.21380 8.63038e-17
4388.48520 8.59689e-17
4389.75670 8.56825e-17
4391.02810 8.55659e-17
4392.29960 8.55048e-17
4393.57100 8.51251e-17
4394.84240 8.48798e-17
4396.11390 8.45630e-17
4397.38530 8.46048e-17
4398.65680 8.43633e-17
4399.92820 8.40223e-17
4401.19970 8.37131e-17
4402.47110 8.37516e-17
4403.74260 8.34111e-17
4405.01400 8.29369e-17
4406.28550 8.26693e-17
4407.55690 8.24602e-17
4408.82830 8.23365e-17
4410.09980 8.22893e-17
4411.37120 8.20624e-17
4412.64270 8.18014e-17
4413.91410 8.14954e-17
4415.18560 8.12460e-17
4416.45700 8.13216e-17
4417.72850 8.13261e-17
4418.99990 8.11913e-17
4420.27140 8.10905e-17
4421.54280 8.09604e-17
4422.81420 8.06290e-17
4424.08570 8.06734e-17
4425.35710 8.07500e-17
4426.62860 8.08999e-17
4427.90000 8.08650e-17
4429.17150 8.07575e-17
4430.44290 8.07827e-17
4431.71440 8.08957e-17
4432.98580 8.08748e-17
4434.25730 8.09291e-17
4435.52870 8.09004e-17
4436.80010 8.09544e-17
4438.07160 8.10400e-17
4439.34300 8.12347e-17
4440.61450 8.12200e-17
4441.88590 8.13478e-17
4443.15740 8.18149e-17
4444.42880 8.19812e-17
4445.70030 8.21078e-17
4446.97170 8.22802e-17
4448.24320 8.22209e-17
4449.51460 8.23200e-17
4450.78600 8.26881e-17
4452.05750 8.30875e-17
4453.32890 8.30865e-17
4454.60040 8.34026e-17
4455.87180 8.36171e-17
4457.14330 8.40006e-17
4458.41470 8.41714e-17
4459.68620 8.42889e-17
4460.95760 8.44895e-17
4462.22900 8.47816e-17
4463.50050 8.51028e-17
4464.77190 8.55529e-17
4466.04340 8.59788e-17
4467.31480 8.62165e-17
4468.58630 8.64985e-17
4469.85770 8.67907e-17
4471.12920 8.72223e-17
4472.40060 8.74678e-17
4473.67210 8.77517e-17
4474.94350 8.81152e-17
4476.21490 8.85428e-17
4477.48640 8.89353e-17
4478.75780 8.91172e-17
4480.02930 8.94106e-17
4481.30070 9.00323e-17
4482.57220 9.04893e-17
4483.84360 9.09938e-17
4485.11510 9.15684e-17
4486.38650 9.20603e-17
4487.65800 9.24970e-17
4488.92940 9.28894e-17
4490.20080 9.33804e-17
4491.47230 9.39101e-17
4492.74370 9.43647e-17
4494.01520 9.47065e-17
4495.28660 9.50403e-17
4496.55810 9.53836e-17
4497.82950 9.58171e-17
4499.10100 9.63919e-17
4500.37240 9.68238e-17
4501.64390 9.72125e-17
4502.91530 9.76658e-17
4504.18670 9.81360e-17
4505.45820 9.86610e-17
4506.72960 9.91226e-17
4508.00110 9.96141e-17
4509.27250 1.00156e-16
4510.54400 1.00538e-16
4511.81540 1.00973e-16
4513.08690 1.01252e-16
4514.35830 1.01678e-16
4515.62980 1.02173e-16
4516.90120 1.02478e-16
4518.17260 1.02860e-16
4519.44410 1.03012e-16
4520.71550 1.03215e-16
4521.98700 1.03502e-16
4523.25840 1.03938e-16
4524.52990 1.04188e-16
4525.80130 1.04529e-16
4527.07280 1.04822e-16
4528.34420 1.04976e-16
4529.61570 1.05230e-16
4530.88710 1.05700e-16
4532.15850 1.06322e-16
4533.43000 1.06678e-16
4534.70140 1.06913e-16
4535.97290 1.07291e-16
4537.24430 1.07626e-16
4538.51580 1.08099e-16
4539.78720 1.08340e-16
4541.05870 1.08609e-16
4542.33010 1.09162e-16
4543.60160 1.09538e-16
4544.87300 1.09840e-16
4546.14440 1.09948e-16
4547.41590 1.09950e-16
4548.68730 1.10192e-16
4549.95880 1.10276e-16
4551.23020 1.10571e-16
4552.50170 1.10722e-16
4553.77310 1.10957e-16
4555.04460 1.11203e-16
4556.31600 1.11453e-16
4557.58750 1.11716e-16
4558.85890 1.11966e-16
4560.13030 1.12206e-16
4561.40180 1.12428e-16
4562.67320 1.12593e-16
4563.94470 1.12767e-16
4565.21610 1.12960e-16
4566.48760 1.13225e-16
4567.75900 1.13394e-16
4569.03050 1.13426e-16
4570.30190 1.13659e-16
4571.57340 1.13848e-16
4572.84480 1.13861e-16
4574.11620 1.13893e-16
4575.38770 1.14151e-16
4576.65910 1.14371e-16
4577.93060 1.14450e-16
4579.20200 1.14504e-16
4580.47350 1.14494e-16
4581.74490 1.14551e-16
4583.01640 1.14642e-16
4584.28780 1.14539e-16
4585.55930 1.14307e-16
4586.83070 1.14227e-16
4588.10210 1.14241e-16
4589.37360 1.14147e-16
4590.64500 1.14208e-16
4591.91650 1.14312e-16
4593.18790 1.14247e-16
4594.45940 1.14100e-16
4595.73080 1.14058e-16
4597.00230 1.13992e-16
4598.27370 1.13922e-16
4599.54520 1.13752e-16
4600.81660 1.13565e-16
4602.08800 1.13364e-16
4603.35950 1.13093e-16
4604.63090 1.12908e-16
4605.90240 1.12752e-16
4607.17380 1.12514e-16
4608.44530 1.12375e-16
4609.71670 1.12324e-16
4610.98820 1.12133e-16
4612.25960 1.11844e-16
4613.53110 1.11646e-16
4614.80250 1.11572e-16
4616.07390 1.11423e-16
4617.34540 1.11285e-16
4618.61680 1.11017e-16
4619.88830 1.11042e-16
4621.15970 1.10746e-16
4622.43120 1.10391e-16
4623.70260 1.10139e-16
4624.97410 1.10010e-16
4626.24550 1.09868e-16
4627.51700 1.09521e-16
4628.78840 1.09210e-16
4630.05980 1.09073e-16
4631.33130 1.08996e-16
4632.60270 1.08779e-16
4633.87420 1.08482e-16
4635.14560 1.08177e-16
4636.41710 1.07913e-16
4637.68850 1.07616e-16
4638.96000 1.07468e-16
4640.23140 1.07247e-16
4641.50290 1.06921e-16
4642.77430 1.06550e-16
4644.04570 1.06109e-16
4645.31720 1.05807e-16
4646.58860 1.05508e-16
4647.86010 1.04998e-16
4649.13150 1.04832e-16
4650.40300 1.04613e-16
4651.67440 1.04282e-16
4652.94590 1.03901e-16
4654.21730 1.03455e-16
4655.48880 1.03042e-16
4656.76020 1.02643e-16
4658.03160 1.02150e-16
4659.30310 1.01802e-16
4660.57450 1.01523e-16
4661.84600 1.01165e-16
4663.11740 1.00926e-16
4664.38890 1.00636e-16
4665.66030 1.00254e-16
4666.93180 9.98959e-17
4668.20320 9.94915e-17
4669.47470 9.91943e-17
4670.74610 9.90440e-17
4672.01750 9.86516e-17
4673.28900 9.82307e-17
4674.56040 9.78235e-17
4675.83190 9.74291e-17
4677.10330 9.70193e-17
4678.37480 9.66690e-17
4679.64620 9.62753e-17
4680.91770 9.58901e-17
4682.18910 9.54946e-17
4683.46060 9.51391e-17
4684.73200 9.49332e-17
4686.00340 9.46313e-17
4687.27490 9.41223e-17
4688.54630 9.37172e-17
4689.81780 9.32963e-17
4691.08920 9.29018e-17
4692.36070 9.24099e-17
4693.63210 9.20063e-17
4694.90360 9.16297e-17
4696.17500 9.12117e-17
4697.44650 9.07714e-17
4698.71790 9.02827e-17
4699.98930 8.98284e-17
4701.26080 8.95549e-17
4702.53220 8.92949e-17
4703.80370 8.89786e-17
4705.07510 8.85120e-17
4706.34660 8.79271e-17
4707.61800 8.73812e-17
4708.88950 8.69782e-17
4710.16090 8.64238e-17
4711.43230 8.59390e-17
4712.70380 8.54226e-17
4713.97520 8.49792e-17
4715.24670 8.44997e-17
4716.51810 8.39070e-17
4717.78960 8.33695e-17
4719.06100 8.28658e-17
4720.33250 8.23106e-17
