# SIMPLE: True
# BITPIX: -64
# NAXIS: 2
# NAXIS1: 1216
# NAXIS2: 220
# EXTEND: True
# CDELT1: 25.57077625570673
# CRVAL1: 3700.0
# EXPTIME: 1800.0
# ADCSPEED: 0.1
# TEMP: -50.0
# GAIN_SET: 2
# ADC: 1
# MODEL: 22
# INTERFC: USB
# SNSR_NM: E2V 2048 x 2048 (CCD 42-40)(B)
# SER_NO: 05313416
# TELESCOP: 60
# GAIN: 1.0
# CAM_NAME: IFU Cam
# INSTRUME: SEDM-P60
# UTC: 2020-04-02T04:20:21.606363
# END_SHUT: 2020-04-02T04:50:53.428751
# OBSDATE: 2020-04-02
# OBSTIME: 04:20:21.606363
# CRPIX1: 1075
# CRPIX2: 974
# CDELT2: 25.57077625570673
# CTYPE1: RA---TAN
# CTYPE2: DEC--TAN
# LST: 09:16:48.5
# MJD_OBS: 58941.18079560017
# JD: 2458941.6807956
# APPEQX: 2020.25
# EQUINOX: 2000.0
# TEL_HA: e01:55:56.90
# RA: 11:11:39.76
# TEL_RA: 11:11:39.76
# DEC: +29:22:08.6
# TEL_DEC: +29:22:08.6
# TEL_AZ: 91.6
# TEL_EL: 65.03
# AIRMASS: 1.103
# TEL_PA: 287.0
# RA_RATE: 0.0
# DEC_RATE: 0.0
# RA_OFF: -97.0
# DEC_OFF: -57.73
# TELHASP: 1.0025
# TELDECSP: -0.206
# RA_REFR: -21.03
# DEC_REFR: -6.38
# FOCPOS: 16.48
# IFUFOCUS: 0.39999
# IFUFOC2: 2.51999
# DOMEST: open
# DOMEMO: anticipate
# DOME_GAP: 24.0
# DOMEAZ: 94.1
# WSCRMO: bottom
# TELCONT: remote
# LAMPSTAT: off
# LAMPCUR: 0.0
# HG_LAMP: off
# XE_LAMP: off
# CD_LAMP: off
# TELPOWST: ready
# OILSTAT: ready
# WEASTAT: okay
# SUNSTAT: okay
# REMOTST: okay
# TELRDST: ready
# HAAX_ST: okay
# FOCSTAT: okay
# DEC_AX: okay
# OBJECT: ZTF20aatxryt [A]
# OBJTYPE: Transient
# IMGTYPE: Science
# OBJNAME: "ztf20aatxryt"
# OBJEQX: j2000.0
# OBJRA: 11:11:47.1807
# OBJDEC: +29:23:06.4439
# ORA_RAT: 0.0
# ODEC_RAT: 0.0
# SUNRISE: 13:12
# SUNSET: 02:27
# TEL_MO: tracking
# WSCR_EL: 0.0
# SOL_RA: 00:48
# SOL_DEC: +05:09
# WIND_DIR: 301.0
# WSP_CUR: 10.0
# WSP_AVG: 9.0
# OUT_AIR: 9.1
# OUT_HUM: 49.2
# OUT_DEW: -0.9
# IN_AIR: 10.0
# IN_HUM: 42.9
# IN_DEW: -2.1
# MIR_TEMP: 12.3
# TOP_AIR: 10.1
# PRI_TEMP: 9.9
# SEC_TEMP: 10.8
# FLO_TEMP: 12.3
# BOT_TEMP: 9.7
# MID_TEMP: 10.3
# TOP_TEMP: 11.1
# WETNESS: 52.0
# FILTER: ifu
# ABPAIR: False
# IMGSET: A
# NAME: ZTF20aatxryt
# P60PRID: 2018A-BCS
# P60PRNM: Bright Cosmology Survey
# P60PRPI: Ariel Goobar
# EMAIL: 
# REQ_ID: 20200401235728501
# OBJ_ID: 20200401235728416
# CRVAL2: 3700.0
# BARPRESS: 1010.8
# SECPRESS: 50.0
# ENDAIR: 1.056
# ENDDOME: open
# END_RA: 11:11:39.71
# END_DEC: +29:22:11.3
# END_PA: 288.0
# ENDBARPR: 1010.7
# ENDSECPR: 52.0
# ELAPTIME: 1927.112
# BIASSUB: Subtracted
# BIASSUB2: bias0.1.fits
# BUNIT: electron
# DRPVER: 64fb3bd
# JFLXCORR: True
# CCDJFLX: -0.5151515151515151
# CCDBKGD: True
# ORIGIN: crr_b_ifu20200402_04_20_21.fits
# FLAT3D: True
# FLATSRC: 20200402_Flat.fits
# ATMCORR: True
# ATMSRC: Hayes & Latham 1975
# ATMSCALE: 1.15739066884994
# IFLXCORR: True
# IFLXREF: sodium,telluric
# CCDIFLX: 0.09376481299447428
# IFLXBKUP: deprecated
# HISTORY: SEDMr.Debias run on Wed Apr  1 21:51:59 2020
# ABS FLUX CAL UNC (MAG): 0.15
wavelength	flux
6947.5	2.386549824997651e-16
6973.1	2.2407770931496577e-16
6998.6	2.141719780270656e-16
7024.2	2.0608442678206694e-16
7049.8	2.0015906368229574e-16
7075.3	2.013991114974488e-16
7100.9	1.9763482794607369e-16
7126.5	1.9370018416759603e-16
7152.1	1.9347524915472428e-16
7177.6	1.9704322025214253e-16
7203.2	1.8854490657165873e-16
7228.8	1.7824204749326894e-16
7254.3	1.8560067836703485e-16
7279.9	1.832255479464231e-16
7305.5	1.6716514135233515e-16
7331.1	1.824376258936798e-16
7356.6	1.9383055016539017e-16
7382.2	1.9145565101591911e-16
7407.8	1.9217749039802688e-16
7433.3	1.9410258434706428e-16
7458.9	1.9482325586925846e-16
7484.5	1.9846463110659103e-16
7510.0	1.9686479036214934e-16
7535.6	1.920025669451331e-16
7561.2	1.849109811017172e-16
7586.8	1.8640543068341894e-16
7612.3	1.9193177950915555e-16
7637.9	1.879340225102468e-16
7663.5	1.7330827937547572e-16
7689.0	1.7352173142574851e-16
7714.6	1.827344684108099e-16
7740.2	1.8645844001404437e-16
7765.8	1.8358414874809326e-16
7791.3	1.8156792321109903e-16
7816.9	1.7501446893340433e-16
7842.5	1.8806712688204383e-16
7868.0	1.7543929224474308e-16
7893.6	1.7736258984101358e-16
7919.2	1.7098782960575144e-16
7944.7	1.5888694119695136e-16
7970.3	1.5294752910714102e-16
7995.9	1.5786600623785072e-16
8021.5	1.4791368896206573e-16
8047.0	1.2395632454504244e-16
8072.6	1.3238003573213563e-16
8098.2	1.504479206176035e-16
8123.7	1.5297067543940864e-16
8149.3	1.4678715713378115e-16
8174.9	1.3489035197774338e-16
8200.5	1.3118818713746134e-16
8226.0	1.2527083502920236e-16
8251.6	1.126247076268526e-16
8277.2	1.232571893846988e-16
8302.7	1.2774944758375142e-16
8328.3	1.0795607505811016e-16
8353.9	9.685989473528454e-17
8379.5	1.0714630730075878e-16
8405.0	1.0073831280551533e-16
8430.6	8.78623125352622e-17
8456.2	8.597205204345955e-17
8481.7	7.226168251361996e-17
8507.3	5.473633712814823e-17
8532.9	6.786013305353216e-17
8558.4	9.602455736262711e-17
8584.0	1.0357347794483065e-16
8609.6	1.1009913885430774e-16
8635.2	1.2384730775082503e-16
8660.7	1.3461559752215085e-16
8686.3	1.3943173028336667e-16
8711.9	1.4874829419759441e-16
8737.4	1.6646964552064242e-16
8763.0	1.8537258082817167e-16
8788.6	2.0146622954777357e-16
8814.2	2.049059306292199e-16
8839.7	1.997729978691172e-16
8865.3	2.0066617878890668e-16
8890.9	2.0181347814096695e-16
8916.4	2.0813412756368732e-16
8942.0	2.2064306629321647e-16
8967.6	2.279893633391795e-16
8993.2	2.2414343222986987e-16
9018.7	2.0648231358381494e-16
9044.3	2.0645415373707767e-16
9069.9	1.9735884227036237e-16
9095.4	1.762346977050284e-16
9121.0	1.7282198676534688e-16
9146.6	1.8389477276799236e-16
9172.1	1.8370038714912094e-16
9197.7	1.58270706071859e-16
9223.3	1.576564074112625e-16
9248.9	1.9615468515062092e-16
9274.4	2.020533229427998e-16
9300.0	2.442590093937541e-16
