   Wavelength               Flux           Variance
3287.17488789  4.11402814867e-16  1.78457606134e-32
3289.54658695   2.6944177837e-16  1.59884725739e-32
  3291.918286  3.74340152455e-16  1.56517498889e-32
3294.28998505  3.08543134943e-16  1.54760699947e-32
3296.66168411   3.7663298469e-16  1.52343654203e-32
3299.03338316  1.61534141409e-16  1.47224265229e-32
3301.40508221  2.06551956815e-16  1.41714767332e-32
3303.77678127  2.96043747835e-16  1.40411469592e-32
3306.14848032  4.16034077191e-16  1.38161245478e-32
3308.52017937  4.63591468763e-16  1.31545751493e-32
3310.89187843  4.23883346897e-16  1.27072433295e-32
3313.26357748  4.39681084159e-16  1.27476397394e-32
3315.63527653   3.8701120563e-16  1.25905970982e-32
3318.00697559   3.8886482712e-16  1.25421581599e-32
3320.37867464  3.26901290246e-16  1.24319009752e-32
3322.75037369  4.15253575983e-16  1.25855251016e-32
3325.12207275  3.02036952623e-16  1.24839564834e-32
 3327.4937718  3.90602092295e-16  1.23654545892e-32
3329.86547085   3.0143320326e-16   1.2399496762e-32
3332.23716991  3.61408956332e-16  1.24078596266e-32
3334.60886896  6.47974712292e-16  1.21432587803e-32
3336.98056801  5.54967148731e-16   1.1602048591e-32
3339.35226707  5.02332778224e-16  1.11252921698e-32
3341.72396612  6.18542088834e-16  1.11683537822e-32
3344.09566517   5.4494534641e-16  1.05043738908e-32
3346.46736423  4.71082316537e-16  9.71663542748e-33
3348.83906328  3.57145543994e-16   9.3404899299e-33
3351.21076233  4.59401094018e-16  9.76178778898e-33
3353.58246139  4.91683825606e-16   9.9299438798e-33
3355.95416044  4.43182450498e-16  9.87870065297e-33
3358.32585949  4.48503701382e-16  9.66208759714e-33
3360.69755855  3.93200686068e-16  9.55085354679e-33
 3363.0692576  3.66819203916e-16  9.70354819821e-33
3365.44095665  5.23002400582e-16  9.69453038346e-33
3367.81265571  4.95544143481e-16  9.06484665132e-33
3370.18435476  3.95984762155e-16  8.82209649027e-33
3372.55605381  5.42282853332e-16  8.97428474062e-33
3374.92775286  6.58791929374e-16  9.04562754829e-33
3377.29945192  5.99044499316e-16  8.81833912861e-33
3379.67115097  4.66547580522e-16  8.39075929789e-33
3382.04285002  4.18631895596e-16   8.2730144372e-33
3384.41454908  4.45402296667e-16   8.5340846453e-33
3386.78624813  4.21793702073e-16  8.64892193019e-33
3389.15794718     3.75551222e-16  8.63783767523e-33
3391.52964624  4.67366667715e-16  8.37964798516e-33
3393.90134529  5.14264064632e-16  8.06543849858e-33
3396.27304434  5.34429804125e-16  8.00658245112e-33
 3398.6447434  4.97149601233e-16  7.67280664876e-33
3401.01644245  4.94849097522e-16  7.47727958007e-33
 3403.3881415  6.26433161228e-16  7.58176095737e-33
3405.75984056  5.60502248325e-16  7.65157620199e-33
3408.13153961  4.98061601455e-16  7.62053293131e-33
3410.50323866  4.52923673408e-16  7.35238505629e-33
3412.87493772  5.52856489017e-16  7.28979319346e-33
3415.24663677  5.10562796952e-16  7.30653072306e-33
3417.61833582  6.13258349161e-16  7.25431221663e-33
3419.99003488  6.27238290911e-16   7.2603526095e-33
3422.36173393  6.15489885738e-16  7.00677757787e-33
3424.73343298  7.68445550301e-16  7.00187633837e-33
3427.10513204  6.28179665005e-16  6.54465590498e-33
3429.47683109  5.57922153311e-16  6.07501931695e-33
3431.84853014  6.20175367499e-16  6.28747074439e-33
 3434.2202292  6.35556507516e-16  6.38798142175e-33
3436.59192825  6.11583217428e-16  6.60283371108e-33
 3438.9636273   5.2284225747e-16  6.54818463367e-33
3441.33532636  6.27735874014e-16  6.58271057351e-33
3443.70702541  5.71394364188e-16  6.32160923929e-33
3446.07872446  7.35798703868e-16  6.35175607526e-33
3448.45042352  8.05111829496e-16  6.32102645538e-33
3450.82212257   7.3701107318e-16  6.23771562712e-33
3453.19382162  6.45702512483e-16  6.26807560213e-33
3455.56552068  5.92698366267e-16  6.23830229682e-33
3457.93721973  5.78010532651e-16  6.14051312764e-33
3460.30891878  6.57861757453e-16  6.03277379599e-33
3462.68061784  7.99440593783e-16  5.90790920886e-33
3465.05231689  7.97211009491e-16  5.99754878255e-33
3467.42401594  7.60831009538e-16  6.08368918372e-33
  3469.795715    7.894349566e-16  6.13428222866e-33
3472.16741405  7.16580047262e-16  5.95537054199e-33
 3474.5391131  7.54257624313e-16  5.90358979686e-33
3476.91081216  7.03286005978e-16  5.75428371901e-33
3479.28251121  6.70173404554e-16   5.5516757182e-33
3481.65421026  6.87366278823e-16  5.57832954178e-33
3484.02590932  6.09240487513e-16  5.72265608043e-33
3486.39760837   8.8068021472e-16  6.09444547736e-33
3488.76930742  8.72907455925e-16  6.25067210644e-33
3491.14100648  8.66350071503e-16  6.23953575473e-33
3493.51270553  8.98994153875e-16   6.0454558625e-33
3495.88440458  8.58739600459e-16    5.941685109e-33
3498.25610364  8.46643953717e-16  5.80821215488e-33
3500.62780269  8.72179915581e-16  5.66588192512e-33
3502.99950174  9.88930333879e-16  5.85879577524e-33
 3505.3712008   9.2285045719e-16  5.82280673623e-33
3507.74289985   9.5636847328e-16  5.73087698659e-33
 3510.1145989   9.5709166729e-16  5.42814918406e-33
3512.48629796  9.90352529702e-16  5.30851719914e-33
3514.85799701  1.05845184576e-15  5.41101697988e-33
3517.22969606  1.04946103773e-15  5.54454273288e-33
3519.60139512  1.09402980819e-15  5.58967650417e-33
3521.97309417  1.13496149878e-15  5.62638722752e-33
3524.34479322  1.06373610089e-15  5.59518872021e-33
3526.71649228  9.90785034884e-16  5.56536969362e-33
3529.08819133  1.14709460149e-15  5.81465447385e-33
3531.45989038  1.22575080895e-15  5.95326119265e-33
3533.83158944  1.23517424288e-15   5.9429973096e-33
3536.20328849  1.03860260434e-15  5.67749030849e-33
3538.57498754  1.09890907517e-15  5.60909794354e-33
 3540.9466866  1.22418059751e-15  5.71941703944e-33
3543.31838565  1.12150135039e-15  5.60112269801e-33
 3545.6900847  1.28327260543e-15  5.82236309119e-33
3548.06178376  1.23389240557e-15  5.61293510283e-33
3550.43348281  1.25536981392e-15  5.49642992875e-33
3552.80518186  1.23995716783e-15    5.276439831e-33
3555.17688092  1.20264701432e-15  5.09278253186e-33
3557.54857997  1.16097535798e-15  5.04316231455e-33
3559.92027902  1.21160182666e-15  5.13514305963e-33
3562.29197808  1.31701072126e-15  5.25830300773e-33
3564.66367713  1.37405525692e-15  5.22061725442e-33
3567.03537618  1.39803652573e-15  4.99867199861e-33
3569.40707524  1.24189079782e-15  4.76092250397e-33
3571.77877429    1.240752048e-15  4.67113105655e-33
3574.15047334  1.21264213205e-15  4.71633191393e-33
 3576.5221724  1.31781694508e-15  5.01587839334e-33
3578.89387145  1.29650936174e-15  5.15347191194e-33
 3581.2655705  1.42485464555e-15   5.3757052519e-33
3583.63726956   1.3462608516e-15  5.26926952808e-33
3586.00896861  1.31237112972e-15  5.19344901274e-33
3588.38066766  1.38586249931e-15   5.1533255421e-33
3590.75236672  1.39308659011e-15   4.9483162504e-33
3593.12406577  1.48684276135e-15  4.81879099349e-33
3595.49576482  1.46754916769e-15  4.70478425356e-33
3597.86746388  1.40308749933e-15  4.73258229406e-33
3600.23916293  1.42725820639e-15  4.77265156498e-33
3602.61086198  1.41850216577e-15  4.72244284308e-33
3604.98256104  1.48715647572e-15  4.67144580014e-33
3607.35426009  1.39339038135e-15  4.63602241676e-33
3609.72595914  1.46898711893e-15  4.85385733105e-33
 3612.0976582   1.5098760394e-15    5.024145472e-33
3614.46935725   1.4382586575e-15  4.95141408778e-33
 3616.8410563  1.39088435718e-15  4.69047245999e-33
3619.21275536  1.32130447859e-15  4.50263451974e-33
3621.58445441  1.34243085419e-15  4.64603250975e-33
3623.95615346  1.51276889829e-15  4.93048376026e-33
3626.32785252  1.46935350085e-15  4.91023569581e-33
3628.69955157  1.40296834111e-15  4.76399740451e-33
3631.07125062  1.46692551665e-15  4.68313230047e-33
3633.44294968  1.52704243839e-15  4.60235299618e-33
3635.81464873  1.42897622675e-15  4.56163858345e-33
3638.18634778  1.43826870506e-15  4.65581255799e-33
3640.55804684   1.3185439975e-15  4.72181907803e-33
3642.92974589  1.46077573475e-15  4.87358002902e-33
3645.30144494  1.54081981472e-15  4.90542707557e-33
  3647.673144  1.46145435262e-15   4.7949588478e-33
3650.04484305  1.48683769149e-15  4.75137098748e-33
 3652.4165421  1.54158612819e-15  4.68014709826e-33
3654.78824116  1.51478432135e-15  4.56634506862e-33
3657.15994021  1.52710835812e-15  4.54521170159e-33
3659.53163926  1.55701803256e-15   4.5500003017e-33
3661.90333832  1.50362961742e-15  4.41555900129e-33
3664.27503737  1.46135166794e-15  4.24232371509e-33
3666.64673642  1.39821795182e-15  4.11883555477e-33
3669.01843548  1.49636508025e-15  4.12846367536e-33
3671.39013453   1.3980500269e-15  4.05140365463e-33
3673.76183358  1.37922989265e-15  3.96165654817e-33
3676.13353264  1.50037619743e-15  4.14118383363e-33
3678.50523169   1.4410368497e-15  4.20264416688e-33
3680.87693074  1.41798177252e-15  4.13852290343e-33
 3683.2486298  1.40249085248e-15   4.1667541145e-33
3685.62032885   1.4781031936e-15  4.24634931223e-33
 3687.9920279  1.46479136161e-15  4.17804991032e-33
3690.36372696  1.49931405186e-15   4.0269901801e-33
3692.73542601  1.36729553045e-15  3.75179015005e-33
3695.10712506  1.35219606342e-15  3.78321864434e-33
3697.47882412  1.31932412718e-15  3.87955918617e-33
3699.85052317  1.18206825462e-15  3.95812430143e-33
3702.22222222  1.26347340871e-15  3.94338272328e-33
3704.59392128  1.22909868355e-15  3.68709945305e-33
3706.96562033  1.12862248602e-15   3.4039915114e-33
3709.33731938  1.06094962323e-15  3.37686536756e-33
3711.70901844  1.07782144712e-15  3.49748916597e-33
3714.08071749  1.04463345011e-15  3.52166241164e-33
3716.45241654  1.11857280431e-15  3.49176445656e-33
 3718.8241156  1.12431858415e-15  3.32793008883e-33
3721.19581465  1.07784728534e-15  3.16159483511e-33
 3723.5675137  9.31620991115e-16  3.16117466246e-33
