OBJECT  = 'PS1-10afx' / Name of the object observed                
OBSERVER= 'Quimby,Oguri,Moriya' 
TELESCOP= 'Keck I  '                                                            
SLITNAME= 'long_1.0' / 1.0 arcsec wide slit                                             
DICHNAME= '560     '                                                            
GRISNAME= '400/3400'                                                            
GRANAME = '400/8500'                                                            
GRANGLE =          25.87923241                                                  
WAVELEN =        7848.05908203                                                  
REDFILT = 'Clear   '                                                            
UTC     = '06:01:33.76'                                                         
MJD-OBS = '56542.251085'                                                        
ST      = '18:45:35.99'                                                         
DATE-OBS= '2013-09-07'                                                          
AIRMASS =           1.25 / Median over observation
RA      = '22:11:24.162'                                                         
DEC     = '+00:09:43.49'                                                         
EQUINOX =        2000.00000000                                                  
TOTEXPB = 22022.0 / seconds total exposure (blue channel)
TOTEXPR = 22876.3 / seconds total exposure (red channel)
DATE_BEG= '2013-09-07T06:01:33' / start of the first exposure
DATE_END= '2013-09-07T13:42:21' / end of the last exposure
REDUCEBY= Quimby

#     wav (A)    flux (flam)      eflux           skyflux
      3218.95  -1.2148480e-19   1.8806055e-18   2.5061806e-17
      3219.95  -2.2973472e-19   1.8435486e-18   2.3868695e-17
      3220.95   3.0619813e-19   1.8162903e-18   2.2892472e-17
      3221.95   4.4404161e-19   1.7900048e-18   2.1767320e-17
      3222.95   6.0070822e-19   1.7822331e-18   2.1538166e-17
      3223.95   5.6636370e-19   1.7825046e-18   2.1557783e-17
      3224.95  -2.8770395e-20   1.7809566e-18   2.1358352e-17
      3225.95   7.6814146e-20   1.7860304e-18   2.1293910e-17
      3226.95   7.2377464e-19   1.8024893e-18   2.1771693e-17
      3227.95   1.0643821e-18   1.8166616e-18   2.2027577e-17
      3228.95   2.4192574e-19   1.8262076e-18   2.2105120e-17
      3229.95   4.0813904e-19   1.8354287e-18   2.1992486e-17
      3230.95   5.4646023e-19   1.8467759e-18   2.1964117e-17
      3231.95   2.8379094e-19   1.8619037e-18   2.2218765e-17
      3232.95   3.2938434e-19   1.8742843e-18   2.2361928e-17
      3233.95  -8.3542111e-20   1.8853245e-18   2.2477807e-17
      3234.95   2.0556000e-19   1.8987673e-18   2.2730353e-17
      3235.95   4.4636487e-19   1.8969426e-18   2.2368830e-17
      3236.95   1.1997270e-18   1.8951721e-18   2.2054194e-17
      3237.95   9.3511127e-19   1.8894602e-18   2.1763857e-17
      3238.95   9.4074901e-19   1.8769569e-18   2.1343081e-17
      3239.95   7.3996288e-19   1.8526593e-18   2.0429410e-17
      3240.95   1.1727483e-18   1.8302257e-18   1.9841528e-17
      3241.95   6.4875917e-19   1.8046006e-18   1.9394117e-17
      3242.95  -3.7096927e-19   1.7755748e-18   1.8726518e-17
      3243.95   1.2780706e-19   1.7428327e-18   1.7906010e-17
      3244.95   1.0841575e-18   1.7144489e-18   1.7257107e-17
      3245.95  -1.0833965e-19   1.6817366e-18   1.6625267e-17
      3246.95  -5.5177180e-20   1.6514400e-18   1.5966786e-17
      3247.95  -2.7425782e-19   1.6278912e-18   1.5409434e-17
      3248.95   3.4598317e-19   1.6141519e-18   1.5262373e-17
      3249.95   4.9668683e-19   1.5914930e-18   1.4506339e-17
      3250.95   1.1665114e-18   1.5860508e-18   1.4435580e-17
      3251.95   3.1367026e-19   1.5877059e-18   1.4683558e-17
      3252.95   2.6670666e-19   1.5909220e-18   1.4790023e-17
      3253.95   9.3589394e-19   1.6154946e-18   1.5853210e-17
      3254.95   6.3864043e-20   1.6431215e-18   1.7182716e-17
      3255.95   1.6624765e-19   1.6696320e-18   1.8418059e-17
      3256.95   9.5338619e-19   1.7114643e-18   2.0410500e-17
      3257.95   2.9765439e-19   1.7464094e-18   2.2184098e-17
      3258.95   4.3802606e-19   1.7833239e-18   2.4081199e-17
      3259.95  -1.1509034e-19   1.8131276e-18   2.5714205e-17
      3260.95   8.8617451e-19   1.8349819e-18   2.6904021e-17
      3261.95   1.4485506e-18   1.8403542e-18   2.7182151e-17
      3262.95   4.3213871e-19   1.8547715e-18   2.8301645e-17
      3263.95  -6.2538165e-20   1.8452193e-18   2.7865149e-17
      3264.95   7.5123911e-19   1.8447013e-18   2.8083353e-17
      3265.95  -3.1524911e-19   1.8351036e-18   2.7943675e-17
      3266.95  -2.4322053e-19   1.8154563e-18   2.7142517e-17
      3267.95  -2.3427637e-19   1.7852612e-18   2.5841493e-17
      3268.95  -4.2474330e-19   1.7618480e-18   2.4991569e-17
      3269.95   1.7382654e-19   1.7330772e-18   2.3943638e-17
      3270.95   1.7574229e-19   1.6965626e-18   2.2638245e-17
      3271.95   8.5032961e-19   1.6631248e-18   2.1509970e-17
      3272.95   6.2794811e-19   1.6347881e-18   2.0790668e-17
      3273.95   2.5151991e-19   1.6141458e-18   2.0530524e-17
      3274.95   6.2093985e-20   1.5902280e-18   2.0088050e-17
      3275.95   8.6960367e-20   1.5610253e-18   1.9239056e-17
      3276.95   5.7039712e-19   1.5399772e-18   1.8702329e-17
      3277.95   5.8116232e-19   1.5264288e-18   1.8546034e-17
      3278.95   2.6463164e-19   1.5214973e-18   1.8803321e-17
      3279.95   1.4935876e-19   1.5080985e-18   1.8371966e-17
      3280.95  -8.3870693e-20   1.5092566e-18   1.8564004e-17
      3281.95   1.4664849e-19   1.5211267e-18   1.9170163e-17
      3282.95   3.6603744e-19   1.5360133e-18   1.9984842e-17
      3283.95  -1.0030418e-20   1.5553408e-18   2.1021340e-17
      3284.95   2.5019630e-19   1.5806867e-18   2.2279836e-17
      3285.95   5.7910991e-19   1.5990520e-18   2.3059591e-17
      3286.95   7.9494199e-20   1.6209446e-18   2.4184047e-17
      3287.95   7.0722688e-19   1.6372947e-18   2.4808315e-17
      3288.95   2.9782876e-19   1.6535185e-18   2.5604840e-17
      3289.95   6.3004261e-19   1.6767356e-18   2.6952816e-17
      3290.95   2.8947375e-19   1.7150448e-18   2.9436335e-17
      3291.95   3.9863509e-19   1.7477977e-18   3.1731915e-17
      3292.95   4.0274165e-19   1.7849257e-18   3.4530959e-17
      3293.95   4.5719997e-19   1.8014487e-18   3.6064748e-17
      3294.95   5.1912613e-19   1.8261398e-18   3.8231835e-17
      3295.95   2.1923956e-19   1.8217626e-18   3.8517867e-17
      3296.95   5.4013627e-20   1.8040457e-18   3.7829884e-17
      3297.95   5.4057338e-19   1.7749999e-18   3.6335235e-17
      3298.94   4.7217420e-19   1.7415432e-18   3.4616074e-17
      3299.94   7.0949171e-19   1.7109957e-18   3.3235079e-17
      3300.94  -2.1322537e-19   1.6710919e-18   3.1271780e-17
      3301.94   5.5926780e-19   1.6353846e-18   2.9587051e-17
      3302.94  -2.1784065e-19   1.6031389e-18   2.8259342e-17
      3303.94   2.3091851e-19   1.5684240e-18   2.6686466e-17
      3304.94   3.9450864e-19   1.5403728e-18   2.5580932e-17
      3305.94  -6.7981590e-19   1.5091510e-18   2.4277540e-17
      3306.94  -1.5872042e-20   1.4894759e-18   2.3549280e-17
      3307.94   6.4075533e-19   1.4848084e-18   2.3720515e-17
      3308.94  -7.3582783e-20   1.4727345e-18   2.3501322e-17
      3309.94   2.9728926e-19   1.4714240e-18   2.3711699e-17
      3310.94  -1.6195030e-19   1.4765745e-18   2.4251600e-17
      3311.94  -1.4846187e-19   1.4886772e-18   2.5178248e-17
      3312.94  -1.4659972e-19   1.5022126e-18   2.6154967e-17
      3313.94  -3.9100457e-19   1.5158521e-18   2.7075246e-17
      3314.94   2.5308791e-19   1.5235918e-18   2.7485060e-17
      3315.94  -1.3032588e-19   1.5408013e-18   2.8563801e-17
      3316.94  -1.7060132e-19   1.5611298e-18   2.9864367e-17
      3317.94   4.0346334e-19   1.5692526e-18   3.0307530e-17
      3318.94   2.6388918e-19   1.5742120e-18   3.0625452e-17
      3319.94  -8.6363185e-20   1.5713411e-18   3.0382488e-17
      3320.94   2.5096192e-19   1.5621966e-18   2.9832287e-17
      3321.94   5.2837653e-19   1.5541846e-18   2.9303602e-17
      3322.94   3.3887458e-19   1.5294418e-18   2.7794399e-17
      3323.94   4.0814015e-19   1.5103114e-18   2.6678613e-17
      3324.94   1.3529006e-20   1.4927643e-18   2.5782574e-17
      3325.94   2.3866019e-19   1.4771853e-18   2.4983480e-17
      3326.94   1.6850350e-19   1.4542287e-18   2.3852349e-17
      3327.94   7.4582405e-20   1.4385392e-18   2.3169617e-17
      3328.94   4.1918691e-19   1.4225435e-18   2.2466220e-17
      3329.94   1.4139081e-19   1.4006042e-18   2.1429656e-17
      3330.94   2.8815407e-19   1.3813372e-18   2.0543802e-17
      3331.94   5.6896888e-19   1.3662065e-18   1.9939433e-17
      3332.94   1.3920764e-19   1.3530027e-18   1.9510633e-17
      3333.94   2.7034234e-19   1.3380922e-18   1.8908444e-17
      3334.94   2.3920983e-19   1.3239932e-18   1.8333254e-17
      3335.94   3.4045665e-19   1.3149305e-18   1.7984966e-17
      3336.94   3.6304261e-19   1.3067032e-18   1.7849060e-17
      3337.94   9.1460286e-20   1.2984296e-18   1.7725957e-17
      3338.94   3.9251192e-20   1.2918081e-18   1.7545483e-17
      3339.94   2.7732799e-19   1.2834296e-18   1.7185249e-17
      3340.94   1.5803053e-19   1.2794179e-18   1.7086522e-17
      3341.94   5.4355106e-19   1.2783997e-18   1.7117565e-17
      3342.94   1.3000352e-19   1.2723070e-18   1.6832854e-17
      3343.94   2.0427320e-19   1.2712051e-18   1.6798128e-17
      3344.94   2.8512918e-19   1.2648138e-18   1.6456741e-17
      3345.94   1.5502436e-19   1.2618030e-18   1.6267816e-17
      3346.94   4.0162766e-19   1.2622007e-18   1.6241757e-17
      3347.94   1.7750115e-19   1.2614104e-18   1.6189263e-17
      3348.94  -2.5707822e-19   1.2583014e-18   1.6161462e-17
      3349.94  -4.3229254e-19   1.2553785e-18   1.6117626e-17
      3350.94   1.4447105e-19   1.2564270e-18   1.6203157e-17
      3351.94   6.3253388e-19   1.2558619e-18   1.6139419e-17
      3352.94   2.0666371e-19   1.2538375e-18   1.6164461e-17
      3353.94   4.6677650e-19   1.2479244e-18   1.6021932e-17
      3354.94   5.7430807e-19   1.2432855e-18   1.5935953e-17
      3355.94   1.4750802e-20   1.2456820e-18   1.5978421e-17
      3356.94   3.5315720e-19   1.2422904e-18   1.5935820e-17
      3357.94   2.5324145e-19   1.2376516e-18   1.5985070e-17
      3358.94   2.8392533e-20   1.2263695e-18   1.5687216e-17
      3359.94   2.2098161e-19   1.2184115e-18   1.5607419e-17
      3360.94   3.5758316e-19   1.2097986e-18   1.5433655e-17
      3361.94   6.4673126e-20   1.2082721e-18   1.5651872e-17
      3362.94   2.2170915e-19   1.2114144e-18   1.6090922e-17
      3363.94   5.6825776e-19   1.2253710e-18   1.7150156e-17
      3364.94   7.3534413e-19   1.2599420e-18   1.9597756e-17
      3365.94   5.9906307e-19   1.3061560e-18   2.3132457e-17
      3366.94   4.7537835e-19   1.3591836e-18   2.7406136e-17
      3367.94   1.2599674e-19   1.4079799e-18   3.1510049e-17
      3368.94   6.5714419e-19   1.4587249e-18   3.5759288e-17
      3369.94   2.4418594e-19   1.4946655e-18   3.8927602e-17
      3370.94   3.1658590e-19   1.5163273e-18   4.0829026e-17
      3371.94   5.8509413e-19   1.5105088e-18   4.0684258e-17
      3372.94   3.2474079e-19   1.4881274e-18   3.9191090e-17
      3373.94   2.9771694e-19   1.4722807e-18   3.7875086e-17
      3374.94   5.2734344e-19   1.4591835e-18   3.6843000e-17
      3375.94   5.3925204e-19   1.4265362e-18   3.4587513e-17
      3376.94   1.7912640e-19   1.4053336e-18   3.3210963e-17
      3377.94   1.0399794e-18   1.3891987e-18   3.2013218e-17
      3378.94  -9.1724351e-20   1.3717189e-18   3.0885393e-17
      3379.94   3.2138375e-20   1.3573156e-18   2.9943221e-17
      3380.94   1.4836091e-19   1.3328778e-18   2.8335683e-17
      3381.94   2.4861859e-19   1.3233464e-18   2.7657854e-17
      3382.94   2.1719658e-19   1.3181526e-18   2.7383947e-17
      3383.94   8.5376281e-20   1.3044682e-18   2.6597985e-17
      3384.94  -2.0659845e-19   1.2856862e-18   2.5434495e-17
