BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                 1788  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel (out of date)                
IRAF-MIN=                   0.  /  Min image pixel (out of date)                
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
OBJECT  = 'SN 2005GJ         '  /                                              
FILENAME= 'SN05GJ_B01_DUP_WF_23DEC05'  /
4012.89871292669  1.071453E-16
4015.94012311136  7.926172E-17
4018.98153329602  8.255738E-17
4022.02294348069  1.028424E-16
4025.06435366536  1.148804E-16
4028.10576385003  1.073643E-16
4031.14717403469  9.620747E-17
4034.18858421936  8.392682E-17
4037.22999440403  9.416431E-17
4040.27140458869  9.613027E-17
4043.31281477336  9.562348E-17
4046.35422495803  9.953793E-17
4049.39563514269  8.574012E-17
4052.43704532736  7.684334E-17
4055.47845551203  8.055281E-17
4058.5198656967  8.767383E-17
4061.56127588136  8.922357E-17
4064.60268606603  1.026334E-16
4067.6440962507  9.580847E-17
4070.68550643536  8.621259E-17
4073.72691662003  9.255982E-17
4076.7683268047  9.522972E-17
4079.80973698936  9.902767E-17
4082.85114717403  1.063129E-16
4085.8925573587  1.173720E-16
4088.93396754337  1.095292E-16
4091.97537772803  1.006242E-16
4095.0167879127  9.424356E-17
4098.05819809737  9.447548E-17
4101.09960828203  1.032434E-16
4104.1410184667  1.024983E-16
4107.18242865137  1.000312E-16
4110.22383883603  1.146226E-16
4113.2652490207  1.065445E-16
4116.30665920537  1.156776E-16
4119.34806939003  1.086718E-16
4122.3894795747  1.025238E-16
4125.43088975937  9.979501E-17
4128.47229994404  9.799687E-17
4131.5137101287  1.064623E-16
4134.55512031337  1.109785E-16
4137.59653049804  1.116468E-16
4140.6379406827  1.104946E-16
4143.67935086737  1.156769E-16
4146.72076105204  1.173287E-16
4149.76217123671  1.130849E-16
4152.80358142137  1.163665E-16
4155.84499160604  1.077097E-16
4158.88640179071  1.188863E-16
4161.92781197537  1.186481E-16
4164.96922216004  1.187738E-16
4168.01063234471  1.240748E-16
4171.05204252937  1.280709E-16
4174.09345271404  1.239208E-16
4177.13486289871  1.162334E-16
4180.17627308338  1.218498E-16
4183.21768326804  1.206769E-16
4186.25909345271  1.072025E-16
4189.30050363738  1.213536E-16
4192.34191382204  1.142842E-16
4195.38332400671  1.297376E-16
4198.42473419138  1.306476E-16
4201.46614437605  1.100543E-16
4204.50755456071  1.053064E-16
4207.54896474538  1.260749E-16
4210.59037493005  1.130725E-16
4213.63178511471  9.315290E-17
4216.67319529938  1.212636E-16
4219.71460548405  1.318720E-16
4222.75601566871  1.144397E-16
4225.79742585338  1.329796E-16
4228.83883603805  1.500642E-16
4231.88024622271  1.336819E-16
4234.92165640738  1.289623E-16
4237.96306659205  1.292638E-16
4241.00447677672  1.285142E-16
4244.04588696138  1.329561E-16
4247.08729714605  1.302124E-16
4250.12870733072  1.303919E-16
4253.17011751538  1.127376E-16
4256.21152770005  1.174379E-16
4259.25293788472  1.324177E-16
4262.29434806939  1.312090E-16
4265.33575825405  1.204586E-16
4268.37716843872  1.221257E-16
4271.41857862339  1.244698E-16
4274.45998880805  1.313367E-16
4277.50139899272  1.215930E-16
4280.54280917739  1.139350E-16
4283.58421936205  1.171971E-16
4286.62562954672  1.223207E-16
4289.66703973139  1.176575E-16
4292.70844991606  1.202008E-16
4295.74986010072  1.258767E-16
4298.79127028539  1.198979E-16
4301.83268047005  1.208301E-16
4304.87409065472  1.170242E-16
4307.91550083939  1.192478E-16
4310.95691102406  1.272049E-16
4313.99832120872  1.128754E-16
4317.03973139339  1.095079E-16
4320.08114157806  1.119234E-16
4323.12255176272  1.108070E-16
4326.16396194739  1.143141E-16
4329.20537213206  1.167153E-16
4332.24678231673  1.210867E-16
4335.28819250139  1.131215E-16
4338.32960268606  1.188381E-16
4341.37101287073  1.190183E-16
4344.41242305539  1.212366E-16
4347.45383324006  1.108856E-16
4350.49524342473  1.160329E-16
4353.53665360939  1.157541E-16
4356.57806379406  1.147240E-16
4359.61947397873  1.176368E-16
4362.6608841634  1.227263E-16
4365.70229434806  1.084464E-16
4368.74370453273  1.121440E-16
4371.7851147174  1.142476E-16
4374.82652490206  1.176684E-16
4377.86793508673  1.186331E-16
4380.9093452714  1.151281E-16
4383.95075545607  1.148545E-16
4386.99216564073  1.112891E-16
4390.0335758254  1.186825E-16
4393.07498601007  1.179643E-16
4396.11639619473  1.062560E-16
4399.1578063794  1.089742E-16
4402.19921656407  1.083359E-16
4405.24062674873  1.177035E-16
4408.2820369334  1.131972E-16
4411.32344711807  1.149370E-16
4414.36485730273  1.202253E-16
4417.4062674874  1.125193E-16
4420.44767767207  1.170712E-16
4423.48908785674  1.102767E-16
4426.5304980414  1.113605E-16
4429.57190822607  1.099408E-16
4432.61331841074  1.187399E-16
4435.6547285954  1.289426E-16
4438.69613878007  1.207727E-16
4441.73754896474  1.222743E-16
4444.77895914941  1.222554E-16
4447.82036933407  1.107215E-16
4450.86177951874  1.122937E-16
4453.90318970341  1.228260E-16
4456.94459988807  1.202034E-16
4459.98601007274  1.195852E-16
4463.02742025741  1.066809E-16
4466.06883044207  1.083097E-16
4469.11024062674  1.182233E-16
4472.15165081141  1.191601E-16
4475.19306099608  1.196230E-16
4478.23447118074  1.130320E-16
4481.27588136541  1.135893E-16
4484.31729155008  1.196033E-16
4487.35870173474  1.078776E-16
4490.40011191941  1.056325E-16
4493.44152210408  1.086479E-16
4496.48293228874  1.129158E-16
4499.52434247341  1.163000E-16
4502.56575265808  1.220618E-16
4505.60716284275  1.136106E-16
4508.64857302741  1.104281E-16
4511.68998321208  1.078796E-16
4514.73139339675  1.089188E-16
4517.77280358141  1.144394E-16
4520.81421376608  1.159160E-16
4523.85562395075  1.119657E-16
4526.89703413541  1.207196E-16
4529.93844432008  1.271470E-16
4532.97985450475  1.197854E-16
4536.02126468941  1.128334E-16
4539.06267487408  1.221947E-16
4542.10408505875  1.167987E-16
4545.14549524342  1.206893E-16
4548.18690542808  1.210151E-16
4551.22831561275  1.194357E-16
4554.26972579742  1.199521E-16
4557.31113598208  1.185334E-16
4560.35254616675  1.205254E-16
4563.39395635142  1.240835E-16
4566.43536653609  1.252493E-16
4569.47677672075  1.355501E-16
4572.51818690542  1.354773E-16
4575.55959709009  1.220462E-16
4578.60100727475  1.153032E-16
4581.64241745942  1.200836E-16
4584.68382764409  1.249357E-16
4587.72523782875  1.282306E-16
4590.76664801342  1.258850E-16
4593.80805819809  1.161569E-16
4596.84946838276  1.343293E-16
4599.89087856742  1.293953E-16
4602.93228875209  1.222697E-16
4605.97369893676  1.168674E-16
4609.01510912142  1.305380E-16
4612.05651930609  1.401328E-16
4615.09792949076  1.296333E-16
4618.13933967543  1.331167E-16
4621.18074986009  1.172566E-16
4624.22216004476  1.140655E-16
4627.26357022943  1.107394E-16
4630.30498041409  1.220133E-16
4633.34639059876  1.217561E-16
4636.38780078343  1.198574E-16
4639.42921096809  1.169552E-16
4642.47062115276  1.166755E-16
4645.51203133743  1.348765E-16
4648.5534415221  1.266997E-16
4651.59485170676  1.133854E-16
4654.63626189143  1.130521E-16
4657.6776720761  1.148353E-16
4660.71908226076  1.086638E-16
4663.76049244543  1.160909E-16
4666.8019026301  1.132978E-16
4669.84331281476  1.146805E-16
4672.88472299943  1.164965E-16
4675.9261331841  1.114608E-16
4678.96754336876  1.131116E-16
4682.00895355343  1.096786E-16
4685.0503637381  1.149056E-16
4688.09177392277  1.150356E-16
4691.13318410743  1.062070E-16
4694.1745942921  1.155785E-16
4697.21600447677  1.152184E-16
4700.25741466143  1.132757E-16
4703.2988248461  1.164393E-16
4706.34023503077  1.146571E-16
4709.38164521543  1.094216E-16
4712.4230554001  1.171777E-16
4715.46446558477  1.144361E-16
4718.50587576944  1.157716E-16
4721.5472859541  1.189931E-16
4724.58869613877  1.100924E-16
4727.63010632344  1.061089E-16
4730.6715165081  1.133314E-16
4733.71292669277  1.197995E-16
4736.75433687744  1.138501E-16
4739.7957470621  1.119981E-16
4742.83715724677  1.079054E-16
4745.87856743144  1.132591E-16
4748.91997761611  1.164184E-16
4751.96138780077  1.131680E-16
4755.00279798544  1.077498E-16
4758.04420817011  1.233531E-16
4761.08561835477  1.219801E-16
4764.12702853944  1.217549E-16
4767.16843872411  1.186925E-16
4770.20984890877  1.201983E-16
4773.25125909344  1.214150E-16
4776.29266927811  1.261107E-16
4779.33407946277  1.264232E-16
4782.37548964744  1.266020E-16
4785.41689983211  1.239357E-16
4788.45831001678  1.276763E-16
4791.49972020144  1.380825E-16
4794.54113038611  1.338358E-16
4797.58254057078  1.192619E-16
4800.62395075545  1.333731E-16
4803.66536094011  1.431089E-16
4806.70677112478  1.321945E-16
4809.74818130945  1.316705E-16
4812.78959149411  1.298216E-16
4815.83100167878  1.423762E-16
4818.87241186345  1.489268E-16
4821.91382204811  1.498686E-16
4824.95523223278  1.414712E-16
4827.99664241745  1.504994E-16
4831.03805260212  1.496257E-16
4834.07946278678  1.477352E-16
4837.12087297145  1.550419E-16
4840.16228315612  1.478832E-16
4843.20369334078  1.496535E-16
4846.24510352545  1.550000E-16
4849.28651371012  1.575078E-16
4852.32792389478  1.543966E-16
4855.36933407945  1.549788E-16
4858.41074426412  1.566908E-16
4861.45215444879  1.708584E-16
4864.49356463345  1.564244E-16
4867.53497481812  1.576238E-16
4870.57638500279  1.571151E-16
4873.61779518745  1.623271E-16
4876.65920537212  1.650269E-16
4879.70061555679  1.628704E-16
4882.74202574145  1.612675E-16
4885.78343592612  1.613092E-16
4888.82484611079  1.708736E-16
4891.86625629545  1.642835E-16
4894.90766648012  1.673410E-16
4897.94907666479  1.662961E-16
4900.99048684946  1.686691E-16
4904.03189703412  1.704847E-16
4907.07330721879  1.607985E-16
4910.11471740346  1.678236E-16
4913.15612758812  1.741837E-16
4916.19753777279  1.704649E-16
4919.23894795746  1.733003E-16
4922.28035814212  1.648523E-16
4925.32176832679  1.690983E-16
4928.36317851146  1.734307E-16
4931.40458869613  1.650932E-16
4934.44599888079  1.671158E-16
4937.48740906546  1.810913E-16
4940.52881925013  1.714520E-16
4943.57022943479  1.703083E-16
4946.61163961946  1.713607E-16
4949.65304980413  1.767311E-16
4952.69445998879  1.626955E-16
4955.73587017346  1.690145E-16
4958.77728035813  1.592035E-16
4961.81869054279  1.617110E-16
4964.86010072746  1.538091E-16
4967.90151091213  1.612886E-16
4970.9429210968  1.510796E-16
4973.98433128146  1.546037E-16
4977.02574146613  1.565511E-16
4980.0671516508  1.533056E-16
4983.10856183546  1.480477E-16
4986.14997202013  1.560370E-16
4989.1913822048  1.493303E-16
4992.23279238947  1.488385E-16
4995.27420257413  1.463319E-16
4998.3156127588  1.476247E-16
5001.35702294347  1.470402E-16
5004.39843312813  1.461893E-16
5007.4398433128  1.436151E-16
5010.48125349747  1.400153E-16
5013.52266368214  1.364129E-16
5016.5640738668  1.446282E-16
5019.60548405147  1.368090E-16
5022.64689423614  1.445136E-16
5025.6883044208  1.375488E-16
5028.72971460547  1.349355E-16
5031.77112479014  1.325096E-16
5034.8125349748  1.385409E-16
5037.85394515947  1.301302E-16
5040.89535534414  1.286843E-16
5043.93676552881  1.382552E-16
5046.97817571347  1.372865E-16
5050.01958589814  1.311503E-16
5053.06099608281  1.271192E-16
