BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                  573  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel (out of date)                
IRAF-MIN=                   0.  /  Min image pixel (out of date)                
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
OBJECT  = 'SN1989B NAR - APERTURE 1'  /
FILENAME= 'CTIO_60_RED_06FEB89'  /
6572.0185052  6.548093E-14
6580.3158666  6.458482E-14
6588.613228  6.029167E-14
6596.9105894  5.950427E-14
6605.2079508  5.831186E-14
6613.5053122  5.673908E-14
6621.8026736  5.635303E-14
6630.100035  5.607022E-14
6638.3973964  5.550870E-14
6646.6947578  5.510968E-14
6654.9921192  5.432293E-14
6663.2894806  5.375960E-14
6671.586842  5.349701E-14
6679.8842034  5.329217E-14
6688.1815648  5.343373E-14
6696.4789262  5.279565E-14
6704.7762876  5.257752E-14
6713.073649  5.258132E-14
6721.3710104  5.249007E-14
6729.6683718  5.215302E-14
6737.9657332  5.191849E-14
6746.2630946  5.119958E-14
6754.560456  4.993031E-14
6762.8578174  4.883278E-14
6771.1551788  4.823283E-14
6779.4525402  4.796913E-14
6787.7499016  4.730920E-14
6796.047263  4.689001E-14
6804.3446244  4.692849E-14
6812.6419858  4.656355E-14
6820.9393472  4.648943E-14
6829.2367086  4.641471E-14
6837.53407  4.631308E-14
6845.8314314  4.620105E-14
6854.1287928  4.499161E-14
6862.4261542  4.206386E-14
6870.7235156  3.850727E-14
6879.020877  3.867204E-14
6887.3182384  4.023828E-14
6895.6155998  4.069444E-14
6903.9129612  4.144021E-14
6912.2103226  4.195561E-14
6920.507684  4.235620E-14
6928.8050454  4.218557E-14
6937.1024068  4.204807E-14
6945.3997682  4.194323E-14
6953.6971296  4.227972E-14
6961.994491  4.303393E-14
6970.2918524  4.379043E-14
6978.5892138  4.383009E-14
6986.8865752  4.358630E-14
6995.1839366  4.315208E-14
7003.481298  4.332358E-14
7011.7786594  4.354126E-14
7020.0760208  4.329103E-14
7028.3733822  4.298062E-14
7036.6707436  4.310581E-14
7044.968105  4.307001E-14
7053.2654664  4.331701E-14
7061.5628278  4.291817E-14
7069.8601892  4.317876E-14
7078.1575506  4.321863E-14
7086.454912  4.302352E-14
7094.7522734  4.308484E-14
7103.0496348  4.311792E-14
7111.3469962  4.290645E-14
