BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                 1788  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel (out of date)                
IRAF-MIN=                   0.  /  Min image pixel (out of date)                
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
OBJECT  = 'SN2008FF          '  /                                              
FILENAME= 'SN08FF_B01_DUP_WF_22SEP08'  /
3827.372691662  1.677048E-16
3830.41410184667  1.954487E-16
3833.45551203134  2.004628E-16
3836.496922216  1.844706E-16
3839.53833240067  2.053087E-16
3842.57974258534  1.864122E-16
3845.62115277001  1.886442E-16
3848.66256295467  1.831896E-16
3851.70397313934  1.865639E-16
3854.74538332401  1.895636E-16
3857.78679350867  2.058194E-16
3860.82820369334  2.184894E-16
3863.86961387801  2.255638E-16
3866.91102406267  2.620016E-16
3869.95243424734  2.476222E-16
3872.99384443201  2.714598E-16
3876.03525461668  2.711923E-16
3879.07666480134  2.792127E-16
3882.11807498601  3.052535E-16
3885.15948517068  3.259138E-16
3888.20089535534  3.248602E-16
3891.24230554001  3.470230E-16
3894.28371572468  3.591737E-16
3897.32512590934  3.658066E-16
3900.36653609401  4.005049E-16
3903.40794627868  4.217631E-16
3906.44935646335  4.190454E-16
3909.49076664801  4.444579E-16
3912.53217683268  4.623864E-16
3915.57358701735  4.703937E-16
3918.61499720201  4.987246E-16
3921.65640738668  5.178504E-16
3924.69781757135  5.258314E-16
3927.73922775601  5.414557E-16
3930.78063794068  5.428094E-16
3933.82204812535  5.465805E-16
3936.86345831002  5.405157E-16
3939.90486849468  5.784420E-16
3942.94627867935  5.983461E-16
3945.98768886402  6.188287E-16
3949.02909904868  6.080393E-16
3952.07050923335  6.164922E-16
3955.11191941802  6.413782E-16
3958.15332960268  6.414509E-16
3961.19473978735  6.437148E-16
3964.23614997202  6.841311E-16
3967.27756015669  6.652354E-16
3970.31897034135  6.380257E-16
3973.36038052602  6.858343E-16
3976.40179071069  7.132150E-16
3979.44320089535  7.021168E-16
3982.48461108002  7.337262E-16
3985.52602126469  7.084327E-16
3988.56743144935  7.122781E-16
3991.60884163402  7.591367E-16
3994.65025181869  7.340249E-16
3997.69166200335  7.708026E-16
4000.73307218802  7.569280E-16
4003.77448237269  7.229856E-16
4006.81589255736  7.510072E-16
4009.85730274202  7.463947E-16
4012.89871292669  7.332005E-16
4015.94012311136  7.495781E-16
4018.98153329602  7.400451E-16
4022.02294348069  7.318407E-16
4025.06435366536  7.301048E-16
4028.10576385003  7.199940E-16
4031.14717403469  7.247805E-16
4034.18858421936  7.330129E-16
4037.22999440403  6.914976E-16
4040.27140458869  6.662665E-16
4043.31281477336  6.506161E-16
4046.35422495803  6.291607E-16
4049.39563514269  6.185813E-16
4052.43704532736  5.864923E-16
4055.47845551203  5.898708E-16
4058.5198656967  5.918717E-16
4061.56127588136  5.384027E-16
4064.60268606603  5.529518E-16
4067.6440962507  5.382967E-16
4070.68550643536  5.465630E-16
4073.72691662003  5.257744E-16
4076.7683268047  5.151514E-16
4079.80973698936  5.234341E-16
4082.85114717403  5.223906E-16
4085.8925573587  5.165188E-16
4088.93396754337  4.978850E-16
4091.97537772803  5.098939E-16
4095.0167879127  4.923272E-16
4098.05819809737  4.665266E-16
4101.09960828203  4.732106E-16
4104.1410184667  4.536939E-16
4107.18242865137  4.823840E-16
4110.22383883603  4.887917E-16
4113.2652490207  4.663085E-16
4116.30665920537  4.545481E-16
4119.34806939003  4.491084E-16
4122.3894795747  4.271454E-16
4125.43088975937  4.138864E-16
4128.47229994404  4.320704E-16
4131.5137101287  4.222747E-16
4134.55512031337  4.004500E-16
4137.59653049804  4.071559E-16
4140.6379406827  4.013843E-16
4143.67935086737  3.756369E-16
4146.72076105204  4.092996E-16
4149.76217123671  4.127942E-16
4152.80358142137  4.065842E-16
4155.84499160604  3.944042E-16
4158.88640179071  3.950761E-16
4161.92781197537  3.965872E-16
4164.96922216004  4.071330E-16
4168.01063234471  3.757018E-16
4171.05204252937  3.848616E-16
4174.09345271404  3.785034E-16
4177.13486289871  3.729849E-16
4180.17627308338  3.926153E-16
4183.21768326804  3.921498E-16
4186.25909345271  3.870613E-16
4189.30050363738  3.973717E-16
4192.34191382204  4.047091E-16
4195.38332400671  4.025529E-16
4198.42473419138  4.120613E-16
4201.46614437605  4.073212E-16
4204.50755456071  4.210336E-16
4207.54896474538  4.000965E-16
4210.59037493005  4.176964E-16
4213.63178511471  4.350873E-16
4216.67319529938  4.210022E-16
4219.71460548405  4.397892E-16
4222.75601566871  4.384135E-16
4225.79742585338  4.377546E-16
4228.83883603805  4.442923E-16
4231.88024622271  4.621077E-16
4234.92165640738  4.464196E-16
4237.96306659205  4.585807E-16
4241.00447677672  4.467298E-16
4244.04588696138  4.507298E-16
4247.08729714605  4.276502E-16
4250.12870733072  4.453454E-16
4253.17011751538  4.325827E-16
4256.21152770005  4.401961E-16
4259.25293788472  4.596392E-16
4262.29434806939  4.566542E-16
4265.33575825405  4.620785E-16
4268.37716843872  4.467519E-16
4271.41857862339  4.460680E-16
4274.45998880805  4.500289E-16
4277.50139899272  4.832043E-16
4280.54280917739  4.573657E-16
4283.58421936205  4.515889E-16
4286.62562954672  4.728707E-16
4289.66703973139  4.556928E-16
4292.70844991606  4.626813E-16
4295.74986010072  4.685945E-16
4298.79127028539  4.596055E-16
4301.83268047005  4.625669E-16
4304.87409065472  4.439134E-16
4307.91550083939  4.704162E-16
4310.95691102406  4.680388E-16
4313.99832120872  4.684569E-16
4317.03973139339  4.696124E-16
4320.08114157806  4.665961E-16
4323.12255176272  4.890305E-16
4326.16396194739  4.779574E-16
4329.20537213206  4.914019E-16
4332.24678231673  5.085441E-16
4335.28819250139  4.964902E-16
4338.32960268606  5.144886E-16
4341.37101287073  5.166824E-16
4344.41242305539  5.426469E-16
4347.45383324006  5.450248E-16
4350.49524342473  5.513354E-16
4353.53665360939  5.335799E-16
4356.57806379406  5.350697E-16
4359.61947397873  5.320743E-16
4362.6608841634  5.271387E-16
4365.70229434806  5.278456E-16
4368.74370453273  5.238641E-16
4371.7851147174  5.250507E-16
4374.82652490206  5.080199E-16
4377.86793508673  5.084130E-16
4380.9093452714  4.998515E-16
4383.95075545607  4.845619E-16
4386.99216564073  4.866754E-16
4390.0335758254  4.600666E-16
4393.07498601007  4.465472E-16
4396.11639619473  4.523626E-16
4399.1578063794  4.360659E-16
4402.19921656407  4.223203E-16
4405.24062674873  4.274974E-16
4408.2820369334  4.161564E-16
4411.32344711807  3.901133E-16
4414.36485730273  3.869296E-16
4417.4062674874  3.817631E-16
4420.44767767207  3.649100E-16
4423.48908785674  3.533475E-16
4426.5304980414  3.413536E-16
4429.57190822607  3.459262E-16
4432.61331841074  3.439773E-16
4435.6547285954  3.320376E-16
4438.69613878007  3.156256E-16
4441.73754896474  3.192336E-16
4444.77895914941  3.121281E-16
4447.82036933407  3.086703E-16
4450.86177951874  3.031601E-16
4453.90318970341  2.935564E-16
4456.94459988807  2.906284E-16
4459.98601007274  2.979287E-16
4463.02742025741  2.815641E-16
4466.06883044207  2.828138E-16
4469.11024062674  2.828789E-16
4472.15165081141  2.724311E-16
4475.19306099608  2.797984E-16
4478.23447118074  2.867388E-16
4481.27588136541  2.738832E-16
4484.31729155008  2.915301E-16
4487.35870173474  2.916345E-16
4490.40011191941  2.970609E-16
4493.44152210408  2.971861E-16
4496.48293228874  2.824619E-16
4499.52434247341  2.941464E-16
4502.56575265808  2.979206E-16
4505.60716284275  2.913191E-16
4508.64857302741  2.914312E-16
4511.68998321208  3.020436E-16
4514.73139339675  3.093422E-16
4517.77280358141  3.145876E-16
4520.81421376608  3.166903E-16
4523.85562395075  3.247567E-16
4526.89703413541  3.230043E-16
4529.93844432008  3.541319E-16
4532.97985450475  3.476447E-16
4536.02126468941  3.455669E-16
4539.06267487408  3.596457E-16
4542.10408505875  3.677220E-16
4545.14549524342  3.749659E-16
4548.18690542808  3.785086E-16
4551.22831561275  3.972982E-16
4554.26972579742  3.909258E-16
4557.31113598208  3.959771E-16
4560.35254616675  4.173112E-16
4563.39395635142  4.346207E-16
4566.43536653609  4.521573E-16
4569.47677672075  4.683946E-16
4572.51818690542  4.739349E-16
4575.55959709009  4.802181E-16
4578.60100727475  5.114813E-16
4581.64241745942  5.215243E-16
4584.68382764409  5.398031E-16
4587.72523782875  5.687235E-16
4590.76664801342  5.772924E-16
4593.80805819809  6.006139E-16
4596.84946838276  6.214376E-16
4599.89087856742  6.391089E-16
4602.93228875209  6.383329E-16
4605.97369893676  6.616247E-16
4609.01510912142  6.833374E-16
4612.05651930609  6.955901E-16
4615.09792949076  7.146313E-16
4618.13933967543  7.233997E-16
4621.18074986009  7.467209E-16
4624.22216004476  7.671466E-16
4627.26357022943  7.939256E-16
4630.30498041409  7.958161E-16
4633.34639059876  8.404705E-16
4636.38780078343  8.605610E-16
4639.42921096809  8.552950E-16
4642.47062115276  8.833105E-16
4645.51203133743  9.177408E-16
4648.5534415221  9.549264E-16
4651.59485170676  9.535704E-16
4654.63626189143  1.000615E-15
4657.6776720761  1.016101E-15
4660.71908226076  1.021083E-15
4663.76049244543  1.059366E-15
4666.8019026301  1.079553E-15
4669.84331281476  1.109126E-15
4672.88472299943  1.134705E-15
4675.9261331841  1.154244E-15
4678.96754336876  1.166742E-15
4682.00895355343  1.143211E-15
4685.0503637381  1.126566E-15
4688.09177392277  1.116409E-15
4691.13318410743  1.125725E-15
4694.1745942921  1.099277E-15
4697.21600447677  1.079901E-15
4700.25741466143  1.061906E-15
4703.2988248461  1.051537E-15
4706.34023503077  1.006980E-15
4709.38164521543  9.773614E-16
4712.4230554001  9.409897E-16
4715.46446558477  9.330687E-16
4718.50587576944  8.839797E-16
4721.5472859541  8.466679E-16
4724.58869613877  8.091504E-16
4727.63010632344  7.941328E-16
4730.6715165081  7.727448E-16
4733.71292669277  7.560415E-16
4736.75433687744  7.249307E-16
4739.7957470621  6.958005E-16
4742.83715724677  6.895728E-16
4745.87856743144  6.765038E-16
4748.91997761611  6.428562E-16
4751.96138780077  6.188343E-16
4755.00279798544  6.039437E-16
4758.04420817011  6.040348E-16
4761.08561835477  5.678083E-16
4764.12702853944  5.481194E-16
4767.16843872411  5.452219E-16
4770.20984890877  5.320042E-16
4773.25125909344  5.139622E-16
4776.29266927811  4.832624E-16
4779.33407946277  4.622625E-16
4782.37548964744  4.620253E-16
4785.41689983211  4.532740E-16
4788.45831001678  4.357583E-16
4791.49972020144  4.180945E-16
4794.54113038611  4.034945E-16
4797.58254057078  3.904996E-16
4800.62395075545  4.067472E-16
4803.66536094011  3.978718E-16
4806.70677112478  3.900660E-16
4809.74818130945  3.887176E-16
4812.78959149411  3.867601E-16
4815.83100167878  3.867876E-16
4818.87241186345  3.950691E-16
4821.91382204811  3.949709E-16
4824.95523223278  3.980830E-16
4827.99664241745  3.966446E-16
4831.03805260212  3.914598E-16
4834.07946278678  3.978623E-16
4837.12087297145  4.063524E-16
4840.16228315612  4.158744E-16
4843.20369334078  4.296504E-16
4846.24510352545  4.274256E-16
4849.28651371012  4.312573E-16
4852.32792389478  4.481997E-16
4855.36933407945  4.321166E-16
4858.41074426412  4.278782E-16
4861.45215444879  4.354206E-16
4864.49356463345  4.468661E-16
4867.53497481812  4.403715E-16
4870.57638500279  4.121160E-16
4873.61779518745  3.991061E-16
4876.65920537212  4.166593E-16
4879.70061555679  4.163485E-16
4882.74202574145  4.084112E-16
4885.78343592612  4.131748E-16
4888.82484611079  4.134018E-16
4891.86625629545  4.172611E-16
4894.90766648012  4.246342E-16
4897.94907666479  4.358409E-16
4900.99048684946  4.284354E-16
4904.03189703412  4.358437E-16
4907.07330721879  4.398329E-16
4910.11471740346  4.348629E-16
4913.15612758812  4.358130E-16
4916.19753777279  4.438002E-16
4919.23894795746  4.528819E-16
4922.28035814212  4.465074E-16
4925.32176832679  4.499205E-16
4928.36317851146  4.660246E-16
4931.40458869613  4.813080E-16
4934.44599888079  4.780693E-16
4937.48740906546  4.889039E-16
4940.52881925013  5.105812E-16
4943.57022943479  5.090904E-16
4946.61163961946  5.257539E-16
4949.65304980413  5.399839E-16
4952.69445998879  5.545715E-16
4955.73587017346  5.760359E-16
4958.77728035813  5.840220E-16
4961.81869054279  6.053150E-16
4964.86010072746  6.296324E-16
4967.90151091213  6.227371E-16
4970.9429210968  6.542383E-16
4973.98433128146  6.742510E-16
4977.02574146613  6.748319E-16
4980.0671516508  6.904364E-16
4983.10856183546  6.936389E-16
4986.14997202013  7.110609E-16
4989.1913822048  7.180605E-16
4992.23279238947  7.298518E-16
4995.27420257413  7.147094E-16
4998.3156127588  7.114281E-16
5001.35702294347  7.083944E-16
5004.39843312813  7.081155E-16
5007.4398433128  6.914485E-16
5010.48125349747  6.754550E-16
5013.52266368214  6.491650E-16
5016.5640738668  6.453041E-16
5019.60548405147  6.442657E-16
5022.64689423614  6.305236E-16
5025.6883044208  6.063792E-16
5028.72971460547  5.946150E-16
5031.77112479014  5.820859E-16
5034.8125349748  5.757274E-16
5037.85394515947  5.717058E-16
5040.89535534414  5.543011E-16
5043.93676552881  5.548743E-16
5046.97817571347  5.494327E-16
5050.01958589814  5.311700E-16
5053.06099608281  5.217492E-16
5056.10240626747  5.267318E-16
5059.14381645214  5.047431E-16
5062.18522663681  5.083412E-16
5065.22663682147  4.882363E-16
5068.26804700614  4.875125E-16
5071.30945719081  4.863998E-16
5074.35086737548  4.827114E-16
5077.39227756014  4.755144E-16
5080.43368774481  4.685795E-16
5083.47509792948  4.575462E-16
5086.51650811414  4.557026E-16
5089.55791829881  4.474815E-16
5092.59932848348  4.574853E-16
5095.64073866814  4.448997E-16
5098.68214885281  4.403326E-16
5101.72355903748  4.395517E-16
5104.76496922214  4.352180E-16
5107.80637940681  4.359723E-16
5110.84778959148  4.299682E-16
5113.88919977615  4.314941E-16
5116.93060996081  4.214910E-16
5119.97202014548  4.224311E-16
5123.01343033015  4.222546E-16
5126.05484051482  4.107737E-16
5129.09625069948  4.102592E-16
5132.13766088415  4.090769E-16
5135.17907106882  3.997795E-16
5138.22048125348  4.042402E-16
5141.26189143815  4.127370E-16
5144.30330162282  3.867022E-16
5147.34471180748  3.866463E-16
5150.38612199215  3.902420E-16
5153.42753217682  3.927778E-16
5156.46894236148  3.732644E-16
5159.51035254615  3.822888E-16
5162.55176273082  3.789351E-16
5165.59317291549  3.742885E-16
5168.63458310015  3.763069E-16
5171.67599328482  3.809051E-16
5174.71740346949  3.758009E-16
5177.75881365415  3.732987E-16
5180.80022383882  3.778088E-16
5183.84163402349  3.739296E-16
5186.88304420816  3.713048E-16
5189.92445439282  3.867675E-16
5192.96586457749  3.898956E-16
5196.00727476216  3.813654E-16
5199.04868494682  3.906664E-16
5202.09009513149  3.959101E-16
5205.13150531616  3.923618E-16
5208.17291550082  3.980490E-16
5211.21432568549  4.067713E-16
5214.25573587016  4.139047E-16
5217.29714605482  4.023614E-16
5220.33855623949  4.164041E-16
5223.37996642416  4.272598E-16
5226.42137660883  4.281324E-16
5229.46278679349  4.450389E-16
5232.50419697816  4.373732E-16
5235.54560716283  4.479134E-16
5238.58701734749  4.618530E-16
5241.62842753216  4.846025E-16
5244.66983771683  4.777070E-16
5247.7112479015  4.840483E-16
5250.75265808616  5.061592E-16
5253.79406827083  5.239743E-16
5256.8354784555  5.343403E-16
5259.87688864016  5.416289E-16
5262.91829882483  5.564057E-16
5265.9597090095  5.797659E-16
5269.00111919416  5.797828E-16
5272.04252937883  5.972749E-16
5275.0839395635  5.927629E-16
5278.12534974816  6.137068E-16
5281.16675993283  6.204618E-16
5284.2081701175  6.317164E-16
5287.24958030216  6.349462E-16
5290.29099048683  6.509767E-16
5293.3324006715  6.678587E-16
5296.37381085617  6.728819E-16
5299.41522104083  7.006773E-16
5302.4566312255  7.178158E-16
5305.49804141017  7.508979E-16
5308.53945159484  7.472621E-16
5311.5808617795  7.641543E-16
5314.62227196417  7.792225E-16
5317.66368214884  7.923250E-16
5320.7050923335  8.059589E-16
5323.74650251817  8.289377E-16
5326.78791270284  8.343845E-16
5329.8293228875  8.694359E-16
5332.87073307217  8.737228E-16
5335.91214325684  9.016664E-16
5338.9535534415  9.004290E-16
5341.99496362617  9.154824E-16
5345.03637381084  9.410644E-16
5348.07778399551  9.564606E-16
5351.11919418017  9.545744E-16
5354.16060436484  9.876694E-16
5357.20201454951  9.923513E-16
5360.24342473417  1.004623E-15
5363.28483491884  1.003217E-15
5366.32624510351  1.025904E-15
5369.36765528817  1.025797E-15
5372.40906547284  1.016611E-15
5375.45047565751  1.016632E-15
5378.49188584218  1.035738E-15
5381.53329602684  1.048762E-15
5384.57470621151  1.064105E-15
5387.61611639618  1.071382E-15
5390.65752658084  1.068289E-15
5393.69893676551  1.088738E-15
5396.74034695018  1.098836E-15
5399.78175713485  1.086561E-15
5402.82316731951  1.112532E-15
5405.86457750418  1.111108E-15
5408.90598768885  1.125859E-15
5411.94739787351  1.134639E-15
5414.98880805818  1.156754E-15
5418.03021824285  1.181621E-15
5421.07162842751  1.177639E-15
5424.11303861218  1.181384E-15
5427.15444879685  1.184714E-15
5430.19585898152  1.210539E-15
5433.23726916618  1.244568E-15
5436.27867935085  1.254702E-15
5439.32008953552  1.282573E-15
5442.36149972018  1.285759E-15
5445.40290990485  1.284425E-15
5448.44432008952  1.293191E-15
5451.48573027418  1.307479E-15
5454.52714045885  1.310439E-15
5457.56855064352  1.340405E-15
5460.60996082819  1.326852E-15
5463.65137101285  1.325332E-15
5466.69278119752  1.357174E-15
5469.73419138219  1.361295E-15
5472.77560156685  1.375845E-15
5475.81701175152  1.375061E-15
5478.85842193619  1.372353E-15
5481.89983212085  1.360453E-15
5484.94124230552  1.367851E-15
5487.98265249019  1.379762E-15
5491.02406267486  1.377913E-15
5494.06547285952  1.363703E-15
5497.10688304419  1.387750E-15
5500.14829322886  1.398167E-15
5503.18970341352  1.358256E-15
5506.23111359819  1.366788E-15
5509.27252378286  1.369709E-15
5512.31393396752  1.369304E-15
5515.35534415219  1.358575E-15
5518.39675433686  1.374959E-15
5521.43816452153  1.395109E-15
5524.47957470619  1.359033E-15
5527.52098489086  1.378776E-15
5530.56239507553  1.383395E-15
5533.60380526019  1.365032E-15
5536.64521544486  1.361995E-15
5539.68662562953  1.381887E-15
5542.72803581419  1.385331E-15
5545.76944599886  1.391259E-15
5548.81085618353  1.376197E-15
5551.85226636819  1.376235E-15
5554.89367655286  1.383784E-15
5557.93508673753  1.393638E-15
5560.9764969222  1.412928E-15
5564.01790710686  1.401435E-15
5567.05931729153  1.381415E-15
5570.1007274762  1.395363E-15
5573.14213766086  1.397476E-15
5576.18354784553  1.415420E-15
5579.2249580302  1.409049E-15
5582.26636821487  1.402869E-15
5585.30777839953  1.406114E-15
5588.3491885842  1.403440E-15
5591.39059876887  1.387812E-15
5594.43200895353  1.400416E-15
5597.4734191382  1.396473E-15
5600.51482932287  1.387105E-15
5603.55623950754  1.413511E-15
5606.5976496922  1.390285E-15
5609.63905987687  1.378711E-15
5612.68047006154  1.387726E-15
5615.7218802462  1.357437E-15
5618.76329043087  1.357051E-15
5621.80470061554  1.347418E-15
5624.8461108002  1.345368E-15
5627.88752098487  1.337336E-15
5630.92893116954  1.350262E-15
5633.9703413542  1.329622E-15
5637.01175153887  1.318381E-15
5640.05316172354  1.316764E-15
5643.09457190821  1.294467E-15
5646.13598209287  1.270889E-15
5649.17739227754  1.289519E-15
5652.21880246221  1.276762E-15
5655.26021264687  1.267497E-15
5658.30162283154  1.262394E-15
5661.34303301621  1.247532E-15
5664.38444320087  1.231572E-15
5667.42585338554  1.225876E-15
5670.46726357021  1.225661E-15
5673.50867375488  1.189522E-15
5676.55008393954  1.178740E-15
5679.59149412421  1.187834E-15
5682.63290430888  1.168433E-15
5685.67431449354  1.149784E-15
5688.71572467821  1.152922E-15
5691.75713486288  1.132206E-15
5694.79854504755  1.131903E-15
5697.83995523221  1.139044E-15
5700.88136541688  1.116545E-15
5703.92277560154  1.083824E-15
5706.96418578621  1.068917E-15
5710.00559597088  1.055009E-15
5713.04700615555  1.024503E-15
5716.08841634021  1.039378E-15
5719.12982652488  1.019512E-15
5722.17123670955  1.012896E-15
5725.21264689421  9.895274E-16
5728.25405707888  9.858590E-16
5731.29546726355  9.800078E-16
5734.33687744822  9.877895E-16
5737.37828763288  9.601121E-16
5740.41969781755  9.454236E-16
5743.46110800222  9.508780E-16
5746.50251818688  9.191804E-16
5749.54392837155  8.978092E-16
5752.58533855622  8.956591E-16
5755.62674874089  8.960902E-16
5758.66815892555  8.888559E-16
5761.70956911022  8.725856E-16
5764.75097929488  8.495506E-16
5767.79238947955  8.502926E-16
5770.83379966422  8.519128E-16
5773.87520984889  8.324510E-16
5776.91662003355  8.026296E-16
5779.95803021822  7.965703E-16
5782.99944040289  7.850822E-16
5786.04085058755  7.934358E-16
5789.08226077222  7.699321E-16
5792.12367095689  7.656922E-16
5795.16508114156  7.620864E-16
5798.20649132622  7.532929E-16
5801.24790151089  7.475410E-16
5804.28931169556  7.223528E-16
5807.33072188022  7.251658E-16
5810.37213206489  7.234664E-16
5813.41354224956  7.256516E-16
5816.45495243422  7.188409E-16
5819.49636261889  7.127065E-16
5822.53777280356  7.082687E-16
5825.57918298823  7.044445E-16
5828.62059317289  7.132217E-16
5831.66200335756  6.991072E-16
5834.70341354223  6.982153E-16
5837.74482372689  7.036992E-16
5840.78623391156  6.870298E-16
5843.82764409623  6.798807E-16
5846.86905428089  6.836362E-16
5849.91046446556  6.997872E-16
5852.95187465023  7.018963E-16
5855.99328483489  7.097924E-16
5859.03469501956  7.146479E-16
5862.07610520423  7.131990E-16
5865.1175153889  7.265833E-16
5868.15892557356  7.395396E-16
5871.20033575823  7.473925E-16
5874.2417459429  7.607354E-16
5877.28315612756  7.673808E-16
5880.32456631223  7.789975E-16
5883.3659764969  7.888462E-16
5886.40738668157  7.964513E-16
5889.44879686623  7.895028E-16
5892.4902070509  7.982335E-16
5895.53161723557  8.055256E-16
5898.57302742023  8.143490E-16
5901.6144376049  8.377722E-16
5904.65584778957  8.408917E-16
5907.69725797423  8.711884E-16
5910.7386681589  8.902053E-16
5913.78007834357  8.932547E-16
5916.82148852824  9.075451E-16
5919.8628987129  9.140796E-16
5922.90430889757  9.326770E-16
5925.94571908224  9.380115E-16
5928.9871292669  9.499761E-16
5932.02853945157  9.582154E-16
5935.06994963624  9.725660E-16
5938.11135982091  9.775087E-16
5941.15277000557  1.010240E-15
5944.19418019024  9.957352E-16
5947.23559037491  1.015125E-15
5950.27700055957  1.046207E-15
5953.31841074424  1.053463E-15
5956.35982092891  1.053178E-15
5959.40123111357  1.068542E-15
5962.44264129824  1.072212E-15
5965.48405148291  1.079525E-15
5968.52546166758  1.090610E-15
5971.56687185224  1.090904E-15
5974.60828203691  1.084444E-15
5977.64969222158  1.077410E-15
5980.69110240624  1.087333E-15
5983.73251259091  1.081912E-15
5986.77392277558  1.090108E-15
5989.81533296024  1.089160E-15
5992.85674314491  1.073313E-15
5995.89815332958  1.058820E-15
5998.93956351424  1.063003E-15
6001.98097369891  1.043481E-15
6005.02238388358  1.046404E-15
