BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                 1788  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel (out of date)                
IRAF-MIN=                   0.  /  Min image pixel (out of date)                
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
OBJECT  = 'SN2008HJ          '  /                                              
FILENAME= 'SN08HJ_B01_DUP_WF_27DEC08'  /
4009.85730274202  7.121881E-17
4012.89871292669  8.068541E-17
4015.94012311136  9.068445E-17
4018.98153329602  8.544553E-17
4022.02294348069  8.623075E-17
4025.06435366536  9.179438E-17
4028.10576385003  8.563499E-17
4031.14717403469  1.050414E-16
4034.18858421936  1.313564E-16
4037.22999440403  9.644509E-17
4040.27140458869  9.444109E-17
4043.31281477336  1.055932E-16
4046.35422495803  1.029621E-16
4049.39563514269  1.081915E-16
4052.43704532736  1.096079E-16
4055.47845551203  1.091405E-16
4058.5198656967  1.260483E-16
4061.56127588136  1.251083E-16
4064.60268606603  1.244602E-16
4067.6440962507  1.069201E-16
4070.68550643536  1.124204E-16
4073.72691662003  1.226880E-16
4076.7683268047  1.380097E-16
4079.80973698936  1.394915E-16
4082.85114717403  1.231199E-16
4085.8925573587  1.264820E-16
4088.93396754337  1.218224E-16
4091.97537772803  1.088273E-16
4095.0167879127  1.407408E-16
4098.05819809737  1.447854E-16
4101.09960828203  1.402241E-16
4104.1410184667  1.371173E-16
4107.18242865137  1.364423E-16
4110.22383883603  1.371770E-16
4113.2652490207  1.477071E-16
4116.30665920537  1.418291E-16
4119.34806939003  1.096306E-16
4122.3894795747  1.271668E-16
4125.43088975937  1.236167E-16
4128.47229994404  1.118914E-16
4131.5137101287  1.050823E-16
4134.55512031337  1.427237E-16
4137.59653049804  1.196415E-16
4140.6379406827  1.040017E-16
4143.67935086737  1.118989E-16
4146.72076105204  1.234139E-16
4149.76217123671  1.324936E-16
4152.80358142137  9.020651E-17
4155.84499160604  1.069787E-16
4158.88640179071  9.210939E-17
4161.92781197537  9.512410E-17
4164.96922216004  1.207418E-16
4168.01063234471  9.670334E-17
4171.05204252937  1.020485E-16
4174.09345271404  1.079931E-16
4177.13486289871  9.652365E-17
4180.17627308338  1.090072E-16
4183.21768326804  1.018545E-16
4186.25909345271  8.976606E-17
4189.30050363738  8.503425E-17
4192.34191382204  9.423602E-17
4195.38332400671  8.804354E-17
4198.42473419138  8.788410E-17
4201.46614437605  9.622676E-17
4204.50755456071  1.060044E-16
4207.54896474538  9.590605E-17
4210.59037493005  8.627685E-17
4213.63178511471  8.752564E-17
4216.67319529938  8.735336E-17
4219.71460548405  1.010438E-16
4222.75601566871  9.224510E-17
4225.79742585338  7.913012E-17
4228.83883603805  7.491836E-17
4231.88024622271  8.861371E-17
4234.92165640738  8.968961E-17
4237.96306659205  8.174542E-17
4241.00447677672  8.619246E-17
4244.04588696138  1.009083E-16
4247.08729714605  9.659584E-17
4250.12870733072  8.111493E-17
4253.17011751538  8.038093E-17
4256.21152770005  7.352879E-17
4259.25293788472  7.803007E-17
4262.29434806939  7.810519E-17
4265.33575825405  7.398839E-17
4268.37716843872  9.712931E-17
4271.41857862339  9.302909E-17
4274.45998880805  1.055723E-16
4277.50139899272  1.154814E-16
4280.54280917739  7.901577E-17
4283.58421936205  7.792339E-17
4286.62562954672  1.009263E-16
4289.66703973139  8.162144E-17
4292.70844991606  9.141062E-17
4295.74986010072  9.121491E-17
4298.79127028539  9.810595E-17
4301.83268047005  9.475664E-17
4304.87409065472  9.216523E-17
4307.91550083939  9.052123E-17
4310.95691102406  8.022240E-17
4313.99832120872  1.115507E-16
4317.03973139339  8.350305E-17
4320.08114157806  8.511196E-17
4323.12255176272  1.050656E-16
4326.16396194739  8.913731E-17
4329.20537213206  9.188436E-17
4332.24678231673  1.113275E-16
4335.28819250139  1.009185E-16
4338.32960268606  1.067636E-16
4341.37101287073  1.087296E-16
4344.41242305539  1.002308E-16
4347.45383324006  9.973425E-17
4350.49524342473  1.259465E-16
4353.53665360939  1.228544E-16
4356.57806379406  9.692851E-17
4359.61947397873  1.055411E-16
4362.6608841634  1.141316E-16
4365.70229434806  1.134975E-16
4368.74370453273  1.068125E-16
4371.7851147174  1.125406E-16
4374.82652490206  1.180627E-16
4377.86793508673  1.108067E-16
4380.9093452714  1.063876E-16
4383.95075545607  9.963338E-17
4386.99216564073  1.170657E-16
4390.0335758254  9.481689E-17
4393.07498601007  1.063834E-16
4396.11639619473  1.047258E-16
4399.1578063794  1.115990E-16
4402.19921656407  1.029713E-16
4405.24062674873  9.847251E-17
4408.2820369334  9.475899E-17
4411.32344711807  1.010405E-16
4414.36485730273  1.148359E-16
4417.4062674874  1.196816E-16
4420.44767767207  1.125039E-16
4423.48908785674  1.058281E-16
4426.5304980414  1.040904E-16
4429.57190822607  1.205362E-16
4432.61331841074  1.174434E-16
4435.6547285954  1.158312E-16
4438.69613878007  1.243240E-16
4441.73754896474  1.271472E-16
4444.77895914941  1.241670E-16
4447.82036933407  1.224574E-16
4450.86177951874  1.301561E-16
4453.90318970341  1.262882E-16
4456.94459988807  1.248109E-16
4459.98601007274  1.348354E-16
4463.02742025741  1.165482E-16
4466.06883044207  1.397383E-16
4469.11024062674  1.263718E-16
4472.15165081141  1.220722E-16
4475.19306099608  1.199386E-16
4478.23447118074  1.240684E-16
4481.27588136541  1.225255E-16
4484.31729155008  1.043903E-16
4487.35870173474  1.168919E-16
4490.40011191941  1.080999E-16
4493.44152210408  1.151665E-16
4496.48293228874  1.163542E-16
4499.52434247341  1.043461E-16
4502.56575265808  1.037805E-16
4505.60716284275  9.183702E-17
4508.64857302741  8.912919E-17
4511.68998321208  9.462095E-17
4514.73139339675  8.997394E-17
4517.77280358141  9.524529E-17
4520.81421376608  8.637455E-17
4523.85562395075  8.649696E-17
4526.89703413541  9.154014E-17
4529.93844432008  1.027269E-16
4532.97985450475  7.243049E-17
4536.02126468941  8.389345E-17
4539.06267487408  9.280045E-17
4542.10408505875  7.372341E-17
4545.14549524342  7.729911E-17
4548.18690542808  7.145066E-17
4551.22831561275  7.971006E-17
4554.26972579742  5.799568E-17
4557.31113598208  5.238427E-17
4560.35254616675  5.807509E-17
4563.39395635142  6.817953E-17
4566.43536653609  7.018813E-17
4569.47677672075  7.128410E-17
4572.51818690542  6.772852E-17
4575.55959709009  7.100423E-17
4578.60100727475  7.406640E-17
4581.64241745942  6.425767E-17
4584.68382764409  6.133988E-17
4587.72523782875  7.439145E-17
4590.76664801342  7.718328E-17
4593.80805819809  7.551925E-17
4596.84946838276  7.923787E-17
4599.89087856742  7.894943E-17
4602.93228875209  7.118824E-17
4605.97369893676  6.854579E-17
4609.01510912142  8.015000E-17
4612.05651930609  7.812057E-17
4615.09792949076  7.406039E-17
4618.13933967543  7.700266E-17
4621.18074986009  8.062916E-17
4624.22216004476  7.250925E-17
4627.26357022943  7.619763E-17
4630.30498041409  8.494578E-17
4633.34639059876  8.585902E-17
4636.38780078343  8.578392E-17
4639.42921096809  7.919063E-17
4642.47062115276  9.067397E-17
4645.51203133743  9.215269E-17
4648.5534415221  9.743039E-17
4651.59485170676  8.710250E-17
4654.63626189143  9.318197E-17
4657.6776720761  1.100474E-16
4660.71908226076  1.022307E-16
4663.76049244543  1.176506E-16
4666.8019026301  1.133878E-16
4669.84331281476  1.105357E-16
4672.88472299943  1.197312E-16
4675.9261331841  1.283528E-16
4678.96754336876  1.363871E-16
4682.00895355343  1.354078E-16
4685.0503637381  1.316596E-16
4688.09177392277  1.433794E-16
4691.13318410743  1.468916E-16
4694.1745942921  1.457884E-16
4697.21600447677  1.406856E-16
4700.25741466143  1.528272E-16
4703.2988248461  1.720098E-16
4706.34023503077  1.831907E-16
4709.38164521543  1.803638E-16
4712.4230554001  1.810038E-16
4715.46446558477  2.005496E-16
4718.50587576944  1.998591E-16
4721.5472859541  2.133164E-16
4724.58869613877  2.038677E-16
4727.63010632344  2.231811E-16
4730.6715165081  2.178821E-16
4733.71292669277  2.186091E-16
4736.75433687744  2.254711E-16
4739.7957470621  2.461002E-16
4742.83715724677  2.386379E-16
4745.87856743144  2.438408E-16
4748.91997761611  2.544560E-16
4751.96138780077  2.520546E-16
4755.00279798544  2.709990E-16
4758.04420817011  2.662615E-16
4761.08561835477  2.511780E-16
4764.12702853944  2.610884E-16
4767.16843872411  2.662423E-16
4770.20984890877  2.684019E-16
4773.25125909344  2.800032E-16
4776.29266927811  2.871647E-16
4779.33407946277  2.946700E-16
4782.37548964744  2.929438E-16
4785.41689983211  2.966496E-16
4788.45831001678  3.070779E-16
4791.49972020144  2.977406E-16
4794.54113038611  2.815638E-16
4797.58254057078  2.848738E-16
4800.62395075545  2.699337E-16
4803.66536094011  2.850224E-16
4806.70677112478  2.677353E-16
4809.74818130945  2.525603E-16
4812.78959149411  2.608978E-16
4815.83100167878  2.495712E-16
4818.87241186345  2.176476E-16
4821.91382204811  2.156612E-16
4824.95523223278  2.166103E-16
4827.99664241745  2.016179E-16
4831.03805260212  1.801460E-16
4834.07946278678  2.013757E-16
4837.12087297145  1.851575E-16
4840.16228315612  1.882236E-16
4843.20369334078  1.759794E-16
4846.24510352545  1.591334E-16
4849.28651371012  1.569538E-16
4852.32792389478  1.454165E-16
4855.36933407945  1.413048E-16
4858.41074426412  1.419878E-16
4861.45215444879  1.308157E-16
4864.49356463345  1.307064E-16
4867.53497481812  1.344383E-16
4870.57638500279  1.336412E-16
4873.61779518745  1.158019E-16
4876.65920537212  1.174305E-16
4879.70061555679  1.195231E-16
4882.74202574145  1.204025E-16
4885.78343592612  1.086298E-16
4888.82484611079  9.987136E-17
4891.86625629545  1.010685E-16
4894.90766648012  1.109081E-16
4897.94907666479  1.064156E-16
4900.99048684946  8.978017E-17
4904.03189703412  9.115491E-17
4907.07330721879  8.246127E-17
4910.11471740346  9.607003E-17
4913.15612758812  9.370606E-17
4916.19753777279  9.602863E-17
4919.23894795746  9.404020E-17
4922.28035814212  9.304900E-17
4925.32176832679  9.030966E-17
4928.36317851146  9.149444E-17
4931.40458869613  1.010142E-16
4934.44599888079  1.101307E-16
4937.48740906546  1.130218E-16
4940.52881925013  1.108355E-16
4943.57022943479  1.117205E-16
4946.61163961946  1.141653E-16
4949.65304980413  1.115057E-16
4952.69445998879  1.058727E-16
4955.73587017346  1.162618E-16
4958.77728035813  1.149280E-16
4961.81869054279  1.210818E-16
4964.86010072746  1.157228E-16
4967.90151091213  1.249691E-16
4970.9429210968  1.260766E-16
4973.98433128146  1.208655E-16
4977.02574146613  1.251446E-16
4980.0671516508  1.269194E-16
4983.10856183546  1.119515E-16
4986.14997202013  1.283000E-16
4989.1913822048  1.207294E-16
4992.23279238947  1.214374E-16
4995.27420257413  1.263347E-16
4998.3156127588  1.237201E-16
5001.35702294347  1.128984E-16
5004.39843312813  1.231870E-16
5007.4398433128  1.180966E-16
5010.48125349747  1.125786E-16
5013.52266368214  1.097276E-16
5016.5640738668  1.231218E-16
5019.60548405147  1.302550E-16
5022.64689423614  1.286889E-16
5025.6883044208  1.288369E-16
5028.72971460547  1.292689E-16
5031.77112479014  1.291919E-16
5034.8125349748  1.381933E-16
5037.85394515947  1.309569E-16
5040.89535534414  1.395893E-16
5043.93676552881  1.515616E-16
5046.97817571347  1.454577E-16
5050.01958589814  1.345579E-16
5053.06099608281  1.572795E-16
5056.10240626747  1.653594E-16
5059.14381645214  1.725356E-16
5062.18522663681  1.667144E-16
5065.22663682147  1.662654E-16
5068.26804700614  1.822723E-16
5071.30945719081  1.952484E-16
5074.35086737548  1.809330E-16
