6195.2278  1.098144E-14
6203.520225  1.192139E-14
6211.81265  1.297141E-14
6220.105075  1.373342E-14
6228.3975  1.481908E-14
6236.689925  1.542046E-14
6244.98235  1.660852E-14
6253.274775  1.782273E-14
6261.5672  1.882303E-14
6269.859625  1.974225E-14
6278.15205  2.028328E-14
6286.444475  2.092860E-14
6294.7369  2.222549E-14
6303.029325  2.299201E-14
6311.32175  2.344907E-14
6319.614175  2.368813E-14
6327.9066  2.378242E-14
6336.199025  2.381802E-14
6344.49145  2.384700E-14
6352.783875  2.463344E-14
6361.0763  2.451903E-14
6369.368725  2.451691E-14
6377.66115  2.441577E-14
6385.953575  2.452999E-14
6394.246  2.434372E-14
6402.538425  2.443752E-14
6410.83085  2.451772E-14
6419.123275  2.444954E-14
6427.4157  2.454702E-14
6435.708125  2.454004E-14
6444.00055  2.433812E-14
6452.292975  2.441463E-14
6460.5854  2.434502E-14
6468.877825  2.420970E-14
6477.17025  2.408206E-14
6485.462675  2.400094E-14
6493.7551  2.402769E-14
6502.047525  2.400483E-14
6510.33995  2.369914E-14
6518.632375  2.352654E-14
6526.9248  2.344187E-14
6535.217225  2.259537E-14
6543.50965  2.219377E-14
6551.802075  2.225418E-14
6560.0945  2.195319E-14
6568.386925  2.144881E-14
6576.67935  2.105989E-14
6584.971775  2.087669E-14
6593.2642  2.022221E-14
6601.556625  1.935948E-14
6609.84905  1.904868E-14
6618.141475  1.887416E-14
6626.4339  1.812668E-14
6634.726325  1.751151E-14
6643.01875  1.726046E-14
6651.311175  1.708000E-14
6659.6036  1.669924E-14
6667.896025  1.629383E-14
6676.18845  1.575866E-14
6684.480875  1.504278E-14
6692.7733  1.504983E-14
6701.065725  1.454657E-14
6709.35815  1.419584E-14
6717.650575  1.412385E-14
6725.943  1.385095E-14
6734.235425  1.339223E-14
6742.52785  1.299468E-14
6750.82027500001  1.320283E-14
6759.1127  1.271310E-14
6767.405125  1.244682E-14
6775.69755  1.244078E-14
6783.989975  1.197405E-14
6792.2824  1.190172E-14
6800.574825  1.186137E-14
6808.86725  1.180879E-14
6817.159675  1.146669E-14
6825.4521  1.131779E-14
6833.744525  1.148763E-14
6842.03695  1.118084E-14
6850.329375  1.095417E-14
6858.6218  1.041601E-14
6866.914225  9.611637E-15
6875.20665  9.126973E-15
6883.499075  9.289747E-15
6891.7915  9.302792E-15
6900.083925  9.774181E-15
6908.37635  9.929105E-15
6916.668775  9.970937E-15
6924.9612  1.015060E-14
6933.253625  1.013435E-14
6941.54605  9.634347E-15
6949.838475  9.592678E-15
6958.1309  9.438390E-15
6966.423325  1.007587E-14
6974.71575  1.002807E-14
6983.008175  1.004189E-14
6991.3006  9.843189E-15
6999.593025  9.527084E-15
7007.88545  9.609263E-15
7016.177875  9.620188E-15
7024.4703  9.707956E-15
7032.762725  9.510818E-15
7041.05515  9.517538E-15
7049.347575  9.434815E-15
7057.64  9.277476E-15
7065.932425  9.438789E-15
7074.22485  9.243914E-15
7082.517275  9.482029E-15
7090.8097  9.427826E-15
7099.102125  9.147557E-15
7107.39455  9.285909E-15
7115.686975  9.175846E-15
7123.9794  9.028102E-15
7132.271825  9.103742E-15
7140.56425  8.840718E-15
7148.856675  8.772471E-15
7157.1491  8.585892E-15
7165.441525  8.574553E-15
7173.73395  7.889052E-15
7182.026375  7.349120E-15
7190.3188  7.334779E-15
7198.611225  7.212282E-15
7206.90365  7.671957E-15
7215.196075  8.043181E-15
7223.4885  8.059491E-15
7231.780925  7.716491E-15
7240.07335  7.468991E-15
7248.365775  7.297616E-15
7256.6582  7.544492E-15
7264.950625  7.236637E-15
7273.24305  7.357450E-15
7281.535475  7.571813E-15
7289.8279  7.507640E-15
7298.120325  7.686007E-15
7306.41275  7.581229E-15
7314.705175  7.796123E-15
7322.9976  7.904370E-15
7331.290025  7.660888E-15
7339.58245  7.866679E-15
7347.87487500001  7.713521E-15
7356.1673  7.646149E-15
7364.459725  7.819396E-15
7372.75215  7.343411E-15
7381.044575  7.339022E-15
7389.337  7.561502E-15
7397.629425  6.913326E-15
7405.92185  6.983837E-15
7414.214275  6.659560E-15
7422.50670000001  6.512386E-15
7430.799125  6.321837E-15
7439.09155  5.938741E-15
7447.383975  5.758870E-15
7455.6764  5.454929E-15
7463.968825  5.297445E-15
7472.26125  5.095131E-15
7480.553675  4.787551E-15
7488.8461  4.583690E-15
7497.138525  4.516885E-15
7505.43095  4.452092E-15
7513.723375  4.482996E-15
7522.0158  4.629851E-15
7530.308225  4.373664E-15
7538.60065  4.345727E-15
7546.893075  4.484377E-15
7555.1855  4.728600E-15
7563.477925  4.689981E-15
7571.77035000001  4.763954E-15
7580.062775  4.608527E-15
7588.3552  4.410591E-15
7596.647625  2.935135E-15
7604.94005  1.629924E-15
7613.232475  2.676402E-15
7621.5249  3.564715E-15
7629.817325  2.930483E-15
7638.10975  3.127790E-15
7646.402175  4.126637E-15
7654.6946  4.672090E-15
7662.98702500001  5.015649E-15
7671.27945000001  5.447372E-15
