8321.720512  1.290157E-15
8327.4481  1.321552E-15
8333.175688  1.321472E-15
8338.903276  1.403023E-15
8344.630864  1.589729E-15
8350.358452  1.630268E-15
8356.08604  1.544065E-15
8361.813628  1.479968E-15
8367.541216  1.454451E-15
8373.268804  1.471942E-15
8378.996392  1.491242E-15
8384.72398  1.484990E-15
8390.451568  1.496927E-15
8396.179156  1.541950E-15
8401.906744  1.562143E-15
8407.634332  1.510269E-15
8413.36192  1.513784E-15
8419.089508  1.589967E-15
8424.817096  1.677921E-15
8430.544684  1.718587E-15
8436.272272  1.658458E-15
8441.99986  1.697461E-15
8447.727448  1.838135E-15
8453.455036  1.864280E-15
8459.182624  1.840540E-15
8464.910212  1.914700E-15
8470.6378  2.019469E-15
8476.365388  2.031070E-15
8482.092976  2.082220E-15
8487.820564  2.146363E-15
8493.548152  2.202790E-15
8499.27574  2.314606E-15
8505.003328  2.428283E-15
8510.730916  2.544056E-15
8516.458504  2.642458E-15
8522.186092  2.777259E-15
8527.91368  2.896407E-15
8533.641268  2.914905E-15
8539.368856  2.937963E-15
8545.096444  3.010386E-15
8550.824032  3.026734E-15
8556.55162  2.988325E-15
8562.279208  2.957473E-15
8568.006796  3.017200E-15
8573.734384  3.080580E-15
8579.461972  3.106321E-15
8585.18956  3.133620E-15
8590.917148  3.126824E-15
8596.644736  3.112110E-15
8602.372324  3.105289E-15
8608.099912  3.079261E-15
8613.8275  3.092187E-15
8619.555088  3.115614E-15
8625.282676  3.146947E-15
8631.010264  3.177295E-15
8636.737852  3.186383E-15
8642.46544  3.148891E-15
8648.193028  3.179092E-15
8653.920616  3.250424E-15
8659.648204  3.231106E-15
8665.375792  3.257766E-15
8671.10338  3.239942E-15
8676.830968  3.224165E-15
8682.558556  3.263013E-15
8688.286144  3.337690E-15
8694.013732  3.385465E-15
8699.74132  3.382689E-15
8705.468908  3.456836E-15
8711.196496  3.477484E-15
8716.924084  3.489908E-15
8722.651672  3.501229E-15
8728.37926  3.527406E-15
8734.106848  3.555717E-15
8739.834436  3.571810E-15
8745.562024  3.586845E-15
8751.289612  3.553116E-15
8757.0172  3.576819E-15
8762.744788  3.620711E-15
8768.472376  3.632965E-15
8774.199964  3.712261E-15
8779.927552  3.730680E-15
8785.65514  3.636039E-15
8791.382728  3.622809E-15
8797.110316  3.674670E-15
8802.837904  3.678959E-15
8808.565492  3.627838E-15
8814.29308  3.575658E-15
8820.020668  3.646944E-15
8825.748256  3.782396E-15
8831.475844  3.892404E-15
8837.203432  3.778105E-15
8842.93102  3.649500E-15
8848.658608  3.641456E-15
8854.386196  3.617440E-15
8860.113784  3.553678E-15
8865.841372  3.527468E-15
8871.56896  3.519484E-15
8877.296548  3.380563E-15
8883.024136  3.353112E-15
8888.751724  3.414645E-15
8894.479312  3.292984E-15
8900.2069  3.267974E-15
8905.934488  3.214265E-15
8911.662076  3.081416E-15
8917.389664  3.133458E-15
8923.117252  3.182531E-15
8928.84484  3.001872E-15
8934.572428  2.881111E-15
8940.300016  2.882296E-15
8946.027604  2.767731E-15
8951.755192  2.726925E-15
8957.48278  2.731760E-15
8963.210368  2.635286E-15
8968.937956  2.481118E-15
8974.665544  2.434987E-15
8980.393132  2.424569E-15
8986.12072  2.290087E-15
8991.848308  2.252400E-15
8997.575896  2.325702E-15
9003.303484  2.331702E-15
9009.031072  2.256794E-15
9014.75866  2.228496E-15
9020.486248  2.231532E-15
9026.213836  2.244920E-15
9031.941424  2.296926E-15
9037.669012  2.295226E-15
9043.3966  2.324054E-15
9049.124188  2.407555E-15
9054.851776  2.386522E-15
9060.579364  2.292356E-15
9066.306952  2.224563E-15
9072.03454  2.171469E-15
9077.762128  2.159010E-15
9083.489716  2.155720E-15
9089.217304  2.192611E-15
9094.944892  2.215923E-15
9100.67248  2.148236E-15
9106.400068  2.138380E-15
9112.127656  2.185373E-15
9117.855244  2.235854E-15
9123.582832  2.201089E-15
9129.31042000001  2.130683E-15
9135.038008  2.160733E-15
9140.765596  2.260581E-15
9146.493184  2.235270E-15
9152.220772  2.126086E-15
9157.94836  2.201638E-15
9163.675948  2.287558E-15
9169.403536  2.281237E-15
9175.131124  2.251772E-15
9180.858712  2.304202E-15
9186.5863  2.435091E-15
9192.313888  2.482485E-15
9198.041476  2.574233E-15
9203.769064  2.653301E-15
9209.496652  2.652371E-15
9215.22424  2.688379E-15
9220.951828  2.775442E-15
9226.679416  2.835399E-15
9232.407004  2.836089E-15
9238.134592  2.868548E-15
9243.86218  2.918662E-15
9249.589768  2.978271E-15
9255.317356  3.039257E-15
9261.044944  3.198334E-15
9266.772532  3.351430E-15
9272.50012  3.224838E-15
9278.227708  3.069575E-15
9283.955296  3.073558E-15
9289.68288400001  3.053321E-15
9295.410472  2.956903E-15
9301.13806  2.872588E-15
9306.865648  2.837146E-15
9312.593236  2.674832E-15
9318.320824  2.450834E-15
9324.04841200001  2.397804E-15
9329.776  2.297792E-15
9335.503588  2.027699E-15
9341.231176  1.982232E-15
9346.958764  2.096575E-15
9352.686352  2.087361E-15
9358.41394  2.115714E-15
9364.141528  2.025601E-15
9369.869116  2.109295E-15
9375.596704  2.366832E-15
9381.324292  2.456659E-15
9387.05188  2.622605E-15
9392.779468  2.752740E-15
9398.507056  2.745620E-15
9404.234644  2.632588E-15
9409.962232  2.549786E-15
9415.68982  2.581442E-15
9421.417408  2.435315E-15
9427.144996  2.176956E-15
9432.872584  2.144395E-15
9438.600172  2.174461E-15
9444.32776  2.212821E-15
9450.055348  2.399932E-15
9455.782936  2.537615E-15
9461.510524  2.234624E-15
9467.238112  2.147401E-15
9472.9657  2.218103E-15
9478.693288  2.281092E-15
9484.42087600001  2.336155E-15
9490.148464  2.177713E-15
9495.876052  2.021161E-15
9501.60364  2.276774E-15
9507.331228  2.554194E-15
9513.058816  2.393647E-15
9518.786404  2.225974E-15
9524.513992  2.268571E-15
9530.24158  2.438104E-15
9535.96916800001  2.517694E-15
9541.696756  2.464063E-15
9547.424344  2.444787E-15
9553.151932  2.353658E-15
9558.87952  2.293705E-15
9564.607108  2.350205E-15
9570.334696  2.493027E-15
9576.062284  2.528147E-15
9581.789872  2.311456E-15
9587.51746  2.191364E-15
9593.245048  2.133881E-15
9598.972636  2.289805E-15
9604.700224  2.429360E-15
9610.427812  2.404544E-15
9616.1554  2.336375E-15
9621.882988  2.258476E-15
9627.610576  2.319310E-15
9633.338164  2.336448E-15
9639.065752  2.223874E-15
9644.79334  2.186200E-15
9650.520928  2.234258E-15
9656.248516  2.191036E-15
9661.976104  2.162157E-15
9667.703692  2.294038E-15
9673.43128  2.329192E-15
9679.158868  2.330265E-15
9684.886456  2.268802E-15
9690.614044  2.351392E-15
9696.341632  2.405714E-15
9702.06922  2.299144E-15
