# wave-obs	 flux	 eflux
3760.4 31.9795 1.91517 
3762.97 25.9843 1.85549 
3765.54 28.2213 1.8481 
3768.11 27.2137 1.83496 
3770.68 29.4263 1.84374 
3773.25 24.8155 1.79048 
3775.82 35.6559 1.86603 
3778.39 29.9798 1.81257 
3780.96 33.8898 1.82252 
3783.54 32.6861 1.8 
3786.11 31.938 1.77401 
3788.68 31.6307 1.77701 
3791.26 33.7142 1.78593 
3793.83 42.4191 1.81273 
3796.41 38.0364 1.78478 
3798.98 39.6653 1.79307 
3801.56 44.9018 1.83149 
3804.13 43.7744 1.80556 
3806.71 44.438 1.78704 
3809.29 42.254 1.76303 
3811.86 47.2854 1.80388 
3814.44 48.0137 1.79084 
3817.02 51.1901 1.80483 
3819.6 50.9409 1.79327 
3822.18 52.1835 1.80073 
3824.76 54.7989 1.80286 
3827.34 56.2146 1.80044 
3829.92 51.9246 1.75813 
3832.5 57.7901 1.82232 
3835.08 54.3912 1.75564 
3837.66 56.0299 1.76728 
3840.24 54.9042 1.74597 
3842.82 59.949 1.79038 
3845.4 61.0101 1.77575 
3847.99 58.9929 1.75529 
3850.57 55.6255 1.72174 
3853.15 56.2508 1.72825 
3855.74 58.7382 1.70875 
3858.32 58.1879 1.70953 
3860.91 60.9687 1.68817 
3863.49 61.544 1.70452 
3866.08 61.5985 1.70036 
3868.66 58.0836 1.66643 
3871.25 61.7719 1.68593 
3873.84 64.0267 1.70597 
3876.42 63.1991 1.70031 
3879.01 64.8187 1.72099 
3881.6 65.5112 1.70572 
3884.19 64.8661 1.68747 
3886.78 69.649 1.70969 
3889.37 67.8769 1.702 
3891.96 70.6138 1.71665 
3894.55 73.6281 1.72316 
3897.14 76.841 1.74795 
3899.73 81.185 1.80419 
3902.32 81.1403 1.78393 
3904.91 81.257 1.77696 
3907.5 90.3944 1.82826 
3910.09 87.4225 1.8147 
3912.69 90.781 1.82282 
3915.28 94.658 1.84631 
3917.87 93.9775 1.8312 
3920.47 94.1172 1.8199 
3923.06 99.1446 1.82562 
3925.65 97.6036 1.81736 
3928.25 97.5113 1.81077 
3930.85 96.8139 1.77497 
3933.44 95.6121 1.76706 
3936.04 99.3045 1.76502 
3938.63 96.2428 1.73243 
3941.23 99.1897 1.74037 
3943.83 97.7603 1.73518 
3946.42 94.0198 1.69717 
3949.02 96.3056 1.71919 
3951.62 101.778 1.74245 
3954.22 105.124 1.75595 
3956.82 105.449 1.76361 
3959.42 102.285 1.73705 
3962.02 101.943 1.72645 
3964.62 102.457 1.70088 
3967.22 107.512 1.73548 
3969.82 104.299 1.72642 
3972.42 109.413 1.72554 
3975.02 108.19 1.71973 
3977.62 105.639 1.7038 
3980.23 105.916 1.66627 
3982.83 107.489 1.68892 
3985.43 111.757 1.7135 
3988.04 109.143 1.68696 
3990.64 112.476 1.6877 
3993.25 109.924 1.66981 
3995.85 115.817 1.69518 
3998.45 111.8 1.6732 
4001.06 113.574 1.68414 
4003.67 112.204 1.67465 
4006.27 111.182 1.65545 
4008.88 113.971 1.67046 
4011.49 110.782 1.64467 
4014.09 107.401 1.60963 
4016.7 110.338 1.63128 
4019.31 108.554 1.61472 
4021.92 106.005 1.61191 
4024.53 103.169 1.57017 
4027.13 102.34 1.54111 
4029.74 102.851 1.53294 
4032.35 108.167 1.56982 
4034.96 107.405 1.55516 
4037.57 106.99 1.55864 
4040.18 109.936 1.55938 
4042.8 102.982 1.52537 
4045.41 104.106 1.51641 
4048.02 105.742 1.52549 
4050.63 103.334 1.49802 
4053.24 99.7459 1.48218 
4055.86 99.5827 1.47056 
4058.47 98.9252 1.45774 
4061.08 101.975 1.46638 
4063.7 101.528 1.46889 
4066.31 105.145 1.49734 
4068.93 101.478 1.4671 
4071.54 103.927 1.48828 
4074.16 105.804 1.48529 
4076.77 110.972 1.52558 
4079.39 108.711 1.51372 
4082.01 111.603 1.52467 
4084.62 110.426 1.5208 
4087.24 114.48 1.53629 
4089.86 114.969 1.55622 
4092.48 108.815 1.49912 
4095.1 112.329 1.49737 
4097.71 105.357 1.42312 
4100.33 102.993 1.40306 
4102.95 105.731 1.39433 
4105.57 104.519 1.38152 
4108.19 104.896 1.383 
4110.81 106.27 1.39411 
4113.43 110.554 1.41391 
4116.05 112.885 1.45359 
4118.68 111.554 1.46732 
4121.3 114.526 1.46182 
4123.92 112.382 1.44933 
4126.54 112.304 1.43604 
4129.16 114.96 1.45698 
4131.79 113.06 1.43915 
4134.41 112.815 1.42675 
4137.04 114.21 1.43482 
4139.66 114.534 1.44132 
4142.28 114.66 1.42811 
4144.91 113.773 1.41147 
4147.53 110.902 1.39692 
4150.16 109.705 1.38405 
4152.79 108.991 1.38049 
4155.41 112.215 1.39072 
4158.04 109.393 1.38448 
4160.67 111.918 1.3866 
4163.29 112.808 1.39958 
4165.92 110.25 1.38342 
4168.55 112.986 1.40713 
4171.18 107.364 1.35873 
4173.81 105.454 1.33832 
4176.43 104.942 1.34865 
4179.06 105.896 1.33177 
4181.69 105.159 1.32867 
4184.32 103.503 1.30908 
4186.95 101.559 1.30925 
4189.58 102.042 1.297 
4192.22 101.243 1.28099 
4194.85 103.982 1.29279 
4197.48 99.9218 1.26626 
4200.11 97.614 1.24259 
4202.74 97.7208 1.24019 
4205.38 97.7299 1.23652 
4208.01 97.3016 1.2332 
4210.64 95.5817 1.22149 
4213.28 94.8183 1.21159 
4215.91 94.5473 1.21383 
4218.54 97.9874 1.23079 
4221.18 99.2331 1.23108 
4223.81 95.3956 1.21098 
4226.45 95.4001 1.21008 
4229.08 94.4882 1.2075 
4231.72 94.7823 1.20027 
4234.36 92.6679 1.18339 
4236.99 94.5408 1.18862 
4239.63 95.1933 1.19388 
4242.27 91.2599 1.16756 
4244.9 90.1395 1.16684 
4247.54 90.4914 1.16305 
4250.18 87.4836 1.1464 
4252.82 88.4365 1.15122 
4255.46 86.7305 1.13829 
4258.1 86.081 1.14535 
4260.74 84.2022 1.12117 
4263.38 83.6595 1.12475 
4266.02 83.4834 1.12203 
4268.66 82.1777 1.10373 
4271.3 78.7892 1.08327 
4273.94 79.3344 1.09649 
4276.58 78.9973 1.07866 
4279.22 76.5933 1.07494 
4281.86 73.5006 1.06014 
4284.51 74.1581 1.04753 
4287.15 72.3606 1.04487 
4289.79 71.7059 1.04093 
4292.44 68.7944 1.01493 
4295.08 70.1046 1.02205 
4297.72 68.728 1.01329 
4300.37 68.8107 1.00699 
4303.01 64.7405 0.988577 
4305.66 65.9361 0.996294 
4308.3 65.0458 0.991272 
4310.95 61.708 0.970696 
4313.59 61.6325 0.96765 
4316.24 61.9844 0.96406 
4318.89 63.433 0.976101 
4321.53 62.718 0.98003 
4324.18 60.2995 0.961107 
4326.83 59.8923 0.95231 
4329.48 57.2104 0.941682 
4332.12 56.2659 0.933353 
4334.77 54.584 0.920902 
4337.42 57.1939 0.932517 
4340.07 54.4481 0.915913 
4342.72 54.7379 0.916934 
4345.37 54.3037 0.918823 
4348.02 56.12 0.919819 
4350.67 54.0251 0.910279 
4353.32 53.4306 0.90968 
4355.97 56.0106 0.918557 
4358.62 55.8685 0.915161 
4361.27 56.5151 0.921586 
4363.93 55.411 0.916275 
4366.58 56.4508 0.921 
4369.23 57.4605 0.924154 
4371.88 56.0198 0.91112 
4374.54 57.6493 0.915897 
4377.19 59.3866 0.931717 
4379.84 60.4605 0.931566 
4382.5 58.8653 0.922227 
4385.15 61.2708 0.934827 
4387.81 62.9402 0.937537 
4390.46 62.6604 0.932857 
4393.12 61.9013 0.923683 
4395.77 65.4688 0.944057 
4398.43 64.6364 0.943254 
4401.08 65.7888 0.94733 
4403.74 65.3829 0.942097 
4406.4 65.0786 0.934537 
4409.05 66.1338 0.942231 
4411.71 68.7104 0.954673 
4414.37 69.0732 0.954506 
4417.03 69.7143 0.96248 
4419.68 69.3192 0.955373 
4422.34 69.8283 0.959904 
4425 68.4454 0.954343 
4427.66 71.4774 0.967513 
4430.32 74.0207 0.973596 
4432.98 73.6323 0.972232 
4435.64 72.3777 0.971908 
4438.3 73.6564 0.971004 
4440.96 74.9118 0.971792 
4443.62 75.8049 0.975107 
4446.28 74.5715 0.975774 
4448.94 77.0168 0.982994 
4451.6 77.2566 0.986246 
4454.27 75.984 0.979003 
4456.93 73.454 0.967383 
4459.59 76.543 0.978752 
4462.25 74.4845 0.970982 
4464.92 73.6623 0.965066 
4467.58 72.787 0.95976 
4470.24 72.7622 0.959991 
4472.91 72.9739 0.954843 
4475.57 71.78 0.955614 
4478.24 69.861 0.932414 
4480.9 68.4298 0.934573 
4483.57 69.5083 0.939972 
4486.23 69.4264 0.933597 
4488.9 67.5196 0.922917 
4491.56 67.6658 0.91977 
4494.23 69.2175 0.932497 
4496.9 69.0353 0.929683 
4499.56 68.4208 0.93059 
4502.23 68.6736 0.922352 
4504.9 69.5088 0.928209 
4507.57 69.2581 0.929797 
4510.23 70.8485 0.933592 
4512.9 72.3621 0.943421 
4515.57 73.7378 0.954174 
4518.24 73.5329 0.948691 
4520.91 75.1169 0.951679 
4523.58 75.1991 0.958244 
4526.25 73.287 0.946578 
4528.92 74.7548 0.957375 
4531.59 78.0515 0.971207 
4534.26 79.5081 0.979627 
4536.93 79.9153 0.9829 
4539.6 80.8567 0.988632 
4542.27 79.9562 0.978035 
4544.94 79.3106 0.978946 
4547.62 79.319 0.971598 
4550.29 80.4181 0.978009 
4552.96 81.1892 0.989924 
4555.63 80.6938 0.980245 
4558.31 82.4351 0.994441 
4560.98 83.5407 0.987118 
4563.65 82.0449 0.985442 
4566.33 84.5426 0.995401 
4569 81.889 0.981625 
4571.68 84.2624 0.995344 
4574.35 83.6921 0.9907 
4577.03 83.7005 0.992614 
4579.7 84.0696 0.993711 
4582.38 86.0302 0.997536 
4585.05 81.8039 0.978471 
4587.73 83.6064 0.995663 
4590.4 81.4725 0.979536 
4593.08 82.3753 0.982902 
4595.76 81.5841 0.977848 
4598.44 81.6712 0.975679 
4601.11 82.5566 0.974902 
4603.79 81.8761 0.974695 
4606.47 79.7704 0.966126 
4609.15 82.4893 0.979186 
4611.83 81.8248 0.979184 
4614.5 82.0871 0.978258 
4617.18 80.1112 0.969225 
4619.86 82.5272 0.98361 
4622.54 80.4656 0.969804 
4625.22 82.3798 0.979343 
4627.9 83.5668 0.982827 
4630.58 82.8247 0.977348 
4633.26 82.4841 0.974052 
4635.94 80.0628 0.966337 
4638.63 83.5258 0.981084 
4641.31 83.7046 0.980256 
4643.99 83.9556 0.981636 
4646.67 83.4 0.980867 
4649.35 83.5057 0.983858 
4652.04 82.1459 0.97277 
4654.72 83.2746 0.983571 
4657.4 84.5487 0.984025 
4660.09 82.7529 0.984879 
4662.77 82.1169 0.973003 
4665.45 81.9237 0.979677 
4668.14 80.3281 0.968938 
4670.82 80.6678 0.967462 
