BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                  572  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel (out of date)                
IRAF-MIN=                   0.  /  Min image pixel (out of date)                
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
OBJECT  = 'SN 1991T NARROW - APERTURE 1'  /
FILENAME= 'CTIO_60_25APR91.RED'  /
6407.659968  5.909378E-14
6415.958882  5.886132E-14
6424.257796  5.800614E-14
6432.55671  5.759749E-14
6440.855624  5.694841E-14
6449.154538  5.626954E-14
6457.453452  5.568176E-14
6465.752366  5.515828E-14
6474.05128  5.451073E-14
6482.350194  5.408887E-14
6490.649108  5.362795E-14
6498.948022  5.314988E-14
6507.246936  5.282575E-14
6515.54585  5.222668E-14
6523.844764  5.212056E-14
6532.143678  5.196476E-14
6540.442592  5.155828E-14
6548.741506  5.093599E-14
6557.04042  5.098817E-14
6565.339334  5.052257E-14
6573.638248  5.003451E-14
6581.937162  4.971496E-14
6590.236076  4.951549E-14
6598.53499  4.897556E-14
6606.833904  4.855614E-14
6615.132818  4.839818E-14
6623.431732  4.818779E-14
6631.730646  4.811789E-14
6640.02956  4.785079E-14
6648.328474  4.738173E-14
6656.627388  4.727089E-14
6664.926302  4.710879E-14
6673.225216  4.649010E-14
6681.52413  4.636381E-14
6689.823044  4.656723E-14
6698.121958  4.610144E-14
6706.420872  4.572491E-14
6714.719786  4.542468E-14
6723.0187  4.518028E-14
6731.317614  4.497916E-14
6739.616528  4.494192E-14
6747.915442  4.461896E-14
6756.214356  4.405836E-14
6764.51327  4.385185E-14
6772.812184  4.388575E-14
6781.111098  4.318892E-14
6789.410012  4.285802E-14
6797.708926  4.281582E-14
6806.00784  4.258704E-14
6814.306754  4.243340E-14
6822.605668  4.212781E-14
6830.904582  4.155710E-14
6839.203496  4.126272E-14
6847.50241  4.084476E-14
6855.801324  3.931983E-14
6864.100238  3.577973E-14
6872.399152  3.319900E-14
6880.698066  3.507131E-14
6888.99698  3.582271E-14
6897.295894  3.587518E-14
6905.594808  3.663447E-14
6913.893722  3.762293E-14
6922.192636  3.771852E-14
6930.49155  3.800726E-14
6938.790464  3.827516E-14
6947.089378  3.849147E-14
6955.388292  3.851022E-14
6963.687206  3.857754E-14
6971.98612  3.833614E-14
6980.285034  3.820607E-14
6988.583948  3.827051E-14
6996.882862  3.820960E-14
7005.181776  3.785787E-14
7013.48069  3.791120E-14
7021.779604  3.775938E-14
7030.078518  3.729830E-14
7038.377432  3.719042E-14
7046.676346  3.729168E-14
7054.97526  3.687189E-14
7063.274174  3.656547E-14
7071.573088  3.675788E-14
7079.872002  3.678859E-14
7088.170916  3.674526E-14
7096.46983  3.644768E-14
7104.768744  3.619613E-14
7113.067658  3.626949E-14
7121.366572  3.617422E-14
7129.665486  3.601155E-14
7137.9644  3.577243E-14
7146.263314  3.550695E-14
7154.562228  3.551601E-14
7162.861142  3.515033E-14
7171.160056  3.445991E-14
7179.45897  3.401080E-14
7187.757884  3.399849E-14
7196.056798  3.382285E-14
7204.355712  3.385673E-14
7212.654626  3.414771E-14
7220.95354  3.408687E-14
7229.252454  3.363344E-14
7237.551368  3.317370E-14
7245.850282  3.295428E-14
7254.149196  3.286469E-14
7262.44811  3.249310E-14
7270.747024  3.232930E-14
7279.045938  3.238010E-14
7287.344852  3.239355E-14
7295.643766  3.212621E-14
7303.94268  3.225460E-14
7312.241594  3.220221E-14
7320.540508  3.223956E-14
7328.839422  3.223391E-14
7337.138336  3.228486E-14
7345.43725  3.193558E-14
7353.736164  3.176071E-14
7362.035078  3.165295E-14
7370.333992  3.145303E-14
7378.632906  3.133149E-14
7386.93182  3.095666E-14
7395.230734  3.066280E-14
7403.529648  3.056653E-14
7411.828562  3.022404E-14
7420.127476  3.011064E-14
7428.42639  2.998153E-14
7436.725304  2.969401E-14
7445.024218  2.961935E-14
7453.323132  2.975798E-14
7461.622046  2.926160E-14
7469.92096  2.875010E-14
7478.219874  2.886689E-14
7486.518788  2.871516E-14
7494.817702  2.840409E-14
7503.116616  2.830023E-14
7511.41553  2.783528E-14
7519.714444  2.750368E-14
7528.013358  2.737087E-14
7536.312272  2.692325E-14
7544.611186  2.694629E-14
7552.9101  2.695496E-14
7561.209014  2.694917E-14
7569.507928  2.680510E-14
7577.806842  2.559484E-14
7586.105756  2.259492E-14
7594.40467  1.650936E-14
7602.703584  1.116199E-14
7611.002498  1.274703E-14
7619.301412  1.579192E-14
7627.600326  1.536663E-14
7635.89924  1.598687E-14
7644.198154  1.815955E-14
7652.497068  2.032748E-14
7660.795982  2.239172E-14
7669.094896  2.411095E-14
7677.39381  2.492573E-14
7685.692724  2.524004E-14
7693.991638  2.565382E-14
7702.290552  2.617270E-14
7710.589466  2.617771E-14
7718.88838  2.638157E-14
7727.187294  2.671919E-14
7735.486208  2.712486E-14
7743.785122  2.730849E-14
7752.084036  2.736928E-14
7760.38295  2.741080E-14
7768.681864  2.769345E-14
7776.980778  2.779716E-14
7785.279692  2.798101E-14
7793.578606  2.835550E-14
7801.87752  2.853943E-14
7810.176434  2.868416E-14
7818.475348  2.885709E-14
7826.774262  2.889524E-14
7835.073176  2.911707E-14
7843.37209  2.909873E-14
7851.671004  2.931456E-14
7859.969918  2.909946E-14
7868.268832  2.877237E-14
7876.567746  2.864379E-14
7884.86666  2.865604E-14
7893.165574  2.865900E-14
7901.464488  2.870279E-14
7909.763402  2.869219E-14
7918.062316  2.833858E-14
7926.36123  2.845187E-14
7934.660144  2.849383E-14
7942.959058  2.836586E-14
7951.257972  2.836813E-14
7959.556886  2.812311E-14
7967.8558  2.806843E-14
7976.154714  2.805620E-14
7984.453628  2.772449E-14
7992.752542  2.744438E-14
8001.051456  2.698718E-14
8009.35037  2.657864E-14
8017.649284  2.629693E-14
8025.948198  2.639820E-14
8034.247112  2.627147E-14
8042.546026  2.595010E-14
8050.84494  2.590018E-14
8059.143854  2.596008E-14
8067.442768  2.630353E-14
8075.741682  2.632260E-14
