wavelength spec_sum spec_optimal
4311.23 4.30382 4.30405
4314.13 5.26068 3.78849
4317.02 7.07122 5.91417
4319.91 5.3567 4.64433
4322.81 6.45594 5.74861
4325.7 5.08718 5.21961
4328.59 6.11287 5.12799
4331.49 7.54127 5.01732
4334.38 5.76628 4.85275
4337.28 5.24118 3.39066
4340.17 5.01378 4.2612
4343.06 3.41768 3.0558
4345.96 4.55075 5.16836
4348.85 4.33971 4.48867
4351.75 6.22076 6.27201
4354.64 4.74395 4.76217
4357.54 4.81267 5.0773
4360.43 3.68401 5.01227
4363.32 4.33743 5.76984
4366.22 4.15492 5.39631
4369.11 4.55297 4.29918
4372.01 3.07695 2.90751
4374.9 5.05684 5.57383
4377.79 4.25573 4.66247
4380.69 4.08436 4.22408
4383.58 6.96624 8.04396
4386.48 3.77757 5.36513
4389.37 5.08301 5.97277
4392.26 3.39019 3.80205
4395.16 2.63227 2.88164
4398.05 3.6475 3.04697
4400.95 2.93187 2.80752
4403.84 5.72117 5.39133
4406.74 3.51121 2.74551
4409.63 6.38773 6.07609
4412.52 3.03172 4.09934
4415.42 3.4383 4.31816
4418.31 3.49945 5.58093
4421.21 3.82782 4.87052
4424.1 4.19334 4.13924
4427 3.46286 3.18882
4429.89 6.17963 6.08834
4432.78 3.7659 4.11752
4435.68 5.22726 6.23701
4438.57 3.28713 4.65856
4441.47 2.40663 1.92111
4444.36 2.70463 4.8222
4447.26 3.83939 4.06971
4450.15 4.21156 4.25792
4453.04 3.76875 3.04726
4455.94 6.89487 7.43921
4458.83 4.62156 5.46799
4461.73 3.82481 4.51916
4464.62 5.22314 6.98011
4467.52 5.01463 5.29995
4470.41 4.04584 2.87317
4473.3 3.79999 5.10458
4476.2 4.9421 5.76623
4479.09 5.66078 6.49846
4481.99 3.28381 4.93077
4484.88 4.24564 4.39197
4487.78 3.80246 5.48877
4490.67 3.18029 3.85129
4493.56 3.87864 4.09441
4496.46 3.8868 3.92569
4499.35 2.16668 2.34372
4502.25 6.31986 7.82673
4505.14 3.36771 4.90818
4508.04 4.90841 5.16119
4510.93 3.57847 5.04065
4513.82 4.26536 4.51659
4516.72 3.44039 3.93801
4519.61 3.53741 3.67215
4522.51 2.82719 4.44621
4525.4 3.28953 4.26098
4528.3 4.03745 4.42764
4531.19 4.43707 5.63154
4534.08 5.31036 5.77075
4536.98 4.77517 5.99108
4539.87 5.77466 5.32313
4542.77 5.71204 6.37487
4545.66 6.13502 5.65598
4548.56 6.09594 6.46243
4551.45 7.2513 7.87966
4554.34 6.31252 5.98497
4557.24 6.95253 7.45567
4560.13 5.67035 6.13589
4563.03 6.72097 7.43569
4565.92 7.14754 7.21438
4568.82 7.9182 7.30972
4571.71 1.96331 2.14087
4574.6 1.87929 0.767795
4577.5 2.47859 2.71865
4580.39 4.83144 5.73793
4583.29 7.73965 8.72024
4586.18 6.32765 6.36947
4589.07 7.58796 7.56563
4591.97 6.673 7.20911
4594.86 7.5276 7.56799
4597.76 7.34697 8.09847
4600.65 8.60926 8.26001
4603.55 5.76462 6.37555
4606.44 9.11714 9.30582
4609.33 9.84805 9.61323
4612.23 9.15521 10.4404
4615.12 8.12264 8.36335
4618.02 8.20807 7.62569
4620.91 10.1751 11.9554
4623.8 8.52115 9.23376
4626.7 10.6544 10.192
4629.59 9.97324 10.7228
4632.49 9.23814 9.43161
4635.38 10.3614 10.7502
4638.28 9.6339 9.94816
4641.17 10.7301 10.9652
4644.06 9.97622 10.8717
4646.96 10.3182 10.6243
4649.85 10.3408 10.9422
4652.75 12.1581 12.0511
4655.64 10.4512 10.5673
4658.53 10.6767 12.0484
4661.43 9.36093 9.80921
4664.32 11.577 11.7137
4667.21 12.6393 13.3342
4670.11 11.1043 11.87
4673 12.4674 12.6674
4675.9 10.6958 10.5872
4678.79 13.514 14.8531
4681.68 12.9764 13.4001
4684.58 12.2343 12.2454
4687.47 11.8982 12.1367
4690.37 11.0892 11.736
4693.26 12.1358 11.9956
4696.15 13.5122 13.2718
4699.05 12.2275 12.3734
4701.94 12.0822 13.2173
4704.84 11.536 12.7985
4707.73 12.3559 12.8797
4710.62 10.7086 11.4171
4713.52 10.2963 11.0824
4716.41 12.1086 13.0746
4719.3 12.6545 12.9138
4722.2 11.7076 10.6773
4725.09 11.8519 12.124
4727.98 10.8053 11.2511
4730.88 12.5413 12.9558
4733.77 11.5709 11.7825
4736.67 11.7174 12.0574
4739.56 12.0072 12.384
4742.45 11.1679 11.4082
4745.35 10.2683 9.52699
4748.24 10.5595 10.8587
4751.13 10.408 10.6412
4754.03 8.91445 8.12527
4756.92 11.6867 11.7383
4759.81 8.87009 8.84446
4762.71 11.6892 11.8062
4765.6 12.0536 11.9665
4768.49 10.3235 11.2572
4771.39 10.3304 10.088
4774.28 10.9622 11.0786
4777.17 11.0368 11.3379
4780.07 9.50658 9.5688
4782.96 9.40328 10.3136
4785.85 10.0851 9.95267
4788.75 9.55815 10.0273
4791.64 8.8152 8.17722
4794.53 8.52328 8.8325
4797.43 8.67945 9.51514
4800.32 6.81617 7.02065
4803.21 8.75781 8.4764
4806.11 8.70308 8.65554
4809 7.25008 7.30778
4811.89 8.59908 8.57655
4814.78 8.82147 8.71855
4817.68 8.1886 8.07895
4820.57 9.04264 9.56095
4823.46 8.46453 8.35561
4826.36 7.07228 7.244
4829.25 8.00067 8.18095
4832.14 9.94517 9.61515
4835.04 8.45214 8.07632
4837.93 8.42998 8.51221
4840.82 7.33081 7.50065
4843.71 7.76565 7.81118
4846.61 8.21207 8.21392
4849.5 8.93164 9.9935
4852.39 7.88765 7.83296
4855.28 8.80275 8.91422
4858.18 8.38127 8.92868
4861.07 9.19254 9.49034
4863.96 8.09311 8.65781
4866.86 8.22225 9.0509
4869.75 9.79085 9.39275
4872.64 7.56564 6.95499
4875.53 9.47166 10.469
4878.43 9.53331 8.60952
4881.32 9.52988 9.45075
4884.21 8.72009 8.3857
4887.1 7.70528 8.96535
4890 8.06713 8.84552
4892.89 7.48624 7.61706
4895.78 9.38509 8.87827
4898.67 9.71861 8.83451
4901.56 8.95217 9.37802
4904.46 8.06064 8.71612
4907.35 8.9161 9.21647
4910.24 7.92657 9.28663
4913.13 7.2986 8.04721
4916.03 9.99972 9.34728
4918.92 9.66638 8.89325
4921.81 8.7289 9.25846
4924.7 8.55482 9.21609
4927.59 9.74775 9.49306
4930.49 9.58121 10.5957
4933.38 10.1887 10.4601
4936.27 9.39578 9.80506
4939.16 9.19921 8.92204
4942.05 10.1624 10.0147
4944.94 9.1586 8.9392
4947.84 9.85927 10.9753
4950.73 10.9234 10.5599
4953.62 9.20802 9.50324
4956.51 9.12012 8.8782
4959.4 9.9003 9.78064
4962.3 9.45505 9.63748
4965.19 9.60964 9.00732
4968.08 8.27108 7.21016
4970.97 8.24102 8.4525
4973.86 7.48814 7.34128
4976.75 7.00384 7.33446
4979.64 7.36561 8.44016
4982.54 7.34137 7.8809
4985.43 8.78306 8.54996
4988.32 6.71475 7.19575
4991.21 6.67406 7.60163
4994.1 6.33235 7.46663
4996.99 5.85476 5.99949
4999.88 7.20049 6.88255
5002.77 6.95899 7.14291
5005.67 6.51955 7.55656
5008.56 6.44714 6.63954
5011.45 7.45672 7.36638
5014.34 5.4846 5.97729
5017.23 6.30206 7.18756
5020.12 7.325 7.79157
5023.01 7.90032 7.52008
5025.9 7.26274 7.60893
5028.79 6.20673 5.69676
5031.68 7.26866 7.58738
5034.57 6.58093 7.24136
5037.46 6.30419 6.02537
5040.36 7.46061 7.70522
5043.25 8.6772 8.89451
5046.14 6.57338 6.98545
5049.03 7.89337 8.08285
5051.92 7.66067 7.72181
5054.81 7.89986 7.83163
5057.7 7.86382 7.94638
5060.59 8.05099 6.61926
5063.48 7.75861 7.34488
5066.37 7.76917 6.95668
5069.26 8.33805 7.4528
5072.15 6.8399 6.13784
5075.04 7.50965 7.13858
5077.93 7.20176 6.77779
5080.82 7.689 7.85793
5083.71 7.90999 7.27066
5086.6 7.65801 6.96188
5089.49 5.20763 5.52919
5092.38 6.63657 6.67126
5095.27 7.27124 7.23845
5098.16 7.8764 8.15367
5101.05 6.82716 5.88825
5103.94 5.26428 4.91227
5106.83 7.17303 6.66252
5109.72 7.8244 7.39991
5112.61 7.18596 6.61823
5115.5 7.17491 6.44821
5118.39 4.61848 5.11233
5121.28 6.20061 6.46419
5124.17 6.55855 5.5322
5127.06 5.35805 4.61127
5129.94 6.42959 6.03579
5132.83 6.37526 5.65662
5135.72 7.73897 7.50682
5138.61 7.08484 7.20084
5141.5 7.0736 6.3557
5144.39 6.72639 6.78327
5147.28 6.48154 5.99126
5150.17 6.90799 6.95375
5153.06 6.16435 5.56894
5155.95 6.67054 5.32366
5158.84 8.05071 7.68189
5161.72 7.19946 6.68691
5164.61 6.28899 6.00156
5167.5 7.4938 7.65368
5170.39 6.87408 6.46153
5173.28 6.36874 5.90904
5176.17 6.30905 5.55702
5179.06 7.21488 6.70135
5181.95 7.79615 8.07862
5184.83 8.19994 7.91475
5187.72 8.02233 7.65641
5190.61 7.96347 7.40221
5193.5 7.11084 6.94976
5196.39 8.51953 7.83983
5199.28 8.29418 7.78867
5202.16 5.77304 5.83219
5205.05 7.70894 7.62998
5207.94 7.46769 6.3687
