# TELESCOPE = Liverpool Telescope
# INSTRUMENT = SPRAT
# OBJECT = 2021adpe
# RA = 14:3:17.50
# DEC = 38:31:50.74
# DATE-OBS = 2022-01-02T05:49:14.744
# MJD-OBS = 59581.242532
# EXPTIME-OBS = 2400.0s
# AIRMASS-OBS = 1.209054
# SEEING-OBS = 1.605291
# wl fl
# [A] [erg/s/cm2/A]
7306.294925 7.00227e-17
7318.158806 1.084e-16
7330.022687 1.63255e-16
7341.886567 1.17169e-16
7353.750448 1.14443e-16
7365.614328 9.14033e-17
7377.478209 1.73978e-16
7389.342090 1.73167e-16
7401.205970 1.74515e-16
7413.069851 9.36956e-17
7424.933731 1.91165e-16
7436.797612 1.26952e-16
7448.661493 2.01984e-16
7460.525373 1.50742e-16
7472.389254 1.85364e-16
7484.253134 1.3281e-16
7496.117015 1.03597e-16
7507.980896 1.458e-16
7519.844776 1.5038e-16
7531.708657 1.21364e-16
7543.572537 1.96957e-16
7555.436418 1.30198e-16
7567.300299 2.14201e-16
7579.164179 1.32222e-16
7591.028060 2.28138e-17
7602.891940 -7.30424e-17
7614.755821 3.63888e-17
7626.619701 4.28578e-17
7638.483582 6.04951e-17
7650.347463 1.00223e-16
7662.211343 -4.25489e-17
7674.075224 3.33158e-17
7685.939104 -6.10346e-17
7697.802985 -4.08441e-17
7709.666866 5.77151e-17
7721.530746 -3.27156e-18
7733.394627 -2.47926e-17
7745.258507 -2.92939e-17
7757.122388 -5.73726e-17
7768.986269 4.29468e-17
7780.850149 1.48634e-16
7792.714030 1.05359e-16
7804.577910 8.80794e-17
7816.441791 1.38147e-17
7828.305672 8.74332e-17
7840.169552 2.57307e-16
7852.033433 1.05686e-16
7863.897313 4.68425e-17
7875.761194 2.57461e-16
7887.625075 8.23903e-17
7899.488955 2.11079e-17
7911.352836 6.41501e-17
7923.216716 2.43504e-16
7935.080597 1.43043e-16
7946.944478 1.63653e-16
7958.808358 1.76839e-16
7970.672239 2.32965e-16
7982.536119 1.18597e-16
