wavelength spec_sum spec_optimal
3526.2 0.274537 51.7397
3529.11 -0.345828 45.7839
3532.03 -1.36062 65.029
3534.94 5.71317 59.4428
3537.85 -0.257163 69.3522
3540.76 1.45006 47.2729
3543.68 -10.8883 53.3569
3546.59 -0.319121 59.6983
3549.5 8.78951 55.6539
3552.41 3.73418 35.2867
3555.33 -0.979648 59.8806
3558.24 6.27571 72.548
3561.15 7.86168 69.3375
3564.06 -0.0149528 59.4212
3566.97 2.92144 67.7458
3569.89 0.911976 67.7317
3572.8 2.43798 72.0603
3575.71 -2.08923 57.0612
3578.62 0.311536 75.6938
3581.54 0.422921 72.5987
3584.45 -6.34763 68.4163
3587.36 8.12568 60.7419
3590.27 5.48395 76.8384
3593.19 0.944728 66.3886
3596.1 -2.14737 60.5635
3599.01 4.20682 63.4849
3601.92 9.51444 68.7019
3604.83 7.55694 59.5065
3607.75 9.2222 62.6349
3610.66 -3.0567 66.5292
3613.57 9.09729 65.2089
3616.48 2.80034 72.7287
3619.4 7.92261 51.2419
3622.31 9.30269 65.8764
3625.22 11.2852 66.8761
3628.13 3.1494 65.0939
3631.05 12.7902 61.4339
3633.96 11.4711 72.4367
3636.87 7.282 76.6514
3639.78 12.4561 70.9894
3642.69 16.0581 67.0794
3645.61 14.2796 73.8278
3648.52 10.3216 74.184
3651.43 9.65036 84.7801
3654.34 12.9319 57.5227
3657.26 15.2185 58.6396
3660.17 20.6527 69.725
3663.08 10.2964 59.5946
3665.99 15.442 75.0411
3668.9 15.8814 65.2451
3671.82 12.1429 62.9081
3674.73 5.58772 69.1163
3677.64 9.45168 61.2558
3680.55 13.9166 74.5988
3683.47 16.015 85.034
3686.38 18.7574 70.5154
3689.29 10.5398 65.6341
3692.2 20.8037 63.6669
3695.11 22.3101 58.0302
3698.03 16.2692 67.4831
3700.94 11.2083 71.2294
3703.85 14.4247 72.013
3706.76 18.534 66.2627
3709.67 14.8377 84.7054
3712.59 17.8273 65.828
3715.5 15.4281 69.388
3718.41 20.2612 68.9109
3721.32 17.4255 65.1117
3724.24 22.0786 65.4122
3727.15 19.3854 66.2482
3730.06 20.7732 70.8906
3732.97 15.2915 72.8746
3735.88 23.5559 63.6147
3738.8 24.2807 73.9926
3741.71 14.0392 72.4516
3744.62 15.4122 63.6353
3747.53 17.9763 84.1662
3750.44 16.6321 66.376
3753.36 13.1179 84.367
3756.27 19.9669 64.8546
3759.18 18.7433 85.0155
3762.09 19.45 63.843
3765 16.303 70.5495
3767.92 14.752 74.5701
3770.83 15.198 82.8028
3773.74 21.8861 81.2564
3776.65 17.6968 76.1228
3779.56 14.2924 67.3722
3782.47 25.9974 76.8695
3785.39 24.5304 85.3694
3788.3 23.9383 77.271
3791.21 30.5004 83.8975
3794.12 32.8823 86.5387
3797.03 28.8315 90.2313
3799.95 23.5975 88.2309
3802.86 28.8271 81.9732
3805.77 30.8771 79.6763
3808.68 32.8236 94.1067
3811.59 33.8556 89.9329
3814.5 28.6165 101.366
3817.42 38.6581 92.5087
3820.33 25.3054 78.2116
3823.24 30.0616 77.2289
3826.15 34.8162 88.3134
3829.06 34.9195 87.7715
3831.97 33.5506 78.3128
3834.89 29.4652 82.4756
3837.8 28.0298 74.5563
3840.71 28.6679 90.7583
3843.62 29.5953 80.2644
3846.53 23.0488 86.0111
3849.44 21.7049 72.5959
3852.36 18.6928 77.5184
3855.27 20.1655 75.955
3858.18 8.92641 74.8218
3861.09 19.5695 88.5497
3864 18.5226 96.399
3866.91 16.4924 131.754
3869.82 7.83331 161.6
3872.74 -4.3173 164.814
3875.65 -1.33525 149.467
3878.56 5.25526 139.229
3881.47 6.73253 104.942
3884.38 14.2529 104.68
3887.29 9.13876 87.4891
3890.2 13.2596 85.9635
3893.12 10.2986 72.3616
3896.03 13.9148 68.1913
3898.94 16.7597 73.8768
3901.85 8.35064 69.5196
