# SNID ztf25aabpoxz
# OBSERVER = Rich/Hinds/Wise
# RA 86.47191666666666
# OBS_DATE 2025-01-24 05:55:33.78
# MJD 60699.24691875
# DEC -25.88797222222222
# INSTRUMENT KAST
#wavelength flux flux_err
3466.44481637 0.19922638 0.10134036
3467.45611514 0.41897181 0.11263722
3468.46741392 0.38552621 0.11045528
3469.47871269 -0.01193703 0.09289629
3470.49001147 -0.09205210 0.09278482
3471.50131024 0.03364737 0.08546144
3472.51260902 0.33361101 0.09319829
3473.52390779 0.18573223 0.08489129
3474.53520656 0.07450026 0.07995728
3475.54650534 -0.06752056 0.08324138
3476.55780411 0.01050182 0.07881630
3477.56910289 0.04567283 0.08517845
3478.58040166 0.20871666 0.09303311
3479.59170044 0.01107789 0.09245487
3480.60299921 0.03145628 0.09314963
3481.61429799 -0.06467216 0.09601997
3482.62559676 -0.10511691 0.09368725
3483.63689554 -0.00131064 0.09231456
3484.64819431 -0.02659279 0.08414839
3485.65949308 0.05848125 0.08570521
3486.67079186 0.25638548 0.08952167
3487.68209063 0.07255270 0.08615130
3488.69338941 -0.15857922 0.09802454
3489.70468818 0.10430421 0.08331391
3490.71598696 0.01922012 0.08007992
3491.72728573 0.14312695 0.08630250
3492.73858451 0.21118395 0.08301338
3493.74988328 0.38744810 0.09239145
3494.76118205 0.20746146 0.08352772
3495.77248083 -0.14243463 0.08943664
3496.78377960 0.06629648 0.08308642
3497.79507838 0.38076591 0.09553912
3498.80637715 0.08776285 0.08741286
3499.81767593 0.01051089 0.08851773
3500.82897470 0.05970921 0.08830880
3501.84027348 0.14435746 0.09186724
3502.85157225 0.24317625 0.08757214
3503.86287103 0.20362437 0.08286337
3504.87416980 0.27514863 0.08233771
3505.88546857 0.10186804 0.08077568
3506.89676735 0.28162336 0.09714642
3507.90806612 -0.03425470 0.07867625
3508.91936490 0.24342716 0.08564951
3509.93066367 0.28622839 0.08657870
3510.94196245 0.24879141 0.08926608
3511.95326122 -0.03961752 0.09277582
3512.96456000 0.15761586 0.08830899
3513.97585877 0.00441928 0.08296720
3514.98715754 0.09709651 0.08804724
3515.99845632 0.31034338 0.09555539
3517.00975509 0.21965903 0.09708258
3518.02105387 0.00612268 0.08661388
3519.03235264 0.03224802 0.07730735
3520.04365142 -0.03002201 0.08303180
3521.05495019 -0.12327823 0.08738214
3522.06624897 0.10002317 0.07606568
3523.07754774 0.21657151 0.08417944
3524.08884652 0.25384524 0.08496311
3525.10014529 0.05752455 0.08456565
3526.11144406 0.04085586 0.08868700
3527.12274284 0.00328137 0.08983734
3528.13404161 0.18517169 0.08316545
3529.14534039 0.14997986 0.08169643
3530.15663916 0.15098938 0.08453472
3531.16793794 0.33232766 0.09720568
3532.17923671 0.31149828 0.08897419
3533.19053549 0.05273804 0.08440022
3534.20183426 0.06005184 0.08886387
3535.21313303 0.24194035 0.08639687
3536.22443181 0.33768016 0.09173235
3537.23573058 0.00558370 0.09412397
3538.24702936 -0.15416107 0.08911968
3539.25832813 0.15870661 0.09336243
3540.26962691 0.19242835 0.09430680
3541.28092568 0.09054050 0.09953484
3542.29222446 0.15850039 0.10553850
3543.30352323 0.20060526 0.11729606
3544.31482201 0.10694042 0.11283851
3545.32612078 0.09296340 0.10865115
3546.33741955 0.13815066 0.10774495
3547.34871833 -0.05565285 0.10680640
3548.36001710 0.20920017 0.10969188
3549.37131588 0.03842962 0.10306646
3550.38261465 0.12164711 0.10179795
3551.39391343 0.15124018 0.10719069
3552.40521220 0.04194113 0.10701893
3553.41651098 0.28983837 0.11168537
3554.42780975 0.17161621 0.10613626
