#PI: Shappee 
#OBJECT: ASASSN-14lp 
#JD: 2457070.93255 
# 
#Angstrom    Flux(erg/s/cm**2/Angstrom) 
3456.9 1.8312701e-15 
3458.4 1.4794279e-15 
3459.8 2.4954508e-15 
3461.3 8.0398822e-16 
3462.8 1.2412491e-15 
3464.2 3.1971226e-15 
3465.7 1.5609653e-15 
3467.1 1.9367732e-15 
3468.6 1.3388653e-15 
3470.1 1.1462662e-15 
3471.5 1.8959709e-15 
3473.0 2.6864087e-15 
3474.5 1.7597621e-15 
3475.9 1.7168403e-15 
3477.4 1.6331416e-15 
3478.9 1.5951783e-15 
3480.3 1.3286e-15 
3481.8 1.8514473e-15 
3483.2 2.050797e-15 
3484.7 9.8294802e-16 
3486.2 1.998667e-15 
3487.6 1.1389113e-15 
3489.1 1.5159266e-15 
3490.6 1.6249806e-15 
3492.0 1.4949437e-15 
3493.5 1.0784344e-15 
3495.0 1.1830669e-15 
3496.4 2.6187298e-15 
3497.9 1.3865929e-15 
3499.3 1.6070218e-15 
3500.8 1.6465035e-15 
3502.3 1.6451992e-15 
3503.7 5.1545655e-16 
3505.2 1.7498539e-15 
3506.7 1.8796741e-15 
3508.1 1.8608146e-15 
3509.6 2.1222457e-15 
3511.1 2.0094756e-15 
3512.5 2.0875139e-15 
3514.0 2.4778161e-15 
3515.4 2.537739e-15 
3516.9 2.0207218e-15 
3518.4 1.5590664e-15 
3519.8 1.2188317e-15 
3521.3 1.7378149e-15 
3522.8 2.0437716e-15 
3524.2 1.6298388e-15 
3525.7 2.2140355e-15 
3527.2 1.863705e-15 
3528.6 1.7482394e-15 
3530.1 2.2298248e-15 
3531.5 1.4802606e-15 
3533.0 1.8305152e-15 
3534.5 2.0350894e-15 
3535.9 9.3516047e-16 
3537.4 1.5458885e-15 
3538.9 2.1455456e-15 
3540.3 2.2197138e-15 
3541.8 1.2180336e-15 
3543.3 1.8135848e-15 
3544.7 2.2515824e-15 
3546.2 2.1910101e-15 
3547.6 1.4493514e-15 
