wavelength spec_sum
4101.99 423.444
4105.44 444.518
4108.88 485.506
4112.33 528.15
4115.78 493.416
4119.23 365.431
4122.68 394.36
4126.14 381.845
4129.59 436.954
4133.05 431.847
4136.51 376.815
4139.97 387.275
4143.44 446.185
4146.9 370.584
4150.37 436.427
4153.84 402.498
4157.31 407.649
4160.78 394.293
4164.26 388.176
4167.73 428.125
4171.21 381.46
4174.69 458.442
4178.17 458.499
4181.65 441.621
4185.14 455.409
4188.63 387.334
4192.11 448.452
4195.6 470.963
4199.1 414.542
4202.59 390.522
4206.08 418.549
4209.58 407.503
4213.08 372.187
4216.58 358.683
4220.08 402.783
4223.58 423.324
4227.09 344.507
4230.6 408.381
4234.11 357.413
4237.62 358.82
4241.13 375.141
4244.64 376.671
4248.16 435.671
4251.67 394.54
4255.19 310.467
4258.71 394.15
4262.23 325.534
4265.76 366.101
4269.28 352.217
4272.81 356.791
4276.34 325.554
4279.87 313.525
4283.4 281.303
4286.93 294.554
4290.46 286.104
4294 344.427
4297.54 296.913
4301.08 280.606
4304.62 289.33
4308.16 236.391
4311.71 261.362
4315.25 300.872
4318.8 289.426
4322.35 251.918
4325.9 255.145
4329.45 302.149
4333 249.286
4336.56 270.459
4340.11 210.904
4343.67 258.238
4347.23 246.362
4350.79 248.605
4354.35 278.152
4357.92 302.617
4361.48 255.168
4365.05 317.922
4368.62 327.975
4372.19 272.948
4375.76 255.772
4379.33 262.88
4382.91 278.661
4386.49 299.443
4390.06 286.411
4393.64 296.82
4397.22 293.633
4400.8 305.368
4404.39 278.431
4407.97 289.674
4411.56 270.099
4415.15 284.65
4418.74 249.266
4422.33 304.923
4425.92 286.544
4429.51 286.62
4433.11 253.013
4436.7 261.522
4440.3 291.924
4443.9 319.179
4447.5 292.038
4451.1 295.8
4454.7 269.352
4458.31 306.598
4461.92 290.189
4465.52 315.515
4469.13 308.995
4472.74 308.868
4476.35 319.673
4479.97 320.176
4483.58 316.74
4487.2 330.722
4490.81 301.886
4494.43 281.71
4498.05 313.962
4501.67 293.432
4505.3 295.507
4508.92 303.47
4512.54 301.688
4516.17 295.053
4519.8 285.117
4523.43 290.605
4527.06 295.8
4530.69 275.164
4534.32 309.572
4537.96 303.318
4541.59 302.313
4545.23 302.258
4548.87 320.777
4552.51 322.05
4556.15 322.822
4559.79 319.188
4563.43 312.166
4567.08 319.288
4570.72 305.083
4574.37 291.066
4578.02 275.312
4581.67 295.126
4585.32 304.4
4588.97 276.895
4592.63 296.595
4596.28 312.221
4599.94 284.091
4603.59 300.371
4607.25 278.362
4610.91 289.163
4614.57 298.32
4618.23 297.174
4621.9 306.999
4625.56 304.128
4629.23 321.807
4632.9 273.438
4636.56 309.807
4640.23 293.541
4643.9 305.738
4647.57 320.772
4651.25 274.631
4654.92 282.135
4658.6 271.679
4662.27 274.586
4665.95 245.231
4669.63 250.675
4673.31 237.515
4676.99 238.656
4680.67 275.187
4684.36 247.718
4688.04 246.471
4691.73 228.546
4695.41 248.316
4699.1 235.838
4702.79 243.606
4706.48 232.408
4710.17 255.717
4713.86 247.323
4717.56 265.713
4721.25 255.435
4724.95 252.977
4728.65 268.884
4732.34 244.16
4736.04 260.094
4739.74 260.124
4743.44 245.21
4747.15 241.901
4750.85 228.18
4754.55 250.871
4758.26 226.617
4761.97 206.674
4765.67 230.46
4769.38 232.062
4773.09 227.248
4776.8 211.275
4780.52 215.525
4784.23 221.062
4787.94 232.847
4791.66 222.511
4795.38 233.131
4799.09 247.242
4802.81 225.456
4806.53 231.741
4810.25 245.036
4813.97 223.195
4817.69 242.834
4821.42 246.477
4825.14 248.014
4828.87 229.982
4832.59 224.023
4836.32 225.781
4840.05 207.653
4843.78 214.274
4847.51 209.673
4851.24 192.108
4854.97 171.202
4858.71 159.228
4862.44 159.431
4866.18 147.303
4869.91 139.631
4873.65 136.021
4877.39 144.249
4881.13 149.678
4884.87 127.215
4888.61 150.33
4892.35 148.692
4896.1 149.501
4899.84 141.274
4903.59 140.232
4907.33 158.477
4911.08 138.279
4914.83 151.339
4918.57 149.705
4922.32 148.262
4926.08 141.835
4929.83 165.864
4933.58 167.122
4937.33 153.242
4941.09 171.088
4944.84 156.014
4948.6 164.622
4952.36 171.52
4956.11 179.426
4959.87 146.416
4963.63 157.159
4967.39 188.291
4971.15 160.426
4974.92 174.78
4978.68 166.112
4982.44 169.772
4986.21 169.927
4989.97 171.285
4993.74 171.358
4997.51 192.595
5001.28 167.962
5005.05 176.239
5008.82 163.223
5012.59 175.745
5016.36 167.6
5020.13 182.438
5023.91 188.558
5027.68 173.77
