# Wavelength(angstroms) flux flux_err
3468.58544921875 4.848055012894256e-16 2.14751902712078e-16 
3470.0555267333984 3.0332096316454805e-16 2.1869510577934278e-16 
3471.525604248047 -5.1854037677831245e-18 2.161185639026932e-16 
3472.9956817626953 2.3564938342603386e-16 2.2221038515467674e-16 
3474.4657592773438 8.495402706572915e-16 2.3119287839273297e-16 
3475.935836791992 -1.102383668523869e-16 2.3355268571400385e-16 
3477.4059143066406 -2.1189812959877005e-16 2.412934815909445e-16 
3478.875991821289 -1.3155975446921904e-16 2.3689581887769817e-16 
3480.3460693359375 5.473401967797569e-16 2.420115537719793e-16 
3481.816146850586 1.3301722023875787e-16 2.420202623294683e-16 
3483.2862243652344 1.507833127909432e-16 2.562997555125181e-16 
3484.756301879883 -3.2321292312588446e-16 2.4890838719609945e-16 
3486.2263793945312 -1.8444538149667435e-16 2.518154307408558e-16 
3487.6964569091797 -2.7658757433652032e-17 2.441812551361508e-16 
3489.166534423828 3.2495561400552138e-16 2.504627985334295e-16 
3490.6366119384766 7.060402897773226e-16 2.4498958926562743e-16 
3492.106689453125 3.2542820545053007e-16 2.331914791015591e-16 
3493.5767669677734 3.5749007010022025e-16 2.310593383546424e-16 
3495.046844482422 2.694918436797506e-16 2.219585913762156e-16 
3496.5169219970703 1.7578002268802605e-16 2.162385646485175e-16 
3497.9869995117188 3.9152110106381946e-16 2.1156631767657298e-16 
3499.457077026367 -2.1803913500997598e-17 2.0175551886033065e-16 
3500.9271545410156 -1.1514857052550577e-16 1.925171819675342e-16 
3502.397232055664 4.927706814880498e-16 1.9386074827544694e-16 
3503.8673095703125 -1.442067901697832e-16 1.8293741138765548e-16 
3505.337387084961 -1.3524228314696631e-16 1.7670973399186625e-16 
3506.8074645996094 -1.6946917724472828e-16 1.6880114618203045e-16 
3508.277542114258 2.0584832912190422e-16 1.682621420600011e-16 
3509.7476196289062 4.098255889331033e-16 1.7042619212622763e-16 
3511.2176971435547 -1.1704700958831908e-16 1.546377494523137e-16 
3512.687774658203 4.5650218652449877e-17 1.502279238753404e-16 
3514.1578521728516 1.352731469099819e-16 1.530701164600726e-16 
3515.6279296875 1.7411893813890116e-16 1.472531573994731e-16 
3517.0980072021484 1.8559192000012185e-16 1.424767386099061e-16 
3518.568084716797 2.4114975068770727e-17 1.3287751274202012e-16 
3520.0381622314453 2.3968748065317073e-16 1.381604969387146e-16 
3521.5082397460938 1.1228631384783549e-16 1.2579159244731526e-16 
3522.978317260742 -1.8351750984251647e-16 1.218563700186004e-16 
3524.4483947753906 -1.726487536402637e-16 1.1840076676137846e-16 
3525.918472290039 1.1750723964625378e-16 1.2234543890141114e-16 
3527.3885498046875 3.467881926234664e-17 1.1302632947616013e-16 
3528.858627319336 -6.805742971576813e-17 1.0820445545757211e-16 
3530.3287048339844 -8.469297151138537e-17 1.076535531696118e-16 
3531.798782348633 4.8589217838630386e-17 1.0654598479918289e-16 
3533.2688598632812 2.966378202711524e-16 1.126374751789214e-16 
3534.7389373779297 -3.2155160696618806e-17 9.807050033706246e-17 
3536.209014892578 6.652284424335975e-17 1.0117901199181223e-16 
3537.6790924072266 3.5850725740819915e-17 9.36831608378608e-17 
3539.149169921875 4.171430139202046e-17 9.511757142936656e-17 
3540.6192474365234 1.907060137680677e-16 1.0107908195637093e-16 
3542.089324951172 -5.703616126089529e-17 9.22916114369751e-17 
3543.5594024658203 -4.5825044929274184e-17 9.29172048255265e-17 
3545.0294799804688 -7.290070455116411e-17 8.959381149997015e-17 
3546.499557495117 2.2078767420575493e-17 9.122723512941126e-17 
3547.9696350097656 4.301485430808043e-17 8.708034710811142e-17 
3549.439712524414 -6.517768395840663e-18 8.264619580368416e-17 
3550.9097900390625 8.929712497530453e-17 8.520066850159082e-17 
3552.379867553711 1.8557327204039246e-16 8.815932149912559e-17 
3553.8499450683594 2.343926776998841e-16 9.231550041306563e-17 
3555.320022583008 2.1991031681724444e-17 8.180714349497977e-17 
3556.7901000976562 -6.675006744890561e-17 7.923904547802314e-17 
3558.2601776123047 8.94792635287438e-17 7.85910652733736e-17 
