wavelength flux
4379.3127 5.73419e-16
4382.0912 5.983423e-16
4384.8697 5.9194013e-16
4387.6483 5.6906077e-16
4390.4268 5.731467e-16
4393.2053 5.498957e-16
4395.9838 6.2156617e-16
4398.7624 5.6655625e-16
4401.5409 5.5484274e-16
4404.3194 5.58606e-16
4407.0980 5.6808186e-16
4409.8765 5.3136547e-16
4412.6550 6.1060567e-16
4415.4335 6.525816e-16
4418.2121 5.756796e-16
4420.9906 6.1309976e-16
4423.7691 5.4411364e-16
4426.5477 5.009038e-16
4429.3262 4.637151e-16
4432.1047 5.7857454e-16
4434.8832 5.836982e-16
4437.6618 5.8206447e-16
4440.4403 6.525138e-16
4443.2188 6.1286074e-16
4445.9973 5.660753e-16
4448.7759 5.907832e-16
4451.5544 5.799595e-16
4454.3329 5.2108715e-16
4457.1115 6.479425e-16
4459.8900 6.282456e-16
4462.6685 5.25043e-16
4465.4470 5.69677e-16
4468.2256 5.635236e-16
4471.0041 5.6963183e-16
4473.7826 5.586774e-16
4476.5611 6.2439563e-16
4479.3397 5.639263e-16
4482.1182 5.257471e-16
4484.8967 5.117646e-16
4487.6753 5.373322e-16
4490.4538 4.5351976e-16
4493.2323 5.544751e-16
4496.0108 5.025373e-16
4498.7894 3.672876e-16
4501.5679 4.6778665e-16
4504.3464 5.232957e-16
4507.1250 4.9206023e-16
4509.9035 5.273976e-16
4512.6820 4.556385e-16
4515.4605 4.0151037e-16
4518.2391 4.0752603e-16
4521.0176 4.694741e-16
4523.7961 5.2668276e-16
4526.5746 5.032904e-16
4529.3532 4.26855e-16
4532.1317 4.6739405e-16
4534.9102 5.2532613e-16
4537.6888 4.5711605e-16
4540.4673 4.7240965e-16
4543.2458 4.452027e-16
4546.0243 4.2288115e-16
4548.8029 3.7820598e-16
4551.5814 4.857317e-16
4554.3599 4.036585e-16
4557.1385 3.6998576e-16
4559.9170 5.0237196e-16
4562.6955 4.552065e-16
4565.4740 4.417407e-16
4568.2526 4.1041811e-16
4571.0311 4.0106632e-16
4573.8096 3.933421e-16
4576.5881 4.1626442e-16
4579.3667 4.3324004e-16
4582.1452 3.6180488e-16
4584.9237 3.7152924e-16
4587.7023 3.8275127e-16
4590.4808 3.606115e-16
4593.2593 3.706929e-16
4596.0378 3.8677165e-16
4598.8164 3.5645007e-16
4601.5949 4.0560572e-16
4604.3734 4.2482998e-16
4607.1519 4.0067718e-16
4609.9305 3.9940822e-16
4612.7090 3.9333955e-16
4615.4875 3.9298316e-16
4618.2661 3.5430051e-16
4621.0446 3.8047182e-16
4623.8231 3.9937503e-16
4626.6016 3.8146187e-16
4629.3802 3.40216e-16
4632.1587 3.32123e-16
4634.9372 3.2556643e-16
4637.7158 3.5609162e-16
4640.4943 4.0209345e-16
4643.2728 3.641083e-16
4646.0513 3.9254847e-16
4648.8299 3.724632e-16
4651.6084 3.5794098e-16
4654.3869 3.660133e-16
4657.1654 3.8557297e-16
4659.9440 3.90507e-16
4662.7225 3.6067515e-16
4665.5010 2.8840638e-16
4668.2796 2.910803e-16
4671.0581 3.533331e-16
4673.8366 4.102995e-16
4676.6151 3.821203e-16
4679.3937 4.0165188e-16
4682.1722 3.1962484e-16
4684.9507 3.5719062e-16
4687.7293 4.2969905e-16
4690.5078 4.0663103e-16
4693.2863 3.413223e-16
4696.0648 3.6641422e-16
4698.8434 4.2463215e-16
4701.6219 3.679188e-16
4704.4004 2.9699818e-16
4707.1789 3.1712974e-16
4709.9575 3.1778352e-16
4712.7360 3.5614527e-16
4715.5145 4.1997532e-16
4718.2931 3.4450712e-16
4721.0716 3.5304481e-16
4723.8501 3.9775897e-16
4726.6286 3.2660698e-16
4729.4072 3.3660896e-16
4732.1857 3.520194e-16
4734.9642 3.6924832e-16
4737.7428 3.3768895e-16
4740.5213 4.0759294e-16
4743.2998 3.050047e-16
4746.0783 2.9806849e-16
4748.8569 3.5448414e-16
4751.6354 3.498852e-16
4754.4139 3.464989e-16
4757.1924 3.190964e-16
4759.9710 3.2442315e-16
4762.7495 3.9641227e-16
4765.5280 3.897052e-16
4768.3066 3.5020217e-16
4771.0851 3.2985125e-16
4773.8636 3.28463e-16
4776.6421 3.2547612e-16
4779.4207 2.9959682e-16
4782.1992 3.24554e-16
4784.9777 3.3026897e-16
4787.7562 3.2702158e-16
4790.5348 3.38997e-16
4793.3133 3.136308e-16
4796.0918 3.0972114e-16
4798.8704 3.6990135e-16
4801.6489 3.2580357e-16
4804.4274 2.8544102e-16
4807.2059 2.9034797e-16
4809.9845 3.10207e-16
4812.7630 2.9514e-16
4815.5415 3.192915e-16
4818.3201 3.2663028e-16
4821.0986 2.7826324e-16
4823.8771 3.120541e-16
4826.6556 3.448323e-16
4829.4342 3.2565267e-16
4832.2127 3.28968e-16
4834.9912 2.8021107e-16
4837.7697 2.8561144e-16
4840.5483 3.4658362e-16
4843.3268 3.362631e-16
4846.1053 3.251282e-16
4848.8839 2.7551978e-16
4851.6624 2.9821444e-16
4854.4409 3.1039557e-16
4857.2194 3.3042567e-16
4859.9980 3.2026072e-16
4862.7765 2.9998964e-16
4865.5550 3.3785717e-16
4868.3336 3.1784676e-16
4871.1121 3.2103978e-16
4873.8906 3.302434e-16
4876.6691 3.252253e-16
4879.4477 3.2075033e-16
4882.2262 3.4537686e-16
4885.0047 3.0878173e-16
4887.7832 3.4819383e-16
4890.5618 3.5756466e-16
4893.3403 3.6060157e-16
4896.1188 3.2913056e-16
4898.8974 3.2117986e-16
4901.6759 3.0328843e-16
4904.4544 3.3443987e-16
4907.2329 3.4505737e-16
4910.0115 3.636148e-16
4912.7900 3.6689709e-16
4915.5685 3.676105e-16
4918.3470 4.021968e-16
4921.1256 3.7329936e-16
4923.9041 3.4422503e-16
4926.6826 3.8649436e-16
4929.4612 3.3296423e-16
4932.2397 4.0889523e-16
4935.0182 3.9483769e-16
4937.7967 4.1103041e-16
4940.5753 4.258454e-16
4943.3538 4.2401305e-16
4946.1323 4.2661058e-16
4948.9109 3.5089152e-16
4951.6894 3.7499316e-16
4954.4679 4.2115113e-16
4957.2464 4.1269274e-16
4960.0250 4.4351024e-16
4962.8035 4.4436386e-16
4965.5820 4.4305824e-16
4968.3605 4.2055363e-16
4971.1391 4.4657324e-16
4973.9176 4.2947974e-16
4976.6961 4.686205e-16
4979.4747 4.2666797e-16
4982.2532 4.952439e-16
4985.0317 4.6548844e-16
4987.8102 4.4712355e-16
4990.5888 4.8336094e-16
4993.3673 4.449018e-16
4996.1458 4.758859e-16
4998.9244 4.922297e-16
5001.7029 4.760771e-16
5004.4814 5.1322134e-16
5007.2599 5.211435e-16
5010.0385 5.0067535e-16
5012.8170 5.3556146e-16
5015.5955 5.6756756e-16
5018.3740 5.274917e-16
5021.1526 5.634429e-16
5023.9311 5.6160566e-16
5026.7096 5.558771e-16
5029.4882 5.843968e-16
5032.2667 5.5017924e-16
5035.0452 5.673001e-16
5037.8237 5.569627e-16
5040.6023 5.871918e-16
5043.3808 6.2063237e-16
5046.1593 5.843723e-16
5048.9379 6.3831466e-16
5051.7164 6.2859215e-16
5054.4949 5.945033e-16
5057.2734 5.613432e-16
5060.0520 5.8787363e-16
5062.8305 6.191026e-16
5065.6090 6.008768e-16
5068.3875 6.025573e-16
5071.1661 6.1290214e-16
5073.9446 5.644332e-16
5076.7231 5.979899e-16
5079.5017 6.4902386e-16
5082.2802 6.0695543e-16
5085.0587 6.3141923e-16
5087.8372 6.381396e-16
5090.6158 5.954532e-16
5093.3943 6.393883e-16
5096.1728 7.136819e-16
5098.9513 7.05153e-16
5101.7299 6.325406e-16
5104.5084 6.49844e-16
5107.2869 6.265932e-16
5110.0655 6.610797e-16
5112.8440 6.745705e-16
5115.6225 6.757209e-16
5118.4010 6.644096e-16
5121.1796 6.648584e-16
5123.9581 6.4634977e-16
5126.7366 7.0193366e-16
5129.5152 7.0709543e-16
5132.2937 7.310497e-16
5135.0722 6.932611e-16
5137.8507 6.6404757e-16
5140.6293 6.6465707e-16
5143.4078 6.6313786e-16
5146.1863 6.278755e-16
5148.9648 6.4171555e-16
5151.7434 6.140236e-16
5154.5219 6.3329583e-16
5157.3004 6.7002995e-16
5160.0790 7.334514e-16
5162.8575 6.7721073e-16
5165.6360 5.985919e-16
5168.4145 6.441593e-16
5171.1931 6.533279e-16
5173.9716 6.497722e-16
5176.7501 6.574655e-16
5179.5287 6.2319994e-16
5182.3072 6.213391e-16
5185.0857 5.9670575e-16
5187.8642 5.912099e-16
5190.6428 6.238193e-16
5193.4213 5.7815076e-16
5196.1998 5.833186e-16
5198.9783 6.3433165e-16
5201.7569 5.879151e-16
5204.5354 6.287572e-16
5207.3139 7.023856e-16
5210.0925 6.348441e-16
5212.8710 5.824833e-16
5215.6495 6.371255e-16
5218.4280 6.744061e-16
5221.2066 6.7151523e-16
5223.9851 6.273221e-16
5226.7636 6.522933e-16
5229.5421 6.59689e-16
5232.3207 6.1990625e-16
5235.0992 6.0169997e-16
5237.8777 6.2687744e-16
5240.6563 6.1917775e-16
5243.4348 5.9515224e-16
5246.2133 6.160156e-16
5248.9918 6.271994e-16
5251.7704 6.2126754e-16
5254.5489 6.413836e-16
5257.3274 6.7404357e-16
5260.1060 6.587651e-16
5262.8845 6.3581083e-16
5265.6630 7.073305e-16
5268.4415 6.704356e-16
5271.2201 6.2894674e-16
5273.9986 5.914009e-16
5276.7771 6.168446e-16
5279.5556 6.244381e-16
5282.3342 6.268489e-16
5285.1127 6.913821e-16
5287.8912 6.539045e-16
5290.6698 6.419467e-16
5293.4483 6.0279724e-16
5296.2268 6.047878e-16
5299.0053 6.3170584e-16
5301.7839 6.284662e-16
5304.5624 6.3834896e-16
5307.3409 5.7637463e-16
5310.1195 6.2132365e-16
5312.8980 6.455914e-16
5315.6765 6.196238e-16
5318.4550 5.866024e-16
5321.2336 6.0590866e-16
5324.0121 5.90708e-16
5326.7906 5.3031605e-16
5329.5691 5.6325086e-16
5332.3477 5.6750233e-16
5335.1262 5.889771e-16
5337.9047 5.473344e-16
5340.6833 5.5576436e-16
5343.4618 4.8645076e-16
5346.2403 5.5570894e-16
5349.0188 5.516167e-16
5351.7974 5.755265e-16
5354.5759 5.6019255e-16
5357.3544 5.2516583e-16
5360.1330 5.309959e-16
5362.9115 6.0809993e-16
5365.6900 5.1055874e-16
5368.4685 5.3920704e-16
5371.2471 5.6093857e-16
5374.0256 5.2301166e-16
5376.8041 5.829012e-16
5379.5826 5.3965014e-16
5382.3612 5.367529e-16
5385.1397 5.069626e-16
5387.9182 5.383143e-16
5390.6968 5.6522985e-16
5393.4753 5.516615e-16
5396.2538 5.1516644e-16
5399.0323 5.3254465e-16
5401.8109 5.5235474e-16
5404.5894 5.5221784e-16
