#PI: Shappee 
#OBJECT: ASASSN-14lp 
#JD: 2457047.79345 
# 
#Angstrom    Flux(erg/s/cm**2/Angstrom) 
4082.6 5.5244229e-15 
4084.6 5.6009022e-15 
4086.5 5.673496e-15 
4088.4 5.615601e-15 
4090.3 5.4442213e-15 
4092.3 5.3540763e-15 
4094.2 5.36299e-15 
4096.1 5.3518309e-15 
4098.0 5.5060494e-15 
4099.9 5.3674548e-15 
4101.9 5.3717251e-15 
4103.8 5.4485002e-15 
4105.7 5.4568692e-15 
4107.6 5.4328355e-15 
4109.5 5.3521468e-15 
4111.5 5.3797432e-15 
4113.4 5.4472985e-15 
4115.3 5.3246399e-15 
4117.2 5.4520776e-15 
4119.1 5.4314694e-15 
4121.1 5.3999582e-15 
4123.0 5.341925e-15 
4124.9 5.2843766e-15 
4126.8 5.2557798e-15 
4128.7 5.2341616e-15 
4130.7 5.2739236e-15 
4132.6 5.1771672e-15 
4134.5 5.1470587e-15 
4136.4 5.2646765e-15 
4138.3 5.2104954e-15 
4140.3 5.1791609e-15 
4142.2 5.10096e-15 
4144.1 5.2075592e-15 
4146.0 5.2598441e-15 
4148.0 5.2481867e-15 
4149.9 5.341725e-15 
4151.8 5.4766347e-15 
4153.7 5.4539997e-15 
4155.6 5.4850152e-15 
4157.6 5.5473727e-15 
4159.5 5.4403495e-15 
4161.4 5.5012407e-15 
4163.3 5.6342975e-15 
4165.2 5.7279353e-15 
4167.2 5.8336518e-15 
4169.1 5.9459494e-15 
4171.0 5.8731173e-15 
4172.9 5.8994417e-15 
4174.8 6.0665237e-15 
4176.8 6.0248469e-15 
4178.7 5.9376963e-15 
4180.6 5.8688301e-15 
4182.5 5.9723802e-15 
4184.4 6.0177898e-15 
4186.4 5.8600791e-15 
4188.3 5.7448169e-15 
4190.2 5.8145157e-15 
4192.1 5.8223992e-15 
4194.1 5.8085517e-15 
4196.0 5.9043094e-15 
4197.9 5.9774837e-15 
4199.8 5.9679592e-15 
4201.7 5.9125091e-15 
4203.7 5.9271881e-15 
4205.6 5.9726339e-15 
4207.5 5.9945573e-15 
4209.4 6.021142e-15 
4211.3 6.0014339e-15 
4213.3 5.9849217e-15 
4215.2 5.9123638e-15 
4217.1 6.0162044e-15 
4219.0 6.0425821e-15 
4220.9 5.9263613e-15 
4222.9 6.0180417e-15 
4224.8 6.0414869e-15 
4226.7 6.0264208e-15 
4228.6 6.1593365e-15 
4230.5 6.1499582e-15 
4232.5 6.2403508e-15 
4234.4 6.2185093e-15 
4236.3 6.1249616e-15 
4238.2 6.1775437e-15 
4240.1 6.1562134e-15 
4242.1 6.0930847e-15 
4244.0 6.1199782e-15 
4245.9 6.0852565e-15 
4247.8 6.2247978e-15 
4249.8 6.2592473e-15 
4251.7 6.1200118e-15 
4253.6 6.0989537e-15 
4255.5 6.1772912e-15 
4257.4 6.1189443e-15 
4259.4 6.2085725e-15 
4261.3 6.2957421e-15 
4263.2 6.3304725e-15 
4265.1 6.3968412e-15 
4267.0 6.4784545e-15 
4269.0 6.584831e-15 
4270.9 6.66169e-15 
4272.8 6.6958788e-15 
4274.7 6.8713875e-15 
4276.6 6.8498972e-15 
4278.6 6.769968e-15 
4280.5 6.9351086e-15 
4282.4 7.1898961e-15 
4284.3 7.2332343e-15 
4286.2 7.1599275e-15 
4288.2 7.2738992e-15 
4290.1 7.3292492e-15 
4292.0 7.2870079e-15 
4293.9 7.3362768e-15 
4295.8 7.5608812e-15 
4297.8 7.7253544e-15 
4299.7 7.6230707e-15 
4301.6 7.5864636e-15 
4303.5 7.5944966e-15 
4305.5 7.6034739e-15 
4307.4 7.6639185e-15 
4309.3 7.6439383e-15 
4311.2 7.5292466e-15 
4313.1 7.619205e-15 
4315.1 7.6706039e-15 
4317.0 7.5524061e-15 
4318.9 7.4813511e-15 
4320.8 7.2922408e-15 
4322.7 7.235788e-15 
4324.7 7.0615005e-15 
4326.6 7.0370905e-15 
4328.5 7.0926012e-15 
4330.4 6.8829404e-15 
4332.3 6.7968544e-15 
4334.3 6.6914241e-15 
4336.2 6.523052e-15 
4338.1 6.4080463e-15 
4340.0 6.4466422e-15 
4341.9 6.2913738e-15 
4343.9 6.1817393e-15 
4345.8 6.1891323e-15 
4347.7 6.1486689e-15 
4349.6 6.0539901e-15 
4351.5 5.9294744e-15 
4353.5 5.8157579e-15 
4355.4 5.7322895e-15 
4357.3 5.5977557e-15 
4359.2 5.5395812e-15 
4361.2 5.5189946e-15 
4363.1 5.3726227e-15 
4365.0 5.3292121e-15 
4366.9 5.2433472e-15 
4368.8 5.0288638e-15 
4370.8 5.0088538e-15 
4372.7 4.9703778e-15 
4374.6 4.8427833e-15 
4376.5 4.8116589e-15 
4378.4 4.7427063e-15 
4380.4 4.6606865e-15 
4382.3 4.6057785e-15 
4384.2 4.5715935e-15 
4386.1 4.5720771e-15 
4388.0 4.5854417e-15 
4390.0 4.4327217e-15 
4391.9 4.3739774e-15 
4393.8 4.4170126e-15 
4395.7 4.2675559e-15 
4397.6 4.1282669e-15 
4399.6 4.133426e-15 
4401.5 4.1546483e-15 
4403.4 4.0681778e-15 
4405.3 4.0176753e-15 
4407.2 4.0357456e-15 
4409.2 4.0765289e-15 
4411.1 3.9782245e-15 
4413.0 3.9474137e-15 
4414.9 4.0541876e-15 
4416.9 4.1105736e-15 
4418.8 4.1898651e-15 
4420.7 4.1251054e-15 
4422.6 4.1170037e-15 
4424.5 4.2941276e-15 
