# SIMPLE  =                    T / conforms to FITS standard                      
# BITPIX  =                    8 / array data type                                
# NAXIS   =                    0 / number of array dimensions                     
# EXTEND  =                    T                                                  
# VERSPYT = '3.11.11 '           / Python version                                 
# VERSNPY = '2.2.2   '           / Numpy version                                  
# VERSSCI = '1.15.1  '           / Scipy version                                  
# VERSAST = '7.0.0   '           / Astropy version                                
# VERSSKL = '1.6.1   '           / Scikit-learn version                           
# VERSPYP = '0.1.dev17373+g2d17455' / PypeIt version                              
# DATE    = '2025-01-29'         / UTC date created                               
# RA      =   195.53983333333332                                                  
# DEC     =   3.1041527777777778                                                  
# TARGET  = 'AT2025acj'                                                           
# DISPNAME= 'red     '                                                            
# DECKER  = 'slit    '                                                            
# BINNING = '1,1     '                                                            
# MJD     =         60704.117568                                                  
# DATETIME= '2025-01-29T02:49:17.875' / Date and time of the observation in ISOT f
# AIRMASS =             1.497593                                                  
# EXPTIME =               1200.0                                                  
# FILENAME= 'v_e_20250128_43_1_0_0.fits'                                          
# INSTRUME= 'SPRAT   '                                                            
# DETECTOR= 'E2V CCD30-11 10333-02-26'                                            
# DATE-OBS= '2025-01-29T02:49:17.888'                                             
# CONFNAME= 'SPRATRed'                                                            
# FOVTYPE = 'slit    '                                                            
# CCDXBIN =                    1                                                  
# CCDYBIN =                    1                                                  
# PYPELINE= 'MultiSlit'                                                           
# PYP_SPEC= 'lt_sprat'                                                            
# TELESCOP= 'LT      '                                                            
# LON-OBS =  -17.879999999999995                                                  
# LAT-OBS =   28.758333333333336                                                  
# ALT-OBS =    2326.999999998442                                                  
# CLBS_DIR= '/Users/chrisfro/remoteLT/LT2025/AT2025acj/20250128/reduced/Calibrat&'
# CONTINUE  'ions'                                                                
# CLBS_ARC= 'Arc_A_0_DET01.fits'                                                  
# HIERARCH CLBS_WAVECALIB = 'WaveCalib_A_0_DET01.fits'                            
# HIERARCH CLBS_BIAS = 'Bias_A_0_DET01.fits'                                      
# HIERARCH CLBS_FLAT = 'Flat_A_0_DET01.fits'                                      
# HIERARCH CLBS_EDGES = 'Edges_A_0_DET01.fits.gz'                                 
# HIERARCH CLBS_SLITS = 'Slits_A_0_DET01.fits.gz'                                 
# HIERARCH CLBS_TILTIMG = 'Tiltimg_A_0_DET01.fits'                                
# HIERARCH CLBS_TILTS = 'Tilts_A_0_DET01.fits'                                    
# DMODCLS = 'SpecObjs'           / Datamodel class                                
# DMODVER = '1.0.0   '           / Datamodel version                              
# EXT0000 = 'SPAT0127-SLIT0114-DET01'                                             
# NSPEC   =                    1                                                  
# 
#      Lam       Flux        STD
  4398.886  9.196e-16  8.531e-16
  4403.214  1.621e-15  8.489e-16
  4407.544  2.047e-15  8.438e-16
  4411.876  1.580e-15  8.344e-16
  4416.210  1.987e-15  8.313e-16
  4420.546  1.573e-15  8.245e-16
  4424.883  1.850e-15  8.211e-16
  4429.223  1.452e-15  8.141e-16
  4433.564  1.958e-15  8.114e-16
  4437.906  1.520e-15  8.031e-16
  4442.251  1.131e-15  7.951e-16
  4446.597  1.431e-15  7.892e-16
  4450.945  1.480e-15  7.812e-16
  4455.295  1.469e-15  7.735e-16
  4459.647  1.568e-15  7.653e-16
  4464.000  1.812e-15  7.574e-16
  4468.355  1.539e-15  7.466e-16
  4472.712  1.924e-15  7.394e-16
  4477.071  1.305e-15  7.271e-16
  4481.431  1.296e-15  7.172e-16
  4485.793  1.321e-15  7.081e-16
  4490.157  9.332e-16  6.966e-16
  4494.523  1.249e-15  6.885e-16
  4498.890  1.603e-15  6.820e-16
  4503.259  1.382e-15  6.714e-16
  4507.630  1.285e-15  6.629e-16
  4512.002  1.269e-15  6.539e-16
  4516.376  1.439e-15  6.471e-16
  4520.740  1.259e-15  6.538e-16
  4525.118  1.097e-15  6.464e-16
  4529.497  1.578e-15  6.412e-16
  4533.890  1.068e-15  6.150e-16
  4538.272  1.338e-15  6.094e-16
  4542.657  1.343e-15  6.021e-16
  4547.043  1.436e-15  5.959e-16
  4551.430  1.370e-15  5.877e-16
  4555.820  1.899e-15  5.841e-16
  4560.211  1.800e-15  5.762e-16
  4564.603  1.642e-15  5.690e-16
  4568.998  3.618e-15  5.734e-16
  4573.394  1.578e-15  5.541e-16
  4577.791  1.649e-15  5.486e-16
  4582.190  1.878e-15  5.437e-16
  4586.591  1.461e-15  5.349e-16
  4590.994  1.727e-15  5.297e-16
  4595.398  1.560e-15  5.234e-16
  4599.804  1.756e-15  5.183e-16
  4604.211  1.750e-15  5.116e-16
  4608.621  1.274e-15  5.038e-16
  4613.031  1.690e-15  4.999e-16
  4617.444  1.924e-15  4.953e-16
  4621.858  1.652e-15  4.885e-16
  4626.273  1.503e-15  4.816e-16
  4630.690  1.710e-15  4.763e-16
  4635.109  1.426e-15  4.677e-16
  4639.529  1.508e-15  4.614e-16
  4643.951  1.524e-15  4.549e-16
  4648.375  1.225e-15  4.481e-16
  4652.800  2.033e-15  4.466e-16
  4657.227  1.670e-15  4.399e-16
  4661.655  1.839e-15  4.363e-16
  4666.085  1.973e-15  4.322e-16
  4670.517  1.630e-15  4.261e-16
  4674.950  1.827e-15  4.241e-16
  4679.384  2.016e-15  4.217e-16
  4683.820  1.977e-15  4.188e-16
  4688.258  1.873e-15  4.150e-16
  4692.697  2.008e-15  4.122e-16
  4697.138  1.820e-15  4.083e-16
  4701.581  2.216e-15  4.078e-16
  4706.025  2.192e-15  4.042e-16
  4710.470  2.102e-15  4.007e-16
  4714.917  2.042e-15  3.968e-16
  4719.366  1.740e-15  3.917e-16
  4723.816  1.932e-15  3.892e-16
  4728.267  1.873e-15  3.856e-16
  4732.720  1.718e-15  3.811e-16
  4737.175  2.136e-15  3.804e-16
  4741.631  1.781e-15  3.751e-16
  4746.089  1.774e-15  3.727e-16
  4750.548  1.790e-15  3.702e-16
  4755.009  1.860e-15  3.687e-16
  4759.471  1.591e-15  3.647e-16
  4763.934  1.965e-15  3.641e-16
  4768.400  1.700e-15  3.608e-16
  4772.866  1.801e-15  3.592e-16
  4777.334  1.819e-15  3.570e-16
  4781.804  1.771e-15  3.547e-16
  4786.275  1.882e-15  3.522e-16
  4790.748  1.867e-15  3.494e-16
  4795.222  1.977e-15  3.479e-16
  4799.697  1.797e-15  3.438e-16
  4804.174  1.871e-15  3.422e-16
  4808.652  1.568e-15  3.379e-16
  4813.132  1.988e-15  3.383e-16
  4817.614  2.027e-15  3.360e-16
  4822.096  2.207e-15  3.356e-16
  4826.581  1.882e-15  3.318e-16
  4831.066  1.804e-15  3.285e-16
  4835.553  1.738e-15  3.280e-16
  4840.042  1.832e-15  3.271e-16
  4844.532  1.882e-15  3.262e-16
  4849.023  1.897e-15  3.247e-16
  4853.516  1.770e-15  3.227e-16
  4858.010  1.617e-15  3.205e-16
  4862.506  1.628e-15  3.187e-16
  4867.003  1.501e-15  3.168e-16
  4871.501  1.540e-15  3.158e-16
  4876.001  1.539e-15  3.138e-16
  4880.502  1.550e-15  3.124e-16
  4885.005  1.598e-15  3.108e-16
  4889.509  1.518e-15  3.086e-16
  4894.014  1.649e-15  3.070e-16
  4898.521  1.339e-15  3.026e-16
  4903.029  1.550e-15  3.021e-16
  4907.539  1.348e-15  2.978e-16
  4912.050  1.536e-15  2.963e-16
  4916.562  1.536e-15  2.938e-16
  4921.076  1.519e-15  2.912e-16
  4925.591  1.538e-15  2.894e-16
  4930.107  1.492e-15  2.869e-16
  4934.625  1.328e-15  2.845e-16
  4939.144  1.725e-15  2.848e-16
  4943.664  1.618e-15  2.831e-16
  4948.186  1.500e-15  2.761e-16
  4952.709  1.420e-15  2.741e-16
  4957.233  1.565e-15  2.736e-16
  4961.759  1.413e-15  2.766e-16
  4966.286  1.174e-15  2.741e-16
  4970.815  1.406e-15  2.737e-16
  4975.345  1.358e-15  2.714e-16
  4979.876  1.437e-15  2.705e-16
  4984.408  1.100e-15  2.668e-16
  4988.942  1.464e-15  2.666e-16
  4993.477  1.332e-15  2.639e-16
  4998.013  1.175e-15  2.611e-16
  5002.551  1.284e-15  2.603e-16
  5007.090  1.356e-15  2.587e-16
  5011.632  1.312e-15  2.533e-16
  5016.172  1.614e-15  2.575e-16
  5020.714  1.404e-15  2.551e-16
  5025.258  1.416e-15  2.538e-16
  5029.804  1.478e-15  2.531e-16
  5034.350  1.296e-15  2.510e-16
  5038.898  1.351e-15  2.502e-16
  5043.448  1.329e-15  2.492e-16
  5047.998  1.200e-15  2.466e-16
  5052.550  1.143e-15  2.458e-16
  5057.103  1.381e-15  2.460e-16
  5061.657  9.208e-16  2.432e-16
  5066.212  1.048e-15  2.426e-16
  5070.769  8.539e-16  2.403e-16
  5075.327  8.386e-16  2.390e-16
  5079.886  7.515e-16  2.371e-16
  5084.447  1.005e-15  2.372e-16
  5089.008  9.868e-16  2.352e-16
  5093.572  7.929e-16  2.282e-16
  5098.135  8.787e-16  2.310e-16
  5102.701  1.078e-15  2.307e-16
  5107.267  1.030e-15  2.282e-16
  5111.835  9.738e-16  2.265e-16
  5116.404  1.070e-15  2.255e-16
  5120.974  1.094e-15  2.235e-16
  5125.546  1.172e-15  2.229e-16
  5130.118  1.279e-15  2.224e-16
  5134.692  9.520e-16  2.210e-16
  5139.267  1.087e-15  2.208e-16
  5143.843  9.465e-16  2.192e-16
  5148.421  1.160e-15  2.195e-16
  5152.999  1.162e-15  2.189e-16
  5157.579  1.184e-15  2.175e-16
  5162.160  1.181e-15  2.162e-16
  5166.742  1.249e-15  2.155e-16
  5171.325  1.152e-15  2.134e-16
  5175.909  1.085e-15  2.053e-16
  5180.494  1.226e-15  2.048e-16
