# SNID ztf24aaacvhp
# OBSERVER='Rich/Hinds/Wise/Bochenek'
# RA 199.32712499999997
# OBS_DATE 2024-02-12 12:36:59.27
# DEC 32.92825
# INSTRUMENT KAST
#wavelength flux flux_err
3590.82411023 0.70278281 0.07702573
3591.84971205 0.57300210 0.07069180
3592.87531388 0.63054532 0.07230779
3593.90091570 0.63732308 0.07315744
3594.92651753 0.70358443 0.07651535
3595.95211935 0.67994761 0.07488318
3596.97772118 0.69605267 0.07558335
3598.00332300 0.65899080 0.07138115
3599.02892483 0.81377405 0.07621874
3600.05452665 0.98123908 0.08334611
3601.08012848 1.13451684 0.08760814
3602.10573030 1.11893427 0.08949000
3603.13133213 1.00470185 0.08672388
3604.15693395 1.04206371 0.08430310
3605.18253578 0.82038039 0.07687857
3606.20813760 0.70281941 0.07355215
3607.23373943 0.70749706 0.07397690
3608.25934125 0.67684579 0.07291347
3609.28494308 0.56516945 0.06529267
3610.31054490 0.53171146 0.06554482
3611.33614673 0.59343272 0.06722136
3612.36174855 0.54258579 0.06472002
3613.38735038 0.63505155 0.07153869
3614.41295220 0.64103389 0.07327647
3615.43855403 0.60966355 0.07404220
3616.46415585 0.53701150 0.07439581
3617.48975768 0.57497191 0.07421475
3618.51535950 0.62340087 0.07498327
3619.54096133 0.58015496 0.07377037
3620.56656315 0.49134406 0.07161010
3621.59216498 0.63983256 0.07596919
3622.61776681 0.62099278 0.07372649
3623.64336863 0.56910574 0.07215416
3624.66897046 0.55975038 0.07211832
3625.69457228 0.53869545 0.07224183
3626.72017411 0.54236156 0.07137258
3627.74577593 0.68141001 0.07534119
3628.77137776 0.56127799 0.06982995
3629.79697958 0.63824886 0.07093552
3630.82258141 0.68560201 0.07553588
3631.84818323 0.57940036 0.07600850
3632.87378506 0.58087498 0.07756345
3633.89938688 0.51359051 0.07442076
3634.92498871 0.46845341 0.07271536
3635.95059053 0.53227210 0.07514228
3636.97619236 0.56802469 0.07549862
3638.00179418 0.58548963 0.07574600
3639.02739601 0.55876541 0.07546836
3640.05299783 0.53585845 0.07263036
3641.07859966 0.52847320 0.07256331
3642.10420148 0.50464106 0.07117555
3643.12980331 0.55819517 0.07433200
3644.15540513 0.57513267 0.07329266
3645.18100696 0.53006160 0.07216357
3646.20660878 0.56202698 0.07258905
3647.23221061 0.59855676 0.07354530
3648.25781243 0.59056491 0.07631845
3649.28341426 0.54685086 0.08075967
3650.30901608 0.50147945 0.08293351
3651.33461791 0.68726230 0.08648918
3652.36021973 0.63249290 0.08208670
3653.38582156 0.55182016 0.07868768
3654.41142338 0.45584068 0.07528834
3655.43702521 0.51117927 0.07562599
3656.46262703 0.67259353 0.07697848
3657.48822886 0.61074328 0.07491977
3658.51383068 0.56985116 0.07341102
3659.53943251 0.58403713 0.07342422
3660.56503433 0.60259861 0.07353280
3661.59063616 0.58347499 0.07447649
3662.61623798 0.56482172 0.07645180
3663.64183981 0.53329545 0.07584406
3664.66744163 0.53939497 0.07415705
3665.69304346 0.50149238 0.06861503
3666.71864528 0.54409432 0.07025000
3667.74424711 0.47573122 0.06633653
3668.76984893 0.54077893 0.06733393
3669.79545076 0.53456217 0.06730723
3670.82105259 0.53214186 0.06623952
3671.84665441 0.57327789 0.06671645
3672.87225624 0.55941111 0.06624316
3673.89785806 0.56234741 0.06753679
3674.92345989 0.55743778 0.06735527
3675.94906171 0.54273880 0.06579065
3676.97466354 0.65317953 0.07030888
3678.00026536 0.62653553 0.06726450
3679.02586719 0.55840522 0.06505939
3680.05146901 0.56236959 0.06497888
3681.07707084 0.63986868 0.06660037
3682.10267266 0.68914557 0.06709269
3683.12827449 0.58730400 0.06652030
3684.15387631 0.64825100 0.06635140
3685.17947814 0.59577066 0.06336534
3686.20507996 0.61232787 0.06344623
3687.23068179 0.64922994 0.06641906
3688.25628361 0.55260050 0.06335705
3689.28188544 0.58895457 0.06451847
3690.30748726 0.56347758 0.06545375
3691.33308909 0.58336568 0.06605548
3692.35869091 0.57628298 0.06599511
3693.38429274 0.56652880 0.06334509
3694.40989456 0.65910244 0.06781811
3695.43549639 0.61961246 0.06795759
3696.46109821 0.57325268 0.06601667
3697.48670004 0.48641682 0.06145780
3698.51230186 0.52178389 0.06502468
3699.53790369 0.60752124 0.06921833
3700.56350551 0.56548393 0.06763446
3701.58910734 0.54488975 0.06918935
3702.61470916 0.50303918 0.06789146
3703.64031099 0.51002115 0.06763197
3704.66591281 0.56732684 0.06860406
3705.69151464 0.59565461 0.06829892
3706.71711646 0.54153216 0.06650870
3707.74271829 0.59888917 0.06873769
3708.76832011 0.57187760 0.06782226
3709.79392194 0.65229934 0.06912769
3710.81952376 0.56122458 0.06626188
3711.84512559 0.49776524 0.06444555
3712.87072741 0.55561936 0.06498022
3713.89632924 0.53532684 0.06318468
3714.92193106 0.60857308 0.06620153
3715.94753289 0.59164369 0.06348302
3716.97313471 0.53429693 0.06267362
3717.99873654 0.63795716 0.06605343
3719.02433836 0.62010497 0.06512829
3720.04994019 0.59281665 0.06377479
3721.07554202 0.64751327 0.06563948
3722.10114384 0.53125107 0.06167783
3723.12674567 0.50877237 0.06251498
3724.15234749 0.59983212 0.06461972
3725.17794932 0.58525324 0.06260536
3726.20355114 0.55082411 0.06143958
3727.22915297 0.52115482 0.06215291
3728.25475479 0.53338069 0.06310542
3729.28035662 0.59036881 0.06446999
3730.30595844 0.54063129 0.06356452
3731.33156027 0.53158998 0.06283928
3732.35716209 0.55478805 0.06646778
3733.38276392 0.58920187 0.06832460
3734.40836574 0.60922456 0.06802212
3735.43396757 0.61841089 0.06848244
3736.45956939 0.59372932 0.06772346
3737.48517122 0.59734005 0.06862945
3738.51077304 0.61036420 0.06920323
3739.53637487 0.56238294 0.06846229
3740.56197669 0.60494447 0.07028934
3741.58757852 0.55524367 0.06823102
3742.61318034 0.53425783 0.06699184
3743.63878217 0.56926537 0.06518967
3744.66438399 0.70252907 0.06880664
3745.68998582 0.62093896 0.06646174
3746.71558764 0.61224574 0.06584319
3747.74118947 0.63062739 0.06643464
3748.76679129 0.58457494 0.06363323
3749.79239312 0.54945397 0.06237918
3750.81799494 0.52911705 0.06251340
3751.84359677 0.52872169 0.06342250
3752.86919859 0.53762549 0.06206871
3753.89480042 0.63164562 0.06578642
3754.92040224 0.54513317 0.06233509
3755.94600407 0.56163728 0.06198003
3756.97160589 0.56592739 0.06175179
3757.99720772 0.55048501 0.06014618
3759.02280954 0.61999637 0.06216050
3760.04841137 0.67150033 0.06327694
3761.07401319 0.59509611 0.06014560
3762.09961502 0.63441610 0.06087771
3763.12521684 0.59345812 0.05913290
3764.15081867 0.59459525 0.06036973
3765.17642049 0.56931603 0.05964772
3766.20202232 0.53378874 0.05821123
3767.22762414 0.62315744 0.05925713
3768.25322597 0.61544734 0.05800826
3769.27882779 0.54764599 0.05670312
3770.30442962 0.50972128 0.05607313
3771.33003145 0.58323038 0.06037496
3772.35563327 0.52984697 0.05889102
3773.38123510 0.54562312 0.05924607
3774.40683692 0.57355487 0.05871075
3775.43243875 0.59466320 0.05866166
3776.45804057 0.63864857 0.06078047
3777.48364240 0.54244262 0.05790804
3778.50924422 0.53561544 0.05772592
3779.53484605 0.63451457 0.06020622
3780.56044787 0.50396341 0.05599465
3781.58604970 0.59447485 0.05855326
3782.61165152 0.57918686 0.05867318
3783.63725335 0.54850388 0.05711606
3784.66285517 0.61455816 0.05861901
3785.68845700 0.56990021 0.05812665
3786.71405882 0.60871559 0.05794547
3787.73966065 0.63730395 0.05742911
3788.76526247 0.60803306 0.05786924
3789.79086430 0.60795093 0.05814984
3790.81646612 0.58269399 0.05785115
3791.84206795 0.52428305 0.05706024
3792.86766977 0.63564306 0.06013418
3793.89327160 0.64398021 0.05908633
3794.91887342 0.57257885 0.05660360
3795.94447525 0.62227833 0.05783320
3796.97007707 0.60343051 0.05702272
3797.99567890 0.53160584 0.05534461
3799.02128072 0.59423923 0.05533847
3800.04688255 0.63024384 0.05708153
3801.07248437 0.57566786 0.05593362
3802.09808620 0.55903828 0.05556212
3803.12368802 0.58722293 0.05631312
3804.14928985 0.59389669 0.05585290
3805.17489167 0.52088332 0.05406671
3806.20049350 0.53195661 0.05420546
3807.22609532 0.58844930 0.05556022
