# wavelength(um) flux(mJy)
3.498663006960570088e-01 0.000000000000000000e+00
3.499630996045270392e-01 3.451451082391231336e-03
3.500598985129960150e-01 1.076967513733632920e-02
3.501566974214660455e-01 1.922078710937718052e-02
3.502534963299350212e-01 1.801183278532787410e-02
3.503502952384039970e-01 1.554669991434400565e-02
3.504470941468740275e-01 1.447350466711882361e-02
3.505438930553430033e-01 2.031215371539036099e-02
3.506406919638120345e-01 1.447468375630537804e-02
3.507374908722820095e-01 2.329845154285065719e-03
3.508342897807509853e-01 1.447054880363967408e-03
3.509310886892210157e-01 1.062469748252527386e-02
3.510278875976900470e-01 1.743814802202988887e-02
3.511246865061590228e-01 -1.436522813312068382e-04
3.512214854146289977e-01 -1.074837427525981342e-03
3.513182843230980290e-01 -2.528083326069141719e-03
3.514150832315670048e-01 4.067897693539975455e-03
3.515118821400370352e-01 1.176334600091729146e-02
3.516086810485060110e-01 3.967872043900513325e-03
3.517054799569759860e-01 0.000000000000000000e+00
3.518022788654450173e-01 0.000000000000000000e+00
3.518990777739139930e-01 3.873779413405232293e-03
3.519958766823840235e-01 1.544427792649870346e-02
3.520926755908530548e-01 1.967376845861409235e-02
3.521894744993219750e-01 1.987527069865151902e-02
3.522862734077920055e-01 1.696943573190574581e-02
3.523830723162610368e-01 8.670456735145796665e-03
3.524798712247310117e-01 7.146365557366383958e-03
3.525766701332000430e-01 8.788125593252635315e-03
3.526734690416690188e-01 4.591294107447692341e-03
3.527702679501389937e-01 3.580198432728353298e-03
3.528670668586080250e-01 1.059336980153502937e-02
3.529638657670770008e-01 1.669252366105419827e-02
3.530606646755470313e-01 1.342886309836683299e-02
3.531574635840160625e-01 -6.379421832874289204e-04
3.532542624924859820e-01 -1.418809948594297989e-03
3.533510614009550133e-01 1.127276843420724900e-02
3.534478603094240445e-01 1.228069849565708097e-02
3.535446592178940195e-01 1.663083984037770982e-02
3.536414581263630508e-01 2.299801334280600698e-02
3.537382570348330257e-01 1.595826786182787463e-02
3.538350559433020015e-01 6.453351781127008961e-03
3.539318548517710328e-01 1.286517957909226462e-02
3.540286537602410077e-01 2.303231749716883395e-02
3.541254526687100390e-01 1.968879099572933694e-02
3.542222515771790148e-01 2.401286412570508011e-02
3.543190504856489897e-01 3.802538187036101636e-02
3.544158493941180210e-01 2.768615948819143358e-02
3.545126483025870523e-01 2.137874167060536262e-02
3.546094472110570273e-01 2.655124016825251981e-02
3.547062461195260030e-01 4.981858643317529922e-03
3.548030450279960335e-01 3.133473988587640036e-03
3.548998439364650093e-01 1.911729317019521951e-02
3.549966428449340405e-01 1.706261016516773601e-02
3.550934417534040155e-01 3.557803408921246698e-03
3.551902406618729913e-01 4.941945700033657882e-04
3.552870395703430217e-01 1.081834778309790322e-02
3.553838384788119975e-01 7.702177485551954701e-03
3.554806373872810288e-01 3.943837712496216924e-03
3.555774362957510593e-01 1.395558975949860898e-02
3.556742352042199795e-01 7.399839227838492066e-03
3.557710341126890108e-01 1.117948386554359604e-03
3.558678330211590413e-01 2.642728055546684010e-03
3.559646319296280170e-01 2.596743625465877323e-03
3.560614308380980475e-01 5.589340528232401330e-03
3.561582297465670233e-01 8.413930476561193306e-03
3.562550286550359990e-01 1.245201011037801696e-02
3.563518275635060295e-01 7.555323971565408060e-03
3.564486264719750053e-01 8.233067869855985365e-04
3.565454253804450357e-01 3.204014306709422871e-03
3.566422242889140115e-01 1.087007614546156055e-02
3.567390231973829873e-01 1.598423005496881974e-02
3.568358221058530177e-01 1.637317375657331570e-02
3.569326210143220490e-01 1.802681539561762705e-02
3.570294199227910248e-01 1.363297670450205022e-02
3.571262188312609998e-01 6.087885235753335601e-03
3.572230177397300310e-01 1.002553749816595396e-02
3.573198166482000060e-01 1.592815215576322968e-02
3.574166155566690373e-01 1.104651285210179155e-02
3.575134144651380130e-01 1.655306799814048159e-03
3.576102133736079880e-01 -6.567082568589080460e-04
3.577070122820770193e-01 0.000000000000000000e+00
3.578038111905459950e-01 0.000000000000000000e+00
3.579006100990160255e-01 4.969661918647594843e-03
3.579974090074850568e-01 1.180239464289833604e-02
3.580942079159549762e-01 8.979527810260607909e-03
3.581910068244240075e-01 1.430391579717143515e-02
3.582878057328930388e-01 1.731912082043012696e-02
3.583846046413630138e-01 1.297197130058829959e-02
3.584814035498320450e-01 2.540291564960863585e-02
3.585782024583010208e-01 2.404967181341326893e-02
3.586750013667709958e-01 2.379694062771699897e-02
3.587718002752400270e-01 3.140138165004714710e-02
3.588685991837090028e-01 1.476312565277825874e-02
3.589653980921790333e-01 6.548025421501828085e-03
3.590621970006480090e-01 1.497291919727949255e-02
3.591589959091179840e-01 7.987936296559638993e-03
3.592557948175870153e-01 4.355237255291590469e-03
3.593525937260560466e-01 5.148839395592067457e-03
3.594493926345260215e-01 4.369716870629377671e-03
3.595461915429949973e-01 1.423723034339008375e-02
3.596429904514650278e-01 2.496842904068958049e-02
3.597397893599340035e-01 1.606122383834768588e-02
3.598365882684030348e-01 5.396971736505981609e-03
3.599333871768730653e-01 4.184473434565426364e-03
3.600301860853419855e-01 7.232825626326509771e-03
3.601269849938110168e-01 1.067413656509403133e-02
3.602237839022809918e-01 1.022120807937265327e-02
3.603205828107500230e-01 1.147066531376635459e-02
3.604173817192200535e-01 1.445255333471133150e-02
3.605141806276889738e-01 1.423484695491370779e-02
3.606109795361580050e-01 1.068336533444985345e-02
3.607077784446280355e-01 6.424409061198793278e-03
3.608045773530970113e-01 8.671352810645698364e-03
3.609013762615660426e-01 1.198952354832653194e-02
3.609981751700360175e-01 1.116687850185776182e-02
3.610949740785049933e-01 1.651508094575232163e-02
3.611917729869750238e-01 1.551597543898347066e-02
3.612885718954440550e-01 1.423762606591699210e-02
3.613853708039130308e-01 1.271254393221107198e-02
3.614821697123830058e-01 8.386346920928863802e-03
3.615789686208520370e-01 1.036640954329829008e-02
3.616757675293220120e-01 1.477432108415409513e-02
3.617725664377910433e-01 1.628269638839191860e-02
3.618693653462600190e-01 1.005236081741103446e-02
3.619661642547299940e-01 6.675780781968583284e-04
3.620629631631990253e-01 5.645212570627340665e-03
3.621597620716680010e-01 1.239429981137381981e-02
3.622565609801380315e-01 1.304307771926910449e-02
3.623533598886070628e-01 1.444071558686204314e-02
3.624501587970759831e-01 1.824018147918840538e-02
3.625469577055460135e-01 1.360964624531262046e-02
3.626437566140150448e-01 1.137928566069078967e-02
3.627405555224850198e-01 5.423738932009852104e-03
3.628373544309540510e-01 7.373931671505243139e-03
3.629341533394230268e-01 1.362879367089581129e-02
3.630309522478930018e-01 6.767089052183179222e-03
3.631277511563620330e-01 5.592892130398034733e-03
3.632245500648320080e-01 1.509313450065931372e-02
3.633213489733010393e-01 1.531991643380119575e-02
3.634181478817700151e-01 9.662615197200536549e-03
3.635149467902399900e-01 1.425792566514793268e-02
3.636117456987090213e-01 1.980089081187006231e-02
3.637085446071780526e-01 2.295598308261559417e-02
3.638053435156480275e-01 1.322434846825198441e-02
3.639021424241170033e-01 4.389045525500377860e-03
3.639989413325870338e-01 4.407341960239764822e-03
3.640957402410560095e-01 1.180131771303641851e-02
3.641925391495250408e-01 1.179896919624032030e-02
3.642893380579950158e-01 1.012066386891523513e-02
3.643861369664639915e-01 -1.746771412729635452e-03
3.644829358749330228e-01 -3.575315301382858690e-03
3.645797347834029978e-01 6.716260132833204444e-03
3.646765336918720291e-01 1.522339585981011094e-02
3.647733326003420595e-01 1.371877960286715416e-02
3.648701315088109798e-01 1.333489493682661793e-02
3.649669304172800111e-01 1.243332056329286839e-02
3.650637293257500415e-01 2.944119166548691321e-03
3.651605282342190173e-01 1.753067269611037786e-03
3.652573271426890478e-01 5.430883153916078732e-03
3.653541260511580235e-01 3.821119617689954298e-03
3.654509249596269993e-01 7.183031459202946813e-03
3.655477238680970298e-01 8.557118258806882885e-03
3.656445227765660055e-01 2.652733917689630884e-03
3.657413216850350368e-01 4.828954386859239840e-03
3.658381205935050118e-01 8.828963198716665087e-03
3.659349195019739875e-01 7.761663665900278737e-03
3.660317184104430188e-01 6.791601543873308777e-03
3.661285173189130493e-01 8.936533108730130778e-03
