# Observed by B. Martin
# Reduced by B. Martin
# On 25/08/2023, 01:40:09
# Using DEbass pipeline: v01
# Using metadata: m01
#
# Wavelength Flux Error
3503.10	9.7053e+00	9.5411e+00
3503.87	1.5050e+01	9.4809e+00
3504.65	1.8846e+00	9.5205e+00
3505.42	1.0736e+00	9.4269e+00
3506.20	1.4243e+01	9.2024e+00
3506.97	2.4495e+01	9.2974e+00
3507.75	1.2866e+01	9.3853e+00
3508.52	5.1957e+00	9.4032e+00
3509.30	1.2998e+00	9.5250e+00
3510.07	7.2908e+00	9.1491e+00
3510.85	-1.4042e+00	8.9399e+00
3511.62	3.0926e+00	8.9004e+00
3512.40	6.1759e+00	9.1974e+00
3513.17	5.0472e+00	9.3941e+00
3513.95	9.0880e+00	9.1044e+00
3514.72	1.8652e+01	8.7668e+00
3515.50	1.8839e+00	8.4383e+00
3516.27	1.2122e+01	8.6422e+00
3517.05	1.2604e+01	8.6495e+00
3517.82	1.1241e+01	8.8059e+00
3518.60	1.4451e+01	8.7520e+00
3519.37	1.8350e+00	8.5622e+00
3520.15	9.0272e+00	8.6241e+00
3520.92	1.1082e+01	8.6316e+00
3521.70	1.5633e+01	8.7584e+00
3522.47	1.0884e+01	8.6090e+00
3523.25	1.5982e+01	8.4186e+00
3524.02	1.8831e+01	8.2496e+00
3524.80	2.1115e+01	8.0434e+00
3525.57	6.5035e+00	7.7784e+00
3526.35	1.2171e+01	8.1002e+00
3527.12	2.1563e+00	8.2305e+00
3527.90	1.5264e+01	8.1045e+00
3528.67	1.1503e+01	8.1641e+00
3529.45	1.2948e+01	8.1383e+00
3530.22	1.7659e+01	8.0042e+00
3531.00	4.2431e+00	8.0452e+00
3531.77	7.7800e+00	7.8954e+00
3532.55	1.2158e+01	7.8937e+00
3533.32	1.5330e+01	7.8378e+00
3534.09	1.9674e+00	7.6679e+00
3534.87	4.5057e+00	7.7904e+00
3535.64	4.5990e+00	7.9928e+00
3536.42	9.0703e+00	8.0028e+00
3537.19	1.3950e+01	7.9493e+00
3537.97	1.1881e+01	7.8636e+00
3538.74	1.4799e+01	7.6516e+00
3539.52	1.6142e+01	7.7620e+00
3540.29	8.9110e+00	7.8748e+00
3541.07	8.6764e+00	7.9283e+00
3541.84	1.1949e+01	7.9591e+00
3542.62	1.9597e+01	8.0703e+00
3543.39	1.1685e+01	7.7546e+00
3544.17	6.6228e+00	7.8085e+00
3544.94	1.3387e+01	7.7210e+00
3545.72	1.2791e+01	7.7931e+00
3546.49	9.6000e+00	7.8310e+00
3547.27	9.0800e+00	7.7543e+00
3548.04	1.4384e+01	7.7877e+00
3548.82	6.7071e+00	7.8816e+00
3549.59	6.2608e+00	7.6532e+00
3550.37	9.5881e+00	7.7462e+00
3551.14	1.1279e+01	7.5962e+00
3551.92	1.3144e+01	7.4880e+00
3552.69	1.3606e+01	7.5102e+00
3553.47	1.6353e+01	7.5161e+00
3554.24	1.7459e+01	7.6041e+00
3555.02	1.0904e+01	7.3037e+00
3555.79	5.8332e+00	7.3511e+00
3556.57	2.1038e+01	7.2690e+00
