# TELESCOPE = Liverpool Telescope
# INSTRUMENT = SPRAT
# PROPOSAL = PL22A20b
# OBJECT = 2022frn
# RA = 12:59:51.79
# DEC = 27:56:36.60
# DATE-OBS = 2022-04-08T03:16:11.724
# MJD-OBS = 59677.136247
# EXPTIME-OBS = 1800.0s
# AIRMASS-OBS = 1.135868
# SEEING-OBS = 1.125057
# wl fl
# [A] [Normalised]
4029.200000 0.726022
4038.400000 1.52578
4047.600000 1.37395
4056.800000 1.60881
4066.000000 1.74964
4075.200000 1.65215
4084.400000 1.52616
4093.600000 1.79604
4102.800000 2.03822
4112.000000 1.80211
4121.200000 1.98736
4130.400000 2.0932
4139.600000 1.96986
4148.800000 2.14168
4158.000000 2.00224
4167.200000 2.0873
4176.400000 1.91361
4185.600000 1.92265
4194.800000 1.90479
4204.000000 1.83371
4213.200000 1.84352
4222.400000 1.4673
4231.600000 1.87106
4240.800000 1.74497
4250.000000 1.66719
4259.200000 1.76659
4268.400000 1.61272
4277.600000 1.51864
4286.800000 1.49923
4296.000000 1.3422
4305.200000 1.35215
4314.400000 1.322715
4323.600000 1.29328
4332.800000 1.21254
4342.000000 1.18816
4351.200000 1.18871
4360.400000 1.13055
4369.600000 1.16753
4378.800000 1.28671
4388.000000 1.28724
4397.200000 1.29336
4406.400000 1.3026
4415.600000 1.31118
4424.800000 1.36184
4434.000000 1.39608
4443.200000 1.3535
4452.400000 1.37255
4461.600000 1.31517
4470.800000 1.32195
4480.000000 1.27796
4489.200000 1.33669
4498.400000 1.33089
4507.600000 1.368625
4516.800000 1.40636
4526.000000 1.47568
4535.200000 1.57492
4544.400000 1.56202
4553.600000 1.58406
4562.800000 1.63005
4572.000000 1.65121
4581.200000 1.6699
4590.400000 1.67593
4599.600000 1.63531
4608.800000 1.63948
4618.000000 1.64857
4627.200000 1.63122
4636.400000 1.66462
4645.600000 1.57294
4654.800000 1.53965
4664.000000 1.58054
4673.200000 1.54186
4682.400000 1.46567
4691.600000 1.37106
4700.800000 1.32599
4710.000000 1.27145
4719.200000 1.24144
4728.400000 1.21347
4737.600000 1.21842
4746.800000 1.21002
4756.000000 1.1941
4765.200000 1.15269
4774.400000 1.15473
4783.600000 1.13763
4792.800000 1.1107
4802.000000 1.09422
4811.200000 1.07507
4820.400000 1.05642
4829.600000 1.09938
4838.800000 1.11853
4848.000000 1.04664
4857.200000 1.02394
4866.400000 1.04865
4875.600000 0.934802
4884.800000 0.89445
4894.000000 0.851885
4903.200000 0.809144
4912.400000 0.806911
4921.600000 0.797715
4930.800000 0.759616
4940.000000 0.811882
4949.200000 0.847802
4958.400000 0.886401
4967.600000 0.91566
4976.800000 0.96059
4986.000000 0.936383
4995.200000 0.984408
5004.400000 0.993413
5013.600000 0.998523
5022.800000 1.0011
5032.000000 1.10344
5041.200000 1.04013
5050.400000 1.05467
5059.600000 1.06546
5068.800000 1.03246
5078.000000 1.09258
5087.200000 1.10914
5096.400000 1.13747
5105.600000 1.15304
5114.800000 1.16048
5124.000000 1.20959
5133.200000 1.19073
5142.400000 1.21819
5151.600000 1.23096
5160.800000 1.22329
5170.000000 1.23342
5179.200000 1.24732
5188.400000 1.27409
5197.600000 1.22962
5206.800000 1.22545
5216.000000 1.17572
5225.200000 1.18705
5234.400000 1.20179
5243.600000 1.1923
5252.800000 1.2157
5262.000000 1.20192
5271.200000 1.18209
5280.400000 1.14947
5289.600000 1.09811
5298.800000 1.00506
5308.000000 1.0134
5317.200000 0.954185
5326.400000 0.899398
5335.600000 0.912634
5344.800000 0.886804
5354.000000 0.850364
5363.200000 0.846564
5372.400000 0.859116
5381.600000 0.847386
5390.800000 0.845066
5400.000000 0.893014
5409.200000 0.864899
5418.400000 0.901499
5427.600000 0.918085
5436.800000 0.913461
5446.000000 0.897774
5455.200000 0.904929
5464.400000 0.900941
5473.600000 0.880882
5482.800000 0.807533
5492.000000 0.807591
5501.200000 0.802064
5510.400000 0.760087
5519.600000 0.78462
5528.800000 0.75808
5538.000000 0.764428
5547.200000 0.797465
5556.400000 0.790558
5565.600000 0.832485
5574.800000 0.927039
5584.000000 0.952425
5593.200000 0.95844
5602.400000 1.02876
5611.600000 1.03179
